name,ttm,06/30/2018,09/30/2017,06/30/2017,03/31/2017,09/30/2016,06/30/2016,03/31/2016,09/30/2015,06/30/2015,03/31/2015,09/30/2014,06/30/2014,03/31/2014,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
TotalRevenue,"729,474,000,000",,,,,,,,,,,,,,,,,"50,981,000,000","95,244,000,000","76,675,000,000","131,925,000,000","56,073,000,000","82,932,000,000","87,460,000,000","140,006,000,000","80,271,000,000","88,907,000,000","86,648,000,000","128,743,000,000","52,059,000,000","78,835,000,000","4,098,000,000","116,325,000,000","-118,134,000,000","76,973,000,000","-11,789,000,000","111,073,000,000","44,995,543,900","44,961,539,000","51,000,826,800","50,686,921,400","102,573,794,000","22,368,603,000","36,334,093,500","27,098,136,000","25,651,036,000","24,559,220,000","24,547,802,400","24,547,802,400","19,218,113,000","19,201,480,000","19,193,203,500","19,194,363,000","19,727,281,000","19,715,814,000","19,717,005,000","19,716,766,800"
	OperatingRevenue,"729,474,000,000",,,,,,,,,,,,,,,,,"50,981,000,000","95,244,000,000","76,675,000,000","131,925,000,000","56,073,000,000","82,932,000,000","87,460,000,000","140,006,000,000","80,271,000,000","88,907,000,000","86,648,000,000","128,743,000,000","52,059,000,000","78,835,000,000","4,098,000,000","116,325,000,000","-118,134,000,000","76,973,000,000","-11,789,000,000","111,073,000,000","44,995,543,900","44,961,539,000","51,000,826,800","50,686,921,400","102,573,794,000","22,368,603,000","36,334,093,500","27,098,136,000","25,651,036,000","24,559,220,000","24,547,802,400","24,547,802,400","19,218,113,000","19,201,480,000","19,193,203,500","19,194,363,000","19,727,281,000","19,715,814,000","19,717,005,000","19,716,766,800"
NetNonOperatingInterestIncomeExpense,"-4,255,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,942,391,200","-2,238,280,800",,,,"-1,830,694,700",,,,,,,,,,,,,
	InterestExpenseNonOperating,"4,255,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,942,391,200","2,238,280,800",,,,"1,830,694,700",,,,,,,,,,,,,
OtherIncomeExpense,"8,195,000,000",,,,,,,,,,,,,,,,,"1,016,000,000","821,000,000","866,000,000","629,000,000","1,221,000,000","627,000,000","1,104,000,000","603,000,000","950,000,000","926,000,000","452,000,000","738,000,000","1,301,000,000","447,000,000","416,000,000","381,000,000","-6,874,000,000","423,000,000","6,634,000,000","-5,636,000,000",,,"7,133,568,400",,,,"9,209,433,600",,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,"-14,200,000,000","7,680,000,000","-8,025,000,000",,"-2,652,000,000",,"-1,891,000,000",,"-637,000,000",,"-13,000,000",,"-64,000,000",,"-2,237,000,000",,"-41,630,000,000",,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,"13,904,000,000",,"7,686,000,000",,"2,396,000,000",,"1,565,000,000",,"637,000,000",,"13,000,000",,"64,000,000",,"2,237,000,000",,"3,103,000,000",,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,"296,000,000","6,000,000","339,000,000",,"256,000,000",,"326,000,000",,,,,,,,,,"38,527,000,000",,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"59,795,000,000",,,,,,,,,,,,,,,,,"3,574,000,000","-3,618,000,000","4,140,000,000","6,872,000,000","1,176,000,000","4,410,000,000","5,417,000,000","9,510,000,000","10,886,000,000","8,519,000,000","9,228,000,000","12,375,000,000","16,632,000,000","7,333,000,000","16,915,000,000","6,513,000,000","10,079,000,000","2,540,000,000","13,270,000,000","3,618,000,000",,,"0",,,,"0",,,,,,,,,,,,,
TaxProvision,"781,000,000",,,,,,,,,,,,,,,,,"-108,000,000","-1,467,000,000","77,000,000","1,194,000,000","-440,000,000","609,000,000","365,000,000","1,488,000,000","2,161,000,000","1,548,000,000","1,365,000,000","2,123,000,000","3,596,000,000","1,315,000,000","4,038,000,000","1,102,000,000","1,925,000,000","184,000,000","824,000,000","94,000,000",,,"708,027,600",,,,"1,151,179,200",,,,,,,,,,,,,
