name,ttm,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010
MarketCap,"30,826,706,651","32,187,839,792","26,192,936,003","21,085,727,740","20,363,735,378","21,047,799,962","15,925,345,388","16,793,381,670","24,089,425,195","21,407,282,690","13,767,401,217","15,026,614,744","9,585,660,089","7,116,613,960","6,190,577,138","4,834,037,499","4,321,189,478","4,186,101,749","3,519,761,804","2,451,205,598","2,894,772,310","2,423,054,147","2,423,054,147","2,697,540,750","1,813,346,837","1,870,925,923","1,537,937,270","930,569,150","849,378,553","694,804,147","697,380,935","581,150,779","815,160,826","852,354,476","780,627,061","956,134,613","837,857,784","799,703,969","1,194,354,434"
EnterpriseValue,"30,124,212,651","30,847,733,792","25,736,838,003","20,242,691,740","19,063,473,378","19,680,127,962","14,523,811,388","15,099,600,670","22,826,590,350","20,345,822,355","13,118,339,047","14,329,074,689","9,336,135,606","6,699,339,637","5,878,367,495","4,326,460,160","4,070,211,676","3,823,287,132","3,208,970,148","2,035,756,591","2,628,681,512","2,080,705,174","2,120,783,747","2,343,812,526","1,543,416,266","1,537,699,016","1,243,367,198","656,261,753","639,787,209","445,588,410","448,165,198","357,819,833","606,735,038","653,084,790","611,917,066","777,573,669","646,183,018","600,202,528","1,015,328,221"
PeRatio,"337.476","313.82","132.793","73.22","56.415","62.462","65.796","74.007","123.682","133.274","113.028","123.365","89.592","81.575","73.587","52.421","44.517","41.734","35.516","34.852","44.171","34.909","34.909","41.707","30.25","38.258","36.481","25.913","25.905","20.227","20.455","19.737","32.875","34.375","30.088","34.806","28.895","29.111","64.851"
ForwardPeRatio,"55.556","49.505","38.61","54.945","36.63","44.643","31.847","53.192","75.758","59.172","44.643","74.627","50.251","37.736","32.895","42.735",,"35.971","31.25","26.667","28.986","25.575","30.121","36.765","25.253","25.189","26.882","20.492","18.904","15.723","16.639","15.038","23.202","28.818","23.866","27.397","26.316","33.784",
PegRatio,,,,,,,,,,,,,,,,,,,,,"0.966","0.853","1.004","1.226","0.842","1.146","1.221","0.854","0.787","0.655","0.693","0.52","0.803","0.971","0.847","0.783","0.751",,
PsRatio,"9.462","10.365","8.943","7.851","8.065","8.915","7.612","8.977","14.435","14.558","11.827","15.145","10.524","8.996","9.064","7.833","7.887","7.675","7.069","5.46","6.827","6.61","6.857","8.023","5.839","6.602","5.943","3.934","3.771","3.184","3.219","2.787","4.243","4.829","5.006","6.614","6.41","6.465","12.28"
PbRatio,"12.254","12.408","10.421","8.3","8.199","11.749","8.577","9.336","14.863","22.175","15.892","22.398","15.142","11.819","10.428","8.734","9.889","9.939","8.672","7.17","9.24","8.08","8.412","10.741","6.975","7.665","6.723","4.576","4.437","3.803","3.817","2.74","4.155","4.483","4.336","5.397","5.142","5.158","8.33"
EnterprisesValueRevenueRatio,"9.203","35.966","29.845","21.612","27.126","27.087","24.785","21.578","41.454","40.361","30.278","31.441","29.003","21.178","22.561","15.958","20.863","21.841","22.569","11.745","20.316","16.888","21.343","19.153","17.337","17.675","16.91","7.136","10.42","7.47","9.164","5.257","12.303","12.507","15.053","15.119","19.45","17.835","42.199"
EnterprisesValueEBITDARatio,"-775.737","-1,053.579","540.838","-918.994","-2,237.497","138.155","102.236","151.306","252.158","243.784","231.352","177.168","219.189","140.461","273.129","55.778","194.352","180.225","227.332","24.461","101.703","121.217","159.299","64.297","95.731","106.815","104.543","26.852","95.967","37.818","146.007","21.461","101.501","77.341","356.245","61.661","195.455","66.45","353.343"
