name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalRevenue,"98,250,000,000","113,147,000,000","101,548,000,000","106,444,000,000","114,763,000,000","87,769,000,000","87,228,000,000","76,529,000,000","77,025,000,000","74,276,000,000","74,475,000,000","84,526,000,000","36,442,000,000","37,924,224,000","31,185,680,000","24,402,980,490","20,042,477,840","18,684,360,920","15,992,906,760","12,296,578,500","11,458,672,876.86"
	NetInterestIncome,"52,888,000,000","64,325,000,000","62,565,000,000","66,365,000,000","66,369,000,000","72,725,000,000","47,138,000,000","47,766,000,000","48,297,000,000","41,753,000,000","43,545,000,000","40,691,000,000","21,141,000,000","21,173,468,160","17,042,940,000","12,090,578,220","9,158,025,920","9,852,855,550","7,642,471,380","6,279,499,200","5,071,182,267.17"
		InterestIncome,"139,866,000,000","140,283,000,000","133,177,000,000","144,690,000,000","161,495,000,000","147,789,000,000","120,115,000,000","94,127,000,000","96,364,000,000","97,352,000,000","78,369,000,000","72,567,000,000","47,649,000,000","34,138,923,520","27,954,942,500","20,814,100,860","15,737,037,000","16,027,119,350","14,555,739,840","10,768,505,100","8,903,070,997.15"
			InterestIncomeFromLoansAndLease,"86,623,000,000","81,046,000,000","73,640,000,000","75,584,000,000","80,118,000,000","79,392,000,000","69,248,000,000","59,546,000,000","61,139,000,000","58,492,000,000","52,035,000,000","48,582,000,000","31,326,000,000","22,722,485,760","19,235,150,000","13,584,971,820","9,253,643,360","8,871,897,750","7,961,055,180","6,202,863,300","4,861,145,966.04"
				InterestIncomeFromLoans,,"81,046,000,000","73,640,000,000","75,584,000,000","80,118,000,000","79,392,000,000","69,248,000,000","59,546,000,000","61,139,000,000",,,,,"22,722,485,760","19,235,150,000","13,584,971,820","9,253,643,360","8,871,897,750","7,961,055,180","6,202,863,300","4,213,829,283.4"
				InterestIncomeFromLeases,,,,,,,,,,,,,,,,,,,,,"647,316,682.64"
			InterestIncomeFromSecurities,"32,107,000,000","37,133,000,000","36,029,000,000","35,449,000,000","39,618,000,000","33,449,000,000","25,748,000,000","17,054,000,000","18,753,000,000","17,924,000,000","11,561,000,000","11,259,000,000","6,875,000,000","2,060,015,360","3,838,500,000","3,007,467,120","2,940,236,280","3,300,634,480","3,391,147,560","1,609,353,900","3,789,112,043.16"
			InterestIncomeFromDeposits,"5,784,000,000","5,907,000,000","6,143,000,000","7,945,000,000","7,597,000,000","7,376,000,000","7,190,000,000","4,897,000,000","6,376,000,000","10,072,000,000","3,165,000,000","3,534,000,000","3,028,000,000","3,564,520,960","3,631,647,500","2,444,734,530","1,216,466,320","1,324,293,030","927,432,840","766,359,000",
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"15,352,000,000","16,197,000,000","17,365,000,000","25,712,000,000","34,162,000,000","27,572,000,000","17,929,000,000","12,630,000,000","10,096,000,000","9,961,000,000","11,608,000,000","9,192,000,000","6,420,000,000","2,375,160,320","1,247,512,500","849,936,360","1,617,528,360","1,604,154,520","1,858,405,500","1,957,698,900",
			OtherInterestIncome,,,,,,,,,,"903,000,000","76,220,259,000","4,585,265,000",,"3,416,741,120","2,132,500","926,991,030","709,162,680","926,139,570","417,698,760","232,230,000","252,812,987.95"
		InterestExpense,"86,978,000,000","75,958,000,000","70,612,000,000","78,325,000,000","95,126,000,000","75,064,000,000","72,977,000,000","46,361,000,000","48,067,000,000","55,599,000,000","34,824,000,000","31,876,000,000","26,508,000,000","12,965,455,360","10,912,002,500","8,723,522,640","6,579,011,080","6,174,263,800","6,913,268,460","4,489,005,900","3,831,888,729.98"
			InterestExpenseForDeposit,"19,436,000,000","18,559,000,000","17,484,000,000","13,340,000,000","14,701,000,000","13,587,000,000","12,064,000,000","9,802,000,000","10,544,000,000","14,757,000,000","11,776,000,000","11,773,000,000","6,233,000,000","3,317,034,240","3,864,090,000","3,308,680,830","2,013,278,320","3,240,045,910","1,702,653,420","1,449,115,200","2,812,018,264.38"
