name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,09/30/1997,06/30/1997,03/31/1997,03/31/1994
TotalRevenue,"12,669,582,000","2,985,000,000","3,394,376,000","3,165,623,000","3,124,583,000","3,368,794,000","3,499,134,000","3,074,000,000","2,916,068,000","2,613,000,000","2,610,590,000","2,508,000,000","2,307,000,000","2,166,000,000","-1,123,768,373.132","4,672,493,542.712","1,749,066,344.356","1,809,427,688.914","-854,881,832.32","2,033,643,173.665","1,802,484,006.724","2,766,938,659.486","3,108,763,261.703","2,400,482,272.854","3,010,853,710.333","2,732,506,137.267","2,492,939,706.819","2,838,836,451.081","2,524,562,759.349","2,967,537,827.927","2,454,319,871.838","3,956,002,255.517","3,056,031,493.478","3,304,677,165.459","3,323,012,905.09","2,633,641,574.939","3,429,159,451.506","3,198,405,053.368","3,772,708,477.863","3,995,735,140.021","3,125,868,602.754","2,823,572,291.815","4,078,317,103.537","2,852,915,517.147","2,941,165,152.941","2,721,408,300.374","2,113,393,898.953","2,611,793,880.317","3,390,697,372.719","2,807,381,674.18","3,494,073,353.366","2,648,512,518.696","2,079,900,159.695","1,988,731,001.276","1,880,624,414.893","1,876,231,254.947","1,760,013,272.84","1,757,288,275.298","1,766,643,044.501","1,696,601,775.141","1,403,174,327.018","1,355,688,898.12","1,494,976,401.189","1,186,973,499.566","1,147,208,246.285","1,134,282,361.535","998,723,408.436","1,069,920,028.907","932,291,723.691","817,640,312.125","793,056,103.151","771,478,759.587","908,578,701.969","958,860,788.891","1,281,502,331.285","936,105,748.973","1,124,697,644.848","1,161,114,381.269","1,157,246,122.829","1,092,503,373.575","1,071,066,862.682","1,200,746,832.739","1,168,540,583.278","918,509,796.099","1,741,325,444.559","459,317,755.255","796,728,340.294","793,802,634.212","735,170,275.382","843,951,153.292",,,,
	OperatingRevenue,"12,669,582,000","2,985,000,000","3,394,376,000","3,165,623,000","3,124,583,000","3,368,794,000","3,499,134,000","3,074,000,000","2,916,068,000","2,613,000,000","2,610,590,000","2,508,000,000","2,307,000,000","2,166,000,000","-1,123,768,373.132","4,672,493,542.712","1,749,066,344.356","1,809,427,688.914","-854,881,832.32","2,033,643,173.665","1,802,484,006.724","2,766,938,659.486","3,108,763,261.703","2,400,482,272.854","3,010,853,710.333","2,732,506,137.267","2,492,939,706.819","2,838,836,451.081","2,524,562,759.349","2,967,537,827.927","2,454,319,871.838","3,956,002,255.517","3,056,031,493.478","3,304,677,165.459","3,323,010,995.09","2,633,643,484.939","3,429,159,451.506","3,198,405,053.368","3,772,708,477.863","3,995,735,140.021","3,246,745,657.752","2,702,695,236.816","4,078,317,103.537","2,852,915,517.147","2,941,165,152.941","2,721,408,300.374","2,113,393,898.953","2,611,793,880.317","3,390,697,372.719","2,807,381,674.18","3,514,148,943.923","2,648,512,518.696","2,079,900,159.695","1,988,731,001.276","1,878,702,413.342","1,876,231,254.947","1,760,013,272.84","1,757,288,275.298","1,734,876,546.795","1,696,601,775.141","1,403,174,327.018","1,355,688,898.12","1,477,714,380.172","1,186,973,499.566","1,147,208,246.285","1,134,282,361.535","1,150,922,366.094","1,069,920,028.907","932,291,723.691","817,640,312.125","668,890,220.129","771,478,759.587","908,578,701.969","958,860,788.891","1,282,939,978.022","936,105,748.973","1,124,697,644.848","1,161,114,381.269","1,157,246,122.829","1,092,503,373.575","1,071,066,862.682","1,200,746,832.739","1,168,540,583.278","918,509,796.099","1,741,325,444.559","459,317,755.255","796,728,340.294","793,802,634.212","735,170,275.382","843,951,153.292",,,,
CostOfRevenue,"8,435,956,000","1,920,000,000","2,510,059,000","1,940,313,000","2,005,465,000","2,278,103,000","2,529,155,000","2,335,000,000","1,894,779,000","1,570,000,000","1,923,249,000","1,610,000,000","1,447,000,000","1,252,000,000","-521,363,925.488","2,667,893,635.782","939,794,184.887","940,811,329.436","-458,389,030.337","1,143,094,368.166","1,109,197,566.575","1,677,039,773.627","1,843,760,842.275","1,322,709,672.137","1,878,606,557.853","1,662,193,258.338","1,556,776,748.195","1,388,802,875.764","1,431,336,952.528","1,697,059,847.439","1,924,834,164.087","2,181,912,609.4","1,806,876,662.981","1,860,098,211.816","1,689,053,622.625","1,397,885,454.116","1,954,741,259.463","1,772,283,370.784","2,078,330,019.069","2,160,012,348.371","1,643,124,484.937","1,478,773,811.122","2,102,085,699.989","1,355,643,378.644","1,407,513,301.408","1,391,141,112.635","1,287,807,437.439","1,295,642,565.118","1,823,990,100.449","1,889,992,626.285","2,389,843,505.181","1,959,170,672.869","1,437,063,486.362","1,225,043,015.409","1,251,558,068.998","1,273,928,910.689","1,174,095,594.456","1,149,458,205.582","1,121,300,031.8","1,135,731,148.619","1,029,182,162.707","940,712,616.125","1,021,090,866.086","854,957,444.305","807,060,760.37","794,741,460.04","706,162,206.107","758,649,213.064","646,796,031.303","570,505,251.081","554,283,238.651","572,951,324.709","629,386,594.732","632,154,708.072","774,302,467.505","661,292,418.251","779,989,176.955","765,812,939.427","187,591,913.961","1,064,829,954.459","524,583,863.042","571,436,138.629","98,303,223.294","641,521,782.607","1,182,514,217.362","408,375,054.58",,,,,,,,
GrossProfit,"4,233,626,000","1,065,000,000","884,317,000","1,225,310,000","1,119,118,000","1,090,691,000","969,979,000","739,000,000","1,021,289,000","1,043,000,000","687,341,000","898,000,000","860,000,000","914,000,000","-602,404,447.645","2,004,599,906.93","809,272,159.469","868,616,359.479","-396,492,801.984","890,548,805.499","693,286,440.149","1,089,898,885.858","1,265,002,419.428","1,077,772,600.717","1,132,247,152.48","1,070,312,878.93","936,162,958.625","1,450,033,575.317","1,093,225,806.82","1,270,477,980.488","529,485,707.752","1,774,089,646.117","1,249,154,830.496","1,444,578,953.644","1,633,959,282.465","1,235,756,120.823","1,474,416,162.043","1,426,123,712.584","1,694,378,458.794","1,835,720,889.93","1,482,746,019.536","1,344,798,480.692","1,976,231,403.548","1,497,270,318.503","1,533,651,851.534","1,330,267,187.739","825,586,461.514","1,316,153,138.199","1,566,709,249.27","917,389,047.895","1,104,229,848.185","689,341,845.827","642,836,673.333","763,687,985.866","629,066,345.895","602,302,344.257","585,917,678.384","607,830,069.717","645,343,012.701","560,870,626.522","373,992,164.312","414,976,281.995","473,885,535.103","332,016,055.261","340,147,485.915","339,540,901.495","292,561,202.329","311,270,815.843","285,495,692.388","247,135,061.044","238,772,864.5","198,527,434.878","279,192,107.237","326,706,080.819","507,199,863.78","274,813,330.723","344,708,467.893","395,301,441.842","969,654,208.868","27,673,419.117","546,482,999.64","629,310,694.11","1,070,237,359.984","276,988,013.493","558,811,227.196","50,942,700.675",,,,,,,,
OperatingExpense,"1,233,765,000","440,000,000","141,455,000","512,228,000","200,201,000","419,690,000","278,711,000","247,000,000","362,721,000","390,000,000","42,194,000","318,000,000","293,000,000","407,000,000","-363,491,251.312","867,312,655.736","256,831,398.505","347,116,359.792","-392,398,292.97","256,780,061.923","252,239,819.924","442,500,178.318","206,034,788.188","401,743,060.436","413,564,476.88","519,606,359.48","71,400,317.636","565,780,104.323","95,713,638.959","566,575,504.683","-237,604,215.023","776,281,924.088","626,001,920.398","690,887,246.96","743,046,014.256","466,429,365.279","620,121,036.637","758,834,296.054","854,580,572.602","738,246,881.11","597,084,412.234","605,743,444.148","824,142,358.911","532,446,459.468","556,248,750.556","533,277,534.093","151,647,613.032","519,724,541.053","605,169,590.126","138,729,204.627","206,452,150.934","135,605,315.41","140,667,942.681","107,903,230.252","116,249,048.463","115,246,702.953","100,910,813.056","103,483,823.343","169,325,520.768","96,184,275.627","91,073,327.69","79,429,983.625","104,939,422.068","67,260,942.244","78,222,696.826","73,255,940.452","79,592,345.536","70,827,662.484","66,531,879.645","58,306,261.285","251,767,430.621","20,446,030.492","82,554,665.313","73,678,824.205","123,045,644.229","90,792,644.875","92,056,999.138","105,521,212.446","943,142,457.844","491,373,491.13","302,606,251.167","317,809,410.2","859,854,120.149","126,485,208.35","150,542,173.115","49,291,849.469",,,,,,,,
	SellingGeneralAndAdministration,"1,370,152,000","145,000,000","1,030,518,000","-96,844,000","219,137,000","286,366,000","706,241,000","106,000,000","219,659,000","161,000,000","563,914,000","153,000,000","144,000,000","218,000,000","322,274,854.938","82,438,155.006","163,339,536.212","132,720,259.92","432,275,761.503","158,213,861.049","184,875,403.736","216,626,369.177","794,492,710.75","155,150,920.213","200,301,278.668","189,847,839.81","802,512,719.869","155,137,068.391","204,222,395.143","239,675,670.595","767,312,386.314","237,713,015.467","193,257,087.072","206,368,709.092","910,307,339.406","155,530,531.336","174,691,019.056","184,240,769.042","232,992,632.139","212,331,485.6","175,394,164.812","162,358,763.836","564,814,063.096","148,171,659.852","163,952,550.164","139,143,094.763","151,647,613.032","121,486,543.48","182,437,561.545","138,730,208.072","197,554,186.811","135,605,315.41","138,399,266.234","107,903,230.252","114,204,926.405","113,157,584.284","98,310,452.111","103,484,821.653","169,325,520.768","96,184,275.627","91,073,327.69","79,429,983.625","104,939,422.068","67,260,942.244","78,221,697.277","73,256,974.235","79,592,345.536","70,827,662.484","66,531,879.645","58,306,261.285","99,957,426.153","52,001,395.25","82,554,665.313","73,678,824.205","123,045,644.229","90,793,643.398","92,054,994.064","105,522,215.194","145,749,377.298","155,115,190.875","127,413,158.386","121,556,592.307","160,942,281.913","111,882,413.481","147,818,400.313","41,458,831.292",,,,,,,,
		GeneralAndAdministrativeExpense,"1,359,790,000","145,000,000","1,018,707,000","-93,370,000","219,137,000","284,917,000","693,504,000","106,000,000","219,659,000","161,000,000","558,777,000","153,000,000","144,000,000","218,000,000","317,000,340.949","84,598,329.282","163,339,536.212","132,720,259.92","424,843,939.162","158,213,861.049","184,875,403.736","216,626,369.177","780,524,117.741","155,150,920.213","200,301,278.668","189,847,839.81","786,871,465.785","155,137,068.391","204,222,395.143","239,675,670.595","751,009,979.326","237,713,015.467","193,257,087.072","206,368,709.092","890,441,315.746","155,530,531.336","174,691,019.056","184,240,769.042","232,992,632.139","212,331,485.6","175,394,164.812","162,358,763.836","532,611,813.739","148,171,659.852","163,952,550.164","139,143,094.763",,"121,486,543.48","182,437,561.545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"741,940,000","145,000,000","328,753,000","49,050,000","219,137,000","212,813,000","399,493,000","106,000,000","219,659,000","161,000,000","322,984,000","153,000,000","144,000,000","218,000,000","102,666,821.441","212,287,691.359","163,339,536.212","132,720,259.92","119,173,003.777","158,213,861.049","184,875,403.736","216,626,369.177","306,116,185.175","155,150,920.213","200,301,278.668","189,847,839.81","285,760,851.186","155,137,068.391","204,222,395.143","239,675,670.595","212,005,271.251","237,713,015.467","193,257,087.072","206,368,709.092","214,515,504.186","155,530,531.336","174,691,019.056","184,240,769.042","232,992,632.139","212,331,485.6","175,394,164.812","162,358,763.836","181,078,348.905","159,508,439.84","163,952,550.164","152,370,889.741",,"132,916,753.525","182,437,561.545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,"2,075,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,"9,956,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
