name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
DilutedNIAvailtoComStockholders,"588,348,000","541,260,000","480,118,000","533,744,000","463,975,000","423,223,000","381,519,000","311,623,000","261,225,000","210,264,000","169,071,000","127,521,000","99,899,000","65,901,000","44,395,000","30,887,000","20,572,887","14,575,762","-38,893,596","4,230,000","-878,000"
BasicEPS,,"1.76","1.54","1.72","1.51","1.39","1.26","1.04","0.88","0.72","0.59","0.455","0.365","0.29","0.21","0.175","0.129","0.113","-0.275","0.03","-0.006"
DilutedEPS,,"1.75","1.53","1.71","1.5","1.38","1.25","1.02","0.87","0.71","0.58","0.445","0.355","0.275","0.2","0.158","0.115","0.1","-0.275","0.028","-0.006"
BasicAverageShares,,"310,155,000","314,428,000","308,607,000","306,897,000","304,722,000","302,343,000","299,574,000","295,810,000","292,252,000","286,542,000","281,082,000","272,976,000","227,244,828","211,404,762","176,497,143","159,789,414","129,562,329","141,230,336","141,000,000","140,480,000"
DilutedAverageShares,,"310,969,000","315,849,000","310,649,000","309,784,000","307,496,000","306,045,000","304,131,000","300,693,000","296,750,000","291,714,000","287,980,000","282,046,000","239,640,000","221,975,000","196,107,937","178,894,670","145,757,620","155,190,096","153,818,182","140,480,000"
TotalOperatingIncomeAsReported,"916,092,000","896,643,000","882,241,000","847,318,000","763,398,000","704,627,000","649,868,000","530,180,000","437,953,000","361,483,000","297,877,000","231,448,000","197,696,000","122,657,000","77,166,000","52,942,000","34,907,005","26,059,172","20,844,230","13,112,000","4,615,000"
TotalExpenses,"11,418,177,000","11,525,385,000","10,928,761,000","8,869,919,000","7,782,871,000","6,468,495,000","6,075,390,000","4,522,175,000","3,682,226,000","2,900,789,000","2,171,336,000","1,813,940,000","1,731,016,000","1,003,780,000","712,215,000","494,450,000","389,848,968","301,914,825","266,281,071","237,350,000","221,689,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"588,348,000","541,260,000","480,118,000","533,744,000","463,975,000","423,223,000","381,519,000","311,623,000","261,225,000","210,264,000","169,071,000","127,521,000","99,899,000","65,901,000","44,395,000","30,887,000","20,572,887","14,575,762","11,005,204","4,230,000","-878,000"
NormalizedIncome,"649,117,930.519","600,758,784","532,515,772","551,756,794","481,642,662","436,119,771","391,398,890","320,117,040","262,980,138","217,061,536.774","167,182,341.59","125,766,040.372","104,271,428.54","65,147,470.08","43,493,334.203","30,510,200","20,296,288.086","14,505,475.031","10,901,741.297","4,230,000","-878,000"
InterestIncome,,"32,755,000","6,499,000","17,535,000","2,247,000","2,717,000","1,035,000","2,130,000","4,286,000","1,860,000","1,449,000","1,353,000",,,,,,,,,
InterestExpense,,"138,504,000","146,377,000","101,640,000","88,263,000","57,860,000","64,542,000","51,184,000","31,429,000","24,307,000","29,765,000","32,252,000",,,,,,,,,
NetInterestIncome,"-95,591,000","-105,749,000","-139,878,000","-84,105,000","-86,016,000","-55,143,000","-63,507,000","-49,054,000","-27,143,000","-22,447,000","-28,316,000","-30,899,000",,,,,,,,,
EBIT,"937,366,000","929,526,000","889,808,000","868,267,000","765,544,000","706,890,000","652,430,000","527,011,000","440,596,000","360,078,000","299,890,000","237,569,000","206,285,000","123,045,000","77,166,000","52,942,000","34,907,032","26,059,172","20,844,230","13,112,000","4,615,000"
EBITDA,"1,246,944,000"
ReconciledCostOfRevenue,"7,525,020,000","7,630,679,000","7,281,953,000","5,926,629,000","5,217,675,000","4,353,032,000","4,083,433,000","2,981,632,000","2,392,718,000","1,873,293,000","1,372,969,000","1,116,180,000","1,077,905,000","620,157,000","431,569,000","289,788,000","227,140,195","174,237,836","154,573,805","132,520,000","119,313,000"
ReconciledDepreciation,"309,578,000","314,406,000","294,077,000","230,203,000","206,086,000","128,192,000","125,437,000","86,463,000","70,165,000","54,505,000","41,428,000","38,062,000","33,421,000","18,018,000","12,086,000","8,574,000","6,871,858","5,446,104","5,013,840","7,897,000","7,541,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"587,644,000","539,641,000","484,515,000","540,490,000","456,123,000","423,223,000","381,519,000","311,623,000","261,225,000","210,264,000","167,118,000","127,137,000","99,899,000","65,901,000","44,395,000","30,887,000","20,572,887","14,575,762","11,005,204","4,230,000","-878,000"
TotalUnusualItemsExcludingGoodwill,"-85,095,000","-83,953,000","-64,604,000","-16,258,000","-37,863,000","-19,511,000","-15,130,000","-12,968,000","-2,751,000","-10,855,000","-104,000","2,214,000","-7,160,000","1,238,000","1,479,000","628,000","455,200","116,469","171,744",,
TotalUnusualItems,"-85,095,000","-83,953,000","-64,604,000","-16,258,000","-37,863,000","-19,511,000","-15,130,000","-12,968,000","-2,751,000","-10,855,000","-104,000","2,214,000","-7,160,000","1,238,000","1,479,000","628,000","455,200","116,469","171,744",,
NormalizedEBITDA,"1,332,039,000","1,327,885,000","1,248,489,000","1,114,728,000","1,009,493,000","854,593,000","792,997,000","626,442,000","513,512,000","425,438,000","341,422,000","273,417,000","246,866,000","139,825,000","87,773,000","60,888,000","41,323,690","31,388,807","25,686,326","21,009,000","12,156,000"
TaxRateForCalcs,"0.278","0.272","0.257","0.307","0.326","0.339","0.347","0.345","0.362","0.374","0.381","0.381","0.389","0.391","0.39","0.4","0.392","0.397","0.398","0.4","0.4"
TaxEffectOfUnusualItems,"-23,621,069.481","-22,835,216","-16,603,228","-4,991,206","-12,343,338","-6,614,229","-5,250,110","-4,473,960","-995,862","-4,057,463.226","-39,658.41","843,040.372","-2,787,571.46","484,470.08","577,334.203","251,200","178,601.086","46,182.031","68,281.297","0","0"
