name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,12/31/2016
TotalAssets,"7,184,800,000","7,411,300,000","7,285,900,000","7,430,100,000","7,437,800,000","6,722,600,000","6,718,700,000","6,735,700,000","6,840,100,000","6,853,700,000","6,756,100,000","6,383,300,000"
	CurrentAssets,"1,997,900,000","1,958,600,000","1,863,900,000","1,865,900,000","1,836,000,000","1,814,600,000","1,717,200,000","1,723,600,000","1,718,600,000","1,826,200,000","1,813,500,000","1,624,700,000"
		CashCashEquivalentsAndShortTermInvestments,"626,300,000","635,300,000","456,100,000","411,000,000","333,600,000","423,400,000","296,300,000","305,200,000","328,500,000","564,400,000","528,400,000","529,800,000"
			CashAndCashEquivalents,"626,300,000","635,300,000","456,100,000","411,000,000","333,600,000","423,400,000","296,300,000","305,200,000","328,500,000","564,400,000","528,400,000","527,200,000"
			OtherShortTermInvestments,,,,,,,,,,,,"2,600,000"
		Receivables,"749,700,000","716,800,000","758,000,000","793,400,000","817,300,000","749,500,000","785,500,000","816,800,000","806,600,000","727,900,000","745,500,000","659,400,000"
			AccountsReceivable,"717,200,000","694,700,000","733,200,000","777,200,000","790,500,000","742,300,000","778,200,000","807,900,000","799,600,000","713,800,000","745,500,000","650,500,000"
				GrossAccountsReceivable,,"703,300,000",,,,"749,700,000",,,,"720,600,000",,"653,900,000"
				AllowanceForDoubtfulAccountsReceivable,,"-8,600,000",,,,"-7,400,000",,,,"-6,800,000",,"-3,400,000"
			TaxesReceivable,"32,500,000","22,100,000","24,800,000","16,200,000","26,800,000","7,200,000","7,300,000","8,900,000","7,000,000","14,100,000",,"8,900,000"
		Inventory,"484,400,000","475,100,000","507,800,000","544,500,000","559,700,000","537,600,000","526,800,000","502,100,000","492,000,000","457,100,000","448,300,000","366,900,000"
			RawMaterials,"120,600,000","118,900,000","129,300,000","137,600,000","143,900,000","152,100,000","156,100,000","145,100,000","141,000,000","128,000,000","118,200,000","92,600,000"
			WorkInProcess,"36,900,000","33,600,000","36,600,000","38,600,000","39,500,000","38,400,000","38,500,000","39,600,000","37,500,000","32,800,000","29,200,000","23,700,000"
			FinishedGoods,"326,900,000","322,600,000","341,900,000","368,300,000","376,300,000","347,100,000","332,200,000","317,400,000","313,500,000","296,300,000","300,900,000","250,600,000"
			InventoriesAdjustmentsAllowances,,,,,,,,,,,"0",
		PrepaidAssets,"137,500,000","131,400,000","142,000,000","117,000,000","125,400,000","104,100,000","108,600,000","99,500,000","91,500,000","76,800,000","89,700,000","67,000,000"
		RestrictedCash,,,,,,,,,,,"1,600,000","1,600,000"
	TotalNonCurrentAssets,"5,186,900,000","5,452,700,000","5,422,000,000","5,564,200,000","5,601,800,000","4,908,000,000","5,001,500,000","5,012,100,000","5,121,500,000","5,027,500,000","4,942,600,000","4,758,600,000"
		NetPPE,"801,300,000","850,900,000","838,400,000","870,200,000","878,100,000","756,300,000","761,700,000","746,900,000","738,900,000","686,200,000","637,400,000","599,600,000"
			GrossPPE,"801,300,000","1,310,800,000","838,400,000","870,200,000","878,100,000","1,133,600,000","761,700,000","746,900,000","738,900,000","1,009,500,000","637,400,000","832,400,000"
				Properties,,"318,600,000",,,,"313,300,000",,,,"262,100,000",,"236,600,000"
				MachineryFurnitureEquipment,,"819,400,000",,,,"736,000,000",,,,"678,600,000",,"564,300,000"
				OtherProperties,"801,300,000","123,000,000","838,400,000","870,200,000","878,100,000","756,300,000","761,700,000","746,900,000","738,900,000","686,200,000","637,400,000",
				ConstructionInProgress,,"49,800,000",,,,"84,300,000",,,,"68,800,000",,"31,500,000"
			AccumulatedDepreciation,,"-459,900,000",,,,"-377,300,000",,,,"-323,300,000",,"-232,800,000"
		GoodwillAndOtherIntangibleAssets,"3,767,600,000","3,936,500,000","3,912,300,000","4,006,000,000","4,018,000,000","4,036,500,000","4,115,800,000","4,138,700,000","4,254,600,000","4,212,300,000","4,204,800,000","4,056,400,000"
			Goodwill,"1,957,700,000","2,060,500,000","2,024,100,000","2,067,100,000","2,055,000,000","2,045,900,000","2,093,800,000","2,087,300,000","2,131,300,000","2,085,500,000","2,067,200,000","1,912,300,000"
			OtherIntangibleAssets,"1,809,900,000","1,876,000,000","1,888,200,000","1,938,900,000","1,963,000,000","1,990,600,000","2,022,000,000","2,051,400,000","2,123,300,000","2,126,800,000","2,137,600,000","2,144,100,000"
		InvestmentsAndAdvances,,,,,,,,,,,,"3,900,000"
			LongTermEquityInvestment,,,,,,,,,,,,"3,900,000"
		NonCurrentAccountsReceivable,"24,100,000","23,000,000","34,200,000","28,800,000","27,900,000","27,900,000","26,000,000","34,500,000","33,100,000","32,700,000",,"32,100,000"
		NonCurrentDeferredAssets,"542,400,000","587,100,000","552,600,000","576,000,000","594,500,000",,,,,,,"2,400,000"
			NonCurrentDeferredTaxesAssets,"542,400,000","587,100,000","552,600,000","576,000,000","594,500,000",,,,,,,"2,400,000"
		DefinedPensionBenefit,"36,200,000","38,100,000","52,800,000","53,700,000","54,400,000","52,600,000","57,300,000","57,300,000","60,200,000","57,700,000","46,800,000","42,100,000"
		OtherNonCurrentAssets,"15,300,000","17,100,000","31,700,000","29,500,000","28,900,000","34,700,000","40,700,000","34,700,000","34,700,000","38,600,000","53,600,000","22,100,000"
TotalLiabilitiesNetMinorityInterest,"4,343,400,000","4,400,600,000","4,355,900,000","4,447,500,000","4,475,700,000","4,388,900,000","4,391,600,000","4,479,200,000","4,525,000,000","5,425,300,000","5,458,900,000","5,314,900,000"
	CurrentLiabilities,"667,700,000","658,100,000","583,200,000","641,300,000","641,700,000","679,000,000","654,400,000","698,100,000","681,500,000","697,800,000","634,900,000","579,500,000"
		PayablesAndAccruedExpenses,"612,800,000","612,000,000","539,700,000","600,200,000","607,500,000","627,400,000","621,600,000","656,100,000","647,800,000","631,400,000","486,000,000","442,900,000"
			Payables,"409,500,000","423,200,000","345,900,000","394,200,000","419,600,000","443,200,000","431,400,000","463,000,000","457,600,000","421,000,000","363,200,000","333,400,000"
				AccountsPayable,"383,000,000","374,700,000","328,500,000","378,300,000","399,800,000","424,000,000","402,100,000","436,000,000","423,200,000","392,000,000","363,200,000","313,100,000"
				TotalTaxPayable,"26,500,000","48,500,000","17,400,000","15,900,000","19,800,000","19,200,000","29,300,000","27,000,000","34,400,000","29,000,000",,"20,300,000"
			CurrentAccruedExpenses,"203,300,000","188,800,000","193,800,000","206,000,000","187,900,000","184,200,000","190,200,000","193,100,000","190,200,000","210,400,000","122,800,000","109,500,000"
		CurrentDebtAndCapitalLeaseObligation,"54,900,000","46,100,000","43,500,000","41,100,000","34,200,000","51,600,000","32,800,000","42,000,000","33,700,000","66,400,000","33,300,000","47,000,000"
			CurrentDebt,"54,900,000","46,100,000","43,500,000","41,100,000","34,200,000","51,600,000","32,800,000","42,000,000","33,700,000","66,400,000","33,300,000","46,900,000"
				LineOfCredit,,,,,,,,,,,"600,000","300,000"
				OtherCurrentBorrowings,,,,,,,,,,,"32,700,000","46,600,000"
			CurrentCapitalLeaseObligation,,,,,,,,,,,,"100,000"
		OtherCurrentLiabilities,,,,,,,,,,,"115,600,000","89,600,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"3,675,700,000","3,742,500,000","3,772,700,000","3,806,200,000","3,834,000,000","3,709,900,000","3,737,200,000","3,781,100,000","3,843,500,000","4,727,500,000","4,824,000,000","4,735,400,000"
		LongTermDebtAndCapitalLeaseObligation,"3,013,700,000","3,028,500,000","3,019,100,000","3,047,400,000","3,037,400,000","2,953,400,000","2,962,700,000","2,970,400,000","3,013,600,000","3,889,300,000","3,882,800,000","3,791,300,000"
			LongTermDebt,"2,901,900,000","2,912,300,000","2,909,800,000","2,935,000,000","2,928,900,000","2,953,400,000","2,962,700,000","2,970,400,000","3,013,600,000","3,889,300,000","3,882,800,000","3,790,000,000"
			LongTermCapitalLeaseObligation,"111,800,000","116,200,000","109,300,000","112,400,000","108,500,000",,,,,,,"1,300,000"
		NonCurrentDeferredLiabilities,"322,700,000","369,300,000","360,800,000","386,000,000","409,500,000","439,500,000","468,300,000","475,300,000","509,500,000","517,100,000","629,200,000","652,300,000"
			NonCurrentDeferredTaxesLiabilities,"322,700,000","369,300,000","360,800,000","386,000,000","409,500,000","439,500,000","468,300,000","475,300,000","509,500,000","517,100,000","629,200,000","652,300,000"
		TradeandOtherPayablesNonCurrent,"104,800,000","108,800,000","155,300,000","148,800,000","152,700,000","81,900,000","79,000,000","106,400,000","87,700,000","100,600,000","83,800,000","95,000,000"
		EmployeeBenefits,"146,800,000","151,200,000","151,000,000","153,400,000","154,400,000","155,900,000","155,200,000","155,100,000","157,600,000","157,100,000","169,400,000","171,600,000"
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"146,800,000","151,200,000","151,000,000","153,400,000","154,400,000","155,900,000","155,200,000","155,100,000","157,600,000","157,100,000","169,400,000","171,600,000"
		OtherNonCurrentLiabilities,"87,700,000","84,700,000","86,500,000","70,600,000","80,000,000","79,200,000","72,000,000","73,900,000","75,100,000","63,400,000","58,800,000","25,200,000"
TotalEquityGrossMinorityInterest,"2,841,400,000","3,010,700,000","2,930,000,000","2,982,600,000","2,962,100,000","2,333,700,000","2,327,100,000","2,256,500,000","2,315,100,000","1,428,400,000","1,297,200,000","1,068,400,000"
	StockholdersEquity,"2,484,800,000","2,651,000,000","2,577,400,000","2,610,800,000","2,579,100,000","1,947,400,000","1,937,800,000","1,853,800,000","1,879,500,000","1,014,600,000","898,900,000","691,300,000"
		CapitalStock,"2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","2,500,000","0","0"
			CommonStock,"2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","2,500,000","0","0"
