name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
	NetIncome,"-925,217,000","-124,619,000","791,851,000","494,329,000","-431,049,000","-2,408,948,000","507,204,000","564,689,000","353,823,000","529,932,000","574,782,000","-311,943,000","-901,685,000","346,469,000","345,719,000","328,325,000","153,592,000","94,633,000","39,819,000"
		NetIncomeIncludingNoncontrollingInterests,"-925,217,000","-124,619,000","791,851,000","494,329,000","-431,049,000","-2,408,948,000","507,204,000","564,689,000","353,823,000","529,932,000","574,782,000","-311,943,000","-901,685,000","346,469,000","345,719,000","328,325,000","153,592,000","94,633,000","39,819,000"
			NetIncomeContinuousOperations,"-925,217,000","-124,619,000","791,851,000","494,329,000","-431,049,000","-2,408,948,000","507,204,000","564,689,000","353,823,000","529,932,000","574,782,000","-311,943,000","-901,685,000","346,469,000","345,719,000","328,325,000","153,592,000","93,028,000","39,819,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,"1,605,000",
	PreferredStockDividends,,"5,078,000",,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,,"1,519,000","11,087,000","8,551,000","0","0","9,906,000","11,091,000","6,753,000",,,,,,,,,,
AverageDilutionEarnings,,"0","3,000","3,000","0","0","15,000","15,000","21,000",,,,,,,,,,
DilutedNIAvailtoComStockholders,"-930,100,000","-131,216,000","780,767,000","485,781,000","-431,049,000","-2,408,948,000","497,313,000","553,613,000","347,091,000","529,932,000","574,782,000","-311,943,000","-901,685,000","346,469,000","345,719,000","328,325,000","153,592,000","94,633,000","39,819,000"
BasicEPS,,,"8.32","5.19","-4.62","-25.92","5.79","6.48","4.08","6.17","6.74","-3.82","-11.07","4.23","4.21","5.07","3.7","2.28","1.32"
DilutedEPS,,,"8.32","5.19","-4.62","-25.92","5.78","6.47","4.07","6.15","6.7","-3.82","-11.07","4.09","4.11","4.9","3.59","2.22","1.31"
BasicAverageShares,,,"93,793,000","93,466,000","93,379,000","92,992,000","85,679,000","85,288,000","84,757,000","83,755,000","83,335,000","81,815,000","81,478,000","81,819,000","82,066,000","64,761,000","41,466,000","41,521,000","30,239,000"
DilutedAverageShares,,,"93,820,000","93,509,000","93,379,000","92,992,000","85,810,000","85,409,000","85,034,000","84,153,000","83,787,000","81,815,000","81,478,000","84,632,000","84,090,000","67,000,000","42,763,000","42,640,000","30,317,000"
TotalOperatingIncomeAsReported,"-945,096,000","-115,326,000","1,046,968,000","750,714,000","-606,947,000","-3,740,803,000","813,934,000","895,638,000","571,043,000","838,277,000","911,361,000","-455,822,000","-1,440,968,000","541,753,000","500,519,000","522,134,000","246,432,000","149,122,000","61,756,000"
TotalExpenses,"1,802,689,000","1,782,752,000","1,378,008,000","1,188,745,000","1,089,401,000","1,487,785,000","1,614,004,000","1,102,204,000","1,053,140,000","919,671,000","702,322,000","662,166,000","1,159,598,000","894,512,000","759,607,000","519,266,000","427,256,000","303,570,000","147,895,000"
InterestIncome,,,,,,,,,,,,"23,408,000","22,108,000",,,,,,
InterestExpense,"35,490,000","37,154,000","47,369,000","51,873,000","62,024,000","55,157,000","36,940,000","23,456,000","14,143,000","6,554,000","7,398,000","39,777,000","9,956,000",,,,,,
NetInterestIncome,"-35,490,000","-37,154,000","-47,369,000","-51,873,000","-62,024,000","-55,157,000","-36,940,000","-23,456,000","-14,143,000","-6,554,000","-7,398,000","-16,369,000","-9,956,000",,,,,,
NetIncomeFromContinuingAndDiscontinuedOperation,"-925,217,000","-124,619,000","791,851,000","494,329,000","-431,049,000","-2,408,948,000","507,204,000","564,689,000","353,823,000","529,932,000","574,782,000","-311,943,000","-901,685,000","346,469,000","345,719,000","328,325,000","153,592,000","93,028,000","39,819,000"
