name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003
TotalAssets,"12,354,070,000","12,779,956,000","12,411,690,000","12,704,236,000","12,665,910,000","11,393,402,000","11,585,336,000","11,548,631,000","9,636,178,000","9,366,872,000","8,863,938,000","8,430,942,000","8,122,246,000","8,303,199,000","8,203,952,000","8,185,944,000","7,356,857,000","5,647,837,000","5,704,032,000","5,634,542,000","5,522,466,000","5,573,492,000","5,534,578,000","5,498,845,000","5,209,828,000","4,518,774,000","4,361,059,000","4,218,315,000","3,722,699,000","3,723,456,000","3,502,575,000","3,425,409,000","3,260,001,000","3,199,704,000","2,538,012,000","2,417,714,000","2,355,379,000","2,299,509,000","2,205,449,000","2,130,742,000","2,109,297,000","2,020,121,000","1,993,983,000","1,950,592,000","1,909,251,000","1,881,804,000","1,848,171,000","1,779,610,000","1,743,015,000","1,692,655,000","906,013,000","646,069,000","607,799,000","564,355,000","555,171,000","537,392,000","498,636,000","439,426,000","336,735,000","321,766,000","312,659,000","288,275,109","263,251,078","264,060,796","251,422,544","203,153,908","185,047,729"
	CurrentAssets,"4,442,664,000","4,687,819,000","4,483,858,000","4,631,849,000","4,644,770,000","4,520,949,000","4,593,060,000","4,593,606,000","4,039,143,000","3,822,134,000","3,668,373,000","3,500,735,000","3,318,126,000","3,567,594,000","3,295,541,000","3,298,428,000","2,993,887,000","2,340,712,000","2,387,143,000","2,372,621,000","2,337,179,000","2,317,417,000","2,345,538,000","2,240,726,000","2,093,481,000","1,799,817,000","1,675,651,000","1,658,490,000","1,399,562,000","1,384,351,000","1,296,349,000","1,253,007,000","1,174,278,000","1,149,735,000","936,590,000","890,376,000","852,117,000","836,876,000","821,500,000","800,533,000","782,770,000","702,868,000","714,896,000","662,098,000","627,238,000","608,918,000","596,394,000","605,052,000","579,966,000","553,292,000","455,422,000","226,396,000","208,343,000","183,814,000","186,979,000","185,822,000","179,686,000","151,337,000","123,174,000","119,313,000","117,891,000","107,441,801","96,844,695","100,034,445","98,034,626","95,705,435","80,220,090"
		CashCashEquivalentsAndShortTermInvestments,"332,784,000","523,020,000","433,391,000","375,967,000","316,066,000","331,761,000","341,346,000","345,202,000","245,679,000","279,766,000","275,077,000","303,544,000","264,614,000","227,400,000","271,851,000","273,203,000","229,220,000","87,397,000","137,086,000","143,423,000","175,492,000","114,605,000","244,646,000","109,564,000","113,246,000","150,488,000","107,337,000","161,590,000","62,997,000","59,770,000","69,214,000","59,353,000","55,169,000","48,247,000","45,112,000","42,256,000","64,517,000","95,689,000","168,678,000","190,477,000","193,536,000","108,906,000","166,005,000","129,468,000","92,810,000","79,067,000","97,689,000","104,062,000","85,410,000","74,241,000","225,340,000","8,854,000","5,881,000","4,031,000","6,356,000","4,207,000","3,545,000","3,173,000","3,838,000","2,315,000","3,730,000","1,611,696","3,082,635","1,962,736","3,681,941","16,081,525","1,519,625"
			CashAndCashEquivalents,"332,784,000","523,020,000","433,391,000","375,967,000","316,066,000","331,761,000","341,346,000","345,202,000","245,679,000","279,766,000","275,077,000","303,544,000","264,614,000","227,400,000","271,851,000","273,203,000","229,220,000","87,397,000","137,086,000","143,423,000","175,492,000","114,605,000","244,646,000","109,564,000","113,246,000","150,488,000","107,337,000","161,590,000","62,997,000","59,770,000","69,214,000","59,353,000","55,169,000","48,247,000","45,112,000","42,256,000","64,517,000","95,689,000","168,678,000","190,477,000","193,536,000","108,906,000","166,005,000","129,468,000","92,810,000","79,067,000","97,689,000","104,062,000","85,410,000","74,241,000","225,340,000","8,854,000","5,881,000","4,031,000","6,356,000","4,207,000","3,545,000","3,173,000","3,838,000","2,315,000","3,730,000","1,611,696","3,082,635","1,962,736","3,681,941","16,081,525","1,519,625"
		Receivables,"1,168,626,000","1,131,132,000","1,223,197,000","1,285,802,000","1,353,491,000","1,154,083,000","1,255,876,000","1,301,514,000","1,211,788,000","1,027,106,000","1,021,728,000","1,001,246,000","973,670,000","860,549,000","959,321,000","995,153,000","882,582,000","590,160,000","626,780,000","651,271,000","645,037,000","601,422,000","609,434,000","624,300,000","577,212,000","458,094,000","438,800,000","413,215,000","357,580,000","311,808,000","301,891,000","309,454,000","310,552,000","281,764,000","231,147,000","236,628,000","222,581,000","191,085,000","167,181,000","155,339,000","156,337,000","152,443,000","127,434,000","138,813,000","138,923,000","148,422,000","136,553,000","137,564,000","133,894,000","125,572,000","60,920,000","54,143,000","57,668,000","49,254,000","45,769,000","46,534,000","47,081,000","39,500,000","30,818,000","31,633,000","30,284,000","28,304,776","26,410,518","26,073,403","25,034,384","22,542,049","21,036,568"
			AccountsReceivable,"1,168,626,000","1,131,132,000","1,223,197,000","1,285,802,000","1,353,491,000","1,154,083,000","1,255,876,000","1,301,514,000","1,211,788,000","1,027,106,000","1,021,728,000","1,001,246,000","973,670,000","860,549,000","959,321,000","995,153,000","882,582,000","590,160,000","626,780,000","651,271,000","645,037,000","601,422,000","609,434,000","624,300,000","577,212,000","458,094,000","438,800,000","413,215,000","357,580,000","311,808,000",,,,,,,,,,,,,,,,"148,422,000","136,553,000","137,564,000","133,894,000","125,572,000","60,920,000","54,143,000","57,668,000","49,254,000","45,769,000","46,534,000","47,081,000","39,500,000","30,818,000","31,633,000","30,284,000","28,304,776","26,410,518","26,073,403","25,034,384","22,542,049","21,036,568"
				GrossAccountsReceivable,,"1,184,132,000","1,273,197,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-53,000,000","-50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"2,718,630,000","2,772,777,000","2,582,188,000","2,650,138,000","2,692,006,000","2,836,075,000","2,794,894,000","2,718,158,000","2,401,309,000","2,380,783,000","2,236,376,000","2,063,462,000","1,978,465,000","1,935,237,000","1,912,568,000","1,890,536,000","1,782,797,000","1,556,552,000","1,464,627,000","1,402,399,000","1,358,056,000","1,433,847,000","1,341,325,000","1,346,723,000","1,255,804,000","1,076,952,000","1,018,169,000","972,926,000","883,443,000","900,803,000","826,354,000","798,807,000","736,641,000","736,846,000","605,665,000","556,541,000","514,894,000","492,688,000","444,617,000","412,507,000","390,950,000","385,686,000","361,095,000","353,024,000","359,772,000","332,756,000","331,028,000","333,476,000","331,427,000","320,238,000","156,223,000","156,557,000","139,095,000","124,541,000","126,895,000","130,138,000","123,991,000","103,655,000","84,610,000","81,446,000","80,040,000","74,150,400","64,657,402","68,090,539","66,043,173","54,003,694","53,681,119"
			RawMaterials,,"26,974,000","26,068,000","26,686,000","24,862,000","23,418,000","22,357,000","19,711,000","16,124,000","16,022,000",,,,,"74,899,000","70,313,000",,,,,,,,,,,,,,,,,,,"7,842,000","5,840,000","6,821,000",,"6,993,000","5,940,000","6,598,000",,"7,285,000","6,389,000","7,337,000",,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,,"2,745,803,000","2,556,120,000","2,623,452,000","2,667,144,000","2,812,657,000","2,772,537,000","2,698,447,000","2,385,185,000","2,364,761,000","2,236,376,000","2,063,462,000","1,978,465,000","1,935,237,000","1,837,669,000","1,820,223,000","1,782,797,000","1,556,552,000","1,464,627,000","1,402,399,000","1,358,056,000","1,433,847,000","1,341,325,000","1,346,723,000","1,255,804,000","1,076,952,000","1,018,169,000","972,926,000","883,443,000","900,803,000","826,354,000","798,807,000","736,641,000","736,846,000","597,823,000","550,701,000","508,073,000",,"437,624,000","406,567,000","384,352,000",,"353,810,000","346,635,000","352,435,000",,,,,,,,,,,,,,,,,,,,,,
			OtherInventories,,,"26,068,000","26,686,000","24,862,000","23,418,000","22,357,000","19,711,000","16,124,000","16,022,000",,,,,"74,899,000","70,313,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"222,624,000","260,890,000","245,082,000","319,942,000","283,207,000","199,030,000","200,944,000","228,732,000","180,367,000","134,479,000","135,192,000","132,483,000","101,377,000","87,768,000","151,801,000","139,536,000","99,288,000","106,603,000","81,249,000","97,560,000","80,254,000","85,799,000","76,136,000","86,047,000","73,397,000","50,345,000","58,216,000","57,431,000","42,680,000","58,485,000","51,583,000","38,797,000","26,659,000","37,188,000","19,482,000","19,912,000","15,990,000","24,908,000","11,100,000","12,183,000","12,074,000","14,266,000","16,033,000","20,080,000","15,546,000","29,029,000","13,102,000","8,586,000","9,504,000","14,432,000","10,598,000","3,670,000","2,776,000","3,369,000","5,857,000","2,697,000","2,358,000","2,437,000","3,441,000","3,452,000","3,370,000","2,265,829","1,435,040","2,711,867","2,134,128","2,656,567","3,593,878"
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"450,000","450,000","467,000","467,000","467,000",,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,"77,401,000","77,968,000","78,340,000","81,744,000","73,997,000","74,092,000","73,822,000","63,938,000","53,129,000","53,328,000","52,862,000","53,485,000","47,307,000","46,596,000","45,257,000","45,690,000","35,184,000","35,039,000","34,135,000","32,506,000","29,924,000","30,027,000","29,873,000","31,847,000","19,732,000","20,713,000","20,187,000","19,644,000","18,022,000","21,364,000","19,731,000","18,809,000","2,341,000","3,172,000","2,923,000","2,619,000","2,102,000","2,246,000","2,261,000","2,122,000",,,,"1,109,100","1,259,100","1,195,900","1,141,000","421,600","388,900"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,"77,401,000","77,968,000","78,340,000","81,744,000","73,997,000","74,092,000","73,822,000","63,938,000","53,129,000","53,328,000","52,862,000","53,485,000","47,307,000","46,596,000","45,257,000","45,690,000","35,184,000","35,039,000","34,135,000","32,506,000","29,924,000","30,027,000","29,873,000","31,847,000","19,732,000","20,713,000","20,187,000","19,644,000","18,022,000","21,364,000","19,731,000","18,809,000","2,341,000","3,172,000","2,923,000","2,619,000","2,102,000","2,246,000","2,261,000","2,122,000",,,,"1,109,100","1,259,100","1,195,900","1,141,000","421,600","388,900"
		AssetsHeldForSaleCurrent,,,,,,,,,,"0","0","0","0","456,640,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,720,000","24,597,000",,,,,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"7,911,406,000","8,092,137,000","7,927,832,000","8,072,387,000","8,021,140,000","6,872,453,000","6,992,276,000","6,955,025,000","5,597,035,000","5,544,738,000","5,195,565,000","4,930,207,000","4,804,120,000","4,735,605,000","4,908,411,000","4,887,516,000","4,362,970,000","3,307,125,000","3,316,889,000","3,261,921,000","3,185,287,000","3,256,075,000","3,189,040,000","3,258,119,000","3,116,347,000","2,718,957,000","2,685,408,000","2,559,825,000","2,323,137,000","2,339,105,000","2,206,226,000","2,172,402,000","2,085,723,000","2,049,969,000","1,601,422,000","1,527,338,000","1,503,262,000","1,462,633,000","1,383,949,000","1,330,209,000","1,326,527,000","1,317,253,000","1,279,087,000","1,288,494,000","1,282,013,000","1,272,886,000","1,251,777,000","1,174,558,000","1,163,049,000","1,139,363,000","450,591,000","419,673,000","399,456,000","380,541,000","368,192,000","351,570,000","318,950,000","288,089,000","213,561,000","202,453,000","194,768,000","180,833,308","166,406,383","164,026,351","153,387,918","107,448,473","104,827,639"
		NetPPE,"2,471,609,000","2,542,911,000","2,487,448,000","2,501,231,000","2,485,918,000","1,220,162,000","1,201,003,000","1,188,464,000","929,756,000","913,089,000","867,972,000","841,608,000","809,208,000","811,576,000","1,023,707,000","1,055,046,000","758,641,000","696,567,000","652,780,000","650,053,000","621,571,000","629,987,000","612,292,000","621,600,000","593,867,000","546,651,000","531,897,000","515,353,000","492,479,000","494,379,000","453,272,000","443,565,000","430,777,000","424,098,000","371,160,000","358,443,000","342,181,000","331,312,000","306,820,000","293,493,000","292,425,000","289,902,000","259,453,000","261,970,000","258,440,000","258,956,000","241,093,000","230,363,000","224,292,000","217,059,000","151,224,000","140,557,000","132,373,000","127,084,000","118,305,000","113,216,000","106,839,000","97,218,000","77,696,000","74,323,000","72,135,000","70,730,186","66,703,911","63,424,866","53,898,301","43,892,930","41,665,672"
			GrossPPE,"2,471,609,000","3,350,591,000","2,487,448,000","2,501,231,000","2,485,918,000","1,905,913,000","1,892,089,000","1,850,283,000",,"1,519,201,000",,,,"1,307,220,000",,"1,540,638,000",,"1,134,513,000",,,,"1,004,278,000",,,,"840,834,000",,,,"725,509,000",,,,"604,048,000",,,,"473,713,000",,,,"397,861,000",,,,"336,496,000","295,001,000","284,271,000","278,200,000","270,967,000","194,293,000","183,626,000","175,442,000","170,153,000","153,434,000","148,345,000","141,968,000","132,347,000","103,999,000","100,626,000","98,438,000","97,033,463","87,746,163","84,467,118","74,940,553","64,935,182","57,824,285"
				Properties,,"0",,,,"0","0","0",,"0",,,,"0",,"0",,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",
				LandAndImprovements,,"194,437,000",,,,"177,998,000","189,404,000","187,210,000",,"137,790,000",,,,"127,211,000",,"135,171,000",,"118,420,000",,,,"112,582,000",,,,"101,018,000",,,,"87,720,000",,,,"81,170,000",,,,"71,931,000",,,,"63,601,000",,,,"49,955,000",,,,"40,397,000",,,,"31,521,000",,,,"28,145,000",,,,"20,763,083",,,,"9,166,380",
				BuildingsAndImprovements,,"384,918,000",,,,"378,490,000","373,607,000","367,550,000",,"233,078,000",,,,"209,773,000",,"253,389,000",,"183,480,000",,,,"173,366,000",,,,"143,535,000",,,,"133,368,000",,,,"119,414,000",,,,"103,198,000",,,,"87,083,000",,,,"103,770,000",,,,"88,463,000",,,,"55,401,000",,,,"44,878,000",,,,"33,559,686",,,,"23,434,955",
				MachineryFurnitureEquipment,,"1,042,127,000",,,,"1,005,267,000","991,301,000","966,741,000",,"848,342,000",,,,"716,430,000",,"858,426,000",,"611,209,000",,,,"550,957,000",,,,"455,667,000",,,,"386,340,000",,,,"312,534,000",,,,"235,755,000",,,,"195,507,000",,,,"169,430,000",,,,"122,888,000",,,,"72,963,000",,,,"54,134,000",,,,"40,294,277",,,,"24,761,150",
				OtherProperties,"2,471,609,000","1,380,235,000","2,487,448,000","2,501,231,000","2,485,918,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,271,280",
				ConstructionInProgress,,"53,340,000",,,,"65,471,000","54,174,000","49,523,000",,"42,485,000",,,,"101,450,000",,"143,566,000",,"80,672,000",,,,"38,064,000",,,,"31,989,000",,,,"26,801,000",,,,"21,851,000",,,,"20,890,000",,,,"14,062,000",,,,"13,341,000",,,,"19,219,000",,,,"10,268,000",,,,"5,190,000",,,,"2,416,417",,,,"2,301,417",
				Leases,,"295,534,000",,,,"278,687,000","283,603,000","279,259,000",,"257,506,000",,,,"152,356,000",,"150,086,000",,"140,732,000",,,,"129,309,000",,,,"108,625,000",,,,"91,280,000",,,,"69,079,000",,,,"41,939,000",,,,"37,608,000",,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,,"-807,680,000",,,,"-685,751,000","-691,086,000","-661,819,000",,"-606,112,000",,,,"-495,644,000",,"-485,592,000",,"-437,946,000",,,,"-374,291,000",,,,"-294,183,000",,,,"-231,130,000",,,,"-179,950,000",,,,"-142,401,000",,,,"-107,959,000",,,,"-77,540,000","-53,908,000","-53,908,000","-53,908,000","-53,908,000","-43,069,000","-43,069,000","-43,069,000","-43,069,000","-35,129,000","-35,129,000","-35,129,000","-35,129,000","-26,303,000","-26,303,000","-26,303,000","-26,303,277","-21,042,252","-21,042,252","-21,042,252","-21,042,252","-16,158,613"
		GoodwillAndOtherIntangibleAssets,"5,154,060,000","5,256,873,000","5,147,094,000","5,290,048,000","5,243,915,000","5,310,210,000","5,428,638,000","5,395,007,000","4,313,002,000","4,280,280,000","3,994,787,000","3,786,946,000","3,697,295,000","3,639,000,000","3,736,396,000","3,689,848,000","3,523,023,000","2,534,363,000","2,567,724,000","2,515,098,000","2,466,895,000","2,534,420,000","2,478,202,000","2,539,372,000","2,426,607,000","2,091,183,000","2,075,345,000","1,974,899,000","1,776,473,000","1,796,999,000","1,706,633,000","1,684,182,000","1,607,588,000","1,584,973,000","1,192,238,000","1,131,723,000","1,125,278,000","1,102,275,000","1,055,297,000","1,015,789,000","1,012,043,000","1,006,022,000","998,647,000","1,006,154,000","1,004,653,000","994,957,000","982,394,000","917,102,000","917,483,000","900,832,000","282,153,000","263,573,000","256,965,000","246,300,000","242,852,000","229,836,000","203,143,000","181,880,000","126,143,000","118,327,000","112,746,000","100,364,047","88,911,689","88,845,798","86,745,925","50,846,271","50,813,695"
			Goodwill,"4,334,725,000","4,406,535,000","4,309,822,000","4,409,925,000","4,354,306,000","4,381,458,000","4,475,266,000","4,421,976,000","3,572,198,000","3,536,511,000","3,392,363,000","3,191,613,000","3,120,844,000","3,054,769,000","3,117,150,000","3,059,488,000","3,075,293,000","2,319,246,000","2,348,092,000","2,286,518,000","2,235,043,000","2,288,895,000","2,257,153,000","2,308,943,000","2,197,255,000","1,937,444,000","1,920,916,000","1,826,128,000","1,674,844,000","1,690,284,000","1,597,936,000","1,578,605,000","1,499,382,000","1,476,063,000","1,121,754,000","1,063,507,000","1,057,406,000","1,032,973,000","990,589,000","950,621,000","945,838,000","938,783,000","930,552,000","937,023,000","934,486,000","923,807,000","910,200,000","843,865,000","843,558,000","825,881,000",,,,"246,232,000","242,779,000","229,758,000","203,060,000",,,,,,,,,,
			OtherIntangibleAssets,"819,335,000","850,338,000","837,272,000","880,123,000","889,609,000","928,752,000","953,372,000","973,031,000","740,804,000","743,769,000","602,424,000","595,333,000","576,451,000","584,231,000","619,246,000","630,360,000","447,730,000","215,117,000","219,632,000","228,580,000","231,852,000","245,525,000","221,049,000","230,429,000","229,352,000","153,739,000","154,429,000","148,771,000","101,629,000","106,715,000","108,697,000","105,577,000","108,206,000","108,910,000","70,484,000","68,216,000","67,872,000","69,302,000","64,708,000","65,168,000","66,205,000","67,239,000","68,095,000","69,131,000","70,167,000","71,150,000","72,194,000","73,237,000","73,925,000","74,951,000","282,153,000","263,573,000","256,965,000","68,000","73,000","78,000","83,000","181,880,000","126,143,000","118,327,000","112,746,000","100,364,047","88,911,689","88,845,798","86,745,925","50,846,271","50,813,695"
		InvestmentsAndAdvances,"145,859,000","139,243,000","144,009,000","133,154,000","134,234,000","179,169,000","157,409,000","202,653,000","208,210,000","208,404,000","199,246,000","181,996,000","185,262,000","183,467,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"145,859,000","139,243,000","144,009,000","133,154,000","134,234,000","179,169,000","157,409,000","202,653,000","208,210,000","208,404,000","199,246,000","181,996,000","185,262,000","183,467,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,391,000","1,550,000","2,146,000","3,256,000","3,501,000","4,145,000","4,621,500","5,821,300","6,374,200","7,634,800","8,555,700","10,306,900"
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,391,000","1,550,000","2,146,000","3,256,000","3,501,000","4,145,000","4,621,500","5,821,300","6,374,200","7,634,800","8,555,700","10,306,900"
