name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalRevenue,"612,786,000","618,542,000","597,985,000","528,027,000","450,384,000","413,216,000","384,612,000","385,238,000","352,644,000","364,582,000","330,157,000","361,346,000","314,054,000","337,008,000","300,747,000","262,868,000","231,081,000","150,112,000","120,312,000","107,978,000","103,153,000","84,500,000","74,200,000","67,900,000","52,800,000","51,100,000","47,400,000","42,900,000","41,800,000","36,500,000","32,500,000",
	NetInterestIncome,"571,901,000","574,906,000","565,899,000","495,709,000","417,870,000","379,742,000","342,781,000","324,696,000","321,253,000","313,690,000","297,906,000","282,692,000","295,147,000","309,521,000","279,283,000","240,382,000","214,817,000","127,119,000","104,141,000","93,199,000","90,397,000","75,600,000","66,100,000","61,100,000","46,900,000","44,900,000","41,600,000","36,900,000","34,900,000","31,700,000","29,100,000",
		InterestIncome,"768,242,000","769,267,000","687,955,000","576,151,000","499,070,000","453,706,000","418,647,000","406,996,000","429,744,000","453,571,000","489,594,000","528,731,000","589,951,000","615,271,000","491,518,000","350,661,000","274,979,000","167,267,000","144,061,000","159,352,000","164,553,000","133,000,000","123,300,000","112,000,000","86,100,000","76,200,000","61,600,000","55,600,000","57,700,000","63,300,000","62,000,000",
			InterestIncomeFromLoansAndLease,"729,212,000","729,619,000","652,480,000","549,291,000","473,782,000","427,621,000","390,440,000","359,959,000","360,643,000","364,757,000","380,899,000","401,980,000","452,216,000","480,769,000","419,454,000","285,108,000","200,109,000","124,031,000","107,693,000","120,591,000","126,337,000","93,800,000","82,900,000","74,000,000","55,900,000","56,800,000","50,100,000","47,200,000","49,800,000","55,000,000","54,500,000",
				InterestIncomeFromLoans,"729,212,000","729,619,000","652,480,000","549,291,000","473,782,000","427,621,000","390,440,000","359,959,000","360,643,000","364,757,000","380,899,000","401,980,000","452,216,000","480,769,000","419,454,000","285,108,000","200,109,000","124,031,000","107,693,000","120,591,000","126,337,000","93,800,000","82,900,000","74,000,000","55,900,000","56,800,000","50,100,000","47,200,000","49,800,000","55,000,000","54,500,000",
			InterestIncomeFromSecurities,"34,565,000","34,244,000","30,266,000","22,329,000","23,525,000","24,687,000","26,211,000","45,887,000","67,041,000","87,301,000","107,422,000","124,727,000","117,140,000","102,670,000","68,801,000","64,948,000","74,615,000","42,767,000","35,523,000","37,389,000","37,490,000","37,400,000","36,500,000","35,500,000","28,700,000","18,000,000","10,700,000","7,900,000","7,700,000","7,700,000","7,000,000",
			InterestIncomeFromDeposits,"4,465,000","5,404,000","5,209,000","4,421,000","1,763,000","1,398,000","1,996,000","1,150,000","2,042,000","1,430,000","1,259,000","673,000","656,000","4,489,000","380,000","368,000","151,000","53,000","32,000","56,000","40,000",,,,,,,,,,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,"0","0","110,000",,,"0","0","18,000","83,000","14,000","1,351,000","18,318,000","26,657,000","1,789,000","237,000","104,000","416,000","813,000","1,316,000","686,000","1,900,000","3,900,000","2,400,000","1,500,000","1,400,000","800,000","500,000","200,000","600,000","500,000",
			OtherInterestIncome,,,,,,,,,,,,,"1,621,000","686,000","1,094,000",,,,,,,"-100,000",,"100,000",,,,,,,,
		InterestExpense,"196,341,000","194,361,000","122,056,000","80,442,000","81,200,000","73,964,000","75,866,000","82,300,000","108,491,000","139,881,000","191,688,000","246,039,000","294,804,000","305,750,000","212,235,000","110,279,000","60,162,000","40,148,000","39,920,000","66,153,000","74,156,000","57,400,000","57,200,000","50,900,000","39,200,000","31,300,000","20,000,000","18,700,000","22,800,000","31,600,000","32,900,000",
