name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
MarketCap,"3,240,208,736","5,382,368,199","4,527,466,503","7,623,455,224","8,152,277,532","11,531,309,011","11,149,959,327","6,988,736,439","3,520,026,671","2,124,148,179","2,432,764,171","2,294,059,917","1,191,874,092","2,587,466,427"
EnterpriseValue,"7,168,481,736","9,406,861,199","8,512,797,503","11,219,316,224","11,830,554,532","14,026,075,011","13,225,629,327","8,278,239,439","4,994,782,671","4,290,997,179","4,520,506,171","4,214,032,917","3,362,813,092","4,748,057,427"
PeRatio,"6.65","9.281","417.667","12.907","16.721","29.954","32.733","18.941","15.44","8.506","11.759","44.648","9.515","20.9"
ForwardPeRatio,"11.588","8.439","7.057","10","9.94","15.504","17.422","14.706","11.312","7.008","9.39",,,
PegRatio,"1.284","0.987","1.769","1.155","0.731","0.843","1.11","1.226","0.943","0.519","2.683",,,
PsRatio,"0.506","0.777","0.684","1.221","1.428","2.048","2.235","1.588","0.794","0.465","0.574","0.593","0.286","0.587"
PbRatio,"3.709","4.375","5.2","6.116","6.884","9.223","7.613","6.066","3.969","2.841","4.324","6.854","6.437","8.956"
EnterprisesValueRevenueRatio,"1.071","1.35","1.251","1.734","1.963","2.447","2.484","1.789","1.104","0.925","1.045","1.083","0.791","1.061"
EnterprisesValueEBITDARatio,"8.293","9.607","8.746","13.449","14.304","20.158","20.052","14.065","10.135","7.541","9.21","9.998","6.878","8.323"
