name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalRevenue,"82,220,000,000","74,639,000,000","60,116,000,000","48,382,000,000","40,607,000,000","22,760,000,000","16,560,000,000","10,863,329,000","8,667,612,000","5,340,582,000","4,448,323,000","4,102,864,000","3,364,515,000","2,919,292,000","2,279,020,000","1,505,864,000","1,000,940,000","769,730,000","461,487,000","326,569,000","221,350,000","201,429,000"
	OperatingRevenue,"77,698,000,000","70,364,000,000","56,435,000,000","45,620,000,000","37,579,000,000","21,265,000,000","15,667,000,000","10,526,040,000","8,238,947,000","5,181,007,000","4,283,833,000","4,102,864,000","3,364,515,000","2,919,292,000","2,279,020,000","1,505,864,000","1,000,940,000","774,890,000","471,062,000","326,569,000","4,936,000","201,429,000"
	ExciseTaxes,"4,522,000,000","4,275,000,000","3,681,000,000","2,762,000,000","3,028,000,000","1,495,000,000","893,000,000","337,289,000","428,665,000",,,"224,581,000",,,,,,,,,,
CostOfRevenue,"72,926,000,000","65,796,000,000","52,404,000,000","42,581,000,000","35,524,000,000","20,229,000,000","14,782,000,000","9,654,775,000","7,962,096,000","4,402,860,000","3,578,313,000","3,224,312,000","2,697,255,000","2,385,940,000","1,880,546,000","1,232,760,000","808,541,000","8,323,000","379,468,000","270,151,000",,"0"
GrossProfit,"9,294,000,000","8,843,000,000","7,712,000,000","5,801,000,000","5,083,000,000","2,531,000,000","1,778,000,000","1,208,554,000","705,516,000","937,722,000","870,010,000","878,552,000","667,260,000","533,352,000","398,474,000","273,104,000","192,399,000","761,407,000","82,019,000","56,418,000",,"201,429,000"
OperatingExpense,"7,667,000,000","6,791,000,000","6,254,000,000","4,602,000,000","3,823,000,000","1,826,000,000","1,314,000,000","931,137,000","704,604,000","747,398,000","712,941,000","740,417,000","535,699,000","479,259,000","427,382,000","193,913,000","127,863,000","714,480,000","429,881,000","308,097,000","214,830,000","208,041,000"
	SellingGeneralAndAdministration,"7,308,000,000","6,533,000,000","6,043,000,000","4,446,000,000","3,676,000,000","1,826,000,000","1,314,000,000","931,137,000","704,604,000","587,004,000","547,823,000","514,529,000","444,733,000","399,687,000","346,284,000","193,913,000","127,863,000","88,288,000","50,413,000","37,946,000","32,335,000","29,756,000"
		GeneralAndAdministrativeExpense,,,,,,"1,826,000,000","1,314,000,000","931,137,000","704,604,000",,,,,,,,,"88,288,000",,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,"88,288,000",,,,
			OtherGandA,,,,,,"1,826,000,000","1,314,000,000","931,137,000","704,604,000",,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"359,000,000","258,000,000","211,000,000","156,000,000","147,000,000",,,,,,,,,,,,,"6,448,000","2,565,000","1,847,000",,
		DepreciationAndAmortizationInIncomeStatement,"359,000,000","258,000,000","211,000,000","156,000,000","147,000,000",,,,,,,,,,,,,,,,,
			Amortization,"359,000,000","258,000,000","211,000,000","156,000,000","147,000,000",,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"359,000,000","258,000,000","211,000,000","156,000,000","147,000,000",,,,,,,,,,,,,,,,,
	OtherTaxes,,,,,,,,,,"160,394,000","165,118,000",,"90,966,000",,,,,"-722,803,000","-429,881,000",,,
	OtherOperatingExpenses,,,,,,,,,,,,"225,888,000","90,966,000","79,572,000","81,098,000",,,"1,342,547,000","806,784,000","268,304,000","182,495,000","178,285,000"
OperatingIncome,"1,627,000,000","2,052,000,000","1,458,000,000","1,199,000,000","1,260,000,000","705,000,000","464,000,000","277,417,000","912,000","190,324,000","157,069,000","138,135,000","131,561,000","54,093,000","-28,908,000","79,191,000","64,536,000","46,927,000","-347,862,000","-251,679,000","6,520,000","-6,612,000"
NetNonOperatingInterestIncomeExpense,"-493,000,000","-412,000,000","-343,000,000","-255,000,000","-217,000,000","-43,000,000","-35,000,000","-26,957,000","-20,460,000","-20,320,000","-17,992,000","-16,318,000","-16,673,000","-15,626,000","-10,636,000","-3,990,000","-680,000",,,,,
	InterestExpenseNonOperating,"493,000,000","412,000,000","343,000,000","255,000,000","217,000,000","43,000,000","35,000,000","26,957,000","20,460,000","20,320,000","17,992,000","16,318,000","16,673,000","15,626,000","10,636,000","3,990,000","680,000",,,,,
OtherIncomeExpense,"94,000,000","142,000,000","253,000,000","190,000,000","114,000,000","35,000,000","28,000,000","18,457,000","7,924,000","4,881,000","15,205,000","15,691,000","21,728,000","25,169,000","17,892,000","10,655,000","6,431,000","5,160,000","9,575,000","3,916,000","1,276,000",
	GainOnSaleOfSecurity,"511,000,000","443,000,000","253,000,000","190,000,000","114,000,000","27,000,000","28,000,000","18,457,000","35,957,000","13,369,000","15,205,000",,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,"8,000,000",,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-417,000,000","-301,000,000",,,,,"0","0","-28,033,000","-8,488,000","15,205,000","15,691,000","21,728,000","25,169,000","17,892,000","10,655,000","6,431,000","5,160,000","9,575,000","3,916,000","1,276,000",
		ImpairmentOfCapitalAssets,"343,000,000","271,000,000",,,,,"0","0","28,033,000",,,,,,,,,,,,,
		OtherSpecialCharges,,"30,000,000",,,,,,,,"8,488,000",,,,,,,,,,,,
