name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalRevenue,"3,869,078,000","3,677,843,000","3,543,917,000","3,254,833,000","3,056,716,000","2,592,556,000","2,190,633,000","1,833,879,000","1,193,674,000","861,244,000","941,656,000","970,313,000","1,523,068,000","2,343,594,000","3,461,320,000","3,001,102,000","2,040,004,000","1,471,001,000","1,119,817,000","744,174,000","520,467,000","341,786,181","255,984,499","149,629,548","2,200,000","3,600,000","2,100,000","500,000","60,900,000","96,900,000","42,900,000","41,400,000"
	OperatingRevenue,"3,869,078,000","3,677,843,000","3,543,917,000","3,254,833,000","3,056,716,000","2,592,556,000","2,190,633,000","1,833,879,000","1,193,674,000","861,244,000","941,656,000","970,313,000","1,523,068,000","2,343,594,000","3,461,320,000","3,001,102,000","2,040,004,000","1,471,001,000","1,119,817,000","744,174,000","520,467,000","341,786,181","255,984,499","149,629,548","2,200,000","3,600,000","2,100,000","500,000","60,900,000","96,900,000","42,900,000","41,400,000"
CostOfRevenue,"3,108,833,000","2,977,649,000","2,890,720,000","2,666,279,000","2,503,602,000","2,084,576,000","1,721,838,000","1,421,507,000","975,475,000","720,136,000","773,960,000","966,262,000","1,559,983,000","2,330,548,000","2,748,690,000","2,294,112,000","1,631,534,000","1,271,388,000","970,212,000","627,999,000","444,329,000","296,529,983","218,701,102","124,593,782",,,,,,,,
GrossProfit,"760,245,000","700,194,000","653,197,000","588,554,000","553,114,000","507,980,000","468,795,000","412,372,000","218,199,000","141,108,000","167,696,000","4,051,000","-36,915,000","13,046,000","712,630,000","706,990,000","408,470,000","199,613,000","149,605,000","116,175,000","76,138,000","45,256,198","37,283,397","25,035,766",,,,,,,,
OperatingExpense,"402,043,000","392,821,000","380,375,000","345,688,000","338,895,000","301,267,000","261,340,000","218,226,000","163,018,000","139,096,000","136,582,000","137,818,000","205,091,000","302,625,000","380,818,000","285,093,000","195,784,000","53,929,000","41,496,000","35,723,000","21,215,000","15,099,457","10,632,212","15,106,199","1,700,000","1,600,000","5,200,000","1,800,000","5,100,000","2,900,000","3,500,000","3,900,000"
	SellingGeneralAndAdministration,"402,043,000","392,821,000","380,375,000","345,688,000","338,895,000","301,267,000","261,340,000","218,226,000","163,018,000","139,096,000","136,582,000","141,831,000","205,091,000","302,625,000","380,818,000","285,093,000","195,784,000","53,929,000","41,496,000","35,723,000","21,215,000","15,099,457","10,632,212","15,106,199",,,,,,,,
		GeneralAndAdministrativeExpense,"146,697,000","146,093,000","138,478,000","124,041,000","123,803,000","112,849,000","104,598,000","91,510,000","68,185,000","64,184,000","59,784,000","63,148,000",,,,,,,,,,,,,,,,,,,,
			OtherGandA,"146,697,000","146,093,000","138,478,000","124,041,000","123,803,000","112,849,000","104,598,000","91,510,000","68,185,000","64,184,000","59,784,000","63,148,000",,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"255,346,000","246,728,000","241,897,000","221,647,000","215,092,000","188,418,000","156,742,000","126,716,000","94,833,000","74,912,000","76,798,000","78,683,000",,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,"-4,013,000",,,,,,,,,,,,,,,,,,,,
