name,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalAssets,"1,427,206,000","1,264,379,000","1,191,780,000","1,278,068,000","1,169,933,000","1,064,204,000","1,259,729,000","1,068,064,000","1,146,196,000","808,994,000","599,043,000","483,721,000","370,032,000","249,973,000","209,626,000","176,551,000","121,026,000","122,412,000","85,884,000","77,712,000","73,500,000","84,400,000","74,700,000","74,900,000","74,900,000","62,700,000","51,900,000"
	CurrentAssets,"1,095,405,000","910,690,000","820,821,000","785,765,000","686,593,000","623,862,000","829,304,000","691,586,000","817,902,000","715,732,000","520,987,000","412,964,000","301,567,000","187,423,000","134,854,000","102,802,000","46,242,000","44,561,000","61,358,000","53,650,000","49,100,000","59,300,000","48,800,000","49,300,000","50,000,000","54,000,000","47,300,000"
		CashCashEquivalentsAndShortTermInvestments,"589,692,000","429,970,000","291,764,000","245,956,000","225,143,000","245,088,000","237,125,000","110,247,000","263,606,000","445,226,000","341,982,000","194,780,000","168,092,000","98,892,000","53,249,000","25,854,000","6,662,000","3,941,000","16,689,000","9,057,000","1,600,000","300,000","3,200,000","1,300,000","3,200,000","2,900,000","3,000,000"
			CashAndCashEquivalents,"589,692,000","429,970,000","291,764,000","245,956,000","225,143,000","245,088,000","237,125,000","110,247,000","263,606,000","445,226,000","315,862,000","176,804,000","54,525,000","34,255,000","50,749,000","10,379,000","6,662,000","3,941,000","16,689,000","9,057,000","1,600,000","300,000","3,200,000","1,300,000","3,200,000","2,900,000","3,000,000"
				CashFinancial,"217,514,000","160,994,000","92,772,000","50,381,000","97,243,000","101,272,000","83,020,000","57,597,000",,,,,,,,,,,,,,,,,,,
				CashEquivalents,"372,178,000","268,976,000","198,992,000","195,575,000","127,900,000","143,816,000","154,105,000","52,650,000",,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,"0","26,120,000","17,976,000","113,567,000","64,637,000","2,500,000","15,475,000",,,,,,,,,,,
		Receivables,"180,942,000","145,880,000","183,429,000","183,610,000","158,275,000","106,199,000","184,013,000","190,756,000","193,375,000","116,663,000","76,427,000","108,129,000","72,209,000","49,571,000","40,918,000","41,957,000","18,745,000","20,851,000","20,395,000","23,143,000","24,400,000","27,200,000","23,000,000","17,900,000","19,700,000","18,900,000","10,800,000"
			AccountsReceivable,"178,602,000","143,704,000","158,643,000","160,154,000","143,105,000","106,199,000","184,013,000","190,756,000","193,375,000","116,663,000","76,427,000","108,129,000","72,209,000","49,571,000","40,918,000","41,957,000","18,745,000","20,851,000","20,395,000",,,,,,,,
				GrossAccountsReceivable,"197,426,000","177,166,000","190,997,000","190,349,000","161,323,000","121,768,000","209,081,000","215,842,000","215,067,000",,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-18,824,000","-33,462,000","-32,354,000","-30,195,000","-18,218,000","-15,569,000","-25,068,000","-25,086,000","-21,692,000",,,,,,,,,,,,,,,,,,
			TaxesReceivable,"2,340,000","2,176,000","24,786,000","23,456,000","15,170,000",,,,,,,,,,,,,,,,,,,,,,
		Inventory,"278,842,000","299,602,000","298,851,000","299,911,000","238,911,000","211,519,000","260,791,000","300,173,000","253,270,000","124,995,000","85,356,000","92,740,000","51,776,000","32,375,000","33,374,000","30,260,000","18,004,000","17,067,000","18,425,000","17,146,000","18,100,000","23,700,000","19,000,000","24,900,000","19,600,000","23,400,000","13,200,000"
			FinishedGoods,,,,,,,,,,,,,,,,,,,"18,425,000",,,,,,,,
			OtherInventories,"288,565,000","308,622,000",,,,,,,,,,,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,"-9,723,000","-9,020,000",,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"19,901,000","17,639,000","15,996,000","18,249,000","15,141,000","12,067,000","14,980,000","14,092,000","8,697,000","16,846,000","7,210,000","3,691,000","3,276,000","2,199,000","1,364,000","1,491,000","694,000","783,000","1,694,000",,,,,,,,
		RestrictedCash,,,,,,,,,,,"300,000","300,000","250,000",,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,"0","14,066,000","21,871,000","19,881,000","17,290,000","14,414,000","12,002,000","9,712,000","13,324,000","5,964,000","4,386,000","5,949,000","3,240,000","2,137,000","1,919,000","3,160,000",,,,,,,,
			CurrentDeferredTaxesAssets,,,,"0","14,066,000","21,871,000","19,881,000","17,290,000","14,414,000","12,002,000","9,712,000","13,324,000","5,964,000","4,386,000","5,949,000","3,240,000","2,137,000","1,919,000","3,160,000",,,,,,,,
		OtherCurrentAssets,"26,028,000","17,599,000","30,781,000","38,039,000","35,057,000","27,118,000","112,514,000","59,028,000","84,540,000",,,,,,,,,,"995,000","4,304,000","5,000,000","8,100,000","3,600,000","5,200,000","7,500,000","8,800,000","20,300,000"
