name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
NetIncomeCommonStockholders,"1,280,000,000","1,439,000,000","2,173,000,000","2,213,000,000","1,899,000,000","1,933,000,000","2,594,000,000","2,787,000,000","2,704,000,000","3,168,000,000","2,561,000,000","2,901,000,000","3,118,000,000","3,757,000,000","1,390,000,000","735,000,000","-35,000,000","-767,000,000","-783,000,000","-691,000,000","1,443,000,000","1,360,000,000"
	NetIncome,"1,280,000,000","1,439,000,000","2,173,000,000","2,213,000,000","1,899,000,000","1,933,000,000","2,594,000,000","2,787,000,000","2,704,000,000","3,168,000,000","2,561,000,000","2,901,000,000","3,118,000,000","3,757,000,000","1,390,000,000","735,000,000","-35,000,000","-767,000,000","-783,000,000","-691,000,000","1,443,000,000","1,360,000,000"
		NetIncomeIncludingNoncontrollingInterests,"1,344,000,000","1,528,000,000","2,298,000,000","2,365,000,000","2,034,000,000","2,055,000,000","2,718,000,000","2,907,000,000","2,812,000,000","3,315,000,000","2,732,000,000","3,136,000,000","3,378,000,000","4,001,000,000","1,569,000,000","866,000,000","67,000,000","-685,000,000","-712,000,000","-621,000,000","1,491,000,000","1,396,000,000"
			NetIncomeContinuousOperations,"1,001,000,000","1,090,000,000","1,575,000,000","2,371,000,000","2,018,000,000","2,052,000,000","2,694,000,000","2,944,000,000","2,808,000,000","3,306,000,000","2,722,000,000","3,119,000,000","3,139,000,000","3,171,000,000","1,557,000,000","883,000,000","448,000,000","86,000,000","97,000,000","-130,000,000","881,000,000","643,000,000"
			NetIncomeDiscontinuousOperations,"343,000,000","438,000,000","723,000,000","-6,000,000","16,000,000","3,000,000","24,000,000","-37,000,000","4,000,000","9,000,000","10,000,000","17,000,000","-21,000,000","586,000,000","-167,000,000","-143,000,000","-483,000,000","-853,000,000","-880,000,000","-510,000,000","562,000,000","717,000,000"
			NetIncomeExtraordinary,,,,,,,,,,,,"0",,,,"-5,000,000",,,,"-63,000,000",,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,"12,000,000",,
		MinorityInterests,"-64,000,000","-89,000,000","-125,000,000","-152,000,000","-135,000,000","-122,000,000","-124,000,000","-120,000,000","-108,000,000","-147,000,000","-171,000,000","-235,000,000","-260,000,000","-244,000,000","-179,000,000","-131,000,000","-102,000,000","-82,000,000","-71,000,000","-70,000,000","-48,000,000","-36,000,000"
DilutedNIAvailtoComStockholders,"1,280,000,000","1,439,000,000","2,173,000,000","2,213,000,000","1,899,000,000","1,933,000,000","2,594,000,000","2,787,000,000","2,704,000,000","3,168,000,000","2,561,000,000","2,901,000,000","3,118,000,000","3,757,000,000","1,390,000,000","735,000,000","-35,000,000","-767,000,000","-783,000,000","-691,000,000","1,443,000,000","1,360,000,000"
BasicEPS,,"0.67","1.02","1.04","0.91","0.87","1.13","1.21","1.18","1.38","1.12","1.27","1.36","1.66","0.65","0.36","-0.02","-0.63","-0.7","-0.61","0.306","0.287"
DilutedEPS,,"0.67","1.02","1.03","0.91","0.87","1.13","1.21","1.18","1.38","1.12","1.27","1.36","1.63","0.63","0.36","-0.02","-0.63","-0.83","-0.61","0.304","0.286"
BasicAverageShares,,"2,133,000,000","2,132,000,000","2,138,000,000","2,151,000,000","2,226,000,000","2,288,000,000","2,297,000,000","2,293,000,000","2,288,000,000","2,287,000,000","2,284,000,000","2,287,000,000","2,263,253,012","2,138,461,538","2,041,666,667","1,750,000,000","1,171,000,000","1,118,571,429","1,132,000,000","4,720,000,000","4,736,000,000"
DilutedAverageShares,,"2,135,000,000","2,139,000,000","2,148,000,000","2,154,000,000","2,230,000,000","2,295,000,000","2,305,000,000","2,295,000,000","2,291,000,000","2,291,000,000","2,288,000,000","2,287,000,000","2,304,907,975","2,206,349,206","2,041,666,667","1,750,000,000","1,171,000,000","1,118,571,429","1,135,000,000","4,736,000,000","4,752,000,000"
TotalOperatingIncomeAsReported,"1,721,000,000","1,938,000,000","2,226,000,000","3,434,000,000","2,987,000,000","3,049,000,000","4,178,000,000","4,387,000,000",,,,,,,,,,,,,,
