name,ttm,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012
InterestExpense,"110,000,000","27,000,000","27,000,000","28,000,000","28,000,000","29,000,000","32,000,000","35,000,000","34,000,000","32,000,000","36,000,000","49,000,000","49,000,000","50,000,000","65,000,000","69,000,000","85,000,000","83,000,000","99,000,000","106,000,000","106,000,000","114,000,000","115,000,000","116,000,000","116,000,000","119,000,000","118,000,000","144,000,000","147,000,000","169,000,000","165,000,000","158,000,000","166,000,000"
NetInterestIncome,"-110,000,000","-27,000,000","-27,000,000","-28,000,000","-28,000,000","-29,000,000","-32,000,000","-35,000,000","-33,000,000","-31,000,000","-35,000,000","-49,000,000","-49,000,000","-50,000,000","-65,000,000","-69,000,000","-85,000,000","-83,000,000","-99,000,000","-106,000,000","-106,000,000","-114,000,000","-115,000,000","-116,000,000","-116,000,000","-119,000,000","-118,000,000","-144,000,000","-147,000,000","-169,000,000","-165,000,000","-158,000,000","-166,000,000"
EBIT,"723,000,000","137,000,000","205,000,000","211,000,000","170,000,000","149,000,000","144,000,000","211,000,000","152,000,000","115,000,000","105,000,000","180,000,000","171,000,000","140,000,000","172,000,000","237,000,000","63,000,000","130,000,000","129,000,000","221,000,000","167,000,000","5,000,000","206,000,000","186,000,000","116,000,000","78,000,000","160,000,000","84,000,000","59,000,000","-578,000,000","114,000,000","103,000,000","-177,000,000"
EBITDA,"836,000,000"
ReconciledCostOfRevenue,"3,736,000,000","839,000,000","1,001,000,000","990,000,000","906,000,000","873,000,000","981,000,000","976,000,000","835,000,000","713,000,000","826,000,000","809,000,000","1,241,000,000","1,072,000,000","1,324,000,000","1,334,000,000","1,170,000,000","1,096,000,000","1,340,000,000","1,333,000,000","1,571,000,000","1,292,000,000","1,761,000,000","1,723,000,000","1,529,000,000","1,319,000,000","1,628,000,000","1,595,000,000","1,469,000,000","1,406,000,000","1,529,000,000","1,464,000,000","1,310,000,000"
ReconciledDepreciation,"113,000,000","30,000,000","29,000,000","27,000,000","27,000,000","28,000,000","27,000,000","27,000,000","24,000,000","24,000,000","23,000,000","25,000,000","25,000,000","26,000,000","25,000,000","26,000,000","25,000,000","28,000,000","34,000,000","36,000,000","36,000,000","39,000,000","58,000,000","66,000,000","63,000,000","62,000,000","62,000,000","62,000,000","60,000,000","87,000,000","85,000,000","84,000,000","86,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"451,000,000","78,000,000","131,000,000","135,000,000","107,000,000","90,000,000","82,000,000","130,000,000","89,000,000","-18,000,000","46,000,000","81,000,000","85,000,000","52,000,000","64,000,000","102,000,000","-14,000,000","977,000,000","15,000,000","102,000,000","242,000,000","-111,000,000","60,000,000","48,000,000","-1,000,000","-57,000,000","51,000,000","-72,000,000","-131,000,000","-714,000,000","-53,000,000","-56,000,000","-376,000,000"
TotalUnusualItemsExcludingGoodwill,"-8,000,000","-6,000,000","-4,000,000","0","2,000,000","0","-69,000,000","-2,000,000","-7,000,000","-6,000,000","-81,000,000","0","-3,000,000","2,000,000","-63,000,000","-5,000,000","-122,000,000","-6,000,000","-104,000,000","0","0","-106,000,000","0","-4,000,000","-5,000,000","-9,000,000","0","-46,000,000","-40,000,000","-641,000,000","0","0","-220,000,000"
TotalUnusualItems,"-8,000,000","-6,000,000","-4,000,000","0","2,000,000","0","-69,000,000","-2,000,000","-7,000,000","-6,000,000","-81,000,000","0","-3,000,000","2,000,000","-63,000,000","-5,000,000","-122,000,000","-6,000,000","-104,000,000","0","0","-106,000,000","0","-4,000,000","-5,000,000","-9,000,000","0","-46,000,000","-40,000,000","-641,000,000","0","0","-220,000,000"
NormalizedEBITDA,"844,000,000","173,000,000","238,000,000","238,000,000","195,000,000","177,000,000","240,000,000","240,000,000","183,000,000","145,000,000","209,000,000","205,000,000","199,000,000","164,000,000","260,000,000","268,000,000","210,000,000","164,000,000","267,000,000","257,000,000","203,000,000","150,000,000","264,000,000","256,000,000","184,000,000","149,000,000","222,000,000","192,000,000","159,000,000","150,000,000","199,000,000","187,000,000","129,000,000"
TaxRateForCalcs,"0.264","0.291","0.264","0.262","0.246","0.25","0.268","0.261","0.246","0.27","0.333","0.382","0.303","0.4","0.4","0.393","0.379","0.4","0.4","0.113","0.4","0.4","0.339","0.306","0","0.35","0.201","0.35","0.35","0.044","0.029","0.35","0.35"
TaxEffectOfUnusualItems,"-2,112,000","-1,745,454.545","-1,056,000","0","492,000","0","-18,482,142.857","-522,727.273","-1,722,000","-1,620,000","-27,000,000","0","-909,000","800,000","-25,200,000","-1,965,000","-46,238,000","-2,400,000","-41,600,000","0","0","-42,400,000","0","-1,224,000","0","-3,150,000","0","-16,100,000","-14,000,000","-28,317,269.076","0","0","-77,000,000"
