name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
		SellingAndMarketingExpense,"4,476,000,000","1,386,000,000","1,252,000,000","935,000,000","1,097,000,000","548,000,000","1,493,000,000","1,317,000,000","1,273,000,000","1,230,000,000","1,339,000,000","1,209,000,000","760,000,000","926,000,000","1,027,000,000","1,051,000,000","959,000,000","1,673,000,000","1,087,000,000","1,265,000,000","602,000,000","1,471,000,000","2,959,000,000","1,243,000,000","1,154,000,000","1,270,000,000","1,251,000,000","1,233,000,000","1,150,000,000","1,350,415,405.913","1,251,854,049.244","1,197,000,000","1,331,000,000",,,"1,349,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"576,000,000","146,000,000","146,000,000","146,000,000","138,000,000","166,000,000","159,000,000","164,000,000","153,000,000","160,000,000","134,000,000","171,000,000","107,000,000","99,000,000","151,000,000","144,000,000","129,000,000","77,000,000","157,000,000","199,000,000","197,000,000","287,000,000","292,000,000","270,000,000","250,000,000","250,000,000","258,000,000","287,000,000","337,000,000","-2,443,472,856.719","928,507,861.169","1,959,000,000","865,000,000","3,052,000,000","403,000,000","1,082,000,000","296,000,000","257,000,000","288,000,000","231,000,000","217,000,000","136,000,000","223,000,000","176,000,000","146,000,000","185,000,000","290,000,000","229,000,000","237,000,000","269,000,000","214,000,000","218,000,000","180,000,000","216,000,000","172,000,000","226,000,000","113,000,000","124,000,000","109,000,000","91,000,000","75,000,000","68,000,000","66,000,000","62,000,000","52,000,000","64,000,000","46,000,000","46,000,000","45,000,000","44,000,000","32,000,000","33,000,000","38,000,000","39,000,000","29,000,000","33,000,000","31,000,000","56,000,000","33,000,000","32,000,000","31,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"158,000,000","34,000,000",,"47,000,000","47,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,590,000,000",,"2,275,000,000","2,299,000,000","2,078,000,000","2,088,000,000","2,042,000,000","2,284,000,000","2,013,000,000","1,563,000,000","1,328,000,000","1,285,000,000","1,662,000,000","1,531,000,000","1,450,000,000","1,728,000,000","1,277,000,000","1,382,000,000","1,157,000,000","1,057,000,000","983,000,000","817,000,000","816,000,000","787,000,000","738,000,000","731,000,000","670,000,000","667,000,000","651,000,000","630,000,000","533,000,000","463,000,000","564,000,000","345,000,000","413,000,000","402,000,000","687,000,000","439,000,000","402,000,000","279,000,000","446,000,000","356,000,000","648,000,000","536,000,000","313,000,000","786,000,000","387,000,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,662,000,000","1,531,000,000","1,450,000,000","1,728,000,000","1,277,000,000","1,382,000,000","1,157,000,000","1,057,000,000","983,000,000","817,000,000","816,000,000","787,000,000","738,000,000","731,000,000","670,000,000","667,000,000","651,000,000","630,000,000","533,000,000","463,000,000","564,000,000","345,000,000","413,000,000","402,000,000","687,000,000","439,000,000","402,000,000","279,000,000","446,000,000","356,000,000","648,000,000","536,000,000","313,000,000","786,000,000","387,000,000"
	OtherTaxes,"619,000,000","319,000,000","141,000,000","66,000,000","103,000,000","304,000,000","200,000,000","100,000,000","148,000,000","476,000,000","321,000,000","954,000,000","92,000,000","260,000,000","188,000,000","127,000,000","139,000,000","383,000,000","861,000,000","1,289,000,000","263,000,000","239,000,000","243,000,000","140,000,000","138,000,000","452,000,000","96,000,000","120,000,000","112,000,000","144,231,978.641","84,544,645.506","86,000,000","84,000,000",,,"68,000,000",,,,,,,,,,,"96,000,000","8,000,000","109,000,000","177,000,000","176,000,000","167,000,000","142,000,000","177,000,000","130,000,000","179,000,000","108,000,000","116,000,000","90,000,000","86,000,000","81,000,000","95,000,000","75,000,000","169,000,000","101,000,000","109,000,000","78,000,000","79,000,000","67,000,000","43,000,000","139,000,000","105,000,000","73,000,000","69,000,000","73,000,000","79,000,000","74,000,000","58,000,000","62,000,000","72,000,000","53,000,000"
	OtherOperatingExpenses,"844,000,000","173,000,000","-313,000,000","503,000,000","343,000,000","-146,000,000","842,000,000","256,000,000","276,000,000","3,772,000,000","1,640,000,000","-1,041,000,000","278,000,000","-462,000,000","3,575,000,000","2,322,000,000","592,000,000","947,000,000","2,177,000,000","1,580,000,000","512,000,000","1,353,000,000","-510,000,000","1,749,000,000","893,000,000","676,000,000","1,413,000,000","667,000,000","869,000,000","2,183,000,000",,,,,"483,000,000",,"524,000,000","4,227,000,000","450,000,000","353,000,000","539,000,000","3,628,000,000","396,000,000","378,000,000","420,000,000","4,711,000,000","-96,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,409,000,000",,,,
OperatingIncome,"18,502,000,000","4,496,000,000","5,120,000,000","4,888,000,000","4,164,000,000","5,995,000,000","4,704,000,000","5,706,000,000","5,121,000,000","757,000,000","2,504,000,000","4,658,000,000","5,041,000,000","4,616,000,000","1,309,000,000","2,048,000,000","2,478,000,000","2,801,000,000","1,702,000,000","3,078,000,000","4,692,000,000","3,307,000,000","2,153,000,000","3,829,000,000","3,092,000,000","2,515,000,000","2,527,000,000","5,366,000,000","5,271,000,000","2,085,011,668.15","5,420,745,575.002","3,643,000,000","7,927,000,000","6,757,000,000","8,381,000,000","8,697,000,000","7,911,000,000","3,109,000,000","7,054,000,000","7,146,000,000","7,251,000,000","4,017,000,000","6,697,000,000","6,760,000,000","4,692,000,000","2,193,000,000","7,687,000,000","9,547,000,000","6,269,000,000","6,033,000,000","5,938,000,000","5,668,000,000","3,847,000,000","4,012,000,000","5,123,000,000","5,444,000,000","5,709,000,000","4,906,000,000","4,668,000,000","4,112,000,000","3,629,000,000","2,526,000,000","2,756,000,000","2,687,000,000","2,620,000,000","2,797,000,000","2,816,000,000","2,459,000,000","2,899,000,000","1,567,000,000","1,881,000,000","1,857,000,000","1,188,000,000","1,484,000,000","1,699,000,000","2,103,000,000","6,554,000,000","2,560,000,000","2,294,000,000","2,151,000,000","2,155,000,000"
NetNonOperatingInterestIncomeExpense,"-5,756,000,000","-891,000,000","-2,086,000,000","-1,259,000,000","-1,346,000,000","-331,000,000","-632,000,000","-209,000,000","-1,464,000,000","-1,378,000,000","-2,343,000,000","-1,809,000,000","-1,517,000,000","-2,097,000,000","-2,193,000,000","-1,727,000,000","-1,349,000,000","-1,037,000,000","-3,226,000,000","-1,969,000,000","-1,075,000,000","-405,000,000","1,000,000","-666,000,000","-341,000,000","-560,000,000","195,000,000","-179,000,000","-114,000,000","966,991,891.625","-56,363,097.004","391,000,000","263,000,000","-2,517,000,000","864,000,000","945,000,000","657,000,000","771,000,000","114,000,000","45,000,000","57,000,000","294,000,000","-30,000,000","129,000,000","211,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"558,000,000","154,000,000","162,000,000","114,000,000","131,000,000","-1,622,000,000","571,000,000","143,000,000","145,000,000","160,000,000",,"326,000,000","134,000,000","141,000,000",,,"121,000,000","170,000,000",,,"178,000,000","210,000,000","-23,000,000","340,000,000","441,000,000","170,000,000","482,000,000","439,000,000","487,000,000","748,813,902.897","485,019,282.112","835,000,000","677,000,000","693,000,000","1,103,000,000","1,127,000,000","1,045,000,000","1,151,000,000","555,000,000","511,000,000","413,000,000","578,000,000","499,000,000","485,000,000","337,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"6,684,000,000","1,856,000,000","2,004,000,000","1,541,000,000","988,000,000","-284,000,000","1,203,000,000","1,104,000,000","1,519,000,000","1,156,000,000","2,343,000,000","2,135,000,000","1,625,000,000","1,518,000,000","2,193,000,000","1,727,000,000","1,357,000,000","1,357,000,000","3,226,000,000","1,969,000,000","1,110,000,000","821,000,000","525,000,000","1,006,000,000","782,000,000","377,000,000","371,000,000","618,000,000","601,000,000","-55,177,988.727","541,382,379.116","444,000,000","489,000,000","767,000,000","239,000,000","182,000,000","388,000,000","380,000,000","441,000,000","466,000,000","356,000,000","284,000,000","529,000,000","356,000,000","126,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"-370,000,000","-811,000,000","244,000,000","-168,000,000","489,000,000",,,"-752,000,000","90,000,000","382,000,000","2,343,000,000",,"26,000,000","720,000,000","2,193,000,000","1,727,000,000","113,000,000","-150,000,000","3,226,000,000","1,969,000,000","143,000,000","-206,000,000",,,,"353,000,000","-84,000,000",,,,,,"-75,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-743,000,000","-1,771,000,000","-2,170,000,000","4,189,000,000","-1,128,000,000","-4,033,000,000","-994,000,000","-1,523,000,000","-242,000,000","-2,005,000,000","92,000,000","-747,000,000","-1,256,000,000","-941,000,000","-4,753,000,000","113,000,000","-1,169,000,000","-13,846,000,000","56,000,000","55,000,000","-979,000,000","-16,101,000,000","-4,517,000,000","366,000,000","458,000,000","-264,000,000","-551,000,000","-1,348,000,000","552,000,000","2,025,392,761.792","-1,298,823,296.747","-4,825,000,000","-1,191,000,000","544,000,000","-5,062,000,000","-205,000,000","126,000,000","3,288,000,000","-154,000,000","-1,468,000,000","-1,382,000,000","1,492,000,000","-655,000,000","-690,000,000","-856,000,000","-110,000,000","1,190,000,000","-728,000,000","28,000,000","-728,000,000","-500,000,000","-158,000,000","13,000,000","-294,000,000","-355,000,000","-152,000,000","-364,000,000","-1,432,000,000","-500,000,000","-117,000,000","-351,000,000","93,000,000","-77,000,000","-555,000,000","-358,000,000","-996,000,000","-422,000,000","71,000,000","-220,000,000","-1,600,000,000","-1,147,000,000","-715,000,000","-242,000,000","-1,128,000,000","-777,000,000","-469,000,000","-832,000,000","-788,000,000","-299,000,000","-364,000,000","-110,000,000"
