name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
TotalRevenue,"22,109,946,000","22,109,946,000","17,604,451,000","13,060,073,000","9,788,768,000","6,086,455,000","3,903,572,000"
	OperatingRevenue,"21,932,152,000","21,932,152,000","17,491,687,000","13,034,963,000","9,788,768,000","6,086,455,000","3,903,572,000"
CostOfRevenue,"15,488,778,000","15,488,778,000","12,239,568,000","8,714,489,000","6,345,899,000","3,998,737,000","2,770,530,000"
GrossProfit,"6,621,168,000","6,621,168,000","5,364,883,000","4,345,584,000","3,442,869,000","2,087,718,000","1,133,042,000"
OperatingExpense,"1,158,337,000","1,158,337,000","1,032,660,000","597,149,000","673,891,000","558,489,000","532,741,000"
	SellingGeneralAndAdministration,"1,546,227,000","1,546,227,000","1,210,717,000","780,517,000","705,995,000","591,738,000","534,537,000"
	OtherOperatingExpenses,"-387,890,000","-387,890,000","-178,057,000","-183,368,000","-32,104,000","-33,249,000","-1,796,000"
OperatingIncome,"5,462,831,000","5,462,831,000","4,332,223,000","3,748,435,000","2,768,978,000","1,529,229,000","600,301,000"
NetNonOperatingInterestIncomeExpense,"585,404,000","585,404,000","400,382,000","150,657,000","31,805,000","-1,301,000","2,610,000"
	InterestIncomeNonOperating,"585,404,000","585,404,000","401,162,000","166,325,000","44,791,000","15,091,000","3,408,000"
	InterestExpenseNonOperating,"0","0","780,000","15,668,000","12,986,000","16,392,000","798,000"
OtherIncomeExpense,"708,883,000","708,883,000","603,826,000","-78,149,000","19,528,000","224,148,000",
	GainOnSaleOfSecurity,"13,301,000","13,301,000","41,189,000","-48,149,000","9,977,000",,
	EarningsFromEquityInterest,"754,468,000","754,468,000",,,,,
	SpecialIncomeCharges,"-58,886,000","-58,886,000","562,637,000","-30,000,000","9,551,000","224,148,000","0"
		WriteOff,"56,026,000","56,026,000","0","30,000,000",,,
		GainOnSaleOfBusiness,"-2,860,000","-2,860,000","562,637,000","0","9,551,000","224,148,000","0"
PretaxIncome,"6,757,118,000","6,757,118,000","5,336,431,000","3,820,943,000","2,820,311,000","1,752,076,000","602,911,000"
TaxProvision,"1,078,295,000","1,078,295,000","929,133,000","646,361,000","731,987,000","419,999,000","202,486,000"
EarningsFromEquityInterestNetOfTax,"-7,556,000","-7,556,000","-19,386,000","-15,682,000","-36,721,000","-459,000","5,578,000"
NetIncomeCommonStockholders,"5,674,145,000","5,674,145,000","4,383,025,000","3,159,663,000","1,848,468,000","1,290,823,000","406,426,000"
	NetIncome,"5,674,145,000","5,674,145,000","4,383,025,000","3,159,663,000","2,053,855,000","1,331,755,000","406,426,000"
		NetIncomeIncludingNoncontrollingInterests,"5,671,267,000","5,671,267,000","4,387,912,000","3,158,900,000","2,051,603,000","1,331,618,000","406,003,000"
			NetIncomeContinuousOperations,"5,671,267,000","5,671,267,000","4,387,912,000","3,158,900,000","2,051,603,000","1,331,618,000","406,003,000"
		MinorityInterests,"2,878,000","2,878,000","-4,887,000","763,000","2,252,000","137,000","423,000"
	OtherunderPreferredStockDividend,,,"0","0","205,387,000","40,932,000","0"
DilutedNIAvailtoComStockholders,"5,674,145,000","5,674,145,000","4,383,025,000","3,159,663,000","1,848,468,000","1,290,823,000","406,426,000"
BasicEPS,,,"5.83","4.41","2.91","1.765","0.556"
DilutedEPS,,,"5.82","4.4","2.91","1.765","0.556"
BasicAverageShares,,,"751,814,077","717,138,526","634,581,307","731,406,440","731,406,440"
DilutedAverageShares,,,"752,672,956","717,599,562","634,581,307","731,406,440","731,406,440"
TotalOperatingIncomeAsReported,"5,462,831,000","5,462,831,000","4,332,223,000","3,748,435,000","2,768,978,000","1,529,229,000","600,301,000"
TotalExpenses,"16,647,115,000","16,647,115,000","13,272,228,000","9,311,638,000","7,019,790,000","4,557,226,000","3,303,271,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"5,674,145,000","5,674,145,000","4,383,025,000","3,159,663,000","2,053,855,000","1,331,755,000","406,426,000"
NormalizedIncome,"5,712,454,634","5,712,454,634","3,884,264,724","3,224,604,819","2,039,404,280","1,161,402,520","406,426,000"
InterestIncome,"585,404,000","585,404,000","401,162,000","166,325,000","44,791,000","15,091,000","3,408,000"
InterestExpense,"0","0","780,000","15,668,000","12,986,000","16,392,000","798,000"
NetInterestIncome,"585,404,000","585,404,000","400,382,000","150,657,000","31,805,000","-1,301,000","2,610,000"
EBIT,"6,757,118,000","6,757,118,000","5,337,211,000","3,836,611,000","2,833,297,000","1,768,468,000","603,709,000"
EBITDA,"8,021,684,000"
ReconciledCostOfRevenue,"15,488,778,000","15,488,778,000","12,239,568,000","8,714,489,000","6,345,899,000","3,998,737,000","2,770,530,000"
ReconciledDepreciation,"1,264,566,000","1,264,566,000","853,718,000","560,366,000","324,978,000","158,056,000","64,014,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"5,674,145,000","5,674,145,000","4,383,025,000","3,159,663,000","2,053,855,000","1,331,755,000","406,426,000"
TotalUnusualItemsExcludingGoodwill,"-45,585,000","-45,585,000","603,826,000","-78,149,000","19,528,000","224,148,000","0"
TotalUnusualItems,"-45,585,000","-45,585,000","603,826,000","-78,149,000","19,528,000","224,148,000","0"
NormalizedEBITDA,"8,067,269,000","8,067,269,000","5,587,103,000","4,475,126,000","3,138,747,000","1,702,376,000","667,723,000"
TaxRateForCalcs,"0.16","0.16","0.174","0.169","0.26","0.24","0.336"
TaxEffectOfUnusualItems,"-7,275,366","-7,275,366","105,065,724","-13,207,181","5,077,280","53,795,520","0"
