name,ttm,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016
TotalRevenue,"13,190,707,000","13,190,707,000","13,007,347,000","12,754,589,000","12,350,537,000","12,467,553,000"
	OperatingRevenue,"13,190,707,000","13,190,707,000","13,007,347,000","12,754,589,000","12,350,537,000","12,467,553,000"
CostOfRevenue,"10,763,926,000","10,763,926,000","10,646,452,000","10,513,492,000","10,223,017,000","10,476,519,000"
GrossProfit,"2,426,781,000","2,426,781,000","2,360,895,000","2,241,097,000","2,127,520,000","1,991,034,000"
OperatingExpense,"2,074,582,000","2,074,582,000","2,057,442,000","2,020,825,000","1,911,501,000","1,804,238,000"
	SellingGeneralAndAdministration,"2,074,582,000","2,074,582,000","2,057,442,000","2,020,825,000","1,911,501,000","1,804,238,000"
		GeneralAndAdministrativeExpense,"15,152,000","15,152,000","6,118,000","3,004,000","2,749,000","6,458,000"
			OtherGandA,"15,152,000","15,152,000","6,118,000","3,004,000","2,749,000","6,458,000"
		SellingAndMarketingExpense,"2,059,430,000","2,059,430,000","2,051,324,000","2,017,821,000","1,908,752,000","1,797,780,000"
OperatingIncome,"352,199,000","352,199,000","303,453,000","220,272,000","216,019,000","186,796,000"
NetNonOperatingInterestIncomeExpense,"-104,410,000","-104,410,000","-164,535,000","-196,724,000","-143,351,000","-150,093,000"
	InterestIncomeNonOperating,,,"0","0","182,000","0"
	InterestExpenseNonOperating,"99,238,000","99,238,000","132,575,000","167,200,000","126,442,000","133,245,000"
	TotalOtherFinanceCost,"5,172,000","5,172,000","31,960,000","29,524,000","17,091,000","16,848,000"
OtherIncomeExpense,"-3,820,000","-3,820,000",,,,
	SpecialIncomeCharges,"-3,820,000","-3,820,000",,,,
		OtherSpecialCharges,"3,820,000","3,820,000",,,,
PretaxIncome,"243,969,000","243,969,000","138,918,000","23,548,000","72,668,000","36,703,000"
TaxProvision,"56,212,000","56,212,000","11,826,000","-28,427,000","27,968,000","12,049,000"
NetIncomeCommonStockholders,"187,176,000","187,176,000","127,261,000","50,301,000","44,224,000","24,104,000"
	NetIncome,"187,176,000","187,176,000","127,261,000","50,301,000","44,224,000","24,104,000"
		NetIncomeIncludingNoncontrollingInterests,"187,176,000","187,176,000","127,261,000","50,301,000","44,224,000","24,104,000"
			NetIncomeContinuousOperations,"187,757,000","187,757,000","127,092,000","51,975,000","44,700,000","24,654,000"
			NetIncomeDiscontinuousOperations,"-581,000","-581,000","169,000","-1,674,000","-476,000","-550,000"
DilutedNIAvailtoComStockholders,"187,176,000","187,176,000","127,261,000","50,301,000","44,224,000","24,104,000"
BasicEPS,,,"1.09","0.399","0.351","0.191"
DilutedEPS,,,"1.05","0.385","0.338","0.184"
BasicAverageShares,,,"116,599,000","126,053,000","126,053,000","126,053,000"
DilutedAverageShares,,,"121,135,000","130,792,000","130,792,000","130,792,000"
TotalOperatingIncomeAsReported,"352,199,000","352,199,000","303,453,000","220,272,000","216,019,000","186,796,000"
TotalExpenses,"12,838,508,000","12,838,508,000","12,703,894,000","12,534,317,000","12,134,518,000","12,280,757,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"187,176,000","187,176,000","127,261,000","50,301,000","44,224,000","24,104,000"
NormalizedIncome,"190,698,400","190,698,400","127,092,000","51,975,000","44,700,000","24,654,000"
InterestIncome,,,"0","0","182,000","0"
InterestExpense,"99,238,000","99,238,000","132,575,000","167,200,000","126,442,000","133,245,000"
NetInterestIncome,"-104,410,000","-104,410,000","-164,535,000","-196,724,000","-143,351,000","-150,093,000"
EBIT,"343,207,000","343,207,000","271,493,000","190,748,000","199,110,000","169,948,000"
EBITDA,"500,207,000"
ReconciledCostOfRevenue,"10,763,926,000","10,763,926,000","10,646,452,000","10,513,492,000","10,223,017,000","10,476,519,000"
ReconciledDepreciation,"157,000,000","157,000,000","162,223,000","164,061,000","178,325,000","177,483,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"187,757,000","187,757,000","127,092,000","51,975,000","44,700,000","24,654,000"
TotalUnusualItemsExcludingGoodwill,"-3,820,000","-3,820,000",,,,
TotalUnusualItems,"-3,820,000","-3,820,000",,,,
NormalizedEBITDA,"504,027,000","504,027,000","433,716,000","354,809,000","377,435,000","347,431,000"
TaxRateForCalcs,"0.23","0.23","0.085","0.27","0.385","0.328"
TaxEffectOfUnusualItems,"-878,600","-878,600","0","0","0","0"
