name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
TotalAssets,"2,715,152,000,000","2,558,124,000,000","2,521,771,000,000","2,374,986,000,000","2,409,656,000,000","2,634,139,000,000","2,671,318,000,000","2,692,538,000,000","2,555,579,000,000","2,454,689,000,000","2,364,452,000,000","2,527,465,000,000","2,354,266,000,000","1,860,758,000,000","1,501,970,000,000","1,276,778,000,000","1,034,216,000,000","759,246,000,000","695,877,000,000","1,006,413,533,073.247","993,365,778,050.99","804,562,201,483.941","473,436,156,847.186","405,098,126,519.848","350,482,106,434.267","315,054,015,602.77","306,856,103,189.16","280,801,722,961.188","160,521,687,062.61","149,245,785,270.63","132,581,835,686.778","113,903,704,771.515","107,876,641,747.7"
	CashCashEquivalentsAndFederalFundsSold,"487,445,000,000","480,495,000,000","422,991,000,000","325,214,000,000","279,367,000,000","324,271,000,000","197,840,000,000","171,578,000,000","159,032,000,000","82,512,000,000","84,513,000,000","58,399,000,000","31,542,000,000","26,876,000,000","25,012,000,000","52,034,000,000","39,039,000,000","35,245,000,000","32,793,000,000","70,655,106,797.706","67,918,100,716.643","82,436,618,545.605","2,972,293,857.039","3,106,483,542.83","39,716,607,948.575","33,955,568,062.786","26,788,355,718.597","53,988,139,474.922","43,450,843,905.542","37,350,025,076.193","33,733,953,786.906","30,155,326,510.019","26,771,963,352.257"
		CashAndCashEquivalents,"197,435,000,000","204,489,000,000","221,438,000,000","164,240,000,000","133,112,000,000","162,558,000,000","197,840,000,000","171,578,000,000","159,032,000,000","82,512,000,000","84,513,000,000","58,399,000,000","31,542,000,000","26,876,000,000","25,012,000,000","9,872,000,000","7,661,000,000","7,659,000,000","6,185,000,000","70,655,106,797.706","67,918,100,716.643","82,436,618,545.605","2,972,293,857.039","3,106,483,542.83","39,716,607,948.575","33,955,568,062.786","26,788,355,718.597","53,988,139,474.922","43,450,843,905.542","37,350,025,076.193","33,733,953,786.906","30,155,326,510.019","26,771,963,352.257"
			CashEquivalents,,,,"128,009,000,000","98,934,000,000","129,957,000,000","166,599,000,000","141,532,000,000","129,902,000,000","57,383,000,000","60,655,000,000","52,396,000,000","21,765,000,000","12,732,000,000","13,712,000,000","9,944,000,000",,,,,,,,,,,,,,,,,
			CashAndDueFromBanks,"197,435,000,000","204,489,000,000","221,438,000,000","164,240,000,000","133,112,000,000","162,558,000,000","197,840,000,000","171,578,000,000","29,130,000,000","25,129,000,000","23,858,000,000","6,003,000,000","9,777,000,000","14,144,000,000","11,300,000,000","9,872,000,000","7,661,000,000","7,659,000,000","6,185,000,000","70,655,106,797.706","67,918,100,716.643","82,436,618,545.605","2,972,293,857.039","3,106,483,542.83","39,716,607,948.575","33,955,568,062.786","26,788,355,718.597","53,988,139,474.922","43,450,843,905.542","37,350,025,076.193","33,733,953,786.906","30,155,326,510.019","26,771,963,352.257"
		RestrictedCashAndInvestments,"49,148,000,000","33,202,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MoneyMarketInvestments,"240,862,000,000","242,804,000,000","201,553,000,000","160,974,000,000","146,255,000,000","161,713,000,000",,,,,,,,,,"42,162,000,000","31,378,000,000","27,586,000,000","26,608,000,000",,,,,,,,,,,,,,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"240,862,000,000","242,804,000,000","201,553,000,000","160,974,000,000","146,255,000,000","161,713,000,000",,,,,,,,,,"42,162,000,000","31,378,000,000","27,586,000,000","26,608,000,000",,,,,,,,,,,,,,
				SecurityAgreeToBeResell,"240,862,000,000","242,804,000,000","201,553,000,000","160,974,000,000","146,255,000,000","161,713,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	LongTermEquityInvestment,"24,474,000,000","22,407,000,000","22,744,000,000","20,029,000,000","19,139,000,000","18,181,000,000","16,640,000,000","17,834,000,000","20,399,000,000","17,198,000,000","13,011,000,000","11,537,000,000","10,384,000,000","8,396,000,000","7,249,000,000","3,441,000,000",,,,"169,185,389,066.794","205,098,263,258.703","78,959,432,582.953",,,"27,130,848,630.941","23,125,869,643.388","19,809,478,729.069","1,463,606,994.98","276,935,743.423","262,335,558.042","272,785,622.593","250,468,502.234","316,639,499.372"
