name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,12/31/2009,12/31/2006
MarketCap,"2,270,338,076","1,907,532,444","2,729,212,916","2,509,446,380","2,558,435,354","2,538,147,465","2,239,188,251","3,161,468,321","2,696,661,884","2,289,235,661","2,351,380,607","2,323,339,347","1,937,974,154","2,133,537,648","2,363,001,507","1,887,037,562","1,722,189,983","1,630,506,307","1,661,103,508","1,742,527,735","2,050,735,133","2,423,746,175","2,608,209,614","2,409,283,382","2,269,210,818","2,100,728,489","2,215,893,543","1,935,745,001","1,821,946,578","1,999,381,358","1,851,938,217","1,696,733,695","1,542,916,829","1,610,410,847","1,211,865,632","952,874,241","1,476,918,978","1,397,799,389","1,197,131,340","961,568,904","764,141,982","724,803,357"
EnterpriseValue,"3,580,542,814","3,466,080,686","4,446,221,000","4,202,418,591","4,215,039,291","3,726,613,938","3,329,977,200","4,363,383,901","3,844,572,756","3,458,947,652","3,551,297,373","3,676,468,557","3,216,312,160","3,319,187,274","3,001,409,403","2,554,558,128","2,427,620,126","2,889,486,742","2,905,249,551","2,990,776,894","3,406,406,677","3,717,352,328","3,605,537,457","3,200,625,132","3,146,408,552","2,809,079,048","2,993,850,284","2,748,175,871","2,666,665,865","2,820,806,274","2,690,941,380","2,617,053,959","2,440,465,218","2,497,043,542","1,247,696,831","988,125,276","1,532,936,233","1,440,535,768","1,855,866,942","1,655,333,199","1,446,746,317","1,065,389,003"
PeRatio,"9.465","8.244","11.835","10.974","11.552","12.384","9.651","12.497","19.745","19.479","34.741","88.055",,"19.281","22.598","20.809","16.311","15.452","16.066","15.252","19.006","23.173","53.006","43.714","47.415","35.372","19.228","15.713","14.166","13.969",,,,,,,,,"11.603","24.525",,
ForwardPeRatio,"14.771","8.969","10.776","9.794","10.163","10.278","9.443","13.441","15.823","14.085","13.928","14.085","13.55","14.085","13.986","12.136","12.151","10.788","12.563","11.905","11.547","12.953","14.164","11.39","12.392","11.905","13.755","11.947","10.764","10.627",,,,,,,,,,,,
PsRatio,"0.611","0.516","0.74","0.697","0.691","0.707","0.657","0.916","0.799","0.648","0.621","0.65","0.611","0.75","0.873","0.691","0.599","0.559","0.571","0.597","0.657","0.797","0.839","0.8","0.749","0.707","0.859","0.706","0.684","0.742",,,,,,,,,"0.606","0.491",,
PbRatio,"1.74","1.813","2.418","2.257","2.228","2.134","1.976","2.809","2.519","2.063","2.073","2.205","1.714","1.986","2.272","1.779","1.534","2.039","2.354","2.296","2.473","2.905","3.216","2.958","2.74","2.912","2.993","2.607","2.501","2.766",,,,,,,,,"1.972","1.664",,
EnterprisesValueRevenueRatio,"0.69","2.794","3.406","3.221","3.151","3.028","2.52","3.389","2.918","2.891","3.003","3.185","2.61","2.832","2.638","2.619","2.483","3.093","3.332","2.802","3.105","3.603","3.357","3.262","3.539","3.646","3.777","3.546","3.366","3.762","3.457","3.436","3.005","3.168","1.696","1.33","2.355","2.566","3.439","3.314","2.961","2.41"
EnterprisesValueEBITDARatio,"3.913","15.952","19.929","18.294","17.205","18.888","18.065","23.008","20.774","24.997","27.333","18.746","136.481","34.847","22.913","21.518","21.399","38.803","45.887","23.314","22.547","43.525","28.793","28.213","32.658","62.51","-2,112.809","27.448","32.794","40.524","29.819","21.817","22.848","27.079","13.855","10.566","17.948","22.429","20.495","21.415","98.091","-0.83"
