name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
TotalAssets,"832,166,000,000","787,295,000,000","795,920,000,000","784,216,000,000","793,636,000,000","768,916,000,000","768,544,000,000","798,158,000,000","809,052,000,000","796,289,000,000","788,690,000,000","783,411,000,000","811,979,000,000","819,861,000,000","806,711,000,000","821,164,000,000","813,898,000,000","820,805,000,000","858,420,000,000","879,322,000,000","904,390,000,000","921,462,000,000","954,362,000,000","891,580,000,000","878,090,000,000","872,806,000,000","895,169,000,000","919,903,000,000","946,618,000,000","924,280,000,000","1,023,292,000,000","1,043,455,000,000","1,000,020,000,000","1,049,165,000,000","1,061,521,000,000","976,923,000,000","1,016,468,000,000","1,032,005,000,000","1,067,388,000,000","1,137,948,000,000","1,073,803,000,000","1,031,427,000,000","1,064,208,000,000","1,092,904,000,000","1,156,086,000,000","1,170,350,000,000","1,393,599,000,000","1,231,698,175,050","1,205,876,062,800","1,361,938,989,600","1,375,374,107,800","1,414,714,427,000","1,359,670,267,200","1,257,018,537,600","1,475,690,490,000","1,406,982,405,150","1,434,114,753,600","1,342,223,184,000","1,325,749,710,850","1,285,355,560,600","1,159,779,227,400","1,087,994,353,600","1,120,302,734,400","1,130,269,848,750","1,136,826,450,600","1,003,687,381,840","993,829,698,750","1,015,062,529,680","989,264,711,900","956,518,399,570","997,685,556,300","986,394,760,400","1,067,842,494,400","1,025,913,308,370","1,006,731,643,300","1,119,127,680,000","1,065,816,570,000"
TotalLiabilitiesNetMinorityInterest,"783,393,000,000","743,581,000,000","750,616,000,000","740,288,000,000","749,705,000,000","724,897,000,000","725,610,000,000","754,549,000,000","766,355,000,000","754,100,000,000","744,609,000,000","739,575,000,000","769,900,000,000","777,550,000,000","761,954,000,000","775,835,000,000","768,451,000,000","775,787,000,000","812,920,000,000","835,862,000,000","860,105,000,000","876,461,000,000","909,411,000,000","849,553,000,000","833,808,000,000","825,640,000,000","846,158,000,000","870,496,000,000","901,672,000,000","881,996,000,000","980,459,000,000","1,001,350,000,000","959,156,000,000","1,008,080,000,000","1,019,043,000,000","936,616,000,000","973,180,000,000","988,990,000,000","1,022,713,000,000","1,091,364,000,000","1,026,047,000,000","983,099,000,000","1,011,194,000,000","1,042,085,000,000","1,105,428,000,000","1,123,129,000,000","1,335,901,000,000","1,178,780,791,650","1,154,168,569,800","1,302,045,701,850","1,170,770,300,700","1,354,393,092,500","1,300,020,960,000","1,198,065,603,600","1,418,411,160,000","1,353,281,441,400","1,375,394,578,800","1,292,140,308,000","1,279,634,023,250","1,239,650,242,810","1,114,723,336,500","1,045,601,233,600","1,077,961,162,710","1,089,001,158,750","1,099,275,752,400","966,761,653,000","958,981,184,860","970,924,499,280","957,953,527,900","925,096,637,930","965,272,905,210","949,979,799,600","1,028,955,505,600","986,862,610,980","968,770,525,100","1,073,508,057,600","1,021,705,646,000"
TotalEquityGrossMinorityInterest,"48,773,000,000","43,714,000,000","45,304,000,000","43,928,000,000","43,931,000,000","44,019,000,000","42,934,000,000","43,609,000,000","42,697,000,000","42,189,000,000","44,081,000,000","43,836,000,000","42,079,000,000","42,311,000,000","44,757,000,000","45,329,000,000","45,447,000,000","45,018,000,000","45,500,000,000","43,460,000,000","44,285,000,000","45,001,000,000","44,951,000,000","42,027,000,000","44,282,000,000","47,166,000,000","49,011,000,000","49,407,000,000","44,946,000,000","42,284,000,000","42,833,000,000","42,105,000,000","40,864,000,000","41,085,000,000","42,478,000,000","40,307,000,000","43,288,000,000","43,015,000,000","44,675,000,000","46,584,000,000","47,756,000,000","48,328,000,000","53,014,000,000","50,819,000,000","50,658,000,000","47,221,000,000","57,698,000,000","52,917,383,400","51,707,493,000","59,893,287,750","204,603,807,100","60,321,334,500","59,649,307,200","58,952,934,000","57,279,330,000","53,700,963,750","58,720,174,800","50,082,876,000","46,115,687,600","45,705,317,790","45,055,890,900","42,393,120,000","42,341,571,690","41,268,690,000","37,550,698,200","36,925,728,840","34,848,513,890","44,138,030,400","31,311,184,000","31,421,761,640","32,412,651,090","36,414,960,800","38,886,988,800","39,050,697,390","37,961,118,200","45,619,622,400","44,110,924,000"
	StockholdersEquity,"48,675,000,000","43,644,000,000","45,150,000,000","43,673,000,000","43,825,000,000","43,922,000,000","42,734,000,000","43,470,000,000","42,540,000,000","41,902,000,000","43,858,000,000","43,493,000,000","41,702,000,000","41,897,000,000","44,276,000,000","44,962,000,000","44,997,000,000","44,382,000,000","44,757,000,000","42,642,000,000","43,396,000,000","43,959,000,000","43,864,000,000","40,944,000,000","43,230,000,000","42,164,000,000","42,162,000,000","42,402,000,000","37,825,000,000","35,498,000,000","35,682,000,000","34,774,000,000","33,585,000,000","33,674,000,000","33,519,000,000","31,216,000,000","34,057,000,000","33,282,000,000","34,088,000,000","35,633,000,000","36,815,000,000","37,517,000,000","38,191,000,000","36,348,000,000","36,009,000,000","32,302,000,000","39,023,000,000","36,904,041,300","37,573,351,200","43,238,427,300","41,932,775,500","43,834,749,000","44,003,607,200","43,622,487,600","41,715,765,000","38,948,975,100","42,644,749,200","42,217,752,000","38,605,204,150","38,099,936,510","38,526,381,000","36,223,325,600","36,113,513,910","35,239,725,000","35,295,024,900","33,970,332,240","31,879,062,220","41,202,702,720","28,440,542,260","28,541,110,960","29,346,729,000","33,525,776,400","35,816,167,200","35,918,528,550","35,793,440,100","43,081,209,600","41,588,508,000"
		CapitalStock,"102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","84,000,000","84,000,000","84,000,000","84,000,000","78,000,000","78,000,000","65,000,000","65,000,000","64,000,000","64,000,000","64,000,000","64,000,000","64,000,000","64,000,000","64,000,000","64,000,000","54,000,000","53,000,000","53,000,000","51,000,000","49,000,000","49,000,000","48,000,000","48,000,000","48,000,000","47,000,000","47,000,000","47,000,000","47,000,000","47,000,000","47,000,000","47,000,000","47,000,000","47,000,000","45,000,000","45,974,250","45,622,800","46,512,450","46,508,000","608,307,000","607,600,000","607,460,400","607,462,500","624,928,500","624,807,600","625,575,000","606,581,150","606,021,790","607,618,800","606,267,200","605,609,460","1,195,053,750","1,194,254,400","1,194,550,240","1,193,848,850","1,187,915,760","1,186,315,980","1,191,516,740","1,187,141,550","3,587,083,600","3,583,465,600","3,602,659,170","3,591,179,500","6,022,896,000","6,016,868,000"
			CommonStock,"102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","102,000,000","84,000,000","84,000,000","84,000,000","84,000,000","78,000,000","78,000,000","65,000,000","65,000,000","64,000,000","64,000,000","64,000,000","64,000,000","64,000,000","64,000,000","64,000,000","64,000,000","54,000,000","53,000,000","53,000,000","51,000,000","49,000,000","49,000,000","48,000,000","48,000,000","48,000,000","47,000,000","47,000,000","47,000,000","47,000,000","47,000,000","47,000,000","47,000,000","47,000,000","47,000,000","45,000,000","45,974,250","45,622,800","46,512,450","46,508,000","608,307,000","607,600,000","607,460,400","607,462,500","624,928,500","624,807,600","625,575,000","606,581,150","606,021,790","607,618,800","606,267,200","605,609,460","1,195,053,750","1,194,254,400","1,194,550,240","1,193,848,850","1,187,915,760","1,186,315,980","1,191,516,740","1,187,141,550","3,587,083,600","3,583,465,600","3,602,659,170","3,591,179,500","6,022,896,000","6,016,868,000"
		AdditionalPaidInCapital,"34,891,000,000","34,661,000,000","34,427,000,000","34,219,000,000","35,212,000,000","34,889,000,000","34,785,000,000","34,678,000,000","35,933,000,000","35,668,000,000","35,527,000,000","35,465,000,000","32,388,000,000","32,131,000,000","31,925,000,000","31,702,000,000","32,318,000,000","31,925,000,000","25,994,000,000","25,860,000,000","27,589,000,000","27,007,000,000","26,851,000,000","26,655,000,000","28,406,000,000","27,853,000,000","27,503,000,000","27,196,000,000","23,808,000,000","23,636,000,000","23,273,000,000","21,930,000,000","22,262,000,000","21,796,000,000","21,159,000,000","21,107,000,000","22,565,000,000","23,026,000,000","22,656,000,000","22,462,000,000","24,729,000,000","24,706,000,000","25,424,000,000","24,721,000,000","25,434,000,000","25,166,000,000","25,346,000,000","25,273,577,700","25,183,785,600","24,575,590,350","23,991,151,800","24,251,661,000","24,779,143,200","24,837,567,600","24,406,215,000","24,595,225,200","24,724,902,000","24,697,701,000","22,572,837,550","23,142,857,490","22,873,020,300","23,402,825,600","23,220,013,740","22,925,801,250","22,843,910,700","23,571,301,520","20,704,373,150","20,681,086,320","20,650,535,620","20,728,520,920","19,430,778,960","19,436,197,000","19,409,878,400","19,511,217,360",,,
		RetainedEarnings,"31,816,000,000","30,634,000,000","29,782,000,000","28,901,000,000","27,964,000,000","26,973,000,000","26,714,000,000","26,290,000,000","25,643,000,000","24,973,000,000","27,099,000,000","26,855,000,000","26,552,000,000","25,954,000,000","28,573,000,000","28,532,000,000","28,362,000,000","29,139,000,000","34,967,000,000","34,188,000,000","33,137,000,000","32,083,000,000","31,417,000,000","30,392,000,000","31,092,000,000","30,261,000,000","30,859,000,000","30,405,000,000","29,474,000,000","28,171,000,000","28,025,000,000","27,771,000,000","27,097,000,000","27,053,000,000","27,804,000,000","27,121,000,000","26,455,000,000","25,316,000,000","24,570,000,000","23,961,000,000","24,929,000,000","25,258,000,000","24,527,000,000","22,173,000,000","20,786,000,000","18,780,000,000","25,472,000,000","30,002,795,550","31,466,838,600","33,701,106,150","33,100,906,300","34,900,698,000","34,205,449,600","32,333,238,600","27,700,290,000","27,126,798,300","27,256,742,400","24,642,387,000","23,462,662,350","21,532,351,380","22,412,521,800","20,472,914,000","19,548,973,680","18,168,063,750","16,713,236,100","14,863,724,200","1,073,804,380","1,198,727,280","1,234,902,300","4,735,657,020","3,182,424,180","5,340,703,200","7,548,472,800","7,250,206,110","7,579,577,500","7,216,704,000","3,393,416,000"
		TreasuryStock,"1,882,000,000","1,484,000,000","999,000,000","603,000,000","580,000,000","61,000,000","59,000,000","96,000,000","287,000,000","103,000,000","17,000,000","40,000,000","99,000,000","0","18,000,000","94,000,000","158,000,000","125,000,000","118,000,000","151,000,000","1,008,000,000","192,000,000","163,000,000","190,000,000","249,000,000","139,000,000","85,000,000","62,000,000","446,000,000","459,000,000","471,000,000","66,000,000","0","90,000,000","0","111,000,000","0","552,000,000","93,000,000","0","1,637,000,000","856,000,000","641,000,000","554,000,000","948,000,000","752,000,000","5,281,000,000","9,814,991,550","9,717,656,400","9,386,439,300","9,359,735,000","11,185,275,500","10,501,758,400","9,119,224,800","7,773,015,000","9,033,280,200","7,351,598,400","5,836,944,000","6,058,051,400","5,058,296,040","4,151,663,100","4,541,306,000","4,482,257,670","4,039,706,250","3,522,038,400","3,142,509,760",,,,,,,,,,"8,092,761,600",
		GainsLossesNotAffectingRetainedEarnings,"-16,252,000,000","-20,269,000,000","-18,162,000,000","-18,946,000,000","-18,873,000,000","-17,981,000,000","-18,808,000,000","-17,504,000,000","-18,851,000,000","-18,738,000,000","-18,853,000,000","-18,889,000,000","-17,223,000,000","-16,272,000,000","-16,288,000,000","-15,262,000,000","-15,603,000,000","-16,635,000,000","-16,151,000,000","-17,320,000,000","-16,386,000,000","-15,003,000,000","-14,305,000,000","-15,977,000,000","-16,083,000,000","-15,875,000,000","-16,179,000,000","-15,201,000,000","-15,065,000,000","-15,903,000,000","-15,198,000,000","-14,912,000,000","-15,823,000,000","-15,134,000,000","-15,492,000,000","-16,949,000,000","-15,011,000,000","-14,555,000,000","-13,092,000,000","-10,837,000,000","-11,253,000,000","-11,638,000,000","-11,166,000,000","-10,039,000,000","-9,310,000,000","-10,939,000,000","-6,559,000,000","-8,603,314,650","-9,405,239,400","-5,697,207,900","-5,846,055,600","-4,739,420,000","-5,086,827,200","-5,037,774,000","-3,226,440,000","-4,364,696,700","-2,610,104,400","-1,910,967,000","-1,980,118,850","-2,122,998,110","-3,215,116,800","-3,717,375,200","-2,780,071,410","-3,009,487,500","-1,934,337,900","-2,517,973,120","8,905,716,670","18,134,973,360","5,368,788,360","1,885,416,280","3,229,614,900","5,161,792,600","5,276,031,200","5,556,108,420","24,622,683,100","37,934,371,200","32,179,966,000"
