name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
InterestExpense,,,,,,,,,,,,,,,"7,662,000","9,391,000","10,258,000","11,300,000","11,264,000","11,640,000","11,457,000","9,912,000",,,,,,,,,,,,,,,,
NetInterestIncome,"-209,984,000","-56,988,000","-53,923,000","-49,717,000","-49,356,000","-45,354,000","-41,005,000","-20,683,000","-10,833,000","-10,167,000","-9,426,000","-8,662,000","-7,926,000","10,545,000","-7,662,000","-9,391,000","-10,258,000","-11,300,000","-11,264,000","-11,640,000","-11,457,000","-9,912,000","-8,660,000","-6,629,000","-5,655,000","-1,059,000","-196,000","-6,485,000","-4,204,000","-4,301,000","-2,901,000","-1,214,000","-1,539,000","-699,000","-1,759,000","-1,298,000","-1,294,000","-1,304,000"
EBIT,"1,077,837,000","275,539,000","267,831,000","262,940,000","271,527,000","243,428,000","233,500,000","182,273,000","178,342,000","148,997,000","145,506,000","141,092,000","145,113,000","119,243,000","134,230,000","134,153,000","139,323,000","124,009,000","105,380,000","102,959,000","113,466,000","86,202,000","64,387,000","61,540,000","40,241,000","31,414,000","27,593,000","24,146,000","26,137,000","24,003,000","14,297,000","15,999,000","16,392,000","16,785,000","14,007,000","8,732,000","15,096,000","12,493,000"
EBITDA,"1,354,255,000"
ReconciledCostOfRevenue,"276,418,000","74,964,000","73,737,000","70,265,000","57,452,000","55,344,000","53,954,000","38,463,000","23,179,000","33,294,000","22,244,000","21,400,000","20,547,000","16,398,000","15,704,000","15,111,000","15,478,000","14,238,000","13,217,000","12,258,000","11,927,000","9,857,000","9,846,000","8,525,000","6,849,000","5,697,000","5,278,000","7,858,000","7,348,000","-1,056,000","8,109,000","6,162,000","7,024,000","6,734,000","5,424,000","9,176,000","4,887,000","6,838,000"
ReconciledDepreciation,"276,418,000","74,964,000","73,737,000","70,265,000","57,452,000","55,344,000","81,883,000","53,055,000","23,179,000","33,294,000","22,244,000","21,400,000","20,547,000","16,398,000","15,704,000","15,111,000","15,478,000","14,238,000","13,217,000","12,258,000","11,927,000","9,857,000","9,846,000","10,047,000","6,849,000","5,697,000","287,000","7,858,000","7,348,000","7,196,000","6,835,000","3,170,000","3,038,000","2,935,000","2,835,000","2,859,000","2,841,000","2,812,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"183,373,000","-210,478,000","-10,518,000","152,438,000","251,931,000","-36,107,000","209,927,000","172,619,000","177,218,000","146,631,000","142,938,000","139,139,000","143,196,000","157,559,000","126,568,000","124,762,000","129,065,000","112,709,000","94,116,000","91,319,000","95,306,000","74,656,000","56,533,000","52,080,000","34,855,000","30,752,000","27,716,000","17,890,000","22,230,000","-3,086,000","12,011,000","12,012,000","11,123,000","10,633,000","8,381,000","4,940,000","8,635,000","6,465,000"
TotalUnusualItemsExcludingGoodwill,"-873,651,000","-475,737,000","-298,908,000","-95,493,000","-3,513,000","-261,941,000",,,,,,,,,,,,,,,,,,,,,,,,,"615,000","4,157,000","2,471,000","1,669,000","1,151,000","660,000","346,000","-11,000"
TotalUnusualItems,"-873,651,000","-475,737,000","-298,908,000","-95,493,000","-3,513,000","-261,941,000",,,,,,,,,,,,,,,,,,,,,,,,,"615,000","4,157,000","2,471,000","1,669,000","1,151,000","660,000","346,000","-11,000"
NormalizedEBITDA,"2,227,906,000","826,240,000","640,476,000","428,698,000","332,492,000","298,772,000","315,383,000","235,328,000","201,521,000","182,291,000","167,750,000","162,492,000","165,660,000","135,641,000","149,934,000","149,264,000","154,801,000","138,247,000","118,597,000","115,217,000","125,393,000","96,059,000","74,233,000","71,587,000","47,090,000","37,111,000","27,880,000","32,004,000","33,485,000","31,199,000","20,517,000","15,012,000","16,959,000","18,051,000","15,691,000","10,931,000","17,591,000","15,316,000"
TaxRateForCalcs,"0.27","0","0","0.27","0.27","0","0.27","0.27","0.27","0.4","0","0","0","0.4","0.4","0","0.4","0","0","0","0.066","0","0","0.061","0","0","0","0","0","0","0","0.366","0.358","0.4","0.375","0.39","0.39","0.35"
TaxEffectOfUnusualItems,"-235,885,770","0","0","-25,783,110","-948,510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,520,853.659","884,476.507","667,600","431,055.9","257,183.099","134,824.569","-3,850"
