name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
			GrossAccountsReceivable,,,,,,,,,"444,912,000","366,438,000","416,678,000","240,664,000","273,678,000","180,889,000","272,772,000","129,702,000","123,063,000","95,852,000","38,936,000","34,722,000","35,943,000","30,100,000","14,900,000","16,400,000",
		OtherReceivables,,"263,523,000","90,014,000",,,"485,534,000",,,"661,972,000","24,549,000","20,871,000","806,466,000","24,206,000","24,040,000","27,900,000","31,847,000","33,912,000","37,592,000",,,,,,,
	NetPPE,"985,520,000","904,377,000","834,230,000","726,703,000","655,426,000","555,228,000","531,947,000","501,205,000","431,512,000","363,696,000","350,345,000","349,875,000","339,297,000","311,041,000","247,875,000","185,926,000","156,714,000","118,961,000","99,132,000","86,386,000","72,851,000","57,000,000","44,200,000","30,300,000",
		GrossPPE,"1,315,277,000","1,201,642,000","1,126,294,000","990,927,000","890,117,000","765,798,000","720,182,000","666,227,000","578,462,000","493,117,000","464,331,000",,,,,,,,,,,,,,
			LandAndImprovements,"168,066,000","164,232,000","147,704,000","137,428,000","134,030,000","128,766,000","116,906,000","105,427,000","101,260,000","88,059,000","81,848,000",,,,,,,,,,,,,,
			BuildingsAndImprovements,"646,153,000","586,968,000","555,636,000","533,211,000","506,977,000","470,636,000","440,456,000","415,502,000","340,901,000","296,590,000","284,134,000",,,,,,,,,,,,,,
			MachineryFurnitureEquipment,"243,926,000","201,055,000","203,657,000","186,450,000","173,330,000","160,659,000","144,854,000","134,945,000","116,960,000","102,494,000","94,953,000",,,,,,,,,,,,,,
			ConstructionInProgress,"25,940,000","16,179,000","6,962,000","4,436,000","12,610,000","5,737,000","17,966,000","10,353,000","19,341,000","5,974,000","3,396,000",,,,,,,,,,,,,,
			OtherProperties,"231,192,000","233,208,000","212,335,000","129,402,000","63,170,000","555,228,000","531,947,000","501,205,000",,,,,,,,,,,,,,,,,
		AccumulatedDepreciation,"-329,757,000","-297,265,000","-292,064,000","-264,224,000","-234,691,000","-210,570,000","-188,235,000","-165,022,000","-146,950,000","-129,421,000","-113,986,000",,,,,,,,,,,,,,
	GoodwillAndOtherIntangibleAssets,"692,277,000","622,565,000","519,505,000","520,438,000","495,970,000","424,445,000","393,760,000","366,348,000","327,538,000","293,765,000","291,649,000","290,918,000","293,941,000","290,535,000","214,323,000","124,682,000","52,088,000","26,431,000","10,085,000","10,770,000","11,483,000","1,500,000","1,800,000","1,900,000",
		Goodwill,"645,220,000","573,141,000","501,884,000","498,587,000","471,761,000","405,634,000","374,547,000","345,401,000","305,468,000","281,190,000","278,025,000",,,,,,,,,,,,,,
		OtherIntangibleAssets,"47,057,000","49,424,000","17,621,000","21,851,000","24,209,000","18,811,000","19,213,000","20,947,000","22,070,000","12,575,000","13,624,000",,,,,,,,,,,,,,
	OtherAssets,,,,,,"11,846,000","85,672,000","208,160,000","344,251,000","118,182,000",,,,,,,,,,,,"-100,000",,,"212,657,930"
TotalLiabilitiesNetMinorityInterest,"32,929,333,000","27,977,279,000","24,939,031,000","22,972,936,000","20,564,892,000","17,940,905,000","16,197,194,000","15,714,908,000","14,350,275,000","12,543,607,000","11,076,981,000","9,591,754,000","8,629,304,000","8,798,506,000","7,549,131,000","5,945,136,000","4,397,561,000","3,494,553,000","2,564,144,000","2,000,530,000","1,586,435,000","1,272,800,000","984,600,000","663,400,000","430,403,000"
	TotalDeposits,"30,107,138,000","26,094,678,000","23,183,347,000","21,658,632,000","18,639,634,000","16,281,844,000","14,668,789,000","14,428,544,000","12,307,267,000","10,803,673,000","9,917,074,000","8,376,750,000","7,471,441,000","7,869,240,000","6,729,434,000","5,104,734,000","3,876,621,000","3,089,124,000","2,314,636,000","1,826,576,000","1,463,622,000","1,229,100,000","917,700,000","618,100,000","405,658,000"
		InterestBearingDepositsLiabilities,"22,890,380,000","19,524,798,000","16,390,850,000","15,731,255,000","13,803,214,000","12,763,159,000","11,947,018,000","12,032,280,000","10,521,834,000","9,602,479,000","9,052,768,000","7,618,906,000","6,807,177,000","7,170,037,000","6,109,343,000","4,599,422,000","3,515,955,000","2,783,584,000","2,060,367,000","1,628,257,000","1,309,588,000","1,097,800,000","824,900,000","550,900,000",
			CustomerAccounts,"22,890,380,000","19,524,798,000","16,390,850,000","15,731,255,000","13,803,214,000","12,763,159,000","11,947,018,000","12,032,280,000","10,521,834,000","9,602,479,000","9,052,768,000","7,618,906,000","6,807,177,000","7,170,037,000","6,109,343,000","4,599,422,000","3,515,955,000","2,783,584,000","2,060,367,000","1,628,257,000","1,309,588,000","1,097,800,000","824,900,000","550,900,000",
		NonInterestBearingDeposits,"7,216,758,000","6,569,880,000","6,792,497,000","5,927,377,000","4,836,420,000","3,518,685,000","2,721,771,000","2,396,264,000","1,785,433,000","1,201,194,000","864,306,000","757,844,000","664,264,000","699,203,000","620,091,000","505,312,000","360,666,000","305,540,000","254,269,000","198,319,000","154,034,000","131,300,000","92,800,000","67,200,000",
	FederalFundsPurchasedAndSecuritiesSoldUnderAgreementToRepurchase,,,"17,209,000",,"58,887,000","48,566,000","235,347,000",,,,,,,,,,,,"90,000,000",,,,,,
		FinancialInstrumentsSoldUnderAgreementsToRepurchase,,,"17,209,000",,"58,887,000","48,566,000","235,347,000",,,,,,,,,,,,,,,,,,
	PayablesAndAccruedExpenses,"1,039,490,000","669,644,000","537,244,000","505,450,000","390,797,000","340,053,000","606,046,000","331,245,000","187,459,000","155,321,000","170,990,000","121,744,000","102,884,000","104,085,000","93,126,000","79,488,000","126,034,000","98,802,000","33,809,000","51,690,000","23,570,000","12,600,000","11,000,000",,
		Payables,"1,039,490,000","669,644,000","537,244,000","505,450,000","390,797,000","340,053,000","606,046,000","331,245,000","187,459,000","155,321,000","170,990,000","121,744,000","102,884,000","104,085,000","93,126,000","79,488,000","126,034,000","98,802,000","33,809,000","51,690,000","23,570,000","12,600,000","11,000,000",,
			AccountsPayable,"1,039,490,000","669,644,000","537,244,000","505,450,000","390,259,000","336,225,000","302,958,000","331,245,000","187,459,000","155,321,000","170,990,000","121,744,000","102,884,000","104,085,000","93,126,000","79,488,000","126,034,000","98,802,000","33,809,000","51,690,000","23,570,000","12,600,000","11,000,000",,
			OtherPayable,,,,,"538,000","3,828,000","303,088,000",,"47,000",,,,,,,,,,,,,,,,
	CurrentDebtAndCapitalLeaseObligation,"20,520,000","50,593,000",,"61,809,000","5,000,000",,,,"52,822,000","1,000,000","1,000,000",,,,"34,916,000","250,294,000","75,669,000","90,733,000","28,074,000","43,639,000","59,843,000",,"35,500,000","7,100,000",
		CurrentDebt,"20,520,000","50,593,000",,"61,809,000","5,000,000",,,,"52,822,000","1,000,000","1,000,000",,,,"34,916,000","250,294,000","75,669,000","90,733,000","28,074,000","43,639,000","59,843,000",,"35,500,000","7,100,000",
			CurrentNotesPayable,,,,,,,,,"52,822,000","1,000,000","1,000,000",,,,,,,,,,,,,,
			OtherCurrentBorrowings,"20,520,000","50,593,000",,"61,809,000","5,000,000",,,,,,,,,,"34,916,000","250,294,000","75,669,000","90,733,000","28,074,000","43,639,000","59,843,000",,"35,500,000","7,100,000",
	LongTermDebtAndCapitalLeaseObligation,"1,762,185,000","1,162,364,000","1,201,231,000","747,045,000","1,470,574,000","1,270,442,000","687,012,000","955,119,000","1,802,727,000","1,583,613,000","987,917,000","1,093,260,000","1,054,979,000","825,181,000","691,655,000","510,620,000","319,237,000","215,894,000","97,625,000","78,625,000","39,400,000","31,100,000","20,400,000","22,100,000","10,758,000"
		LongTermDebt,"1,762,185,000","1,162,364,000","1,201,231,000","747,045,000","1,470,574,000","1,270,442,000","687,012,000","955,119,000","1,802,727,000","1,583,613,000","987,917,000","1,093,260,000","1,054,979,000","825,181,000","691,655,000","510,620,000","319,237,000","215,894,000","97,625,000","78,625,000","39,400,000","31,100,000","20,400,000","22,100,000","10,758,000"
			AdvanceFromFederalHomeLoanBanks,"674,870,000","426,326,000","559,663,000","153,831,000","859,876,000","733,050,000","417,762,000","414,122,000","474,481,000","423,500,000","430,987,000",,,,,,,,,,,,,,
	OtherLiabilities,,,,,,,,,,,,,,,,,,,,,,,,"16,100,000","13,987,000"
