name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
MarketCap,"9,499,691,954","14,719,637,085","11,524,783,534","14,523,943,784","11,275,528,236","9,882,852,057","9,168,046,491","8,680,341,886","7,108,876,116","6,910,622,657","6,412,610,092","4,635,049,614","1,782,541,962","6,446,800,864","4,106,345,076","3,031,708,518"
EnterpriseValue,"13,200,691,954","18,136,637,085","14,215,783,534","17,420,943,784","13,004,528,236","11,904,852,057","11,026,046,491","10,630,341,886","9,194,876,116","9,196,622,657","8,812,610,092","6,879,049,614","4,633,541,962","9,177,800,864","7,042,345,076","6,126,708,518"
PeRatio,"13.108","16.959","9.294","18.399","25.076","19.745","6.908","17.284","11.688","11.469","15.362","10.422","5.452","21.592","8.803","478"
ForwardPeRatio,"11.025","11.136",,"13.038","10.87","10.989","11.124","11.074","9.551","9.416","10.661",,,,,
PegRatio,"3.814","7.281",,"3.554",,,"0.959","0.954","0.823","0.853","1.524",,,,,
PsRatio,"1.623","2.396","1.738","2.559","2.141","1.758","1.37","1.383","1.109","1.056","1.102","0.992","0.298","1.125","0.707","0.454"
PbRatio,"3.881","5.358","3.255","5.355","4.087","3.573","3.114","4.165","4.109","4.757","6.94","7.937","9.794","6.07","7.521","51.385"
EnterprisesValueRevenueRatio,"2.175","2.88","1.987","2.837","2.413","2.098","1.621","1.633","1.433","1.36","1.489","1.354","0.679","1.424","1.058","1.009"
EnterprisesValueEBITDARatio,"9.671","12.431","7.165","11.56","9","12.273","7.955","5.062","7.913","7.146","8.457","8.969","5.792","8.626","6.656","6.157"
