name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013
TotalRevenue,"3,127,948,000","783,708,000","800,240,000","780,691,000","763,309,000","722,022,000","729,648,000","717,596,000","722,841,000","701,837,000","655,896,000","582,009,000","533,724,000","487,760,000","472,386,000","453,255,000","455,847,000","430,223,000","428,947,000","403,510,000","392,848,000","388,578,000","369,963,000","377,337,000","357,545,000","354,740,000","379,216,000","198,218,000","219,629,000"
	OperatingRevenue,"3,127,948,000","783,708,000","800,240,000","780,691,000","763,309,000","722,022,000","729,648,000","717,596,000","722,841,000","701,837,000","568,802,000","494,550,000","457,942,000","427,080,000","413,613,000","399,841,000","394,249,000","372,320,000","362,265,000","345,096,000","336,518,000","331,968,000","323,759,000","320,063,000","311,422,000","311,352,000","324,362,000","162,568,000","179,463,000"
CostOfRevenue,"2,251,816,000","580,703,000","564,498,000","559,269,000","547,346,000","518,508,000","505,230,000","514,139,000","528,822,000","522,440,000","455,974,000","414,324,000","376,393,000","348,192,000","333,128,000","313,324,000","316,534,000","301,390,000","301,564,000","271,222,000","276,207,000","275,571,000","261,147,000","273,020,000","259,501,000","258,539,000","277,630,000","133,498,000","146,238,000"
GrossProfit,"876,132,000","203,005,000","235,742,000","221,422,000","215,963,000","203,514,000","224,418,000","203,457,000","194,019,000","179,397,000","199,922,000","167,685,000","157,331,000","139,568,000","139,258,000","139,931,000","139,313,000","128,833,000","127,383,000","132,288,000","116,641,000","113,007,000","108,816,000","104,317,000","98,044,000","96,201,000","101,586,000","64,720,000","73,391,000"
OperatingExpense,"526,799,000","139,844,000","134,185,000","125,378,000","127,395,000","124,703,000","127,563,000","164,660,000","120,173,000","107,463,000","195,267,000","110,900,000","92,296,000","89,460,000","100,554,000","84,898,000","88,922,000","109,859,000","83,321,000","82,853,000","78,125,000","80,070,000","97,113,000","87,335,000","80,608,000","85,477,000","124,243,000","101,097,000","54,166,000"
	SellingGeneralAndAdministration,"404,787,000","106,957,000","103,486,000","95,542,000","98,804,000","97,095,000","96,371,000","92,553,000","91,169,000","91,702,000","92,217,000","79,307,000","76,195,000","74,268,000","70,245,000","67,190,000","68,468,000","63,990,000","63,586,000","63,091,000","58,905,000","60,835,000","73,689,000","63,432,000","56,010,000","60,839,000","69,730,000","46,145,000","44,798,000"
	DepreciationAmortizationDepletionIncomeStatement,"119,568,000","32,278,000","29,436,000","29,264,000","28,591,000","27,608,000","28,084,000","28,270,000","28,554,000","27,339,000","28,081,000","18,853,000","16,101,000","15,192,000","17,260,000","17,708,000","17,585,000","16,953,000","19,735,000","19,762,000","19,220,000","19,235,000","23,424,000","23,903,000","24,598,000","24,638,000","25,333,000","8,234,000","9,368,000"
		DepreciationAndAmortizationInIncomeStatement,"119,568,000","32,278,000","29,436,000","29,264,000","28,591,000","27,608,000","28,084,000","28,270,000","28,554,000","27,339,000","28,081,000","18,853,000","16,101,000","15,192,000","17,260,000","17,708,000","17,585,000","16,953,000","19,735,000","19,762,000","19,220,000","19,235,000","23,424,000","23,903,000","24,598,000","24,638,000","25,333,000","8,234,000","9,368,000"
	OtherOperatingExpenses,,"609,000","1,263,000","572,000",,,"3,108,000","43,837,000","450,000","-11,578,000","74,969,000","12,740,000",,,"13,049,000",,"2,869,000","28,916,000",,,,,,,,,"29,180,000","46,718,000",
OperatingIncome,"349,333,000","63,161,000","101,557,000","96,044,000","88,568,000","78,811,000","96,855,000","38,797,000","73,846,000","71,934,000","4,655,000","56,785,000","65,035,000","50,108,000","38,704,000","55,033,000","50,391,000","18,974,000","44,062,000","49,435,000","38,516,000","32,937,000","11,703,000","16,982,000","17,436,000","10,724,000","-22,657,000","-36,377,000","19,225,000"
