name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"1,300,029,000","363,545,000","335,466,000","320,647,000","280,371,000","355,543,000","325,311,000","302,835,000","223,881,000","274,219,000","271,646,000","289,507,000","220,859,000","310,350,000","208,702,000","257,378,000","204,690,000","244,538,000","226,544,000","172,821,000","113,141,000","103,841,000","75,126,000","66,062,000","51,926,000","26,373,000","26,218,000","12,254,000","9,171,000","6,747,000","6,521,000","3,841,000","2,523,000","3,526,000","273,000","1,335,000","1,793,000","30,000","689,000","1,657,000","0","0","0","0","0"
	OperatingRevenue,"1,300,029,000","363,545,000","335,466,000","320,647,000","280,371,000","355,543,000","325,311,000","302,835,000","223,881,000","274,219,000","271,646,000","289,507,000","220,859,000","310,350,000","208,702,000","257,378,000","204,690,000","244,538,000","226,544,000","172,821,000","113,141,000","103,841,000","75,126,000","66,062,000","92,248,000","43,136,000","31,524,000","17,637,000","10,698,000","8,151,000","7,311,000","4,608,000","2,523,000","3,538,000","273,000","1,335,000","1,793,000","30,000","689,000","1,657,000","0","0","0","0","0"
CostOfRevenue,"362,175,000","94,921,000","89,949,000","89,163,000","88,142,000","107,132,000","99,011,000","100,082,000","116,092,000","151,492,000","125,517,000","130,150,000","139,116,000","149,752,000","85,161,000","81,126,000","77,233,000","67,573,000","61,250,000","61,826,000","28,853,000","32,680,000","13,644,000","24,810,000","7,619,000","1,548,000","5,313,000","3,517,000","4,247,000","3,931,000","3,810,000","2,855,000","2,067,000","2,076,000","1,249,000","2,104,000","1,839,000","816,000","737,000","2,132,000","0","0","0","0","0"
GrossProfit,"937,854,000","268,624,000","245,517,000","231,484,000","192,229,000","248,411,000","226,300,000","202,753,000","107,789,000","122,727,000","146,129,000","159,357,000","81,743,000","160,598,000","123,541,000","176,252,000","127,457,000","176,965,000","165,294,000","110,995,000","84,288,000","71,161,000","61,482,000","41,252,000","44,307,000","24,825,000","20,905,000","8,737,000","4,924,000","2,816,000","2,711,000","986,000","456,000","1,450,000","-976,000","-769,000","-46,000","-786,000","-48,000","-475,000","0","0","0","0","0"
OperatingExpense,"800,280,000","213,949,000","196,898,000","195,409,000","194,024,000","194,310,000","182,754,000","200,939,000","197,244,000","198,295,000","171,880,000","345,024,000","187,126,000","224,706,000","144,863,000","144,785,000","154,661,000","138,916,000","119,562,000","144,168,000","79,524,000","62,178,000","73,443,000","48,352,000","42,720,000","30,587,000","23,649,000","24,541,000","23,468,000","24,842,000","21,425,000","19,331,000","20,244,000","21,078,000","14,679,000","7,979,000","6,944,000","11,641,000","11,556,000","11,484,000","7,618,000","5,321,000","4,509,000","4,776,000","4,183,000"
	SellingGeneralAndAdministration,"697,111,000","185,391,000","172,326,000","167,095,000","172,299,000","174,627,000","161,585,000","176,674,000","179,599,000","167,423,000","153,952,000","181,923,000","174,065,000","200,745,000","132,049,000","133,575,000","141,939,000","125,227,000","106,489,000","135,246,000","73,343,000","55,319,000","69,220,000","44,807,000","39,887,000","27,688,000","21,495,000","21,708,000","21,270,000","20,103,000","17,629,000","15,098,000","16,175,000","17,256,000","9,333,000","4,517,000","4,215,000","6,805,000","5,835,000","7,192,000","4,792,000","2,009,000","2,012,000","2,120,000","1,754,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,"108,076,000","59,485,000","53,986,000","66,395,000","61,875,000","54,516,000","77,190,000","26,280,000","21,975,000","38,109,000","17,681,000","11,192,000","7,568,000","5,874,000","5,182,000","5,200,000","5,008,000","4,678,000","4,555,000","5,203,000","4,368,000","4,192,000","3,348,000","3,098,000","4,855,000","3,880,000","5,795,000","4,533,000","1,338,000","1,580,000","1,400,000","1,505,000"
			OtherGandA,,,,,,,,,,,,,,"108,076,000","59,485,000","53,986,000","66,395,000","61,875,000","54,516,000","77,190,000","26,280,000","21,975,000","38,109,000","17,681,000","11,192,000","7,568,000","5,874,000","5,182,000","5,200,000","5,008,000","4,678,000","4,555,000","5,203,000","4,368,000","4,192,000","3,348,000","3,098,000","4,855,000","3,880,000","5,795,000","4,533,000","1,338,000","1,580,000","1,400,000","1,505,000"
		SellingAndMarketingExpense,,,,,,,,,,,,,,"92,669,000","72,564,000","79,589,000","75,544,000","63,352,000","51,973,000","58,056,000","47,063,000","33,344,000","31,111,000","27,126,000","28,695,000","20,120,000","15,621,000","16,526,000","16,070,000","15,095,000","12,951,000","10,543,000","10,972,000","12,888,000","5,141,000","1,169,000","1,117,000","1,950,000","1,955,000","1,397,000","259,000","671,000","432,000","720,000","249,000"
	ResearchAndDevelopment,"103,169,000","28,558,000","24,572,000","28,314,000","21,725,000","19,683,000","21,169,000","24,265,000","17,645,000","30,872,000","17,928,000","163,101,000","13,061,000","23,961,000","12,814,000","11,210,000","12,722,000","13,689,000","13,073,000","8,922,000","6,181,000","6,859,000","4,223,000","3,545,000","2,833,000","2,899,000","2,154,000","2,833,000","2,198,000","4,739,000","3,796,000","4,233,000","4,069,000","3,822,000","5,346,000","3,462,000","2,729,000","4,836,000","5,721,000","4,292,000","2,826,000","3,312,000","2,497,000","2,656,000","2,429,000"
