name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
TotalAssets,"4,430,529,000","4,124,915,000","3,089,593,000","3,099,597,000","2,387,462,000","2,074,935,000","1,685,488,000","1,486,492,000","1,228,024,000","1,061,647,000","763,653,000","751,148,000","769,881,000","778,791,000","768,956,000","792,925,000","671,352,000","608,646,000","565,163,000","490,186,000","442,000,000","378,700,000","384,700,000","351,700,000","314,400,000","331,200,000","180,500,000","146,700,000","135,500,000","138,700,000","137,600,000","118,100,000","116,100,000"
	CurrentAssets,"1,626,960,000","1,485,703,000","1,253,504,000","1,190,989,000","1,154,725,000","1,096,555,000","865,698,000","1,017,841,000","878,676,000","808,145,000","491,500,000","443,612,000","447,556,000","392,961,000","373,988,000","465,655,000","387,716,000","343,659,000","305,317,000","240,912,000","214,700,000","183,800,000","217,500,000","193,400,000","175,800,000","206,500,000","109,700,000","75,000,000","59,200,000","66,900,000","60,300,000","36,400,000","25,400,000"
		CashCashEquivalentsAndShortTermInvestments,"157,064,000","161,164,000","138,345,000","127,325,000","155,349,000","137,600,000","92,248,000","417,015,000","325,336,000","393,927,000","140,240,000","27,127,000","63,281,000","19,566,000","19,675,000","138,469,000","82,761,000","81,193,000","40,530,000","2,369,000","6,200,000","1,500,000","1,200,000","5,800,000","3,500,000","62,900,000","33,800,000","19,100,000","20,100,000","32,000,000","27,900,000","15,600,000","1,100,000"
			CashAndCashEquivalents,"157,064,000","161,164,000","138,345,000","127,325,000","155,349,000","137,600,000","92,248,000","417,015,000","325,336,000","393,927,000","140,240,000","27,127,000","63,281,000","19,566,000","19,675,000","138,469,000","82,761,000","81,193,000","40,530,000","2,369,000","6,200,000","1,500,000","1,200,000","5,800,000","3,500,000","62,900,000","33,800,000","19,100,000","20,100,000","32,000,000","27,900,000","15,600,000","1,100,000"
		Receivables,"222,877,000","233,556,000","229,745,000","225,494,000","196,953,000","207,567,000","198,430,000","135,499,000","140,025,000","89,294,000","90,405,000","103,119,000","82,884,000","63,815,000","78,350,000","71,172,000","51,885,000","51,001,000","56,119,000","56,130,000","53,300,000","43,000,000","42,600,000","36,200,000","40,400,000","29,700,000","21,300,000","16,900,000","10,500,000","9,200,000","10,500,000","5,500,000","3,400,000"
			AccountsReceivable,"190,430,000","197,082,000","200,144,000","174,832,000","150,778,000","204,876,000","186,213,000","119,769,000","115,302,000","89,294,000","90,405,000","98,598,000","82,884,000","63,815,000","78,350,000","71,172,000","51,885,000","51,001,000","56,119,000",,,,,,,,,,,,,,
				GrossAccountsReceivable,"199,881,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-9,451,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"32,447,000","36,474,000","29,601,000","50,662,000","46,175,000","2,691,000","12,217,000","15,730,000","24,723,000",,"0","4,521,000",,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,121,111,000","969,511,000","783,961,000","746,534,000","710,001,000","565,685,000","417,948,000","344,996,000","298,042,000","235,927,000","179,315,000","222,312,000","218,342,000","230,533,000","202,022,000","173,624,000","182,835,000","155,858,000","152,717,000","143,491,000","118,100,000","107,400,000","139,500,000","122,900,000","104,600,000","88,700,000","52,100,000","37,600,000","27,000,000","22,500,000","20,600,000","14,000,000","18,000,000"
			RawMaterials,"701,602,000","575,851,000","501,792,000","457,949,000","357,300,000","329,278,000","233,261,000","165,662,000","61,296,000","35,580,000","19,777,000","18,211,000","29,952,000","19,391,000","17,321,000","14,993,000","14,498,000",,,,,,,,,,,,,,,,
			FinishedGoods,"476,169,000","442,003,000","329,288,000","333,760,000","388,970,000","262,578,000","206,290,000","196,691,000","175,252,000","155,744,000","116,575,000","148,421,000","134,455,000","155,927,000","126,311,000","100,735,000","104,821,000",,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,"77,437,000","60,813,000","58,556,000","72,896,000","67,463,000","67,302,000","70,299,000","67,966,000","63,516,000",,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,"-56,660,000","-48,343,000","-47,119,000","-45,175,000","-36,269,000","-26,171,000","-21,603,000","-17,357,000","-15,943,000","-16,210,000","-15,593,000","-17,216,000","-13,528,000","-12,087,000","-11,909,000","-10,070,000",,,,,,,,,,,,,,,,,
		PrepaidAssets,"125,908,000","121,472,000","101,453,000","91,636,000","92,422,000","71,526,000","63,716,000","34,039,000","37,608,000","21,628,000","20,638,000","14,924,000","17,643,000","19,940,000","13,330,000","12,090,000","10,718,000","10,136,000","10,203,000",,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,"0","114,177,000","93,356,000","86,292,000","77,665,000","67,369,000","60,902,000","76,130,000","65,406,000","59,107,000","60,498,000","65,489,000","59,517,000","45,471,000",,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,"0","114,177,000","93,356,000","86,292,000","77,665,000","67,369,000","60,902,000","76,130,000","65,406,000","59,107,000","60,498,000","65,489,000","59,517,000","45,471,000",,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,"113,000","4,811,000",,,"45,748,000","38,922,000","37,100,000","31,900,000","34,200,000","28,500,000","27,300,000","25,200,000","2,500,000","1,400,000","1,600,000","3,200,000","1,300,000","1,300,000","2,900,000"
	TotalNonCurrentAssets,"2,803,569,000","2,639,212,000","1,836,089,000","1,908,608,000","1,232,737,000","978,380,000","819,790,000","468,651,000","349,348,000","253,502,000","272,153,000","307,536,000","322,325,000","385,830,000","394,968,000","327,270,000","283,636,000","264,987,000","259,846,000","249,274,000","227,300,000","194,900,000","167,200,000","158,300,000","138,600,000","124,700,000","70,800,000","71,700,000","76,300,000","71,800,000","77,300,000","81,700,000","90,700,000"
		NetPPE,"1,009,962,000","843,122,000","747,189,000","727,596,000","650,678,000","555,428,000","455,167,000","253,369,000","213,778,000","184,011,000","194,416,000","215,637,000","204,351,000","204,001,000","222,336,000","200,901,000","176,421,000","169,596,000","170,323,000","167,864,000","150,900,000","124,300,000","98,000,000","93,500,000","78,500,000","53,700,000","39,700,000","33,400,000","30,600,000","18,600,000","16,500,000","13,400,000","14,100,000"
			GrossPPE,"2,003,547,000","1,707,536,000","1,547,787,000","1,466,605,000","1,297,323,000","1,099,799,000","930,017,000","691,568,000","648,153,000","607,393,000","572,327,000","596,189,000","569,134,000","527,094,000","514,552,000","464,485,000","404,858,000","387,131,000","359,997,000","318,619,000","275,500,000","229,500,000","184,400,000","171,200,000","126,400,000","92,100,000","67,200,000","53,100,000","43,000,000","32,000,000","24,800,000","17,800,000","29,100,000"
				Properties,"502,853,000","462,224,000","410,604,000","386,366,000","301,874,000","272,802,000","228,916,000","133,688,000","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,
				LandAndImprovements,,,,,,,,,"123,771,000","118,831,000","118,304,000","117,396,000","105,377,000","104,612,000","99,106,000","77,910,000","67,561,000","62,089,000","54,350,000",,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"1,390,541,000","1,245,312,000","1,137,183,000","1,080,239,000","995,449,000","826,997,000","701,101,000","557,880,000","524,382,000","488,562,000","454,023,000","478,793,000","463,757,000","422,482,000","415,446,000","386,575,000","337,297,000","325,042,000","305,647,000",,,,,,,,,,,,,,
				OtherProperties,"110,153,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-993,585,000","-864,414,000","-800,598,000","-739,009,000","-646,645,000","-544,371,000","-474,850,000","-438,199,000","-434,375,000","-423,382,000","-377,911,000","-380,552,000","-364,783,000","-323,093,000","-292,216,000","-263,584,000","-228,437,000","-217,535,000","-189,674,000","-150,755,000","-124,600,000","-105,200,000","-86,400,000","-77,700,000","-47,900,000","-38,400,000","-27,500,000","-19,700,000","-12,400,000","-13,400,000","-8,300,000","-4,400,000","-15,000,000"
		GoodwillAndOtherIntangibleAssets,"1,490,235,000","1,517,594,000","780,586,000","792,979,000","236,117,000","223,966,000","229,708,000","107,216,000","77,718,000","31,313,000","25,869,000","24,693,000","26,491,000","25,172,000","25,259,000","27,983,000","27,637,000","27,779,000","27,199,000","21,708,000","22,100,000","23,000,000","23,500,000","24,400,000","25,200,000","26,000,000","31,100,000","26,500,000","27,300,000","28,100,000","60,800,000","68,300,000","76,600,000"
			Goodwill,"659,937,000","647,077,000","433,374,000","421,563,000","131,014,000","123,031,000","126,697,000","56,324,000",,"28,354,000","25,869,000","24,693,000","26,447,000","25,040,000",,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"830,298,000","870,517,000","347,212,000","371,416,000","105,103,000","100,935,000","103,011,000","50,892,000",,"2,959,000",,,"44,000","132,000","25,259,000","27,983,000","27,637,000","27,779,000","27,199,000","21,708,000","22,100,000","23,000,000","23,500,000","24,400,000","25,200,000","26,000,000","31,100,000","26,500,000","27,300,000","28,100,000","60,800,000","68,300,000","76,600,000"
		InvestmentsAndAdvances,"110,641,000","92,059,000","88,764,000","94,009,000","99,073,000","89,107,000","85,173,000","69,805,000","47,251,000","38,178,000","51,868,000","67,206,000",,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"110,641,000","92,059,000","88,764,000","94,009,000","99,073,000","89,107,000","85,173,000","69,805,000","47,251,000","38,178,000","51,868,000","67,206,000",,,,,,,,,,,,,,,,,,,,,
				InvestmentsinAssociatesatCost,"110,641,000","92,059,000","88,764,000","94,009,000","99,073,000","89,107,000","85,173,000","69,805,000","42,251,000","37,169,000","41,332,000","51,565,000",,,,,,,,,,,,,,,,,,,,,
				InvestmentsInOtherVenturesUnderEquityMethod,,,,,,,,,"5,000,000","1,009,000","10,536,000","15,641,000",,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"93,282,000","87,474,000","115,511,000","188,471,000","166,538,000","41,201,000","18,616,000","22,389,000","10,601,000",,,"0","5,572,000","1,595,000",,,,"2,427,000",,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"93,282,000","87,474,000","115,511,000","188,471,000","166,538,000","41,201,000","18,616,000","22,389,000","10,601,000",,,"0","5,572,000","1,595,000",,,,"2,427,000",,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"99,449,000","98,963,000","104,039,000","105,553,000","80,331,000","68,678,000","31,126,000","15,872,000","77,718,000",,,,"85,911,000","155,062,000","147,373,000","98,386,000","79,578,000","65,185,000","62,324,000","59,702,000","54,300,000","47,600,000","45,700,000","40,400,000","34,900,000","45,000,000",,"11,800,000","18,400,000","25,100,000",,,
TotalLiabilitiesNetMinorityInterest,"3,322,327,000","3,257,900,000","2,157,934,000","2,232,557,000","1,405,985,000","1,213,668,000","1,149,883,000","795,962,000","727,968,000","690,656,000","559,112,000","614,121,000","596,899,000","611,420,000","399,299,000","431,193,000","351,974,000","331,540,000","326,380,000","285,452,000","273,800,000","225,500,000","215,500,000","196,400,000","195,900,000","161,500,000","98,000,000","69,100,000","52,600,000","46,600,000","38,800,000","20,700,000","17,500,000"
	CurrentLiabilities,"1,527,990,000","1,197,374,000","1,130,311,000","959,751,000","826,783,000","850,810,000","748,070,000","631,029,000","615,531,000","584,210,000","343,074,000","404,833,000","388,246,000","361,420,000","375,614,000","405,193,000","330,478,000","313,513,000","308,337,000","238,384,000","233,800,000","205,000,000","191,100,000","161,400,000","195,900,000","161,500,000","98,100,000","69,100,000","52,600,000","46,600,000","38,900,000","20,700,000","17,600,000"
		PayablesAndAccruedExpenses,"1,141,877,000","962,974,000","914,551,000","833,690,000","715,238,000","745,903,000","601,285,000","489,002,000","268,249,000","228,191,000","180,108,000","228,931,000","381,138,000","353,118,000","360,793,000","349,005,000","307,938,000","293,086,000","292,465,000","89,498,000","91,800,000","77,300,000","61,000,000","50,500,000","57,400,000","58,900,000","36,100,000","24,900,000","13,300,000","10,600,000",,,
			Payables,"456,095,000","350,839,000","328,114,000","275,848,000","306,401,000","354,814,000","247,298,000","174,009,000","147,382,000","115,852,000","82,359,000","119,359,000","90,045,000","100,672,000","97,065,000","96,302,000","65,987,000","88,462,000","101,554,000","89,498,000","91,800,000","77,300,000","61,000,000","50,500,000","57,400,000","58,900,000","36,100,000","24,900,000","13,300,000","10,600,000",,,
