name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,03/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,06/30/2004,12/31/2003,06/30/2003,12/31/2002,12/31/2001,06/30/2001
TotalCapitalization,"114,273,111,000,000","112,944,138,000,000","109,736,180,000,000","107,798,229,000,000","110,046,122,000,000","119,033,041,000,000","116,585,981,000,000","111,062,424,000,000","97,181,526,000,000","106,030,328,000,000","100,319,988,000,000","92,984,699,000,000","83,421,227,000,000","80,753,928,000,000","76,800,246,000,000","74,092,516,000,000","75,724,063,000,000","73,774,735,000,000","73,201,180,000,000","73,361,304,000,000","71,346,535,000,000","70,613,574,000,000.02","69,048,573,000,000","72,135,480,000,000","66,115,981,000,000","65,649,532,000,000","66,641,524,000,000","66,446,175,000,000","63,551,146,000,000","68,044,202,000,000","67,504,206,000,000","66,990,409,000,000","66,811,692,000,000","66,567,873,000,000","63,194,738,000,000","62,691,625,000,000","58,502,934,000,000","66,765,733,000,000","59,621,134,957,857.48","41,882,984,881,228.59","35,877,254,933,860.81","24,714,154,000,000","32,279,999,967,720","24,302,747,500,000","31,427,500,000,000","28,999,295,363,805.72","24,271,478,377,467.75","11,066,653,686,095.4"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"159,547,340,965.46"
CommonStockEquity,"38,533,918,000,000","38,154,909,000,000","37,192,215,000,000","35,817,696,000,000","35,703,916,000,000","35,580,672,000,000","34,587,162,000,000","33,624,304,000,000","34,038,685,000,000","33,720,742,000,000","32,571,235,000,000","31,324,789,000,000","30,998,044,000,000","29,682,308,000,000","29,342,327,000,000","28,891,668,000,000","28,680,621,000,000","28,373,229,000,000","27,988,716,000,000","27,729,129,000,000","27,315,092,000,000","26,926,719,000,000","26,242,920,000,000","25,829,890,000,000","25,652,831,000,000","25,359,858,000,000","24,945,611,000,000","24,877,274,000,000","24,509,518,000,000","24,408,040,000,000","23,803,510,000,000","23,232,386,000,000","22,917,975,000,000","22,766,281,000,000","20,414,452,000,000","19,823,544,000,000","16,996,533,000,000","15,955,670,000,000","16,975,177,938,609.1","14,090,356,561,483.29","11,271,721,798,609.88","7,421,775,000,000","8,507,777,769,270","6,887,428,750,000","10,681,250,000,000","8,834,999,996,996.1","7,638,007,903,075.8","4,799,674,444,256.14"
CapitalLeaseObligations,"544,439,000,000","561,999,000,000","573,617,000,000","554,331,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"35,796,105,000,000","35,501,420,000,000","34,478,537,000,000","33,051,323,000,000","32,948,133,000,000","32,798,659,000,000","31,752,487,000,000","30,735,003,000,000","31,095,625,000,000","30,747,419,000,000","29,540,895,000,000","30,671,574,000,000","30,345,728,000,000","29,201,397,000,000","28,867,021,000,000","28,422,928,000,000","28,213,793,000,000","27,916,253,000,000","27,527,676,000,000","27,254,928,000,000","26,826,170,000,000","26,472,191,000,000","25,780,242,000,000","25,323,908,000,000","25,209,627,000,000","24,896,124,000,000","24,475,972,000,000","24,390,992,000,000","24,009,495,000,000","23,870,477,000,000","23,260,179,000,000","22,674,397,000,000","22,413,055,000,000","22,390,523,000,000","20,031,895,000,000","19,415,615,000,000","16,135,309,000,000","15,955,670,000,000","16,396,924,192,064.85","13,537,365,345,208.32","10,666,472,472,930.11","6,716,654,000,000","8,507,777,769,270","6,030,126,250,000","10,681,250,000,000","8,204,383,152,607.9","7,638,007,903,075.8","4,959,221,785,221.6"
InvestedCapital,"114,273,111,000,000","112,944,138,000,000","109,736,180,000,000","107,798,229,000,000","110,046,122,000,000","119,033,041,000,000","116,585,981,000,000","111,062,424,000,000","97,181,526,000,000","106,030,328,000,000","100,319,988,000,000","92,984,699,000,000","83,421,227,000,000","80,753,928,000,000","76,800,246,000,000","74,092,516,000,000","75,724,063,000,000","73,774,735,000,000","73,201,180,000,000","73,361,304,000,000","71,346,535,000,000","70,613,574,000,000.02","69,048,573,000,000","72,135,480,000,000","66,115,981,000,000","65,649,532,000,000","66,641,524,000,000","66,446,175,000,000","63,551,146,000,000","68,044,202,000,000","67,504,206,000,000","66,990,409,000,000","66,811,692,000,000","66,567,873,000,000","63,194,738,000,000","62,691,625,000,000","58,502,934,000,000","66,765,733,000,000","67,401,753,888,210.07","52,019,781,621,489","41,930,250,838,804.98","39,819,319,000,000","38,447,777,739,330","46,431,301,250,000","42,497,500,000,000","52,718,257,396,073.42","40,591,586,170,408.65","20,604,722,419,023.26"
TangibleBookValue,"35,796,105,000,000","35,501,420,000,000","34,478,537,000,000","33,051,323,000,000","32,948,133,000,000","32,798,659,000,000","31,752,487,000,000","30,735,003,000,000","31,095,625,000,000","30,747,419,000,000","29,540,895,000,000","30,671,574,000,000","30,345,728,000,000","29,201,397,000,000","28,867,021,000,000","28,422,928,000,000","28,213,793,000,000","27,916,253,000,000","27,527,676,000,000","27,254,928,000,000","26,826,170,000,000","26,472,191,000,000","25,780,242,000,000","25,323,908,000,000","25,209,627,000,000","24,896,124,000,000","24,475,972,000,000","24,390,992,000,000","24,009,495,000,000","23,870,477,000,000","23,260,179,000,000","22,674,397,000,000","22,413,055,000,000","22,390,523,000,000","20,031,895,000,000","19,415,615,000,000","16,135,309,000,000","15,955,670,000,000","16,396,924,192,064.85","13,537,365,345,208.32","10,666,472,472,930.11","6,716,654,000,000","8,507,777,769,270","6,030,126,250,000","10,681,250,000,000","8,204,383,152,607.9","7,638,007,903,075.8","4,799,674,444,256.14"
TotalDebt,"76,283,632,000,000","75,351,228,000,000","73,117,582,000,000","72,534,864,000,000","74,342,206,000,000","83,452,369,000,000","81,998,819,000,000","77,438,120,000,000","63,142,841,000,000","72,309,586,000,000","67,748,753,000,000","61,659,910,000,000","52,423,183,000,000","51,071,620,000,000","47,457,919,000,000","45,200,848,000,000","47,043,442,000,000","45,401,506,000,000","45,212,464,000,000","45,632,175,000,000","44,031,443,000,000","43,686,855,000,000.01","42,805,653,000,000","46,305,590,000,000","40,463,150,000,000","40,289,674,000,000","41,695,913,000,000","41,568,901,000,000","39,041,628,000,000","43,636,162,000,000","43,700,696,000,000","43,758,023,000,000","43,893,717,000,000","43,801,592,000,000","42,780,286,000,000","42,868,081,000,000","41,506,401,000,000","50,810,063,000,000","50,426,575,949,600.97","37,929,425,060,005.71","30,658,529,040,195.1","32,397,544,000,000","29,939,999,970,060","39,543,872,500,000","31,816,250,000,000","43,883,257,399,077.32","32,953,578,267,332.85","15,805,047,974,767.12"
NetDebt,"53,751,231,000,000","51,628,699,000,000","48,861,867,000,000","51,621,487,000,000","52,880,501,000,000","65,102,671,000,000","62,222,432,000,000","56,393,129,000,000","42,108,271,000,000","49,335,103,000,000","48,582,631,000,000","42,725,907,000,000","33,303,986,000,000","34,052,547,000,000","30,503,817,000,000","25,159,528,000,000","29,518,670,000,000","25,202,025,000,000","26,093,288,000,000","30,789,808,000,000","27,263,943,000,000","27,098,979,000,000.008","27,217,981,000,000","30,365,999,000,000","24,271,196,000,000","26,151,470,000,000","29,900,103,000,000","30,530,123,000,000","27,099,343,000,000","30,997,884,000,000","33,285,263,000,000","30,673,470,000,000","34,715,592,000,000","34,523,549,000,000","33,837,862,000,000","36,467,270,000,000","35,250,208,000,000","44,918,548,000,000","47,585,502,909,870.03","33,925,505,086,358.82","27,096,049,774,458.33","29,098,328,000,000","27,263,333,306,070","35,628,973,750,000","27,615,000,000,000","39,991,190,970,981.88","29,319,072,345,156.3","11,762,988,315,791.04"
ShareIssued,"415,807,920","418,111,537","418,111,537","418,111,537","418,111,537","418,111,537","418,111,537","418,111,537","418,111,537","418,111,537","418,111,537","418,111,537","418,111,537","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","343,028,989","386,351,693","386,351,693","351,384,731","386,351,693","336,379,116","336,379,116","336,379,116","336,166,181","306,502,907","306,362,493","306,362,493","328,258,685","328,258,685","317,677,416","317,677,416"
OrdinarySharesNumber,"389,634,335","389,634,335","389,634,335","392,745,935","395,551,297","396,233,674","396,233,674","396,233,674","399,037,583","401,003,454","396,565,224","396,565,224","398,285,437","372,544,718","377,144,718","382,256,996","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","386,351,693","343,028,989","386,351,693","386,351,693","351,384,731","343,028,989","336,379,116","336,379,116","336,379,116","336,166,181","306,502,907","306,362,493","306,362,493","328,258,685","328,258,685","317,677,416","317,677,416"
TreasurySharesNumber,"26,173,585","28,477,202","28,477,202","25,365,602","22,560,240","21,877,863","21,877,863","21,877,863","19,073,954","17,108,083","21,546,313","21,546,313","19,826,100","13,806,975","9,206,975","4,094,697",,,,,,,,,,,,,,,,,,,,,"43,322,704",,,,,,,,,,,
