name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995
TotalRevenue,"4,727,400,000","1,056,200,000","1,257,900,000","1,214,700,000","1,198,600,000","1,219,500,000","1,102,800,000","1,166,600,000","1,362,800,000","1,330,900,000","1,332,200,000","1,325,200,000","1,266,100,000","1,260,900,000","1,255,000,000","1,241,200,000","1,222,000,000","1,227,600,000","1,204,700,000","1,233,500,000","1,297,100,000","1,298,700,000","1,285,100,000","1,265,600,000","1,273,000,000","1,243,900,000","1,229,000,000","1,201,800,000","1,182,600,000","1,180,300,000","1,184,000,000","1,157,700,000","1,127,200,000","1,121,800,000","1,135,900,000","1,108,000,000","853,900,000","833,800,000","833,300,000","804,000,000","768,300,000","746,600,000","730,300,000","708,500,000","696,400,000","698,900,000","663,400,000","642,100,000","685,000,000","717,400,000","702,200,000","695,100,000","691,400,000","698,100,000","654,500,000","671,200,000","653,800,000","664,600,000","657,100,000","629,200,000","740,700,000","777,700,000","771,000,000","759,600,000","781,100,000","799,300,000","803,700,000","787,600,000","822,500,000","849,800,000","814,000,000","854,900,000","798,400,000","849,300,000","815,400,000","852,400,000","795,600,000","848,400,000","775,900,000","794,000,000","785,800,000","732,200,000","762,500,000","761,700,000","764,800,000","953,600,000","868,300,000","843,600,000","856,700,000","863,900,000","852,500,000","855,700,000","832,500,000","854,900,000","839,700,000","806,300,000","800,300,000","828,400,000","784,900,000","819,200,000","793,400,000","841,400,000"
	OperatingRevenue,"4,727,400,000","1,056,200,000","1,257,900,000","1,214,700,000","1,198,600,000","1,219,500,000","1,102,800,000","1,166,600,000","1,362,800,000","1,330,900,000","1,332,200,000","1,325,200,000","1,266,100,000","1,260,900,000","1,255,000,000","1,241,200,000","1,222,000,000","1,227,600,000","1,204,700,000","1,233,500,000","1,297,100,000","1,298,700,000","1,285,100,000","1,265,600,000","1,273,000,000","1,243,900,000","1,229,000,000","1,201,800,000","1,182,600,000","1,180,300,000","1,184,000,000","1,157,700,000","1,127,200,000","1,121,800,000","1,135,900,000","1,108,000,000","853,900,000","833,800,000","833,300,000","804,000,000","768,300,000","746,600,000","730,300,000","708,500,000","696,400,000","698,900,000","663,400,000","642,100,000","685,000,000","717,400,000","702,200,000","695,100,000","691,400,000","698,100,000","654,500,000","671,200,000","653,800,000","664,600,000","657,100,000","629,200,000","740,700,000","777,700,000","771,000,000","759,600,000","781,100,000","799,300,000","803,700,000","787,600,000","822,500,000","849,800,000","814,000,000","854,900,000","798,400,000","849,300,000","815,400,000","852,400,000","795,600,000","848,400,000","775,900,000","794,000,000","785,800,000","732,200,000","762,500,000","761,700,000","764,800,000","953,600,000","868,300,000","843,600,000","856,700,000","863,900,000","852,500,000","855,700,000","832,500,000","854,900,000","839,700,000","806,300,000","800,300,000","828,400,000","784,900,000","819,200,000","793,400,000","841,400,000"
NetNonOperatingInterestIncomeExpense,"-37,500,000","-9,400,000","-9,400,000","-9,400,000","-9,300,000","-9,400,000","-11,200,000","-11,200,000","-11,600,000","-12,400,000","-12,200,000","-12,100,000","-12,200,000","-12,000,000","-12,100,000","-12,500,000","-15,600,000","-14,700,000","-14,600,000","-14,700,000","-14,900,000","-15,900,000","-16,300,000","-16,300,000","-16,300,000","-16,300,000","-16,600,000","-16,600,000","-17,400,000","-14,700,000","-15,200,000","-14,600,000","-15,900,000","-16,200,000","-16,400,000","-17,400,000","-10,800,000","-10,400,000",,"-11,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"37,500,000","9,400,000","9,400,000","9,400,000","9,300,000","9,400,000","11,200,000","11,200,000","11,600,000","12,400,000","12,200,000","12,100,000","12,200,000","12,000,000","12,100,000","12,500,000","15,600,000","14,700,000","14,600,000","14,700,000","14,900,000","15,900,000","16,300,000","16,300,000","16,300,000","16,300,000","16,600,000","16,600,000","17,400,000","14,700,000","15,200,000","14,600,000","15,900,000","16,200,000","16,400,000","17,400,000","10,800,000","10,400,000",,"11,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,500,000","12,100,000","14,300,000","15,900,000","13,400,000","9,000,000","8,400,000","8,700,000","9,000,000","8,500,000","8,100,000","8,400,000","9,000,000","8,700,000","8,100,000","8,900,000","8,300,000","9,500,000","11,100,000","13,800,000","14,500,000","14,800,000","13,400,000","16,100,000","22,600,000","16,900,000","19,300,000","20,100,000","22,200,000","82,800,000","87,100,000","91,300,000","89,900,000","95,600,000","102,400,000","118,400,000","116,900,000","123,500,000","142,700,000","171,200,000","133,700,000","135,200,000","128,500,000","126,300,000","127,800,000","135,200,000","136,500,000","138,700,000","145,000,000","265,700,000","139,200,000","-441,800,000","261,800,000","270,100,000","414,300,000","-391,800,000","273,200,000","274,600,000","286,400,000","-461,500,000","270,100,000","253,700,000","292,600,000","-476,700,000","249,200,000","246,600,000","280,800,000",,,,
	SpecialIncomeCharges,,,"0",,,,"-26,300,000",,,,"0","0","0",,"-2,400,000","100,000","-85,700,000",,"700,000","0","37,700,000",,,,,,,,,,"-5,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"-800,000","-400,000","-200,000","-700,000","-2,700,000","-300,000","-2,200,000","-3,300,000","-34,100,000","-500,000","-1,000,000","8,400,000",,,,,"-2,700,000","0","0",,"-400,000","0",,,,,,,"43,300,000","-56,300,000",,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"800,000","400,000","200,000","700,000","2,700,000","300,000","2,200,000","3,300,000","22,900,000","1,200,000","1,300,000","3,300,000",,,,,"2,700,000","0","0",,"400,000","0",,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,"26,300,000",,,,,,,,"2,400,000","-100,000","85,700,000",,"-700,000",,"-37,700,000",,,,,,,,,,"5,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-700,000","-300,000","-11,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"319,600,000","-53,900,000","133,400,000","130,300,000","109,800,000","148,600,000","1,100,000","122,700,000","119,900,000","80,600,000","122,600,000","8,900,000","111,000,000","59,000,000","-32,800,000","124,100,000","-7,100,000","108,100,000","99,400,000","110,400,000","152,600,000","77,000,000","122,900,000","75,300,000","107,700,000","72,100,000","88,200,000","86,100,000","65,900,000","88,900,000","-106,400,000","53,200,000","11,100,000","70,800,000","63,200,000","-18,700,000","-59,700,000","37,500,000","75,600,000","73,100,000","3,100,000","59,300,000","73,500,000","67,500,000","96,600,000","33,300,000","50,300,000","-49,000,000","76,700,000","80,500,000","89,200,000","77,800,000","89,500,000","91,900,000","72,400,000","43,300,000","78,400,000","85,300,000","83,400,000","-140,700,000","78,100,000","61,000,000","87,000,000","15,900,000","37,900,000","45,900,000","8,400,000","3,900,000","30,900,000","48,600,000","17,900,000","-491,100,000","-113,100,000","65,100,000","-135,500,000","23,800,000","15,500,000","36,800,000","37,300,000","79,600,000","0","41,700,000","468,000,000","0","0","0","279,600,000","0","0","0","365,500,000","0","0","0","331,700,000","0","0","0",,,,
TaxProvision,"51,900,000","-15,200,000","23,200,000","19,100,000","24,800,000","26,000,000","-1,000,000","18,700,000","20,700,000","12,800,000","55,500,000","-3,400,000","32,600,000","13,800,000","-20,600,000","35,800,000","-9,000,000","30,000,000","21,600,000","33,200,000","31,700,000","22,100,000","32,800,000","20,300,000","25,200,000","17,400,000","23,300,000","24,800,000","12,800,000","22,500,000","-51,100,000","12,300,000","1,300,000","20,100,000","17,100,000","-9,000,000","-27,300,000","9,600,000","18,200,000","21,700,000","900,000","17,100,000","17,600,000","18,900,000","33,500,000","13,100,000","27,500,000","-5,500,000","28,800,000","27,000,000","26,300,000","24,800,000","30,000,000","28,100,000","22,900,000","14,800,000","24,700,000","25,300,000","-1,000,000","-35,300,000","6,100,000","14,500,000","23,900,000","-1,800,000","5,500,000","-23,400,000","-5,600,000","-7,500,000","2,500,000","7,500,000","-1,000,000","-181,700,000","-61,600,000","9,500,000","-82,200,000","-11,400,000","1,700,000","6,400,000","-26,300,000","13,100,000","8,400,000","7,500,000","22,800,000","14,400,000","22,000,000","49,400,000","15,400,000","-8,900,000","18,400,000","24,200,000","40,600,000","24,000,000","19,300,000","9,700,000","17,200,000","21,200,000","12,600,000","24,200,000",,,,
