name,03/31/2019,03/31/2018,10/31/2016,10/31/2015
TotalAssets,"6,083,000,000","3,679,000,000","1,234,000,000","1,512,000,000"
	CurrentAssets,"878,000,000","449,000,000","572,000,000","848,000,000"
		CashCashEquivalentsAndShortTermInvestments,"88,000,000",,"0","0"
			CashAndCashEquivalents,"88,000,000",,"0","0"
		Receivables,"576,000,000","354,000,000","423,000,000","602,000,000"
			AccountsReceivable,"183,000,000","135,000,000","222,000,000","285,000,000"
			OtherReceivables,"393,000,000","219,000,000","201,000,000","318,000,000"
			ReceivablesAdjustmentsAllowances,"0","0","0","-1,000,000"
		PrepaidAssets,"141,000,000","74,000,000","138,000,000","149,000,000"
		CurrentDeferredAssets,"35,000,000","21,000,000","11,000,000","97,000,000"
		OtherCurrentAssets,"38,000,000",,,
	TotalNonCurrentAssets,"5,205,000,000","3,230,000,000","662,000,000","664,000,000"
		NetPPE,"368,000,000","290,000,000","523,000,000","508,000,000"
			GrossPPE,"516,000,000","356,000,000","1,030,000,000","979,000,000"
				Properties,"58,000,000","72,000,000","340,000,000","331,000,000"
				MachineryFurnitureEquipment,"458,000,000","284,000,000","690,000,000","648,000,000"
			AccumulatedDepreciation,"-148,000,000","-66,000,000","-507,000,000","-471,000,000"
		GoodwillAndOtherIntangibleAssets,"4,645,000,000","2,919,000,000","24,000,000","73,000,000"
			Goodwill,"3,179,000,000","2,022,000,000",,
			OtherIntangibleAssets,"1,466,000,000","897,000,000","24,000,000","73,000,000"
		NonCurrentDeferredAssets,,"10,000,000","86,000,000","64,000,000"
			NonCurrentDeferredTaxesAssets,,,"78,000,000","64,000,000"
		NonCurrentPrepaidAssets,,"11,000,000","29,000,000","19,000,000"
		OtherNonCurrentAssets,"192,000,000",,,
TotalLiabilitiesNetMinorityInterest,"3,921,000,000","950,000,000","896,000,000","957,000,000"
	CurrentLiabilities,"1,014,000,000","605,000,000","649,000,000","693,000,000"
		PayablesAndAccruedExpenses,"733,000,000","349,000,000","317,000,000","286,000,000"
			Payables,"246,000,000","195,000,000","151,000,000","144,000,000"
				AccountsPayable,"246,000,000","195,000,000","151,000,000","144,000,000"
			CurrentAccruedExpenses,"487,000,000","154,000,000","166,000,000","142,000,000"
		CurrentDebtAndCapitalLeaseObligation,"217,000,000","160,000,000","145,000,000","127,000,000"
			CurrentDebt,"80,000,000",,,
				OtherCurrentBorrowings,"80,000,000",,,
			CurrentCapitalLeaseObligation,"137,000,000","160,000,000","145,000,000","127,000,000"
		CurrentDeferredLiabilities,"33,000,000","53,000,000","118,000,000","179,000,000"
			CurrentDeferredRevenue,"33,000,000","53,000,000","118,000,000","179,000,000"
		OtherCurrentLiabilities,"31,000,000","43,000,000","69,000,000","101,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"2,907,000,000","345,000,000","247,000,000","264,000,000"
		LongTermDebtAndCapitalLeaseObligation,"2,465,000,000","144,000,000","215,000,000","223,000,000"
			LongTermDebt,"2,297,000,000",,,
			LongTermCapitalLeaseObligation,"168,000,000","144,000,000","215,000,000","223,000,000"
		NonCurrentDeferredLiabilities,"171,000,000","183,000,000","23,000,000","32,000,000"
			NonCurrentDeferredTaxesLiabilities,"171,000,000","176,000,000",,
			NonCurrentDeferredRevenue,,"7,000,000","23,000,000","32,000,000"
		OtherNonCurrentLiabilities,"271,000,000","18,000,000","9,000,000","9,000,000"
TotalEquityGrossMinorityInterest,"2,162,000,000","2,729,000,000","338,000,000","555,000,000"
	StockholdersEquity,"2,162,000,000","2,729,000,000","338,000,000","555,000,000"
		CapitalStock,"2,000,000","2,729,000,000","338,000,000","555,000,000"
			CommonStock,"2,000,000","2,729,000,000","338,000,000","555,000,000"
		AdditionalPaidInCapital,"2,242,000,000",,,
		RetainedEarnings,"2,000,000",,,
		TreasuryStock,"61,000,000",,,
		GainsLossesNotAffectingRetainedEarnings,"-23,000,000",,,
TotalCapitalization,"4,459,000,000","2,729,000,000","338,000,000","555,000,000"
CommonStockEquity,"2,162,000,000","2,729,000,000","338,000,000","555,000,000"
CapitalLeaseObligations,"305,000,000","304,000,000","360,000,000","350,000,000"
NetTangibleAssets,"-2,483,000,000","-190,000,000","314,000,000","482,000,000"
WorkingCapital,"-136,000,000","-156,000,000","-77,000,000","155,000,000"
InvestedCapital,"4,539,000,000","2,729,000,000","338,000,000","555,000,000"
TangibleBookValue,"-2,483,000,000","-190,000,000","314,000,000","482,000,000"
TotalDebt,"2,682,000,000","304,000,000","360,000,000","350,000,000"
NetDebt,"2,289,000,000",,,
ShareIssued,"165,844,994","142,500,000","142,500,000","142,500,000"
OrdinarySharesNumber,"163,099,080","142,500,000","142,500,000","142,500,000"
TreasurySharesNumber,"2,745,914",,,
