name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
TotalRevenue,"35,666,000,000","8,335,000,000","10,476,000,000","8,691,000,000","8,164,000,000","7,560,000,000","9,355,000,000","7,319,000,000","6,731,000,000","6,173,000,000","7,899,676,057","6,415,769,201","6,085,061,889","5,067,281,835","5,571,866,642","4,411,284,781","4,178,006,556","2,874,055,118","3,181,600,455","2,527,136,246","2,314,776,242","1,913,298,774","2,129,570,543","1,722,260,930","1,581,788,122","1,440,406,093","1,540,975,612","84,347,569","1,160,508,134","1,101,355,266","186,641,189","62,816,657","910,808,391","1,690,356,109","974,700,811","833,027,708","764,523,010","787,126,531","812,204,703","695,180,390","586,721,873","1,100,845,916","545,429,135","476,286,925","400,577,420","786,884,771.068","400,331,634.231","401,666,706.136","366,733,153.084","396,831,748.201","345,978,629.6","308,832,629.285","249,103,922.083","246,104,114.103","222,383,987.761","33,994,385.232","167,341,331.812","135,783,485.222","150,301,253.435","137,456,693.994","103,310,815.311","84,434,654.833","96,197,500.354","85,193,579.069","67,994,513.834","43,294,202.977","43,294,219.533","43,294,219.533","43,294,219.533"
	OperatingRevenue,"33,255,000,000","7,611,000,000","9,811,000,000","8,177,000,000","7,656,000,000","7,070,000,000","8,893,000,000","6,928,000,000","6,389,000,000","5,865,000,000","7,484,546,650","6,115,124,056","5,791,625,291","4,939,418,161","5,478,943,627","4,400,272,784","4,235,161,881","2,916,984,237","3,299,316,532","2,607,111,782","2,388,313,382","1,957,109,949","2,211,597,924","1,773,663,386","1,637,904,375","1,493,113,681","1,606,344,825","92,750,195","1,193,209,854","1,138,747,769","198,470,525","34,165,013","963,598,995","1,918,575,673","974,700,811","833,027,708","764,523,010","787,126,531","812,204,703","695,180,390","586,721,873","1,100,845,916","545,429,135","507,658,610","400,577,420","786,884,771.068","400,331,634.231","401,666,706.136","366,733,153.084","396,831,748.201","345,978,629.6","308,832,629.285","249,103,922.083","246,104,114.103","222,383,987.761","33,994,385.232","167,341,331.812","135,783,485.222","150,301,253.435","137,456,693.994","103,310,815.311","84,434,654.833","96,197,500.354","85,193,579.069","67,994,513.834","43,294,202.977","43,294,219.533","43,294,219.533","43,294,219.533"
	ExciseTaxes,"50,000,000","8,000,000","23,000,000","10,000,000","9,000,000","25,000,000","41,000,000","38,000,000","35,000,000","46,000,000","57,274,816","45,794,149","48,208,523","111,476,576","95,928,079","131,107,435","221,134,734","158,331,192","174,168,169","138,352,668","128,526,318","107,108,067","129,901,116","97,244,864","91,384,691","87,566,153","99,510,607","7,394,520","67,900,120","65,938,822","11,829,336","4,535,969","52,790,604",,,,,,,,,,,"31,371,685",,,,,,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"7,372,000,000","1,728,000,000","2,157,000,000","1,798,000,000","1,689,000,000","1,620,000,000","1,991,000,000","1,469,000,000","1,244,000,000","1,061,000,000","1,303,483,658","1,124,094,146","1,189,306,790","1,126,360,012","1,234,297,161","1,233,148,536","1,135,944,483","763,236,345","845,578,129","730,019,031","704,606,314","583,612,903","588,980,230","478,601,393","449,411,887","394,362,609","379,121,709","4,939,375","304,171,687","284,704,746","45,500,369","15,212,147","225,956,740","389,239,942","226,126,062","189,763,780","164,706,899","169,529,242","176,199,743","151,154,849","128,377,508","218,188,606","124,352,706","108,061,461","89,970,448","159,970,967.633","87,118,955.818","79,628,447.404","68,010,172.006","69,043,968.609","64,038,995.144","57,159,364.475","48,544,684.416","46,527,595.01","43,603,062.393","7,394,457.263","28,178,188.923","30,715,181.483","24,006,352.985","19,720,026.811","15,002,847.205","15,460,902.079","12,268,872.274","11,024,972.62","9,720,559.69",,,,
GrossProfit,"28,294,000,000","6,607,000,000","8,319,000,000","6,893,000,000","6,475,000,000","5,940,000,000","7,364,000,000","5,850,000,000","5,487,000,000","5,112,000,000","6,596,192,399","5,291,675,055","4,895,755,099","3,940,921,823","4,337,569,481","3,178,136,245","3,042,062,073","2,110,818,773","2,336,022,326","1,797,117,215","1,610,169,928","1,329,685,871","1,540,590,313","1,243,659,537","1,132,376,235","1,046,043,484","1,161,853,903","79,408,194","856,336,447","816,650,520","141,140,820","47,604,510","684,851,651","1,301,116,167","748,574,749","643,263,928","599,816,111","617,597,289","636,004,960","544,025,541","458,344,365","882,657,310","421,076,429","368,225,464","310,606,972","626,913,803.435","313,212,678.413","322,038,258.731","298,722,981.078","327,787,779.592","281,939,634.456","251,673,264.81","200,559,237.667","199,576,519.093","178,780,925.368","26,599,927.969","139,163,142.888","105,068,303.74","126,294,900.45","117,736,667.183","88,307,968.106","68,973,752.754","83,928,628.08","74,168,606.448","58,273,954.144",,,,
OperatingExpense,"23,254,000,000","6,027,000,000","6,077,000,000","5,560,000,000","5,590,000,000","6,129,000,000","5,884,000,000","5,126,000,000","4,897,000,000","4,809,000,000","5,237,194,130","4,646,412,801","4,481,581,313","3,733,535,420","3,890,145,737","3,574,049,247","4,869,437,704","2,015,626,088","1,930,788,000","1,736,233,923","1,790,437,286","1,730,592,351","1,452,347,767","1,152,739,878","1,061,429,104","863,100,618","862,312,504","43,484,267","696,319,701","696,743,598","110,894,380","56,110,826","508,295,463","807,793,011","444,282,488","374,885,175","337,074,439","325,313,567","327,983,311","286,647,358","261,902,632","423,611,653","221,878,880","204,547,430","175,368,067","347,864,917.883","178,566,927.633","167,983,088.427","162,205,789.603","533,243,521.955","147,740,223.168","135,442,156.766","112,543,723.594","106,958,682.999","100,236,898.807","10,298,904.053","78,052,118.139","66,486,296.795","54,129,627.327","51,996,426.045","42,699,401.343","50,042,252.843","37,265,110.437","33,296,465.99","29,071,165.779",,,,
	SellingGeneralAndAdministration,"12,584,000,000","3,333,000,000","3,287,000,000","2,918,000,000","3,046,000,000","3,411,000,000","3,393,000,000","2,875,000,000","2,737,000,000","2,735,000,000","3,051,754,761","2,609,674,780","2,518,896,076","2,011,199,089","2,045,739,706","1,850,291,699","2,472,516,108","1,155,184,342","1,099,487,232","939,730,043","981,990,744","941,404,752","840,102,264","673,477,684","620,775,647","530,227,596","526,850,675","1,165,160","428,787,084","432,643,964","72,190,694","43,982,962","312,079,313","504,710,224","282,703,177","238,061,906","206,787,729","204,676,133","204,783,539","177,353,384","161,180,812","272,204,658","141,120,309","128,261,648","112,045,349","230,607,588.894","116,806,084.902","111,123,703.605","108,665,813.39","113,171,116.299","99,778,408.952","93,934,505.799","78,536,757.401","75,371,302.515","72,911,032.52","8,693,639.558","55,055,722.288","48,459,950.224","40,100,884.128","37,749,903.736","30,881,514.403","36,548,677.946","27,937,473.137","24,878,357.308","21,858,355.737",,,,
		GeneralAndAdministrativeExpense,"3,289,000,000","846,000,000","809,000,000","810,000,000","824,000,000","802,000,000","688,000,000","684,000,000","646,000,000","701,000,000","673,903,837","608,203,223","638,265,375","540,338,329","539,181,215","510,107,769","929,191,857","306,510,322","261,395,780","261,010,168","259,486,138","234,203,387","241,916,476","194,203,673","191,227,092","154,055,198","172,348,825","-2,584,666","161,292,761","151,879,211","24,043,346","10,152,129","128,674,249","195,409,999","108,847,827","96,617,795","82,145,928","77,706,831","79,623,531","70,629,317","66,741,488","103,664,035","47,188,825","45,444,456","41,321,278",,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"3,289,000,000","846,000,000","809,000,000","810,000,000","824,000,000","802,000,000","688,000,000","684,000,000","646,000,000","701,000,000","673,903,837","608,203,223","638,265,375","540,338,329","539,181,215","510,107,769","929,191,857","306,510,322","261,395,780","261,010,168","259,486,138","234,203,387","241,916,476","194,203,673","191,227,092","154,055,198","172,348,825","-2,584,666","161,292,761","151,879,211","24,043,346","10,152,129","128,674,249","195,409,999","108,847,827","96,617,795","82,145,928","77,706,831","79,623,531","70,629,317","66,741,488","103,664,035","47,188,825","45,444,456","41,321,278",,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"9,295,000,000","2,487,000,000","2,478,000,000","2,108,000,000","2,222,000,000","2,609,000,000","2,705,000,000","2,191,000,000","2,091,000,000","2,034,000,000","2,377,850,924","2,001,471,557","1,880,630,701","1,470,860,760","1,506,558,491","1,340,183,930","1,543,324,251","848,674,020","838,091,452","678,719,875","722,504,606","707,201,365","598,185,788","479,274,011","429,548,555","376,172,398","354,501,850","3,749,826","267,494,323","280,764,753","48,147,348","33,830,833","183,405,064","309,300,225","173,855,350","141,444,111","124,641,801","126,969,302","125,160,008","106,724,067","94,439,324","168,540,623","93,931,484","82,817,192","70,724,071",,,,,,,,,,,,,,,,,,,,,,,,
