name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalRevenue,"11,120,000,000","11,144,000,000","10,553,000,000","6,873,000,000","6,497,000,000","6,394,000,000","6,265,000,000","5,535,000,000","4,487,000,000","4,235,000,000","3,773,000,000","3,516,000,000","3,443,000,000","707,214,000","688,087,000","694,509,000","631,215,000","506,103,000","539,333,000","592,732,000","295,717,000"
	OperatingRevenue,"10,865,000,000","10,879,000,000","10,052,000,000","6,547,000,000","6,183,000,000","6,072,000,000","5,931,000,000","5,275,000,000","4,243,000,000","4,235,000,000","3,773,000,000","3,516,000,000","3,443,000,000","707,214,000","688,087,000","694,509,000","631,215,000","506,103,000","539,333,000","592,732,000","295,717,000"
CostOfRevenue,"3,807,000,000","3,819,000,000","3,935,000,000","2,656,000,000","2,432,000,000","2,343,000,000","2,124,000,000","1,689,000,000","1,218,000,000","1,233,000,000","1,073,000,000","1,065,000,000","1,024,000,000","491,034,000","454,482,000","445,839,000","380,290,000","301,005,000",,,
GrossProfit,"7,313,000,000","7,325,000,000","6,618,000,000","4,217,000,000","4,065,000,000","4,051,000,000","4,141,000,000","3,846,000,000","3,269,000,000","3,002,000,000","2,700,000,000","2,451,000,000","2,419,000,000","216,180,000","233,605,000","248,670,000","250,925,000","205,098,000",,,
OperatingExpense,"4,108,000,000","4,135,000,000","4,018,000,000","2,098,000,000","2,012,000,000","1,999,000,000","2,021,000,000","1,851,000,000","1,408,000,000","1,302,000,000","1,315,000,000","1,150,000,000","1,331,000,000","383,062,000","336,650,000","245,960,000","233,990,000","204,026,000",,"943,360,000",
	SellingGeneralAndAdministration,"2,807,000,000","2,788,000,000","2,620,000,000","1,768,000,000","1,690,000,000","1,669,000,000","1,692,000,000","1,575,000,000","1,291,000,000","1,183,000,000","1,185,000,000","1,247,000,000","1,115,000,000","150,687,000","177,366,000","170,045,000","153,559,000","130,336,000",,,
	DepreciationAmortizationDepletionIncomeStatement,"1,301,000,000","1,347,000,000","1,398,000,000","330,000,000","322,000,000","330,000,000","329,000,000","276,000,000","117,000,000","119,000,000","130,000,000","155,000,000","186,000,000","67,732,000","67,929,000","76,377,000","77,605,000","70,526,000",,,
		DepreciationAndAmortizationInIncomeStatement,"1,301,000,000","1,347,000,000","1,398,000,000","330,000,000","322,000,000","330,000,000","329,000,000","276,000,000","117,000,000","119,000,000","130,000,000","155,000,000","186,000,000","67,732,000","67,929,000","76,377,000","77,605,000","70,526,000",,,
	OtherOperatingExpenses,,,,,,,,,,,,"-252,000,000","30,000,000","164,643,000","91,355,000","-462,000","2,826,000","3,164,000",,,
OperatingIncome,"3,205,000,000","3,190,000,000","2,600,000,000","2,119,000,000","2,053,000,000","2,052,000,000","2,120,000,000","1,995,000,000","1,861,000,000","1,700,000,000","1,385,000,000","1,301,000,000","1,088,000,000","-166,882,000","-103,045,000","2,710,000","16,935,000","1,072,000","539,333,000","-350,628,000","295,717,000"
NetNonOperatingInterestIncomeExpense,"-636,000,000","-655,000,000","-714,000,000","-454,000,000","-353,000,000","-330,000,000","-328,000,000","-306,000,000","-248,000,000","-208,000,000","-203,000,000","-250,000,000",,,,,,,,,
	InterestIncomeNonOperating,,"22,000,000","15,000,000","21,000,000",,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"658,000,000","677,000,000","729,000,000","475,000,000","353,000,000","330,000,000","328,000,000","306,000,000","248,000,000","208,000,000","203,000,000",,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,"203,000,000","250,000,000",,,,,,,,,
OtherIncomeExpense,"-309,000,000","-241,000,000","-864,000,000","-1,802,000,000","-29,000,000","-163,000,000","-45,000,000","47,000,000","-95,000,000","67,000,000","-247,000,000","-20,000,000","-108,000,000","-6,996,000","9,622,000","79,864,000","84,143,000","11,927,000",,,
	GainOnSaleOfSecurity,,"-61,000,000","-131,000,000","-165,000,000","63,000,000","-98,000,000","-21,000,000","-62,000,000",,,,,,,,,,,,,
	EarningsFromEquityInterest,"-20,000,000","12,000,000","-63,000,000","-178,000,000","-38,000,000","3,000,000","52,000,000","110,000,000",,,,,"-61,000,000","141,781,000","103,588,000",,,,,,
	SpecialIncomeCharges,"-201,000,000","-196,000,000","-666,000,000","-1,460,000,000","-57,000,000","-67,000,000","-59,000,000","3,000,000","-6,000,000","67,000,000","-247,000,000","-20,000,000","-47,000,000","-148,777,000","-93,966,000","79,864,000","84,143,000","11,927,000",,,
		RestructuringAndMergernAcquisition,"36,000,000","26,000,000","750,000,000","75,000,000","58,000,000","50,000,000","90,000,000","16,000,000","6,000,000","30,000,000","25,000,000","66,000,000","31,000,000","761,000","12,092,000","4,112,000","0","3,476,000",,,
		ImpairmentOfCapitalAssets,,"155,000,000","0","1,327,000,000",,,,,,,,,,,,,,,,,
		WriteOff,,,"0","0","62,000,000",,,,,,,,,,,,,,,,
		OtherSpecialCharges,,"28,000,000",,"54,000,000",,,,,,"-97,000,000","222,000,000","-46,000,000","16,000,000","148,016,000","81,874,000","-83,976,000","-84,143,000","-15,403,000",,,
