name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
NetInterestIncome,"-20,300,000","-18,800,000","-13,900,000","-13,600,000","-9,400,000","-6,800,000","-6,000,000","-5,400,000","-6,900,000","-6,400,000","-7,800,000","-8,800,000","-3,800,000","500,000","400,000"
EBIT,"198,900,000","185,700,000","142,900,000","145,800,000","105,000,000","90,100,000","52,300,000","55,400,000","60,900,000","53,200,000","67,100,000","57,700,000","76,900,000","64,700,000","50,300,000"
EBITDA,"267,300,000"
ReconciledCostOfRevenue,"1,372,400,000","1,347,600,000","1,382,100,000","1,164,400,000","969,800,000","790,400,000","723,500,000","701,300,000","686,500,000","721,200,000","649,500,000","621,200,000","776,300,000","740,800,000","631,100,000"
ReconciledDepreciation,"68,400,000","65,600,000","57,700,000","51,700,000","38,500,000","29,600,000","25,300,000","25,000,000","23,600,000","24,100,000","22,900,000","22,600,000","25,500,000","25,100,000","23,200,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"138,600,000","129,300,000","104,400,000","82,100,000","68,000,000","56,000,000","30,800,000","34,000,000","37,100,000","30,800,000","37,900,000","32,800,000","44,100,000","40,100,000","34,800,000"
TotalUnusualItemsExcludingGoodwill,"-9,600,000","-13,500,000","-47,000,000","-1,700,000","-12,300,000",,"-14,500,000","-1,600,000","-100,000","-11,600,000",,"2,200,000","-6,600,000","-3,600,000","100,000"
TotalUnusualItems,"-9,600,000","-13,500,000","-47,000,000","-1,700,000","-12,300,000",,"-14,500,000","-1,600,000","-100,000","-11,600,000",,"2,200,000","-6,600,000","-3,600,000","100,000"
NormalizedEBITDA,"276,900,000","264,800,000","247,600,000","199,200,000","155,800,000","119,700,000","92,100,000","82,000,000","84,600,000","88,900,000","90,000,000","78,100,000","109,000,000","93,400,000","73,400,000"
TaxRateForCalcs,"0.224","0.226","0.191","0.379","0.28","0.319","0.31","0.29","0.31","0.342","0.361","0.329","0.337","0.349","0.315"
TaxEffectOfUnusualItems,"-2,150,055.991","-3,051,000","-8,981,700","-644,300","-3,444,000","0","-4,495,000","-464,000","-31,000","-3,965,811.966","0","724,335.378","-2,223,157.895","-1,256,493.506","31,496.063"
