name,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,11/30/1991,11/30/1990,11/30/1989,11/30/1988,11/30/1987,11/30/1986
TotalAssets,"46,943,000,000","45,058,000,000","44,001,000,000","44,512,000,000","43,930,000,000","42,401,000,000","41,753,000,000","42,184,000,000","41,441,000,000","40,778,000,000","40,643,000,000","40,451,000,000","38,703,000,000","38,936,000,000","39,332,000,000","39,851,000,000","38,446,000,000","39,237,000,000","38,797,000,000","38,611,000,000","38,714,000,000","39,532,000,000","39,997,000,000","40,526,000,000","39,905,000,000","40,104,000,000","40,393,000,000","39,979,000,000","38,675,000,000","39,161,000,000","39,082,000,000","39,462,000,000","38,963,000,000","38,637,000,000","40,026,000,000","39,763,000,000","37,965,000,000","37,490,000,000","36,847,000,000","36,029,000,000","36,732,000,000","36,835,000,000","36,359,000,000","35,545,000,000","32,836,000,000","33,400,000,000","35,278,000,000","35,472,000,000","34,145,000,000","34,181,000,000","33,188,000,000","33,187,000,000","30,461,000,000","30,552,000,000","29,866,000,000","29,304,000,000","28,316,000,000","28,432,000,000","28,766,000,000","28,306,000,000","27,599,000,000","27,636,000,000","26,436,000,000","26,403,000,000","25,506,000,000","24,491,000,000","23,397,015,000","23,363,465,000","12,493,118,000","12,334,848,000","12,196,722,000","12,056,409,000","11,714,421,000","11,563,552,000","11,275,806,000","11,304,895,000","10,285,311,000","9,831,320,000","8,592,170,000","8,342,174,000","8,332,673,000","8,286,355,000","8,227,600,000","7,999,300,000","7,830,500,000","7,179,323,000","6,792,300,000","6,711,800,000","5,719,700,000","5,426,775,000","5,241,800,000","5,070,300,000","5,087,000,000","5,101,888,000","4,703,100,000","4,776,600,000","4,543,000,000","4,105,487,000","4,034,900,000","3,798,600,000","3,704,000,000","3,669,823,000","3,553,400,000","3,319,100,000","3,262,100,000","3,218,900,000","2,802,200,000","2,881,700,000","2,803,100,000","2,645,600,000","2,650,300,000","2,683,500,000","2,220,200,000","1,049,500,000","941,000,000","528,100,000"
	CurrentAssets,"2,885,000,000","2,059,000,000","2,712,000,000","2,835,000,000","2,101,000,000","2,225,000,000","1,755,000,000","2,278,000,000","1,667,000,000","1,596,000,000","1,661,000,000","1,774,000,000","1,597,000,000","1,689,000,000","1,554,000,000","1,600,000,000","1,860,000,000","2,451,000,000","1,617,000,000","1,479,000,000","1,426,000,000","1,503,000,000","1,602,000,000","1,625,000,000","1,645,000,000","1,937,000,000","2,634,000,000","2,324,000,000","1,792,000,000","1,821,000,000","1,941,000,000","2,169,000,000","2,173,000,000","1,312,000,000","1,397,000,000","1,499,000,000","1,365,000,000","1,244,000,000","1,445,000,000","1,586,000,000","1,745,000,000","1,518,000,000","2,098,000,000","1,534,000,000","1,559,000,000","1,650,000,000","2,053,000,000","2,179,000,000","2,023,000,000","1,976,000,000","2,722,000,000","3,019,000,000","1,509,000,000","1,995,000,000","1,551,000,000","1,506,000,000","1,307,000,000","2,215,000,000","2,412,000,000","2,099,000,000","1,356,000,000","1,728,000,000","1,582,000,000","1,450,000,000","1,592,000,000","2,132,000,000","1,910,388,000","2,547,086,000","1,222,737,000","1,132,152,000","1,801,590,000","1,987,998,000","1,705,016,000","1,958,988,000","1,625,734,000","1,144,377,000","585,173,000","549,482,000","469,163,000","622,437,000","852,180,000","791,636,000","1,222,700,000","1,281,900,000","1,036,800,000","370,279,000","382,900,000","375,500,000","327,000,000","336,025,000","405,000,000","302,000,000","282,800,000","290,933,000","263,700,000","279,800,000","471,000,000","256,378,000","288,600,000","367,200,000","249,800,000","240,449,000","285,000,000","307,800,000","242,700,000","253,800,000","288,000,000","375,400,000","291,100,000","311,400,000","363,800,000","221,300,000","211,300,000","395,000,000","375,400,000","82,500,000"
		CashCashEquivalentsAndShortTermInvestments,"1,354,000,000","518,000,000","1,153,000,000","1,202,000,000","649,000,000","982,000,000","526,000,000","1,053,000,000","453,000,000","395,000,000","489,000,000","597,000,000","437,000,000","603,000,000","462,000,000","519,000,000","778,000,000","1,395,000,000","539,000,000","298,000,000","280,000,000","331,000,000","436,000,000","343,000,000","421,000,000","462,000,000","981,000,000","711,000,000","476,000,000","465,000,000","568,000,000","900,000,000","471,000,000","450,000,000","430,000,000","557,000,000","465,000,000","429,000,000","527,000,000","594,000,000","753,000,000","538,000,000","976,000,000","485,000,000","607,000,000","650,000,000","801,000,000","996,000,000","978,000,000","943,000,000","1,753,000,000","2,073,000,000","685,000,000","1,163,000,000","594,000,000","583,000,000","406,000,000","1,187,000,000","1,373,000,000","1,024,000,000","321,000,000","660,000,000","594,000,000","443,000,000","563,000,000","1,071,000,000","1,048,982,000","1,449,032,000","770,494,000","705,705,000","1,347,411,000","1,500,482,000","1,200,896,000","1,458,084,000","1,155,236,000","666,590,000","133,111,000","189,282,000","145,596,000","300,151,000","558,317,000","544,571,000","940,000,000","997,400,000","791,300,000","143,229,000","146,500,000","130,000,000","123,800,000","149,727,000","225,700,000","106,000,000","101,300,000","124,115,000","104,700,000","115,300,000","318,300,000","103,760,000","148,300,000","205,800,000","113,600,000","124,220,000","95,400,000","93,600,000","40,400,000","60,200,000","47,800,000","25,800,000","64,600,000","115,000,000","221,700,000","130,400,000","112,700,000","356,700,000","349,200,000","59,700,000"
			CashAndCashEquivalents,"1,354,000,000","518,000,000","1,153,000,000","1,202,000,000","649,000,000","982,000,000","526,000,000","1,053,000,000","453,000,000","395,000,000","489,000,000","597,000,000","437,000,000","603,000,000","462,000,000","519,000,000","778,000,000","1,395,000,000","539,000,000","298,000,000","280,000,000","331,000,000","436,000,000","343,000,000","421,000,000","462,000,000","981,000,000","711,000,000","476,000,000","465,000,000","568,000,000","900,000,000","471,000,000","450,000,000","430,000,000","557,000,000","465,000,000","429,000,000","527,000,000","594,000,000","753,000,000","538,000,000","976,000,000","485,000,000","607,000,000","650,000,000","792,000,000","988,000,000","966,000,000","943,000,000","1,412,000,000","1,859,000,000","581,000,000","1,163,000,000","594,000,000","570,000,000","395,000,000","1,178,000,000","1,139,000,000","721,000,000","321,000,000","643,000,000","594,000,000","443,000,000","563,000,000","1,070,000,000","988,008,000","1,381,033,000","732,919,000","666,700,000","1,300,442,000","1,297,102,000","1,161,646,000","1,421,300,000","1,155,236,000","666,590,000","133,111,000","189,282,000","141,141,000","295,567,000","552,764,000","521,771,000","484,200,000","382,600,000","574,300,000","137,273,000","125,100,000","120,600,000","114,100,000","139,989,000","215,400,000","93,600,000","88,900,000","111,629,000","85,800,000","89,200,000","291,700,000","53,365,000","88,100,000","141,500,000","49,700,000","54,105,000","95,400,000","93,600,000","40,400,000","60,200,000","47,800,000","25,800,000","64,600,000","115,000,000","221,700,000","130,400,000","112,700,000","356,700,000","349,200,000","59,700,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,000,000","8,000,000","12,000,000",,"341,000,000","214,000,000","104,000,000",,,"13,000,000","11,000,000","9,000,000","234,000,000","303,000,000",,"17,000,000",,,,"1,000,000","60,974,000","67,999,000","37,575,000","39,005,000","46,969,000","203,380,000","39,250,000","36,784,000",,,,,"4,455,000","4,584,000","5,553,000","22,800,000","455,800,000","614,800,000","217,000,000","5,956,000","21,400,000","9,400,000","9,700,000","9,738,000","10,300,000","12,400,000","12,400,000","12,486,000","18,900,000","26,100,000","26,600,000","50,395,000","60,200,000","64,300,000","63,900,000","70,115,000",,,,,,,,,,,,,,
		Receivables,"405,000,000","444,000,000","441,000,000","405,000,000","406,000,000","358,000,000","366,000,000","342,000,000","345,000,000","312,000,000","324,000,000","319,000,000","307,000,000","298,000,000","423,000,000","442,000,000","423,000,000","412,000,000","452,000,000","556,000,000","492,000,000","486,000,000","478,000,000","587,000,000","527,000,000","786,000,000","894,000,000","1,045,000,000","737,000,000","730,000,000","788,000,000","689,000,000","1,137,000,000","263,000,000","353,000,000","360,000,000","308,000,000","248,000,000","388,000,000","455,000,000","392,000,000","362,000,000","476,000,000","424,000,000","402,000,000","418,000,000","642,000,000","542,000,000","434,000,000","436,000,000","423,000,000","401,000,000","287,000,000","280,000,000","396,000,000","405,000,000","425,000,000","408,000,000","434,000,000","418,000,000","332,000,000","409,000,000","434,000,000","425,000,000","445,000,000","403,000,000","347,188,000","347,054,000","110,132,000","108,327,000","129,291,000","112,011,000","109,121,000","90,763,000","113,455,000","113,743,000","109,030,000","95,361,000","109,066,000","96,718,000","82,288,000","62,887,000","115,600,000","103,200,000","72,900,000","60,837,000","73,300,000","66,500,000","61,300,000","57,090,000","49,800,000","49,300,000","42,900,000","38,109,000","41,000,000","35,400,000","30,300,000","33,080,000","32,600,000","32,100,000","28,400,000","20,789,000","27,400,000","32,100,000","24,400,000","19,300,000","25,100,000","26,400,000","20,600,000","21,600,000","12,500,000","19,400,000","35,800,000","8,900,000","8,300,000","6,400,000"
			AccountsReceivable,"405,000,000","444,000,000","441,000,000","405,000,000","406,000,000","358,000,000","366,000,000","342,000,000","345,000,000","312,000,000","324,000,000","319,000,000","307,000,000","298,000,000","321,000,000","334,000,000","311,000,000","303,000,000","328,000,000","380,000,000","329,000,000","332,000,000","355,000,000","288,000,000","258,000,000","405,000,000","444,000,000","408,000,000","400,000,000","270,000,000","306,000,000","286,000,000","286,000,000","263,000,000","353,000,000","360,000,000",,"248,000,000",,,,,,,,,,,,,,,,,,,"425,000,000","408,000,000","434,000,000","418,000,000","332,000,000","409,000,000","434,000,000","425,000,000","445,000,000","403,000,000","347,188,000","347,054,000","110,132,000","108,327,000","129,291,000","112,011,000","109,121,000","90,763,000","113,455,000","113,743,000","109,030,000","95,361,000","109,066,000","96,718,000","82,288,000","62,887,000",,,,"60,837,000",,,,"57,090,000",,,,"38,109,000",,,,"33,080,000",,,,"20,789,000",,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,"102,000,000","108,000,000","112,000,000","109,000,000","124,000,000","176,000,000","163,000,000","154,000,000","123,000,000","299,000,000","269,000,000","381,000,000","450,000,000","637,000,000","337,000,000","460,000,000","482,000,000","403,000,000","851,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"440,000,000","427,000,000","482,000,000","501,000,000","444,000,000","450,000,000","405,000,000","402,000,000","394,000,000","387,000,000","357,000,000","351,000,000","361,000,000","322,000,000","314,000,000","315,000,000","333,000,000","330,000,000","305,000,000","327,000,000","332,000,000","364,000,000","358,000,000","383,000,000","381,000,000","374,000,000","388,000,000","381,000,000","383,000,000","390,000,000","364,000,000","377,000,000","381,000,000","374,000,000","366,000,000","365,000,000","343,000,000","320,000,000","291,000,000","297,000,000","321,000,000","320,000,000","309,000,000","308,000,000","305,000,000","315,000,000","365,000,000","349,000,000","331,000,000","331,000,000","297,000,000","282,000,000","265,000,000","263,000,000","278,000,000","278,000,000","266,000,000","250,000,000","253,000,000","253,000,000","245,000,000","240,000,000","223,000,000","211,000,000","200,000,000","171,000,000","159,644,000","157,779,000","95,410,000","91,310,000","91,042,000","89,163,000","90,369,000","91,996,000","96,337,000","100,628,000","101,316,000","100,451,000","92,353,000","94,691,000","86,760,000","84,019,000","79,200,000","81,000,000","77,600,000","75,449,000","74,200,000","76,200,000","56,000,000","54,970,000","54,400,000","54,900,000","53,700,000","53,281,000","51,300,000","52,100,000","49,500,000","48,820,000","49,800,000","48,900,000","45,800,000","45,122,000","42,700,000","40,500,000","38,700,000","37,200,000","34,300,000","34,300,000","33,700,000","31,600,000","34,100,000","36,100,000","26,800,000","10,900,000","10,600,000","8,800,000"
		PrepaidAssets,"687,000,000","671,000,000","635,000,000","727,000,000","603,000,000","436,000,000","458,000,000","481,000,000","475,000,000","502,000,000","491,000,000","507,000,000","492,000,000","466,000,000","355,000,000","324,000,000","326,000,000","314,000,000","321,000,000","298,000,000","322,000,000","322,000,000","330,000,000","312,000,000","316,000,000","315,000,000","371,000,000","187,000,000","196,000,000","236,000,000","221,000,000","203,000,000","184,000,000","225,000,000","248,000,000","217,000,000","249,000,000","247,000,000","239,000,000","240,000,000","279,000,000","298,000,000","337,000,000","317,000,000","245,000,000","267,000,000","245,000,000","292,000,000","280,000,000","266,000,000","249,000,000","263,000,000","272,000,000","289,000,000","283,000,000","240,000,000","210,000,000","370,000,000","352,000,000","404,000,000","458,000,000","266,000,000","229,000,000","270,000,000","237,000,000","212,000,000","240,491,000","292,136,000","178,675,000","148,420,000","136,843,000","158,151,000","144,341,000","113,798,000","142,220,000","175,241,000","173,102,000","164,388,000","122,148,000","130,877,000","124,815,000","100,159,000",,,,"90,764,000",,,,"74,238,000",,,,"75,428,000",,,,"70,718,000",,,,"50,318,000",,,,,,,,,,,,,,
