name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
MarketCap,"6,513,084,051","12,733,750,346","13,174,283,477","12,531,016,277","12,784,734,184","8,727,158,089","5,431,278,737","4,360,505,500","8,839,576,050","8,162,910,019","8,639,209,202","5,412,847,934","7,760,394,258","9,729,244,242","7,955,950,787","5,739,865,329","2,780,396,732","1,840,151,882","1,745,241,334","2,772,004,662","2,493,812,638","3,180,650,835","3,653,242,708","3,950,914,336","3,842,670,108","3,810,474,021","3,802,078,522","3,337,999,693","4,804,721,574","4,710,179,093","8,023,603,430","9,511,921,668","12,664,521,595","13,138,088,108","11,866,223,759","18,266,136,916","19,754,727,369","18,613,370,160","14,562,289,253","15,140,247,815","17,000,987,835","23,900,286,409","17,533,685,453","16,522,815,355","12,273,121,087","10,115,887,010","16,219,164,846","20,853,211,945","16,953,830,850"
EnterpriseValue,"12,408,506,996","21,760,509,198","22,225,074,327","23,632,088,424","20,671,029,736","16,676,297,886","13,371,281,267","10,143,085,933","18,442,359,011","17,743,784,648","19,175,941,174","16,569,320,921","20,295,972,088","21,878,505,112","20,131,982,099","17,916,516,054","13,834,633,156","11,898,986,503","12,754,819,585","17,263,573,383","15,974,330,424","14,559,477,251","14,253,708,262","15,252,661,716","13,461,086,724","13,018,035,697","10,325,784,093","10,018,810,798","25,164,819,453","24,736,104,024","27,432,595,165","23,480,312,951","27,744,537,637","27,586,304,102","26,610,769,575","31,860,623,196","30,616,256,194","28,860,112,540","16,552,816,990","17,864,566,966","19,988,427,896","24,054,186,843","19,549,721,819","23,480,418,211","19,424,096,424","19,906,494,925","19,657,161,143","24,997,803,710","20,740,149,109"
PeRatio,"4.011","3.891","4.841","4.131",,,,,,,,"1.899","6.765","12.621",,,,,,,,,,,,,,,,,"3.894","6.101","6.148","5.136","4.545","10.356","7.849","14.004","15.107","21.212",,"245.438","5.383","4.41","2.933","2.819","20.166","21.508","19.141"
ForwardPeRatio,"6.562",,,,,,,,,,,,,,,,,,,,,,,"2.532","2.431","2.281","2.422","0.815","1.4","1.108","2.599","4.773","5.963","6.545","5.319","7.052","9.579",,,,,,"10.309",,,,,"15.798","12.837"
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,"2.814","2.701","2.535","2.691","0.905","1.555","1.232","2.887","5.304","6.626",,,"1.011","1.373",,,,,,"2.577",,,,,"3.949","3.21"
PsRatio,"1.079","1.899","2.068","1.86","1.264","0.851","0.518","0.466","0.725","0.649","0.683","0.266","0.381","0.537","0.478","0.563","0.253","0.212","0.214","0.25","0.262","0.292","0.346","0.357","0.271","0.258","0.262","0.193","0.274","0.254","0.552","0.672","0.783","0.864","0.765","1.016","1.109","1.148","0.916","1.037","1.257","1.514","1.08","1.164","0.97","0.969","1.339","1.428","1.271"
PbRatio,"0.489","0.805","0.865","0.828","1.142","0.769","0.47","0.38","0.613","0.549","0.581","0.368","0.524","0.583","0.51","0.454","0.166","0.139","0.126","0.137","0.14","0.132","0.147","0.141","0.133","0.127","0.128","0.095","0.139","0.129","0.207","0.253","0.301","0.316","0.28","0.378","0.419","0.446","0.314","0.351","0.397","0.548","0.364","0.384","0.329","0.334","0.392","0.418","0.372"
EnterprisesValueRevenueRatio,"0.448","2.965","3.048","3.557","3.204","-5.329","1.851","0.825","2.149","1.609","2.156","1.844","2.263","1.78","2.339","0.542","2.046","1.514","1.614","2.098","1.858","1.505","2.163","2.221","1.921","2.165","1.716","1.67","4.333","2.556","3.272","3.04","3.352","3.119","3.749","5.586","3.881","5.784","1.954","2.33","3.556","4.489","2.302","4.552","3.337","2.163","2.561","3.846","3.025"
EnterprisesValueEBITDARatio,"1.055","8.463","7.818","7.986","6.095","1.538","43.754","1.728","7.616","-7.522","6.901","6.691","4.289","-4.488","5.486","0.755","-7.635","-2.804","-5.957","29.647","5.233","-14.066","-10.77","14.853","5.655","-4.511","84.991","10.672","30.97","-2.086","10.542","6.624","9.517","30.085","5.791","12.532","9.842","13.776","7.777","8.839","13.84","-25.474","20.994","16.519","9.875","2.14","24.923","8.923","7.193"
