name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,09/30/1997
TotalAssets,"3,694,904,000","3,211,070,000","3,397,997,000","3,337,806,000","3,239,730,000","3,004,596,000","3,175,008,000","3,141,752,000","3,117,883,000","2,980,705,000","3,090,387,000","3,090,366,000","3,152,342,000","2,990,144,000","3,120,198,000","3,106,634,000","2,974,683,000","2,911,377,000","2,933,493,000","2,865,539,000","2,648,262,000","2,593,044,000","2,390,205,000","2,270,100,000","2,124,148,000","2,043,651,000","2,028,008,000","2,004,225,000","1,921,666,000","1,896,437,000","1,939,232,000","1,854,495,000","1,806,758,000","1,889,721,000","1,893,286,000","1,441,699,000","1,346,029,000","1,321,192,000","1,275,631,000","1,178,781,000","1,101,510,000","1,082,408,000","1,134,247,000","1,117,253,000","1,041,067,474.117","1,102,126,000","1,105,481,196.699","1,058,889,165.452","998,235,871.958","874,486,000","823,617,379.991","795,235,378.814","715,452,756.52","723,984,041.734","673,901,567.941","644,850,487.219","610,445,990.184","596,894,245.044","552,731,305.1","525,222,408.862","496,352,059.66","488,512,768.1","457,750,635.333","449,027,325.697","424,492,308.582","425,542,018.385","405,883,938.143","355,787,859.897","318,083,303.161","312,932,383.983","308,348,331.025","299,438,766.067","290,525,224.563","297,181,275.206","339,657,154.939","296,543,774.112","269,609,965.989","262,451,799.121","252,618,607.163","223,820,354.689","199,882,987.993","195,141,932.804","178,790,117.829","131,139,439.887","97,384,286.086","87,212,121.847","88,050,300.184","62,053,614.653","45,087,747.937"
	CurrentAssets,"2,103,821,000","1,514,173,000","1,701,787,000","1,644,553,000","1,561,912,000","1,382,911,000","1,526,421,000","1,486,684,000","1,461,805,000","1,307,881,000","1,411,492,000","1,395,402,000","1,436,303,000","1,340,525,000","1,476,251,000","1,500,223,000","1,396,315,000","1,339,220,000","1,370,103,000","1,330,950,000","1,240,872,000","1,247,404,000","1,180,611,000","1,113,926,000","1,027,729,000","980,712,000","1,022,567,000","1,004,278,000","938,006,000","915,600,000","942,366,000","876,352,000","827,283,000","888,444,000","920,932,000","823,207,000","757,779,000","755,331,000","713,918,000","624,638,000","585,016,000","579,965,000","620,393,000","589,146,000","506,970,221.035","561,100,000","573,519,222.834","527,600,656.757","474,138,321.721","465,870,000","436,067,084.077","429,763,269.764","379,115,092.656","406,983,021.673","374,105,886.735","353,133,148.911","335,706,493.887","327,496,863.2","291,882,063.443","276,613,296.685","258,065,102.234","273,908,366.701","254,442,684.299","249,959,454.554","231,963,889.51","243,277,650","227,324,488.857","198,114,767.881","175,293,506.362","176,621,445.449","179,684,330.366","187,462,178.82","181,473,149.16","195,397,314.521","234,779,570.532","203,726,918.782","174,443,270.423","180,158,305.378","181,486,441.616","159,515,186.501","140,047,950.398","140,186,447.764","128,147,841.836","83,725,180.586","58,953,710.275","55,835,806.747","62,435,667.415","38,571,168.017","27,492,529.318"
		CashCashEquivalentsAndShortTermInvestments,"505,085,000","64,126,000","55,791,000","50,585,000","80,980,000","46,657,000","51,978,000","41,425,000","51,466,000","52,795,000","47,172,000","46,819,000","58,049,000","38,197,000","60,442,000","54,571,000","53,450,000","47,097,000","44,586,000","60,281,000","85,098,000","65,163,000","45,092,000","58,591,000","79,122,000","97,368,000","120,138,000","72,715,000","81,981,000","70,410,000","48,510,000","31,509,000","41,741,000","88,802,000","88,993,000","173,760,000","234,925,000","258,442,000","201,209,000","119,092,000","141,084,000","99,732,000","74,478,000","23,968,000","14,343,705.012","12,357,000","13,193,809.196","29,293,935.684","13,637,096.839","9,250,000","7,524,249.883","35,466,744.972","36,308,991.935","29,035,395.845","63,954,609.585","48,206,558.586","90,414,636.645","69,729,366.533","30,844,452.426","30,030,329.834","52,283,570.965","60,609,805.818","37,123,571.814","21,419,979.866","37,241,134.511","68,674,843.4","50,859,969.71","22,924,222.976","39,313,554.51","44,677,544.501","16,208,032.971",,,,,,"303,040.347","22,292,585.863","19,425,206.09",,,,"-14,824,556.191","-54,616,425.665","-39,939,629.557","-21,251,689.486","-14,508,288.068","-23,982,073.265","-10,897,038.512"
			CashAndCashEquivalents,"505,085,000","64,126,000","55,791,000","50,585,000","80,980,000","46,657,000","51,978,000","41,425,000","51,466,000","52,795,000","47,172,000","46,819,000","58,049,000","38,197,000","60,442,000","54,571,000","53,450,000","47,097,000","44,586,000","60,281,000","85,098,000","65,163,000","45,092,000","58,591,000","79,122,000","97,368,000","120,138,000","72,715,000","81,981,000","70,410,000","48,510,000","31,509,000","41,741,000","88,802,000","88,993,000","173,760,000","234,925,000","258,442,000","201,209,000","119,092,000","141,084,000","99,732,000","74,478,000","23,968,000","14,343,705.012","12,357,000","13,193,809.196","29,293,935.684","13,637,096.839","9,250,000","7,524,249.883","35,466,744.972","36,308,991.935","29,035,395.845","63,954,609.585","48,206,558.586","90,414,636.645","69,729,366.533","30,844,452.426","30,030,329.834","52,283,570.965","60,609,805.818","37,123,571.814","21,419,979.866","37,241,134.511","68,674,843.4","50,859,969.71","22,924,222.976","39,313,554.51","44,677,544.501","16,208,032.971",,,,,,"303,040.347","22,292,585.863","19,425,206.09",,,,"-14,824,556.191","-54,616,425.665","-39,939,629.557","-21,251,689.486","-14,508,288.068","-23,982,073.265","-10,897,038.512"
				CashFinancial,,"64,126,000",,,,"46,657,000",,,,"52,795,000",,,,"38,197,000",,,,,,,"85,040,000","65,099,000","45,028,000","58,533,000","78,247,000","96,493,000","119,321,000","70,852,000","76,259,000","68,748,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,"58,000","64,000","64,000","58,000","875,000","875,000","817,000","1,863,000","5,722,000","1,662,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"344,601,000","320,931,000","529,935,000","511,852,000","396,568,000","318,848,000","403,996,000","387,969,000","353,456,000","247,256,000","359,626,000","364,569,000","357,915,000","277,733,000","404,268,000","456,410,000","434,315,000","424,884,000","457,720,000","352,639,000","222,952,000","355,704,000","369,523,000","299,054,000","228,981,000","255,718,000","265,890,000","273,374,000","203,098,000","260,948,000","303,980,000","241,100,000","143,072,000","192,109,000","275,607,000","193,042,000","138,800,000","145,684,000","168,476,000","152,957,000","78,838,000","166,762,000","194,142,000","176,633,000","98,613,099.425","222,158,000","254,488,025.152","185,679,835.811","152,438,028.88","206,088,000","183,246,488.492","139,697,852.809","98,292,836.307","166,032,375.963","133,815,833.782","103,542,587.922","51,766,925.263","108,532,946.287","112,574,636.747","89,185,372.406","49,007,675.479","85,231,362.443","94,417,210.987","85,413,833.682","45,456,236.65","63,643,442.762","75,485,677.59","69,965,720.34","34,810,980.048","55,288,814.467","68,917,115.068","71,590,327.92","49,992,908.831","79,597,633.481","103,869,011.563","82,807,419.416","56,208,498.166","74,193,486.422","80,921,206.495","68,128,222.286","47,148,810.699","71,641,969.575","75,316,704.993","65,119,584.753","37,223,332.683","36,488,750.082","44,325,321.625","31,476,471.293","22,593,860.576"
			AccountsReceivable,"344,601,000","320,931,000","527,747,000","509,168,000","394,417,000","317,159,000","401,575,000","383,625,000","350,760,000","243,365,000","359,626,000","363,424,000","357,915,000","277,733,000","404,268,000","456,410,000","434,315,000","424,407,000","451,197,000","347,717,000","220,762,000","354,265,000","366,426,000","295,732,000","226,433,000","255,018,000","264,779,000","270,706,000","203,098,000","260,595,000","302,378,000","239,290,000","142,141,000","191,594,000","275,607,000","193,042,000","138,800,000","145,684,000","167,948,000","151,894,000","77,743,000","166,762,000","194,142,000","176,633,000","98,613,099.425","222,158,000","254,488,025.152","185,679,835.811","152,438,028.88","206,088,000","183,246,488.492","139,697,852.809","98,292,836.307","166,032,375.963","133,815,833.782","103,542,587.922","51,766,925.263","108,532,946.287","112,574,636.747","89,185,372.406","49,007,675.479","85,231,362.443","94,417,210.987","85,413,833.682","45,456,236.65","63,643,442.762","75,485,677.59","69,965,720.34","34,810,980.048","55,288,814.467","68,917,115.068","71,590,327.92","49,992,908.831","79,597,633.481","103,869,011.563","82,807,419.416",,,,,,,,,,,,,
				GrossAccountsReceivable,"372,453,000","328,115,000",,,,"324,706,000",,,,"248,419,000",,,,"283,322,000",,,,,,,,"358,688,000",,,,"258,685,000",,,,"265,090,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-27,852,000","-7,184,000",,,,"-7,547,000",,,,"-5,054,000",,,,"-5,589,000",,,,,,,,"-4,423,000",,,,"-3,667,000",,,,"-4,495,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,"0","2,188,000","2,684,000","2,151,000","1,689,000","2,421,000","4,344,000","2,696,000","3,891,000",,"1,145,000",,,,,,"477,000","6,523,000","4,922,000","2,190,000","1,439,000","3,097,000","3,322,000","2,548,000","700,000","1,111,000","2,668,000","0","353,000","1,602,000","1,810,000","931,000","515,000",,"0",,,"528,000","1,063,000","1,095,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,188,209,000","1,052,052,000","1,046,496,000","1,008,548,000","1,008,275,000","940,029,000","973,906,000","969,710,000","988,614,000","945,738,000","939,428,000","922,657,000","948,166,000","954,876,000","938,261,000","920,877,000","861,857,000","826,781,000","818,648,000","873,508,000","887,374,000","779,407,000","723,426,000","723,418,000","688,323,000","595,794,000","602,020,000","625,522,000","622,189,000","553,068,000","550,258,000","573,270,000","610,923,000","575,594,000","519,716,000","439,219,000","366,474,000","332,542,000","323,991,000","339,467,000","344,963,000","301,867,000","339,555,000","379,915,000","385,483,216.105","316,172,000","290,818,745.333","299,882,309.336","295,387,856.205","239,963,000","231,146,322.217","242,491,537.795","233,385,395.504","200,849,426.831","161,441,766.29","186,891,686.396","179,078,977.097","134,720,668.301","132,061,829.818","141,047,491.94","142,111,179.23","116,497,515.045","113,587,481.623","130,150,412.593","138,323,644.902","102,510,112.634","93,450,530.817","97,319,851.068","95,095,895.345","71,182,677.294","91,052,771.513","112,512,074.111","127,985,526.2","113,095,037.413","127,264,103.733","117,824,437.183","114,490,272.758","81,013,595.58","77,850,703.17","89,552,298.043","90,601,634.296","67,145,611.287","65,964,300.589","72,221,720.632","60,663,971.534","39,295,576.81","30,117,205.092","28,778,488.2","14,296,115.535"
			RawMaterials,"155,503,000","152,584,000","155,931,000","161,640,000","152,172,000","151,600,000","149,960,000","139,701,000","134,299,000","128,414,000","117,601,000","114,486,000","113,760,000","119,155,000","122,372,000","126,218,000","122,262,000","116,893,000","116,114,000","121,547,000","117,271,000","94,946,000","96,740,000","87,293,000","81,921,000","69,508,000","66,243,000","74,818,000","72,316,000","61,841,000","65,102,000","53,142,000","60,898,000","74,284,000","75,754,000","74,574,000","71,883,000","54,353,000","54,263,000","46,211,000","41,860,000","43,078,000","43,774,000","44,693,000","59,311,326.212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"61,574,000","75,535,000","82,227,000","76,876,000","76,236,000","67,903,000","67,180,000","69,801,000","67,272,000","60,743,000","56,195,000","59,098,000","52,095,000","56,397,000","63,858,000","66,066,000","47,658,000","59,433,000","63,130,000","62,203,000","61,087,000","52,010,000","57,870,000","46,604,000","46,804,000","36,507,000","35,415,000","41,177,000","36,149,000","37,358,000","40,816,000","24,864,000","25,492,000","31,710,000","33,169,000","35,045,000","42,232,000","37,305,000","29,527,000","40,586,000","30,304,000","24,576,000","29,350,000","29,152,000","30,568,045.193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"971,132,000","823,933,000","808,338,000","770,032,000","779,867,000","720,526,000","756,766,000","760,208,000","787,043,000","756,581,000","765,632,000","749,073,000","782,311,000","779,324,000","752,031,000","728,593,000","691,937,000","650,455,000","639,404,000","689,758,000","709,016,000","632,451,000","568,816,000","589,521,000","559,598,000","489,779,000","500,362,000","509,527,000","513,724,000","453,869,000","444,340,000","495,264,000","524,533,000","469,600,000","410,793,000","329,600,000","252,359,000","240,884,000","240,201,000","252,670,000","272,799,000","234,213,000","266,431,000","306,070,000","295,603,844.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"65,926,000","77,064,000","69,565,000","73,568,000","76,089,000","77,377,000","96,541,000","87,580,000","68,269,000","62,092,000","65,266,000","61,357,000","72,173,000","69,719,000","70,440,000","65,525,000","43,853,000","18,152,000","17,775,000","15,183,000","13,613,000","17,507,000","18,036,000","12,002,000","11,639,000","14,959,000","17,096,000","13,345,000","12,023,000","14,451,000","15,108,000","8,436,000","8,546,000","10,966,000","12,491,000","8,066,000","9,126,000","9,584,000","10,596,000","7,067,000","11,909,000","11,604,000","12,218,000","8,630,000","8,530,199.671","10,413,000","11,253,984.083","8,983,766.638","8,800,229.223","7,959,000","9,556,806.012","7,071,158.114","6,673,322.752","5,762,635.68","6,309,063.902","3,895,266.77","3,269,289.65","4,389,427.601","6,438,619.147","6,748,153.261","5,861,077.745","3,428,983.738","4,752,785.862","6,679,176.645","4,934,028.394","3,812,258.814","4,443,578.227","4,466,940.55","2,696,146.248","2,304,267.036","3,506,410.814","3,359,777.416","3,494,714.13","2,704,643.627",,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,666,000","16,033,000",,,,,,,,"0",,,,"3,764,660.051","3,760,809.288","3,875,109.563","2,610,000","4,593,216.534","5,035,976.075","4,454,545.299","5,303,186.459","8,584,612.278","10,597,049.237","11,176,665.232","10,124,453.619","9,962,525.305","9,601,949.244","8,801,598.815","8,140,699.657","4,561,634.012","6,296,051.769","6,008,845.825","4,636,990.911","3,084,731.77","3,438,032.948","3,376,930.846","3,168,142.151",,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,666,000","16,033,000",,,,,,,,"0",,,,"3,764,660.051","3,760,809.288","3,875,109.563","2,610,000","4,593,216.534","5,035,976.075","4,454,545.299","5,303,186.459","8,584,612.278","10,597,049.237","11,176,665.232","10,124,453.619","9,962,525.305","9,601,949.244","8,801,598.815","8,140,699.657","4,561,634.012","6,296,051.769","6,008,845.825","4,636,990.911","3,084,731.77","3,438,032.948","3,376,930.846","3,168,142.151",,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,"0","2,840,000","2,840,000","2,840,000","4,340,000","4,989,000","4,989,000","4,989,000","5,839,000","5,839,000","5,839,000","5,839,000","5,839,000","5,839,000","5,839,000","5,839,000","8,029,000","12,800,000","13,105,000","13,142,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,"17,966,000","26,385,000","24,350,000","26,846,000","23,784,000","18,695,000","15,022,000","13,825,000","11,034,000","11,584,000","13,483,000","12,876,000","8,694,000","11,710,000","8,932,000","9,859,000","9,307,000","8,092,000","9,120,000","8,454,000","9,079,000","9,646,000","6,055,000","8,222,000",,,,"0.822",,"-0.983",,"1.01",,"0.939",,"0.858","0.896","0.898",,,"0.86",,,,,,,"-0.771","1.479","0.742",,"-0.635",,,"-0.627",,,"3,646,455.236","3,095,062.183","3,441,459.153","2,658,637.513","3,289,325.862","1,834,666.171","2,297,505.403","1,398,866.902","1,691,392.445","1,000,300.865","1,006,035.614","1,303,169.342","2,501,428.766","2,298,281.789","1,499,591.719"
	TotalNonCurrentAssets,"1,591,083,000","1,696,897,000","1,696,210,000","1,693,253,000","1,677,818,000","1,621,685,000","1,648,587,000","1,655,068,000","1,656,078,000","1,672,824,000","1,678,895,000","1,694,964,000","1,716,039,000","1,649,619,000","1,643,947,000","1,606,411,000","1,578,368,000","1,572,157,000","1,563,390,000","1,534,589,000","1,407,390,000","1,345,640,000","1,209,594,000","1,156,174,000","1,096,419,000","1,062,939,000","1,005,441,000","999,947,000","983,660,000","980,837,000","996,866,000","978,143,000","979,475,000","1,001,277,000","972,354,000","618,492,000","588,250,000","565,861,000","561,713,000","554,143,000","516,494,000","502,443,000","513,854,000","528,107,000","534,097,253.081","541,026,000","531,961,974.848","531,288,508.695","524,097,551.247","408,616,000","387,550,295.914","365,472,109.05","336,337,664.722","317,001,020.956","299,795,681.206","291,717,338.308","274,739,496.298","269,397,381.843","260,849,241.657","248,609,112.177","238,286,958.258","214,604,402.192","203,307,951.034","199,067,870.38","192,528,419.072","182,264,368.386","178,559,449.287","157,673,092.017","142,789,796.165","136,310,938.534","128,664,000.659","111,976,587.874","109,052,075.403","101,783,960.685","104,877,584.407","92,816,854.695","95,166,695.565","82,293,494.409","71,132,165.547","64,305,168.188","59,835,037.595","54,955,485.721","50,642,275.993","47,414,259.964","38,430,575.811","31,376,315.1","25,614,632.768","23,482,446.636","17,595,218.619"
