name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
MarketCap,"5,216,073,227","7,401,590,097","5,197,245,282","5,153,464,028","3,139,151,071","3,818,212,461","4,327,795,048","4,794,214,516","2,993,181,058","3,370,958,901","3,898,277,206"
PeRatio,"9.799","14.347","14.612","24.212","18.056","21.872","26.361","28.689","20.555",,
ForwardPeRatio,"13.021","12.376","9.931",,"15.625","19.38","15.773","19.121","13.793","14.641",
PegRatio,"1.327","0.859",,,,,"0.91","1.103","0.796","0.845",
PsRatio,"2.665","3.949","3.254","3.757","2.506","3.168","1.295","4.47","0.867","0.95","1.076"
PbRatio,"5.158","7.257","5.306","5.453","3.974","4.039","4.07","4.392","2.626","2.54","3.321"
