name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalRevenue,"42,237,000,000","42,237,000,000","41,381,000,000","41,096,000,000","40,918,000,000","40,236,000,000","39,445,000,000","40,981,000,000","43,515,000,000","45,277,000,000","45,503,000,000","45,944,000,000","53,614,742,580","53,042,442,320","51,701,734,840","49,000,375,160","47,122,260,720","46,040,241,490","46,592,609,240","43,100,824,590","33,767,164,360","27,253,696,960","24,674,275,080","23,671,794,510"
	OperatingRevenue,"41,246,000,000","41,246,000,000","41,381,000,000","41,096,000,000","40,918,000,000","40,236,000,000","39,445,000,000","40,981,000,000","43,515,000,000","45,277,000,000","45,503,000,000","45,944,000,000","53,614,742,580","53,042,442,320","51,701,734,840","49,000,375,160","47,122,260,720","46,040,241,490","46,592,609,240","43,100,824,590","33,767,164,360","27,253,696,960","24,674,275,080","23,671,794,510"
CostOfRevenue,"17,897,000,000","17,897,000,000","18,563,000,000","18,475,000,000","18,281,000,000","17,697,000,000","17,251,000,000","17,965,000,000","19,100,000,000","19,638,000,000","19,375,000,000","19,170,000,000","23,708,093,360","23,192,694,050","22,808,742,070","20,133,416,260","17,125,241,200","17,193,131,590","18,542,890,260","17,649,882,640","12,768,362,080","9,692,433,870","8,239,253,580","8,356,355,280"
GrossProfit,"24,340,000,000","24,340,000,000","22,818,000,000","22,621,000,000","22,637,000,000","22,539,000,000","22,194,000,000","23,016,000,000","24,415,000,000","25,639,000,000","26,128,000,000","26,774,000,000","29,906,649,220","29,849,748,270","28,892,992,770","28,866,958,900","29,997,019,520","28,847,109,900","28,049,718,980","25,450,941,950","20,998,802,280","17,561,263,090","16,435,021,500","15,315,439,230"
OperatingExpense,"18,451,000,000","18,451,000,000","17,879,000,000","17,103,000,000","17,246,000,000","17,764,000,000","17,081,000,000","16,609,000,000","18,370,000,000","17,355,000,000","17,250,000,000","18,184,000,000","19,138,732,620","18,825,073,890","21,338,065,780","10,011,827,980","19,181,155,360","19,310,015,570","13,144,315,210","20,242,743,010","16,129,746,260","13,100,139,780","12,303,031,140","11,483,624,880"
	SellingGeneralAndAdministration,"8,494,000,000","8,494,000,000","9,074,000,000","8,572,000,000","8,866,000,000","9,032,000,000","9,066,000,000","9,019,000,000","10,363,000,000","8,815,000,000","9,214,000,000","10,058,000,000","9,388,703,800","9,735,238,780","9,300,644,750","9,315,272,230","11,185,441,840","11,097,363,280","12,568,721,330","12,541,711,690","9,711,493,540","7,482,244,910","6,862,207,680","5,983,630,380"
		GeneralAndAdministrativeExpense,"8,494,000,000","8,494,000,000","9,074,000,000","8,572,000,000","8,866,000,000","9,032,000,000","9,066,000,000","9,019,000,000","10,363,000,000","8,815,000,000","9,214,000,000","10,058,000,000",,,,,,,,,,,,
			SalariesAndWages,"8,494,000,000","8,494,000,000","9,074,000,000","8,572,000,000","8,866,000,000","9,032,000,000","9,066,000,000","9,019,000,000","10,363,000,000","8,815,000,000","9,214,000,000","9,094,000,000",,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,"964,000,000",,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,"563,587,520","477,212,030","575,593,880","567,574,550","450,385,020","593,292,630","769,951,980","808,181,010"
	DepreciationAmortizationDepletionIncomeStatement,"8,363,000,000","8,363,000,000","7,047,000,000","6,846,000,000","6,728,000,000","6,465,000,000","6,038,000,000","6,052,000,000","6,329,000,000","6,735,000,000","6,461,000,000","6,417,000,000","7,794,707,340","8,123,444,280","7,823,906,940","7,028,880,750","9,736,638,320","10,544,718,400","15,826,925,760","9,457,702,650","6,836,695,540","5,024,602,240","4,670,871,480","4,691,813,490"
		DepreciationAndAmortizationInIncomeStatement,"8,363,000,000","8,363,000,000","7,047,000,000","6,846,000,000","6,728,000,000","6,465,000,000","6,038,000,000","6,052,000,000","6,329,000,000","6,735,000,000","6,461,000,000","6,417,000,000","7,794,707,340","8,123,444,280","7,823,906,940","7,028,880,750","9,736,638,320","10,544,718,400","15,826,925,760","9,457,702,650","6,836,695,540","5,024,602,240","4,670,871,480","4,691,813,490"
			DepreciationIncomeStatement,"8,363,000,000","8,363,000,000","7,047,000,000","6,846,000,000","6,728,000,000","6,465,000,000","6,038,000,000","6,052,000,000","6,329,000,000",,,,,,,,"7,431,388,320","7,525,022,310","7,903,933,180","6,922,161,690","5,742,142,820",,,
			Amortization,,,,,,,,,,,,,,,,,"2,305,250,000","3,019,696,090","7,922,992,580","2,535,540,960","1,094,552,720",,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,"2,305,250,000","3,019,696,090","7,922,992,580","2,535,540,960","1,094,552,720",,,
	ProvisionForDoubtfulAccounts,"315,000,000","315,000,000","277,000,000","251,000,000","275,000,000",,,,,,,,,,,,,,,,,,,
	OtherTaxes,"1,794,000,000","1,794,000,000","1,798,000,000","1,806,000,000","1,738,000,000","1,783,000,000","1,795,000,000","1,717,000,000","1,857,000,000",,,,,,,,,,,,,,,
	OtherOperatingExpenses,"-515,000,000","-515,000,000","-317,000,000","-372,000,000","-361,000,000","484,000,000","182,000,000","-179,000,000","-179,000,000","1,805,000,000","1,575,000,000","1,709,000,000","1,955,321,480","966,390,830","4,213,514,090","-6,332,325,000","-2,304,512,320","-2,809,278,140","-15,826,925,760","-2,324,245,880","-868,827,840",,,
OperatingIncome,"5,889,000,000","5,889,000,000","4,939,000,000","5,518,000,000","5,391,000,000","4,775,000,000","5,113,000,000","6,407,000,000","6,045,000,000","8,284,000,000","8,878,000,000","8,590,000,000","10,767,916,600","11,024,674,380","7,554,926,990","18,855,130,920","10,815,864,160","9,537,094,330","14,905,403,770","5,208,198,940","4,869,056,020","4,461,123,310","4,131,990,360","3,831,814,350"
NetNonOperatingInterestIncomeExpense,"-1,330,000,000","-1,330,000,000","-1,358,000,000","-1,652,000,000","-1,948,000,000","-1,584,000,000","-1,660,000,000","-1,732,000,000","-1,700,000,000","-1,941,000,000","-2,117,000,000","-2,293,000,000",,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,"125,000,000","120,000,000",,,,,,,,,,,,,
	InterestExpenseNonOperating,"1,231,000,000","1,231,000,000","1,341,000,000","1,274,000,000","1,407,000,000","1,597,000,000","1,653,000,000","1,746,000,000","1,801,000,000","2,066,000,000","2,117,000,000","2,293,000,000",,,,,,,,,,,,
	TotalOtherFinanceCost,"99,000,000","99,000,000","17,000,000","378,000,000","541,000,000","-13,000,000","7,000,000","-14,000,000","-101,000,000",,,,,,,,,,,,,,,
OtherIncomeExpense,"116,000,000","116,000,000","-114,000,000","-664,000,000","-1,463,000,000","-32,000,000","-520,000,000","-1,137,000,000","-2,010,000,000","-428,000,000","-1,199,000,000","-737,000,000","-1,013,577,740","362,139,360","-3,289,132,290","-1,557,751,950","-120,979,520","-1,634,907,770","-13,433,065,120","-10,976,105,060","3,087,746,000","592,298,840","648,021,600","235,454,310"
	GainOnSaleOfSecurity,"72,000,000","72,000,000","-1,000,000","-63,000,000","-149,000,000","1,000,000","22,000,000","-18,000,000","-28,000,000","-21,000,000",,,,,,,,,,,,,,
	EarningsFromEquityInterest,"8,000,000","8,000,000","3,000,000","6,000,000","-46,000,000","-38,000,000","-215,000,000","-259,000,000","-262,000,000",,,,"-211,191,960","4,115,220","24,246,080","20,263,440","3,688,400","-167,540,330","-366,893,450","-891,260,630",,,,
	SpecialIncomeCharges,"36,000,000","36,000,000","-116,000,000","-607,000,000","-1,268,000,000","5,000,000","-327,000,000","-860,000,000","-1,720,000,000","-407,000,000","-1,199,000,000","-737,000,000","-802,385,780","358,024,140","-3,313,378,370","-1,578,015,390","-124,667,920","-1,467,367,440","-13,066,171,670","-10,084,844,430","3,087,746,000","592,298,840","648,021,600","235,454,310"
		RestructuringAndMergernAcquisition,"132,000,000","132,000,000","199,000,000","194,000,000","402,000,000","192,000,000","469,000,000","343,000,000","37,000,000","136,000,000","680,000,000","213,000,000","471,231,040","208,504,480","566,752,120","453,394,470",,,,,,,,
		ImpairmentOfCapitalAssets,"14,000,000","14,000,000","105,000,000","210,000,000","979,000,000","38,000,000","288,000,000","636,000,000","1,841,000,000","991,000,000","636,000,000","518,000,000",,,,,,,,,,,,
		OtherSpecialCharges,"95,000,000","95,000,000","9,000,000","286,000,000","72,000,000",,,,,"-720,000,000","-117,000,000","6,000,000","331,154,740","-566,528,620","2,746,626,250","1,124,620,920",,,,,,,,
		GainOnSaleOfBusiness,,,"17,000,000","-5,000,000","59,000,000",,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,"277,000,000","277,000,000","180,000,000","88,000,000","126,000,000","235,000,000","430,000,000","119,000,000","158,000,000",,,,,,,,,,,,,,,
PretaxIncome,"4,675,000,000","4,675,000,000","3,467,000,000","3,202,000,000","1,980,000,000","3,159,000,000","2,933,000,000","3,538,000,000","2,335,000,000","5,915,000,000","5,562,000,000","5,560,000,000","6,878,105,500","7,641,963,540","3,108,044,380","7,272,042,030","4,777,953,360","614,579,220","-18,222,692,340","-11,231,232,630","4,987,242,160","4,568,452,630","3,742,324,740","3,150,905,940"
TaxProvision,"1,447,000,000","1,447,000,000","1,309,000,000","1,088,000,000","970,000,000","649,000,000","1,573,000,000","1,405,000,000","1,231,000,000","2,087,000,000","1,755,000,000","2,295,000,000","2,799,370,980","1,331,959,540","2,179,874,130","1,567,039,360","1,996,162,080","-2,586,155,710","2,496,781,400","-2,936,776,830","1,317,083,380","1,797,766,110","1,440,142,740","906,362,730"
NetIncomeCommonStockholders,"2,740,000,000","2,740,000,000","1,661,000,000","1,639,000,000","2,752,000,000","2,466,000,000","822,000,000","1,873,000,000","820,000,000","3,895,000,000","4,880,000,000","2,997,000,000","4,078,734,520","6,310,004,000","4,139,260,470","5,705,002,670","2,781,791,280","3,200,734,930","-20,719,473,740","-8,294,455,800","3,670,158,780","2,770,686,520","2,302,182,000","2,244,543,210"
