name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999
TotalAssets,"7,468,828,000","7,418,801,000","6,523,047,000","6,394,791,000","5,886,089,000","5,820,852,000","5,774,736,000","6,019,467,000","5,815,394,000","4,853,272,000","4,573,871,000","4,407,349,000","4,284,874,000","4,845,236,000","4,265,929,000","4,345,807,000","4,361,839,000","3,791,154,000","3,802,751,000","3,590,500,000","3,703,328,000","3,779,089,000","3,499,590,000","2,881,412,000","2,897,843,000","2,142,041,000","2,044,884,000","1,452,097,000","1,482,906,000","1,469,458,000","1,461,559,000","1,405,179,000","1,391,447,000","1,365,760,000","1,694,308,000","1,665,489,000","1,636,090,000","1,720,284,000","1,669,044,000","1,630,087,000","1,613,842,000","828,308,000","790,926,000","775,700,000","822,494,000","793,268,000","758,411,000","701,245,000","662,263,000","622,245,000","594,348,000","553,843,000","538,809,000","515,017,000","487,202,000","468,338,000","468,721,000","445,280,000","429,712,000","429,755,000","430,425,000","371,252,000","346,522,000","337,770,000","289,897,000","270,127,000","152,978,000","148,169,000","122,632,000","121,355,000","126,620,000","130,432,000","136,080,000","133,122,000","140,057,000","149,232,000","152,724,000","156,038,000","94,824,000","99,533,000"
	CurrentAssets,"4,611,844,000","4,458,228,000","3,548,848,000","3,482,846,000","3,332,698,000","3,509,451,000","3,692,056,000","4,199,037,000","4,102,613,000","3,207,370,000","3,034,339,000","2,709,525,000","2,656,072,000","3,022,771,000","2,675,603,000","2,672,275,000","2,719,545,000","2,298,293,000","2,459,769,000","2,478,861,000","2,535,516,000","2,768,093,000","2,632,761,000","2,092,366,000","2,118,802,000","1,440,777,000","1,426,321,000","857,057,000","885,347,000","890,716,000","901,097,000","795,763,000","827,910,000","890,115,000","966,833,000","948,097,000","1,008,659,000","973,586,000","956,617,000","919,051,000","918,898,000","699,779,000","667,632,000","648,359,000","692,431,000","661,844,000","627,069,000","580,458,000","543,558,000","502,626,000","475,721,000","432,104,000","418,112,000","396,883,000","366,931,000","346,991,000","347,009,000","333,137,000","325,298,000","326,045,000","326,965,000","297,974,000","286,253,000","277,679,000","250,256,000","229,662,000","113,782,000","103,007,000","101,871,000","99,579,000","100,001,000","100,862,000","102,599,000","115,401,000","122,097,000","130,023,000","132,309,000","135,088,000","73,562,000","78,798,000"
		CashCashEquivalentsAndShortTermInvestments,"2,903,839,000","2,866,143,000","2,031,113,000","2,070,792,000","2,345,334,000","2,528,438,000","2,697,194,000","3,438,439,000","3,372,543,000","2,232,136,000","2,091,607,000","1,811,653,000","1,797,065,000","2,209,176,000","2,132,399,000","2,190,766,000","2,209,853,000","1,935,529,000","1,932,838,000","2,057,194,000","2,166,538,000","2,321,553,000","2,300,977,000","1,805,910,000","1,868,239,000","1,217,928,000","1,236,996,000","681,931,000","713,598,000","696,247,000","716,297,000","647,894,000","673,475,000","742,095,000","826,387,000","830,525,000","882,835,000","857,013,000","828,190,000","828,014,000","821,518,000","599,660,000","581,957,000","564,267,000","603,824,000","562,489,000","540,919,000","511,559,000","477,999,000","439,366,000","415,177,000","382,667,000","362,751,000","345,343,000","312,481,000","304,411,000","300,689,000","288,636,000","284,132,000","283,430,000","275,635,000","243,563,000","243,014,000","238,142,000","227,164,000","208,228,000","96,931,000","89,702,000","95,766,000","93,151,000","93,559,000","95,972,000","97,103,000","109,789,000","115,764,000","122,154,000","125,882,000","129,633,000","65,486,000","74,128,000"
			CashAndCashEquivalents,"1,951,886,000","2,272,871,000","1,432,065,000","1,404,548,000","1,545,800,000","1,178,966,000","1,049,225,000","1,186,509,000","1,990,552,000","1,093,900,000","1,502,512,000","1,375,464,000","1,407,625,000","1,158,970,000","836,474,000","731,722,000","763,439,000","904,973,000","886,222,000","1,350,591,000","1,223,682,000","1,328,989,000","1,340,564,000","640,378,000","916,276,000","566,365,000","929,368,000","174,599,000","199,826,000","227,101,000","243,175,000","451,414,000","513,980,000","487,437,000","477,765,000","577,590,000","643,619,000","620,777,000","543,699,000","594,908,000","746,423,000","464,232,000","431,861,000","333,558,000","383,320,000","343,488,000","311,790,000","363,358,000","271,666,000","206,861,000","208,013,000","181,043,000","163,177,000","168,852,000","116,716,000","110,139,000","88,410,000","113,305,000","163,561,000","150,499,000","153,768,000","115,247,000","137,669,000","140,674,000","158,148,000","159,775,000","48,643,000","38,353,000","42,199,000","31,095,000","26,620,000","23,187,000","31,603,000","52,505,000","55,792,000","71,029,000","71,809,000","99,149,000","40,809,000","67,031,000"
				CashFinancial,"1,907,310,000",,,,"1,383,610,000",,,,"1,766,927,000",,,,"1,234,547,000",,,,"668,796,000",,,,"896,505,000",,,,"472,595,000",,,,"144,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"44,576,000",,,,"162,190,000",,,,"223,625,000",,,,"173,078,000",,,,"94,643,000",,,,"327,177,000",,,,"443,681,000",,,,"55,626,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"951,953,000","593,272,000","599,048,000","666,244,000","799,534,000","1,349,472,000","1,647,969,000","2,251,930,000","1,381,991,000","1,138,236,000","589,095,000","436,189,000","389,440,000","1,050,206,000","1,295,925,000","1,459,044,000","1,446,414,000","1,030,556,000","1,046,616,000","706,603,000","942,856,000","992,564,000","960,413,000","1,165,532,000","951,963,000","651,563,000","307,628,000","507,332,000","513,772,000","469,146,000","473,122,000","196,480,000","159,495,000","254,658,000","348,622,000","252,935,000","239,216,000","236,236,000","284,491,000","233,106,000","75,095,000","135,428,000","150,096,000","230,709,000","220,504,000","219,001,000","229,129,000","148,201,000","206,333,000","232,505,000","207,164,000","201,624,000","199,574,000","176,491,000","195,765,000","194,272,000","212,279,000","175,331,000","120,571,000","132,931,000","121,867,000","128,316,000","105,345,000","97,468,000","69,016,000","48,453,000","48,288,000","51,349,000","53,567,000","62,056,000","66,939,000","72,785,000","65,500,000","57,284,000","59,972,000","51,125,000","54,073,000","30,484,000","24,677,000","7,097,000"
		Receivables,"1,371,203,000","862,169,000","829,886,000","702,480,000","618,201,000","458,504,000","398,654,000","321,864,000","365,681,000","279,062,000","229,850,000","216,978,000","437,928,000","221,132,000","214,866,000","176,299,000","236,515,000","230,286,000","288,238,000","281,195,000","267,499,000","214,749,000","249,652,000","195,149,000","193,381,000","187,335,000","159,226,000","134,160,000","135,251,000","144,959,000","132,797,000","102,163,000","112,469,000","110,761,000","102,173,000","79,727,000","89,843,000","86,158,000","96,746,000","71,713,000","74,999,000","81,479,000","72,324,000","70,999,000","79,183,000","88,935,000","75,088,000","57,175,000","56,719,000","54,067,000","52,606,000","41,544,000","45,031,000","42,064,000","44,895,000","34,865,000","33,940,000","32,908,000","32,422,000","32,131,000","39,942,000","42,879,000","29,578,000","26,714,000","17,606,000","16,610,000","12,428,000","10,701,000","4,151,000","4,722,000","4,644,000","3,592,000","4,437,000","4,262,000","4,649,000","6,543,000","5,076,000","3,921,000","4,042,000","2,686,000"
			AccountsReceivable,"427,796,000","639,994,000","613,796,000","601,329,000","338,375,000","458,504,000","398,654,000","321,864,000","210,644,000","279,062,000","229,850,000","216,978,000","149,432,000","221,132,000","214,866,000","176,299,000","117,095,000","230,286,000","288,238,000","281,195,000","159,867,000","214,749,000","249,652,000","195,149,000","154,718,000","187,335,000","159,226,000","134,160,000","127,567,000","144,959,000","132,797,000","102,163,000","112,469,000","110,761,000","102,173,000","79,727,000","89,843,000","86,158,000","96,746,000","71,713,000","74,999,000","81,479,000","72,324,000","70,999,000","79,183,000","88,935,000","75,088,000","57,175,000","56,719,000","54,067,000","52,606,000","41,544,000","45,031,000","42,064,000","44,895,000","34,865,000","33,940,000","32,908,000","32,422,000","32,131,000","39,942,000","42,879,000","29,578,000","26,714,000","17,606,000","16,610,000","12,428,000","10,701,000","4,151,000","4,722,000","4,644,000","3,592,000","4,437,000","4,262,000","4,649,000","6,543,000","5,076,000",,,
				GrossAccountsReceivable,"488,216,000",,,,"366,339,000",,,,"230,858,000",,,,"163,500,000",,,,"132,075,000",,,,"182,628,000",,,,"171,025,000",,,,"138,621,000",,,,"123,961,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
