name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalRevenue,"2,580,990,000","2,580,990,000","820,867,000","1,089,319,000","1,130,330,000","1,025,852,000","853,557,000","420,939,000","159,536,000","108,853,000","136,058,000","101,712,000","50,097,000","96,254,000","81,909,000","31,072,000","16,740,000","16,681,000","30,120,000","5,363,000","4,592,000","4,416,000","40,497,000","11,875,000","1,871,000","1,010,000"
	TotalPremiumsEarned,"1,154,861,000","1,154,861,000","895,575,000","613,121,000","823,514,000","839,071,000","646,450,000","239,807,000",,,,,,,,,,,,,,,,,,
		NetPremiumsWritten,"900,959,000","900,959,000",,,,,,,,,,,,,,,,,,,,,,,,
			GrossPremiumsWritten,"1,103,393,000","1,103,393,000",,,,,,,,,,,,,,,,,,,,,,,,
			CededPremiums,"-202,434,000","-202,434,000",,,,,,,,,,,,,,,,,,,,,,,,
	NetInvestmentIncome,"1,256,299,000","1,256,299,000","270,671,000","208,789,000","185,463,000","157,654,000","117,369,000","93,295,000","77,760,000","69,870,000","99,906,000","81,371,000","26,601,000",,,"2,333,000","983,000","821,000","1,499,000","3,258,000",,,,,,
	NetRealizedGainLossOnInvestments,"96,328,000","96,328,000","-412,884,000","190,334,000","77,818,000","-41,252,000","62,619,000","70,651,000","73,612,000","21,125,000","13,137,000","4,237,000","-1,655,000",,,"1,824,000",,,,,"4,604,000","4,428,000","40,525,000","11,875,000","1,871,000","1,010,000"
	NetForeignExchangeGainLoss,"7,879,000","7,879,000","-2,668,000","-17,537,000","-665,000","-3,545,000","-5,960,000","4,369,000","-406,000",,,,,,,,,,,,,,,,,
	FeeRevenueAndOtherIncome,"65,623,000","65,623,000","70,173,000","94,612,000","44,200,000","73,924,000","33,079,000","12,817,000","8,570,000","17,858,000","23,015,000","16,104,000","25,151,000",,,"26,915,000","15,757,000","15,860,000","28,621,000","2,105,000","-12,000","-12,000","-28,000",,,
		FeesAndCommissions,"28,453,000","28,453,000","35,088,000","66,103,000","39,364,000","35,905,000","33,079,000","12,817,000","8,570,000","17,858,000","23,015,000","16,104,000","25,151,000",,,,,,,,,,,,,
		OtherIncomeExpense,"37,170,000","37,170,000","35,085,000","28,509,000","4,836,000","38,019,000",,,,,,,,,,"26,915,000","15,757,000","15,860,000","28,621,000","2,105,000","-12,000","-12,000","-28,000",,,
