name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
MarketCap,"10,002,579,815","9,266,500,000","16,403,140,000","13,356,195,000","15,325,194,971","13,632,842,652","12,427,480,000","15,856,948,293","13,660,401,127","10,223,905,963","8,234,582,093","7,854,931,280","9,685,360,000","11,078,740,000","10,639,040,195","10,463,830,000","9,804,850,700","11,357,880,000","10,773,630,000","10,731,132,000","13,728,464,000","13,010,054,500","14,930,994,000","16,738,808,000","16,672,507,000","18,687,756,000","20,730,034,000","19,595,940,000","18,212,480,650","18,500,385,615","15,096,790,000","14,385,029,067","13,363,949,051","12,608,038,221","13,232,148,464","12,356,890,000","13,421,795,000","13,110,160,000","13,814,415,000","14,402,347,200","11,712,045,000","11,110,445,000","10,005,300,000","9,646,280,000","7,506,695,000","9,500,995,803","8,375,951,895","11,256,017,316","12,718,643,809","12,430,335,855","14,388,716,748","16,412,095,585","12,929,273,905","10,768,009,745","9,011,876,936","8,131,416,565","8,148,243,974","8,484,485,129","8,630,268,878","8,540,480,302"
EnterpriseValue,"24,423,579,815","23,133,500,000","30,958,140,000","28,544,195,000","30,923,194,971","29,691,842,652","29,378,480,000","33,793,948,293","32,215,401,127","17,699,905,963","15,948,582,093","15,913,931,280","17,522,360,000","18,703,740,000","18,413,040,195","18,219,830,000","17,463,850,700","18,704,880,000","17,570,630,000","17,706,132,000","20,898,464,000","19,798,054,500","21,704,994,000","23,442,808,000","22,835,507,000","24,780,756,000","26,801,034,000","25,700,940,000","22,283,480,650","22,544,385,615","19,140,790,000","17,915,029,067","16,558,949,051","15,807,038,221","16,451,148,464","15,575,890,000","16,585,795,000","16,331,160,000","16,968,415,000","17,001,347,200","14,612,045,000","13,912,445,000","12,996,300,000","12,758,280,000","10,643,695,000","13,083,995,803","12,066,951,895","15,070,017,316","12,492,636,809","12,207,758,855","14,179,267,748","16,237,432,585","12,778,796,905","10,613,234,745","8,860,028,936","7,978,623,565","7,995,450,974","8,333,664,129","8,402,765,878","8,312,977,302"
PeRatio,"15.807","9.549","13.946","14.002","24.293","36.628",,,,,"12.984","12.116","13.953","14.694","16.376","14.605","15.522","18.57","16.685","16.275","19.976","18.741","23.356","23.313","49.293","56.189","32.482","64.106","60","63.179","49.418","21.083","40.745","18.036","17.116","15.917","37.315","21.632","28.752","62.921","58.048","23.908","23.746","24.017","16.547","33.446","35.035",,,,,"648.889",,,,"207.286","207.714","302.8","456.797","452.051"
ForwardPeRatio,"16.42","8.937","9.569","8.518","9.671","8.953","9.488","9.823","13.245","16.367","11.696","9.225","11.765","12.469","12.707","12.077","12.739","13.141","12.804","12.107","15.48","14.025","17.212","16.502","15.221","16.779","22.124","20.408","17.575","17.889","18.832","16.313","14.205","15.152","14.514","13.587","14.472","14.409","20.202",,,,,,,,,,,,,,,,,,,,,
PegRatio,"1.921","0.639","0.684","0.637","0.724","0.728","0.772","0.755","1.019","1.208","0.854","0.661","0.747","0.831","0.828","0.66","0.771","0.887","0.984","0.967","1.134","0.868","1.169","0.763","0.84","0.843","1.021","1.011","0.802","0.961","1.112","1.094","0.903","0.805","0.688","0.748","0.694","0.718","1.045",,,,,,,,,,,,,,,,,,,,,
PsRatio,"2.901","1.755","2.338","2.195","2.218","2.054","2.265","2.377","2.356","3.101","2.17","2.051","2.44","2.704","2.81","2.659","2.55","3.01","2.78","2.705","3.601","3.411","4.055","4.522","9.124","10.884","6.295","12.699","12.661","13.43","10.505","5.137","9.746","4.829","4.115","3.826","8.669","4.343","4.871","9.992","8.388","4.018","3.731","3.542","2.412","3.494","2.785","3.53","17.176","17.176","20.314","22.737","18.235","15.645","13.581","12.292","12.317","12.593","12.451","12.322"
PbRatio,"2.453","1.41","2","1.848","2.101","1.975","2.163","2.208","2.033","4.198","1.642","1.575","1.899","2.158","2.185","1.992","1.896","2.213","2.002","2.045","2.766","2.414","2.763","2.816","3.555","4.16","4.559","4.356","4.116","4.282","3.339","2.985","2.827","2.814","2.404","3.201","3.464","3.442","3.903","3.729","3.164","3.023","2.825","2.717","2.024","1.681","1.514","2.04","2.779","2.747","3.202","3.526","2.829","2.367","1.985","1.763","1.767","1.848","1.89","1.87"
EnterprisesValueRevenueRatio,"2.196","8.622","10.772","10.659","10.719","10.969","10.459","13.038","11.324","7.672","8.556","9.639","10.041","11.596","11.013","11.709","10.225","11.983","10.675","11.372","12.635","12.881","12.95","14.951","14.184","17.563","17.437","18.692","15.19","19.502","15.951","16.65","14.5","14.331","14.662","14.225","15.544","17.173","16.718","18.36","15.173","15.828","13.482","14.939","12.081","16.015","13.348","17.834","64.237","64.487","79.57","91.266","72.107","61.037","44.555","46.967","48.227","54.267","48.218","49.501"
EnterprisesValueEBITDARatio,"3.45","13.372","16.889","17.523","16.466","16.296","16.08","10.29","33.109","50.141","-54.995","18.355","15.988","20.667","16.603","19.783","15.819","18.99","17.966","17.849","20.774","20.796","21.597","23.728","20.666","28.715","27.831","28.975","23.456","31.842","14.033","40.349","32.342","37.106","12.913","34.536","34.771","30.814","91.228","47.358","25.635","27.993","21.661","49.26","19.494","45.431","35.701","28.776","714.273","1,200.606","-98.59","1,026.711","882.148","738.569","457.056","-102.71","792.492","651.169","303.272","504.398"
