name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
MarketCap,"2,375,130,900","4,906,882,435","6,476,718,554","6,778,008,090","4,249,441,350","5,780,534,673","7,486,743,288","9,921,498,280","8,522,611,375"
EnterpriseValue,"7,917,130,900","10,566,882,435","9,362,718,554","10,135,008,090","7,825,441,350","10,178,334,673","7,486,743,288","12,272,498,280","10,607,611,375"
PeRatio,"27.326",,"48.227",,,,"2.892","38.367","17.086"
ForwardPeRatio,"7.628","18.762","18.832","25.907","22.624","40.161","15.291","19.763","12.469"
PegRatio,"0.212",,"0.326","0.763",,,"0.471","1.436","2.061"
PsRatio,"0.586","1.134","1.534","1.543","0.841","0.836","1.338","1.969","1.803"
PbRatio,"1.054","2.259","2.221","2.293","1.262","3.625","2.265","5.181","4.211"
EnterprisesValueRevenueRatio,"1.804","2.437","2.298","2.452","1.789","1.512","1.172","2.379","2.203"
EnterprisesValueEBITDARatio,"4.741","5.762","7.286","7.507","5.602","6.322","1.621","7.98","5.502"
