name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001
TotalRevenue,"722,557,000","708,486,000","690,098,000","715,413,000","677,386,000","635,209,000","583,832,000","471,997,000","416,857,000","356,288,000","295,935,000",,"17,706,000","112,485,000","89,134,000","109,852,000","97,414,000","4,490,000","7,738,000","97,756,000","75,630,000"
	NetInterestIncome,"665,678,000","655,073,000","680,017,000","679,776,000","640,185,000","595,084,000","541,971,000","435,426,000","372,745,000","324,804,000","265,506,000",,"163,032,000","105,112,000","86,291,000","104,272,000","99,845,000","83,016,000","83,117,000","97,756,000","75,630,000"
		InterestIncome,"1,040,101,000","1,040,219,000","968,416,000","881,683,000","793,521,000","731,723,000","660,862,000","545,068,000","496,189,000","469,292,000","424,799,000",,"364,956,000","312,807,000","279,689,000","246,068,000","226,524,000","210,574,000","241,238,000","283,095,000","301,076,000"
			InterestIncomeFromLoansAndLease,"1,005,817,000","1,007,224,000","935,501,000","854,765,000","776,112,000","718,520,000","647,621,000","532,679,000","485,388,000","434,377,000","383,531,000",,"304,678,000","229,634,000","180,859,000","126,613,000","76,857,000",,,,
				InterestIncomeFromLoans,"1,005,817,000","1,007,224,000","935,501,000","854,765,000","776,112,000","718,520,000","647,621,000","532,679,000","485,388,000","434,377,000","383,531,000",,"304,678,000","229,634,000","180,859,000","126,613,000","76,857,000",,,,
			InterestIncomeFromSecurities,"13,738,000","12,849,000","14,274,000","11,387,000","7,947,000","6,097,000","5,828,000","5,943,000","5,206,000","34,878,000","41,030,000",,"59,885,000","78,965,000","95,233,000","113,030,000","146,851,000","1,571,000","4,968,000",,
			InterestIncomeFromDeposits,"3,110,000","2,805,000","2,435,000","2,164,000","342,000","225,000","552,000","49,000","40,000","37,000","238,000",,"393,000","974,000","692,000","2,863,000","489,000",,,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"17,436,000","17,341,000","16,206,000","13,367,000","9,120,000","6,881,000","6,861,000","6,397,000","5,555,000",,"0",,"0","3,234,000","2,905,000","3,562,000","2,327,000",,,,
			OtherInterestIncome,,,,,,,,,,,,,,,,,,"209,003,000","236,270,000",,
		InterestExpense,"374,423,000","385,146,000","288,399,000","201,907,000","153,336,000","136,639,000","118,891,000","109,642,000","123,444,000","144,488,000","159,293,000",,"201,924,000","207,695,000","193,398,000","141,796,000","126,679,000","127,558,000","158,121,000","185,339,000","225,446,000"
			InterestExpenseForDeposit,"249,614,000","261,857,000","188,645,000","113,543,000","82,057,000","71,414,000","59,206,000","49,969,000","63,582,000","79,889,000","90,811,000",,"129,362,000","152,745,000","138,271,000","96,578,000","69,862,000",,,,
			InterestExpenseForLongTermDebtAndCapitalSecurities,"124,809,000","123,289,000","99,754,000","88,364,000","71,279,000","65,225,000","59,685,000","59,673,000","59,862,000","64,599,000","68,482,000",,"72,562,000","54,950,000","55,127,000","45,218,000","56,817,000",,,,
			OtherInterestExpense,,,,,,,,,,,,,"258,724,000",,,,,,,,
	NonInterestIncome,"56,879,000","53,413,000","10,081,000","35,637,000","37,201,000","40,125,000","41,861,000","36,571,000","44,112,000","31,484,000","30,429,000",,"-145,326,000","7,373,000","2,843,000","5,580,000","-2,431,000","-78,526,000","-75,379,000","0","0"
		TotalPremiumsEarned,"6,361,000","6,542,000","5,926,000","3,742,000","4,423,000","3,948,000","4,652,000","2,898,000","2,778,000","3,139,000","2,497,000",,"2,910,000",,,,,,,,
		FeesAndCommissions,"23,454,000","23,604,000","22,142,000","20,326,000","17,148,000","17,119,000","19,399,000","18,804,000","16,564,000","14,728,000","11,208,000",,"3,174,000","3,022,000","2,600,000","2,524,000","2,642,000",,,,
			FeesandCommissionIncome,"23,454,000","23,604,000","22,142,000","20,326,000","17,148,000","17,119,000","19,399,000","18,804,000","16,564,000","14,728,000","11,208,000",,"3,174,000","3,022,000","2,600,000","2,524,000","2,642,000",,,,
				OtherCustomerServices,,,,,,,,,,"14,728,000",,,,,,,,,,,
		DividendIncome,,,,,,,,,,"4,280,000","3,904,000",,"3,104,000",,,,,,,,
