name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
			InsuranceAndClaims,"22,555,000","23,000,000","33,000,000","32,902,000","19,203,000","12,888,000","13,258,000","10,192,000","8,077,000","8,025,000","10,526,000","16,409,000","2,768,000","2,309,000","2,558,000","2,654,000","2,696,000","6,814,000","7,995,000","8,011,000",,,,,,,,,,,,,
			OtherGandA,,,,"18,544,000","17,993,000","14,298,000","12,812,000","11,950,000","12,138,000","11,932,000","11,816,000","35,655,000",,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,"11,505,000","10,141,000","8,396,000","7,824,000","6,349,000","4,991,000","6,375,000","5,161,000","5,321,000","4,589,000","2,914,000","2,845,000","3,210,000","2,142,000","3,863,000","3,697,000","2,698,000","2,500,000","2,800,000","2,400,000","2,200,000","1,800,000","2,300,000","2,100,000",,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"13,339,000","14,000,000","16,000,000","17,517,000","11,210,000","8,305,000","9,717,000","8,407,000","9,135,000","7,228,000","6,714,000","7,088,000",,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"13,339,000","14,000,000","16,000,000","17,517,000","11,210,000","8,305,000","9,717,000","8,407,000","9,135,000","7,228,000","6,714,000","7,088,000",,,,,,,,,,,,,,,,,,,,,
			Amortization,"13,339,000","14,000,000","16,000,000","17,517,000","11,210,000","8,305,000","9,717,000","8,407,000","9,135,000","7,228,000","6,714,000","7,088,000",,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"13,339,000","14,000,000","16,000,000","17,517,000","11,210,000","8,305,000","9,717,000","8,407,000","9,135,000","7,228,000","6,714,000","7,088,000",,,,,,,,,,,,,,,,,,,,,
	OtherNonInterestExpense,"106,803,000","99,000,000","95,000,000","58,406,000","45,310,000","35,163,000","31,348,000","27,201,000","30,576,000","32,697,000","29,118,000","25,752,000","59,559,000","45,225,000","43,335,000","44,599,000","38,149,000","117,678,000","124,558,000","60,945,000","49,100,000","36,900,000","32,400,000","26,100,000","22,400,000","20,400,000","22,200,000","29,500,000","20,800,000","16,700,000","13,000,000",,
SpecialIncomeCharges,,"0","0","-56,513,000","-37,439,000","-3,033,000","-9,611,000","-8,210,000","-7,394,000","-5,048,000","-2,959,000","-7,893,000","-21,913,000","-328,000","-564,000",,"-3,926,000",,,,,,,,,,,,,,,,
	RestructuringAndMergernAcquisition,,"0","0","56,513,000","37,439,000","3,033,000","9,611,000","8,210,000","7,394,000","4,982,000","620,000","0","4,724,000","210,000","564,000",,"1,681,000",,,,,,,,,,,,,,,,
	ImpairmentOfCapitalAssets,,,,,,,,,,"66,000","2,339,000","7,893,000",,,,,,,,,,,,,,,,,,,,,
	OtherSpecialCharges,,,,,,,,,,,,,"17,189,000","118,000",,,"2,245,000",,,,,,,,,,,,,,,,
OtherNonOperatingIncomeExpenses,,,,,,,,,,"66,000","2,339,000","7,893,000",,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"413,427,000","471,000,000","452,000,000","356,269,000","246,388,000","229,642,000","206,670,000","162,560,000","154,183,000","119,051,000","102,536,000","50,380,000","42,832,000","98,139,000","97,186,000","77,105,000","89,332,000","84,386,000","93,448,000","66,080,000","62,800,000","56,500,000","47,900,000","35,300,000","27,100,000","26,700,000","20,200,000","15,000,000","9,800,000","13,600,000","11,900,000",,
TaxProvision,"73,010,000","84,000,000","79,000,000","157,065,000","75,497,000","69,993,000","62,620,000","44,756,000","43,773,000","32,004,000","27,884,000","9,269,000","7,237,000","28,461,000","29,537,000","21,847,000","27,537,000","25,597,000","30,113,000","21,508,000","20,100,000","17,200,000","16,000,000","11,000,000","8,700,000","8,600,000","6,700,000","4,500,000","3,000,000","3,600,000","2,800,000",,
NetIncomeCommonStockholders,"332,407,000","379,000,000","365,000,000","191,163,000","162,850,000","151,608,000","135,698,000","117,804,000","110,410,000","87,047,000","74,652,000","32,803,000","35,595,000","69,678,000","67,649,000","55,258,000","61,795,000","58,727,000","63,088,000","44,279,000","42,400,000","38,900,000","31,400,000","33,100,000","17,600,000","17,300,000","13,500,000","10,500,000","6,800,000","10,000,000","9,100,000","8,500,000","7,700,000"
	NetIncome,"340,417,000","387,000,000","373,000,000","199,204,000","170,891,000","159,649,000","144,050,000","117,804,000","110,410,000","87,047,000","74,652,000","41,111,000","35,595,000","69,678,000","67,649,000","55,258,000","61,795,000","58,789,000","63,335,000","44,572,000","42,700,000","39,300,000","31,900,000","33,100,000","18,400,000","18,100,000","13,500,000","10,500,000","6,800,000","10,000,000","9,100,000","8,600,000","7,800,000"
		NetIncomeIncludingNoncontrollingInterests,"340,417,000","387,000,000","373,000,000","199,204,000","170,891,000","159,649,000","144,050,000","117,804,000","110,410,000","87,047,000","74,652,000","41,111,000","35,595,000","69,678,000","67,649,000","55,258,000","61,795,000","58,789,000","63,335,000","44,572,000","42,700,000","39,300,000","31,900,000","33,100,000","18,400,000","18,100,000","13,500,000","10,500,000","6,800,000","10,000,000","9,100,000","8,600,000","7,800,000"
			NetIncomeContinuousOperations,"340,417,000","387,000,000","373,000,000","199,204,000","170,891,000","159,649,000","144,050,000","117,804,000","110,410,000","87,047,000","74,652,000","41,111,000","35,595,000","69,678,000","67,649,000","55,258,000","61,795,000","58,789,000","63,335,000","44,572,000","42,700,000","39,300,000","31,900,000","24,300,000","18,400,000","18,100,000","13,500,000","10,500,000","6,800,000","10,000,000","9,100,000","8,600,000","7,800,000"
			NetIncomeExtraordinary,,,,,,"-7,635,000","-6,899,000","-6,969,000","-7,382,000",,,,,,,,,,,,,,,"8,800,000",,,,,,,,,
	PreferredStockDividends,"8,010,000","8,000,000","8,000,000","8,041,000","8,041,000","8,041,000","8,352,000",,,,,"8,308,000",,,,,,"62,000","247,000","293,000","300,000","400,000","500,000",,"800,000","800,000",,,,,,,
DilutedNIAvailtoComStockholders,"332,407,000","379,000,000","365,000,000","191,163,000","162,850,000","151,608,000","135,698,000","117,804,000","110,410,000","87,047,000","74,652,000","32,803,000","35,595,000","69,678,000","67,649,000","55,258,000","61,795,000","58,727,000","63,088,000","44,279,000","42,400,000","38,900,000","31,400,000","33,100,000","17,600,000","17,300,000","13,500,000","10,500,000","6,800,000","10,000,000","9,100,000","8,500,000","7,700,000"
BasicEPS,,"1.17","1.13","0.63","0.79","0.87","0.81","0.81","0.79","0.7","0.66","0.32","0.44","1.16","1.15","0.99","1.31","1.27","1.371","1.569","1.667","1.538","1.371","1.716","1.44","1.354","0.715","0.633","0.484","0.789","0.797","0.752","0.692"
DilutedEPS,,"1.16","1.12","0.63","0.78","0.86","0.8","0.8","0.79","0.7","0.65","0.32","0.44","1.15","1.14","0.98","1.29","1.25","1.343","1.524","1.624","1.481","1.316","1.627","1.373","1.286","0.707","0.633","0.484","0.789","0.797","0.752","0.692"
BasicAverageShares,,"324,109,402","322,846,903","303,433,333","206,139,241","174,262,069","167,528,395","145,437,037","139,135,272","124,145,924","113,923,612","102,580,415","80,654,153","60,067,241","58,825,217","55,816,162","47,171,756","46,241,732","46,001,667","28,218,264","25,431,762","25,285,130","22,900,138","19,285,724","12,178,710","12,699,759","13,573,097","13,791,399","14,053,129","12,672,794","11,424,468","11,305,146","11,122,073"
DilutedAverageShares,,"326,061,000","325,623,603","303,857,976","207,768,609","176,338,953","169,078,845","147,809,504","140,640,165","125,012,078","114,281,733","102,849,334","80,997,987","60,589,565","59,341,228","56,385,714","47,903,101","46,981,600","46,980,426","29,058,094","26,108,138","26,268,441","23,854,310","20,347,324","12,818,306","13,452,621","14,010,923","13,791,399","14,053,129","12,672,794","11,424,468","11,305,146","11,122,073"
InterestIncomeAfterProvisionForLoanLoss,"840,793,000","873,000,000","871,000,000","785,273,000","555,726,000","457,742,000","427,421,000","364,849,000","341,174,000","282,710,000","237,596,000","199,595,000","179,421,000","182,144,000","178,425,000","176,233,000","153,778,000","269,138,000","262,019,000","158,111,000","144,700,000","139,200,000","125,300,000","100,400,000","74,600,000","71,600,000","66,200,000","60,700,000","48,200,000","46,000,000","39,900,000",,
NetIncomeFromContinuingAndDiscontinuedOperation,"340,417,000","387,000,000","373,000,000","199,204,000","170,891,000","159,649,000","144,050,000","117,804,000","110,410,000","87,047,000","74,652,000","41,111,000","35,595,000","69,678,000","67,649,000","55,258,000","61,795,000","58,789,000","63,335,000","44,572,000","42,700,000","39,300,000","31,900,000","24,300,000","18,400,000","18,100,000","13,500,000","10,500,000","6,800,000","10,000,000","9,100,000","8,600,000","7,800,000"
NormalizedIncome,"340,417,000","387,000,000","373,000,000","233,111,800","196,873,666","161,756,935","150,748,867","123,756,250","115,704,104","90,737,966.527","76,806,319.146","47,551,832.136","52,289,713.182","68,693,239.752","66,922,991.038","54,259,693.872","60,426,727.6","52,902,157.988","58,951,270.225","40,366,394.37","41,136,146.497","37,769,734.513","29,702,296.451","23,336,260.623","18,196,309.963","18,100,000","13,500,000","9,170,000","5,273,469.388","10,000,000","9,100,000","8,600,000","7,800,000"
ReconciledDepreciation,"13,339,000","45,000,000","109,000,000","88,797,000","60,503,000","43,949,000","40,119,000","70,759,000","31,827,000","22,496,000","27,934,000","25,858,000","20,970,000","13,433,000","14,467,000","15,315,000","14,620,000","31,974,000","20,232,000","13,918,000","12,600,000","11,300,000","8,600,000","6,900,000","4,100,000","4,700,000","6,200,000","7,700,000","6,200,000","3,900,000","3,300,000",,
NetIncomeFromContinuingOperationNetMinorityInterest,"340,417,000","387,000,000","373,000,000","199,204,000","170,891,000","159,649,000","144,050,000","117,804,000","110,410,000","87,047,000","74,652,000","41,111,000","35,595,000","69,678,000","67,649,000","55,258,000","61,795,000","58,789,000","63,335,000","44,572,000","42,700,000","39,300,000","31,900,000","24,300,000","18,400,000","18,100,000","13,500,000","10,500,000","6,800,000","10,000,000","9,100,000","8,600,000","7,800,000"
TotalUnusualItemsExcludingGoodwill,,"0","0","-56,513,000","-37,439,000","-3,033,000","-9,611,000","-8,210,000","-7,394,000","-5,048,000","-2,959,000","-7,893,000","-20,089,000","1,387,000","1,043,000","1,393,000","1,978,000","8,450,000","6,468,000","6,235,000","2,300,000","2,200,000","3,300,000","1,400,000","300,000",,,"1,900,000","2,200,000",,,,
TotalUnusualItems,,"0","0","-56,513,000","-37,439,000","-3,033,000","-9,611,000","-8,210,000","-7,394,000","-5,048,000","-2,959,000","-7,893,000","-20,089,000","1,387,000","1,043,000","1,393,000","1,978,000","8,450,000","6,468,000","6,235,000","2,300,000","2,200,000","3,300,000","1,400,000","300,000",,,"1,900,000","2,200,000",,,,
TaxRateForCalcs,"0.177","0.177","0.176","0.4","0.306","0.305","0.303","0.275","0.284","0.269","0.272","0.184","0.169","0.29","0.304","0.283","0.308","0.303","0.322","0.325","0.32","0.304","0.334","0.312","0.321","0.322","0.332","0.3","0.306","0.265","0.235","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","0","-22,605,200","-11,456,334","-925,065","-2,912,133","-2,257,750","-2,099,896","-1,357,033.473","-804,680.854","-1,452,167.864","-3,394,286.818","402,239.752","316,991.038","394,693.872","609,727.6","2,563,157.988","2,084,270.225","2,029,394.37","736,146.497","669,734.513","1,102,296.451","436,260.623","96,309.963","0","0","570,000","673,469.388","0","0","0","0"
