name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,12/31/2009
TotalAssets,"98,556,000,000","98,139,000,000","96,896,000,000","96,436,000,000","92,940,000,000","53,031,000,000","51,736,000,000","50,364,000,000","49,047,000,000","46,806,000,000","45,447,000,000","45,821,000,000","44,413,000,000","43,293,000,000","44,133,000,000","41,758,000,000","43,115,000,000","30,161,000,000","30,653,000,000","30,182,000,000","30,460,000,000","31,705,000,000","29,376,000,000","29,159,000,000","28,385,000,000","29,003,000,000","29,695,000,000","30,773,000,000","27,223,000,000","26,583,000,000","24,681,000,000","25,306,000,000","25,745,000,000","25,225,000,000","23,964,000,000","23,777,000,000","23,232,000,000","21,968,000,000","21,254,000,000"
	CurrentAssets,"20,170,000,000","19,139,000,000","18,396,000,000","18,151,000,000","18,023,000,000","15,873,000,000","15,548,000,000","14,525,000,000","13,401,000,000","11,631,000,000","10,443,000,000","11,042,000,000","10,401,000,000","9,545,000,000","10,304,000,000","8,097,000,000","9,471,000,000","10,861,000,000","11,431,000,000","11,053,000,000","11,339,000,000","12,887,000,000","13,596,000,000","13,448,000,000","12,737,000,000","13,531,000,000","14,252,000,000","15,297,000,000","13,029,000,000","12,516,000,000","10,706,000,000","11,580,000,000","12,001,000,000","11,669,000,000","10,513,000,000","10,580,000,000","10,056,000,000","8,461,000,000","7,900,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,527,000,000","1,525,000,000","1,247,000,000","877,000,000","1,687,000,000","4,992,000,000","4,999,000,000","4,653,000,000","3,011,000,000","2,088,000,000","1,450,000,000","2,167,000,000","887,000,000","709,000,000","1,754,000,000","308,000,000","1,127,000,000","2,044,000,000","1,881,000,000","2,078,000,000","1,494,000,000","1,854,000,000","2,125,000,000","2,166,000,000","2,292,000,000","2,018,000,000","3,069,000,000","4,737,000,000","4,860,000,000","3,387,000,000","1,895,000,000","2,205,000,000","3,079,000,000","2,957,000,000","1,622,000,000","2,984,000,000","2,522,000,000","383,000,000","992,000,000"
			CashAndCashEquivalents,"1,527,000,000","1,525,000,000","1,247,000,000","877,000,000","1,687,000,000","4,992,000,000","4,999,000,000","4,653,000,000","3,011,000,000","2,088,000,000","1,450,000,000","2,167,000,000","887,000,000","709,000,000","1,754,000,000","308,000,000","1,127,000,000","2,044,000,000","1,881,000,000","2,078,000,000","1,494,000,000","1,854,000,000","2,125,000,000","2,166,000,000","2,292,000,000","2,018,000,000","3,069,000,000","4,737,000,000","4,860,000,000","3,387,000,000","1,895,000,000","2,205,000,000","3,079,000,000","2,957,000,000","1,622,000,000","219,000,000","118,000,000","117,000,000","128,000,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","2,765,000,000","2,404,000,000","266,000,000","864,000,000"
		Receivables,"7,872,000,000","7,461,000,000","7,603,000,000","6,893,000,000","5,853,000,000","5,408,000,000","4,919,000,000","4,613,000,000","4,695,000,000","3,900,000,000","3,259,000,000","3,284,000,000","3,617,000,000","3,136,000,000","3,199,000,000","2,602,000,000","2,927,000,000","3,124,000,000","3,876,000,000","3,364,000,000","4,058,000,000","5,271,000,000","5,725,000,000","5,420,000,000","5,559,000,000","5,593,000,000","6,163,000,000","5,509,000,000","4,610,000,000","5,101,000,000","4,708,000,000","5,867,000,000","5,461,000,000","4,914,000,000","5,042,000,000","4,755,000,000","4,398,000,000","4,071,000,000","3,543,000,000"
			AccountsReceivable,"7,872,000,000","7,461,000,000","7,603,000,000","6,893,000,000","5,853,000,000","5,408,000,000","4,919,000,000","4,613,000,000","4,695,000,000","3,900,000,000","3,259,000,000","3,284,000,000","3,617,000,000","3,136,000,000","3,199,000,000","2,602,000,000","2,927,000,000","3,124,000,000","3,876,000,000","3,364,000,000","4,058,000,000","5,271,000,000","5,725,000,000","5,420,000,000","5,559,000,000","5,593,000,000","6,163,000,000","5,509,000,000","4,610,000,000","5,101,000,000","4,708,000,000","5,867,000,000","5,459,000,000",,"5,041,000,000",,,,"3,526,000,000"
				GrossAccountsReceivable,"7,889,000,000","7,482,000,000","7,613,000,000","6,902,000,000","5,862,000,000","5,418,000,000","4,929,000,000","4,623,000,000","4,706,000,000","3,910,000,000","3,269,000,000","3,294,000,000","3,629,000,000","3,148,000,000","3,211,000,000","2,613,000,000","2,939,000,000","3,159,000,000","3,906,000,000","3,376,000,000","4,071,000,000","5,281,000,000","5,734,000,000","5,429,000,000","5,568,000,000","5,602,000,000","6,172,000,000","5,518,000,000","4,620,000,000","5,103,000,000","4,710,000,000","5,869,000,000","5,462,000,000",,"5,045,000,000",,,,
				AllowanceForDoubtfulAccountsReceivable,"-17,000,000","-21,000,000","-10,000,000","-9,000,000","-9,000,000","-10,000,000","-10,000,000","-10,000,000","-11,000,000","-10,000,000","-10,000,000","-10,000,000","-12,000,000","-12,000,000","-12,000,000","-11,000,000","-12,000,000","-35,000,000","-30,000,000","-12,000,000","-13,000,000","-10,000,000","-9,000,000","-9,000,000","-9,000,000","-9,000,000","-9,000,000","-9,000,000","-10,000,000","-2,000,000","-2,000,000","-2,000,000","-3,000,000",,"-4,000,000",,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000",,"1,000,000",,,,"17,000,000"
		Inventory,"10,243,000,000","9,696,000,000","9,088,000,000","9,833,000,000","9,837,000,000","5,339,000,000","5,485,000,000","5,111,000,000","5,550,000,000","5,493,000,000","5,548,000,000","5,392,000,000","5,656,000,000","5,524,000,000","5,209,000,000","4,983,000,000","5,225,000,000","5,556,000,000","5,540,000,000","5,437,000,000","5,642,000,000","5,608,000,000","5,621,000,000","5,689,000,000","4,689,000,000","5,714,000,000","4,830,000,000","4,879,000,000","3,449,000,000","3,889,000,000","4,030,000,000","3,352,000,000","3,320,000,000","3,615,000,000","3,679,000,000","2,735,000,000","3,071,000,000","3,623,000,000","3,324,000,000"
			RawMaterials,"996,000,000","907,000,000","801,000,000","744,000,000","720,000,000","465,000,000","455,000,000","435,000,000","494,000,000","486,000,000","439,000,000","414,000,000","485,000,000","442,000,000","419,000,000","399,000,000","438,000,000","371,000,000","338,000,000","302,000,000","302,000,000","308,000,000","333,000,000","333,000,000","425,000,000","365,000,000","321,000,000","275,000,000","231,000,000","1,784,000,000","2,339,000,000","1,434,000,000","1,530,000,000","1,755,000,000","1,621,000,000","1,107,000,000","1,290,000,000","1,569,000,000","1,510,000,000"
			FinishedGoods,"9,247,000,000","8,789,000,000","8,287,000,000","9,089,000,000","9,117,000,000","4,874,000,000","5,030,000,000","4,676,000,000","5,056,000,000","5,007,000,000","5,109,000,000","4,978,000,000","5,171,000,000","5,082,000,000","4,790,000,000","4,969,000,000","5,157,000,000","5,185,000,000","5,202,000,000","5,135,000,000","5,340,000,000","5,300,000,000","5,288,000,000","5,356,000,000","4,264,000,000","5,349,000,000","4,509,000,000","4,604,000,000","3,218,000,000","2,105,000,000","1,691,000,000","1,918,000,000","1,790,000,000","1,860,000,000","2,058,000,000","1,628,000,000","1,781,000,000","2,054,000,000","1,814,000,000"
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,"0","0","0","-385,000,000","-370,000,000",,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"528,000,000","457,000,000","458,000,000","548,000,000","646,000,000","134,000,000","145,000,000","148,000,000","145,000,000","150,000,000","186,000,000","199,000,000","241,000,000","176,000,000","142,000,000","204,000,000","192,000,000","137,000,000","134,000,000","174,000,000","145,000,000","154,000,000","125,000,000","173,000,000","197,000,000","206,000,000","190,000,000","172,000,000","110,000,000","139,000,000","73,000,000","156,000,000","141,000,000","183,000,000","170,000,000","106,000,000","65,000,000","384,000,000","41,000,000"
	TotalNonCurrentAssets,"78,386,000,000","79,000,000,000","78,500,000,000","78,285,000,000","74,917,000,000","37,158,000,000","36,188,000,000","35,839,000,000","35,646,000,000","35,175,000,000","35,004,000,000","34,779,000,000","34,012,000,000","33,748,000,000","33,829,000,000","33,661,000,000","33,644,000,000","19,300,000,000","19,222,000,000","19,129,000,000","19,121,000,000","18,818,000,000","15,780,000,000","15,711,000,000","15,648,000,000","15,472,000,000","15,443,000,000","15,476,000,000","14,194,000,000","14,067,000,000","13,975,000,000","13,726,000,000","13,744,000,000","13,556,000,000","13,451,000,000","13,197,000,000","13,176,000,000","13,507,000,000","13,354,000,000"
		NetPPE,"48,074,000,000","47,556,000,000","47,923,000,000","47,771,000,000","45,058,000,000","27,717,000,000","26,931,000,000","26,618,000,000","26,443,000,000","26,036,000,000","25,786,000,000","25,669,000,000","25,765,000,000","25,697,000,000","25,512,000,000","25,319,000,000","25,164,000,000","16,294,000,000","16,283,000,000","16,241,000,000","16,261,000,000","15,999,000,000","13,850,000,000","13,854,000,000","13,921,000,000","13,795,000,000","13,799,000,000","13,850,000,000","12,643,000,000","12,532,000,000","12,414,000,000","12,246,000,000","12,228,000,000","12,026,000,000","11,935,000,000","11,708,000,000","11,724,000,000","11,632,000,000","11,897,000,000"
