name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,12/31/2006
TotalCapitalization,"3,363,076,000","3,377,691,000","3,380,168,000","3,388,558,000","3,378,196,000","3,345,881,000","3,354,580,000","3,385,113,000","3,390,212,000","3,350,030,000","3,328,886,000","3,071,963,000","3,052,777,000","2,996,431,000","2,969,767,000","2,935,833,000","2,908,102,000","2,903,850,000","2,461,526,000","2,461,926,000","2,501,106,000","2,495,858,000","2,590,339,000","2,598,269,000","2,588,636,000","2,635,067,000","2,629,463,000","2,727,015,000","2,497,085,000","2,457,845,000","2,521,834,000","2,558,678,000","2,526,543,000","2,677,416,000","2,633,576,000","2,603,109,000","2,609,062,000","2,560,394,000","2,317,467,000","2,291,488,000","2,290,274,000","2,220,098,000","2,232,858,000","2,290,917,000","2,273,385,000","2,257,959,000","2,264,770,000","2,188,152,000","2,162,211,000","2,198,237,000","2,147,303,000","2,125,792,000","1,971,292,000"
CommonStockEquity,"1,011,357,000","1,023,873,000","1,019,950,000","1,025,117,000","1,009,695,000","974,073,000","979,467,000","1,006,696,000","1,008,493,000","965,008,000","940,565,000","893,097,000","870,270,000","820,995,000","791,126,000","753,990,000","723,059,000","715,610,000","945,397,000","943,088,000","979,558,000","971,600,000","1,063,372,000","1,068,592,000","1,056,249,000","1,099,971,000","1,091,657,000","1,186,500,000","1,189,985,000","1,140,020,000","1,193,284,000","1,219,403,000","1,176,543,000","1,344,748,000","1,297,415,000","1,263,456,000","1,265,916,000","1,173,755,000","927,335,000","897,863,000","883,157,000","850,875,000","828,029,000","827,482,000","807,844,000","790,312,000","795,017,000","776,293,000","753,246,000","747,166,000","743,126,000","735,509,000","626,917,000"
CapitalLeaseObligations,"250,518,000","250,492,000","251,378,000","252,686,000","254,313,000","104,564,000","105,057,000","105,570,000","106,076,000","107,518,000","108,223,000","104,764,000","105,210,000","105,649,000","105,939,000","91,585,000","74,761,000","59,940,000","43,182,000","26,337,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-915,632,000","-919,613,000","-939,198,000","-917,075,000","-948,610,000","-1,000,345,000","-979,542,000","-967,988,000","-981,874,000","-876,854,000","-750,973,000","-807,793,000","-840,073,000","-898,839,000","-938,207,000","-984,845,000","-1,025,286,000","-1,042,259,000","-822,004,000","-833,847,000","-806,913,000","-824,942,000","-742,992,000","-737,878,000","-759,918,000","-725,912,000","-743,957,000","-669,007,000","-675,290,000","-735,031,000","-693,022,000","-666,040,000","-685,381,000","-527,008,000","-584,323,000","-624,266,000","-600,923,000","-679,688,000","-935,334,000","-974,066,000","-998,032,000","-1,039,574,000","-1,072,465,000","-1,100,647,000","-1,130,255,000","-1,157,757,000","-1,119,150,000","-1,147,753,000","-1,208,901,000","-1,224,713,000","-1,224,167,000","-1,236,474,000","-1,197,350,000"
InvestedCapital,"3,479,076,000","3,422,691,000","3,380,168,000","3,388,558,000","3,378,196,000","3,345,881,000","3,354,580,000","3,385,113,000","3,390,212,000","3,350,030,000","3,328,886,000","3,071,963,000","3,052,777,000","2,996,431,000","2,969,767,000","2,935,833,000","2,908,102,000","2,903,850,000","2,611,526,000","2,636,926,000","2,621,106,000","2,605,858,000","2,590,339,000","2,598,269,000","2,588,636,000","2,635,067,000","2,629,463,000","2,727,015,000","2,497,085,000","2,457,845,000","2,521,834,000","2,558,678,000","2,526,543,000","2,677,416,000","2,633,576,000","2,603,109,000","2,609,062,000","2,560,394,000","2,317,467,000","2,291,488,000","2,290,274,000","2,220,098,000","2,232,858,000","2,290,917,000","2,273,385,000","2,257,959,000","2,264,770,000","2,188,152,000","2,162,211,000","2,198,237,000","2,149,072,000","2,127,719,000","1,975,010,000"
TangibleBookValue,"-915,632,000","-919,613,000","-939,198,000","-917,075,000","-948,610,000","-1,000,345,000","-979,542,000","-967,988,000","-981,874,000","-876,854,000","-750,973,000","-807,793,000","-840,073,000","-898,839,000","-938,207,000","-984,845,000","-1,025,286,000","-1,042,259,000","-822,004,000","-833,847,000","-806,913,000","-824,942,000","-742,992,000","-737,878,000","-759,918,000","-725,912,000","-743,957,000","-669,007,000","-675,290,000","-735,031,000","-693,022,000","-666,040,000","-685,381,000","-527,008,000","-584,323,000","-624,266,000","-600,923,000","-679,688,000","-935,334,000","-974,066,000","-998,032,000","-1,039,574,000","-1,072,465,000","-1,100,647,000","-1,130,255,000","-1,157,757,000","-1,119,150,000","-1,147,753,000","-1,208,901,000","-1,224,713,000","-1,224,167,000","-1,236,474,000","-1,197,350,000"
TotalDebt,"2,718,237,000","2,649,310,000","2,611,596,000","2,616,127,000","2,622,814,000","2,476,372,000","2,480,170,000","2,483,987,000","2,487,795,000","2,492,540,000","2,496,544,000","2,283,630,000","2,287,717,000","2,281,085,000","2,284,580,000","2,273,428,000","2,259,804,000","2,248,180,000","1,709,311,000","1,720,175,000","1,641,548,000","1,634,258,000","1,526,967,000","1,529,677,000","1,532,387,000","1,535,096,000","1,537,806,000","1,540,515,000","1,307,100,000","1,317,825,000","1,328,550,000","1,339,275,000","1,350,000,000","1,332,668,000","1,336,161,000","1,339,653,000","1,343,146,000","1,386,639,000","1,390,132,000","1,393,625,000","1,407,117,000","1,369,223,000","1,404,829,000","1,463,435,000","1,465,541,000","1,467,647,000","1,469,753,000","1,411,859,000","1,408,965,000","1,451,071,000","1,405,946,000","1,392,210,000","1,348,093,000"
NetDebt,"831,825,000","985,912,000","903,941,000","1,251,015,000","983,357,000","875,517,000","1,040,439,000","991,954,000","911,328,000","810,055,000","1,055,677,000","699,731,000","702,552,000","659,508,000","794,163,000","788,698,000","723,218,000","792,372,000","785,372,000","746,643,000","640,504,000","652,996,000","648,966,000","682,876,000","600,770,000","506,161,000","524,023,000","515,526,000","471,135,000","274,131,000","488,996,000","858,219,000","661,182,000","611,896,000","672,972,000","658,182,000","746,562,000","967,431,000","947,585,000","990,884,000","1,082,356,000","990,629,000","1,159,340,000","1,129,580,000","1,146,147,000","1,248,408,000","1,086,049,000","1,168,233,000","1,124,378,000","1,263,068,000","1,146,829,000","1,188,298,000","1,102,930,000"
ShareIssued,"127,035,564","126,494,028","126,186,912","125,971,003","125,647,760","124,909,796","124,611,205","124,460,729","124,037,616","123,030,383","122,825,821","122,052,498","121,663,838","119,917,854","119,766,574","119,726,825","119,691,739","119,572,352","119,238,650","119,046,228","118,490,826","118,234,552","118,124,141","118,031,114","117,691,335","117,112,465","116,854,124","116,513,596","116,072,065","115,713,741","115,431,259","115,329,081","114,066,252","110,531,939","110,366,555","110,125,404","108,840,975","108,840,975","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866"
OrdinarySharesNumber,"78,857,813","80,234,039","81,328,453","82,778,482","84,036,157","85,089,150","86,709,215","88,408,025","89,766,795","89,768,268","90,160,255","89,921,903","90,432,171","89,296,584","89,127,826","89,071,047","89,008,972","89,524,325","94,803,294","95,214,712","96,697,939","97,144,670","99,936,376","100,365,514","100,550,163","101,896,164","102,541,005","105,518,811","106,494,976","106,291,941","109,202,819","111,006,569","110,298,727","107,914,310","107,748,926","107,841,550","108,840,975","108,840,975","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866","107,183,866"
TreasurySharesNumber,"48,177,751","46,259,989","44,858,459","43,192,521","41,611,603","39,820,646","37,901,990","36,052,704","34,270,821","33,262,115","32,665,566","32,130,595","31,231,667","30,621,270","30,638,748","30,655,778","30,682,767","30,048,027","24,435,356","23,831,516","21,792,887","21,089,882","18,187,765","17,665,600","17,141,172","15,216,301","14,313,119","10,994,785","9,577,089","9,421,800","6,228,440","4,322,512","3,767,525","2,617,629","2,617,629","2,283,854",,,,,,,,,,,,,,,,,
