name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
NetIncomeFromContinuingAndDiscontinuedOperation,"715,212,000","694,734,000","535,881,000","406,299,000","506,778,000","479,058,000","466,077,000","431,554,000","388,076,000","367,661,000","325,789,000","311,153,000","243,143,000","215,173,000","163,759,000","151,326,000","128,183,000","137,510,000","117,987,000","87,373,000","56,749,000","50,300,000","16,300,000","-1,000,000","19,300,000","-10,200,000","-10,900,000"
NormalizedIncome,"724,266,828.547","712,321,030","644,642,056","406,299,000","539,452,392","503,754,217","466,077,000","431,554,000","398,543,288","366,333,732.831","333,852,568.293","309,152,012.648","270,356,176.962","231,907,769.947","181,797,040.02","161,337,292.893","127,951,441.59","138,506,180.976","116,939,183.653","87,469,389.858","68,249,806.5","59,720,000","44,740,000","23,480,000","16,335,620.915","-11,580,000","-12,033,600"
InterestIncome,"14,176,000","15,757,000","21,236,000","17,553,000","13,275,000","12,935,000","13,655,000","12,853,000","13,394,000","15,593,000","14,098,000","9,979,000","16,355,000",,,,,,,,,,,,,,
InterestExpense,"42,303,000","50,792,000","78,786,000","53,654,000","31,893,000","26,008,000","24,057,000","27,538,000","30,902,000","30,377,000","33,641,000","23,370,000","29,439,000",,,,,,,,,,,,,,
NetInterestIncome,"-28,127,000","-35,035,000","-57,550,000","-36,101,000","-18,618,000","-13,073,000","-10,402,000","-14,685,000","-17,508,000","-14,784,000","-19,543,000","-13,391,000","-13,084,000",,,,,,,,,,,,,,
EBIT,"731,141,000","731,099,000","774,134,000","876,502,000","787,728,000","746,766,000","733,369,000","692,232,000","635,090,000","599,684,000","535,676,000","476,090,000","430,254,000","386,259,000","304,897,000","281,088,000","213,087,000","233,719,000","196,269,000","147,750,000","127,613,000","119,300,000","96,200,000","62,400,000","29,700,000","-1,000,000","-9,500,000"
EBITDA,"924,766,000"
ReconciledCostOfRevenue,"6,969,171,000","6,894,917,000","9,606,911,000","9,062,440,000","8,337,699,000","7,617,460,000","7,460,075,000","6,904,633,000","6,432,454,000","6,112,187,000","5,355,914,000","4,621,516,000","4,510,336,000","4,201,906,000","3,673,042,000","3,318,993,000","2,983,860,000","2,426,611,000","2,030,097,000","1,858,919,000","1,700,058,000","1,559,000,000","1,299,900,000","1,052,900,000","576,800,000","419,600,000","340,100,000"
ReconciledDepreciation,"193,625,000","184,942,000","207,560,000","193,072,000","169,780,000","159,127,000","152,238,000","128,035,000","125,322,000","115,896,000","101,214,000","81,493,000","78,127,000","73,936,000","64,930,000","60,345,000","51,326,000","36,843,000","28,272,000","35,642,000","33,762,000","28,300,000","20,000,000","14,400,000","7,900,000","6,000,000","3,800,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"712,821,000","701,057,000","535,881,000","406,299,000","506,778,000","479,058,000","466,077,000","431,554,000","388,076,000","367,661,000","325,789,000","308,438,000","251,011,000","234,966,000","183,127,000","162,388,000","128,183,000","139,522,000","117,987,000","87,373,000","56,749,000","50,300,000","16,300,000","-1,000,000","19,300,000","-10,200,000","-10,900,000"
TotalUnusualItemsExcludingGoodwill,"-14,851,000","-14,705,000","-140,156,000","0","-45,891,000","-34,931,000","0","0","-15,192,000","1,942,000","-11,838,000","-994,000","-28,944,000","4,630,000","2,065,000","1,659,000","368,000","1,622,000","1,674,000","-153,000","-18,827,000","-15,700,000","-47,400,000","-40,800,000","4,700,000","2,300,000","1,300,000"
TotalUnusualItems,"-14,851,000","-14,705,000","-140,156,000","0","-45,891,000","-34,931,000","0","0","-15,192,000","1,942,000","-11,838,000","-994,000","-28,944,000","4,630,000","2,065,000","1,659,000","368,000","1,622,000","1,674,000","-153,000","-18,827,000","-15,700,000","-47,400,000","-40,800,000","4,700,000","2,300,000","1,300,000"
NormalizedEBITDA,"939,617,000","930,746,000","1,121,850,000","1,069,574,000","1,003,399,000","940,824,000","885,607,000","820,267,000","775,604,000","713,638,000","648,728,000","558,577,000","537,325,000","455,565,000","367,762,000","339,774,000","264,045,000","268,940,000","222,867,000","183,545,000","180,202,000","163,300,000","163,600,000","117,600,000","32,900,000","2,700,000","-7,000,000"
TaxRateForCalcs,"0.229","0.234","0.224","0.4","0.288","0.293","0.304","0.287","0.311","0.317","0.319","0.282","0.332","0.339","0.356","0.367","0.371","0.374","0.374","0.37","0.389","0.4","0.4","0.4","0.369","0.4","0.128"
TaxEffectOfUnusualItems,"-3,405,171.453","-3,440,970","-31,394,944","0","-13,216,608","-10,234,783","0","0","-4,724,712","614,732.831","-3,774,431.707","-279,987.352","-9,598,823.038","1,571,769.947","735,040.02","608,292.893","136,441.59","606,180.976","626,183.653","-56,610.142","-7,326,193.5","-6,280,000","-18,960,000","-16,320,000","1,735,620.915","920,000","166,400"
