name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,12/31/2015
TotalAssets,"9,874,390,000","9,642,633,000","9,801,883,000","9,995,833,000","10,110,122,000","10,270,013,000","10,348,497,000","10,110,116,000","9,680,946,000","9,577,625,000","9,382,214,000","9,173,961,000","8,960,059,000","8,713,571,000","8,687,663,000","4,658,997,000"
	CurrentAssets,"1,191,318,000","907,515,000","933,812,000","952,211,000","951,577,000","968,439,000","729,645,000","731,089,000","775,337,000","765,133,000","790,454,000","867,090,000","833,307,000","800,920,000","832,745,000","256,890,000"
		CashCashEquivalentsAndShortTermInvestments,"417,551,000","62,295,000","46,840,000","45,622,000","60,768,000","48,950,000","75,177,000","48,145,000","118,272,000","132,031,000","146,262,000","169,659,000","135,442,000","113,198,000","129,123,000","56,689,000"
			CashAndCashEquivalents,"417,551,000","62,295,000","46,840,000","45,622,000","60,768,000","48,950,000","75,177,000","48,145,000","118,272,000","132,031,000","146,262,000","169,659,000","135,442,000","113,198,000","129,123,000","56,689,000"
		Receivables,"548,261,000","624,039,000","676,828,000","700,058,000","688,047,000","742,447,000","476,210,000","500,443,000","485,655,000","495,767,000","507,696,000","512,489,000","535,283,000","537,565,000","540,129,000","177,626,000"
			AccountsReceivable,"548,261,000","624,039,000","676,828,000","700,058,000","688,047,000","742,447,000","476,210,000","500,443,000","485,655,000","495,767,000","506,929,000","512,489,000","502,973,000","520,395,000","540,129,000","177,626,000"
				GrossAccountsReceivable,"553,783,000","625,315,000","678,040,000","701,337,000","689,144,000","743,687,000","479,295,000","503,304,000","488,528,000","498,769,000","535,026,000","540,280,000","530,857,000","548,477,000","540,656,000","185,923,000"
				AllowanceForDoubtfulAccountsReceivable,"-5,522,000","-1,276,000","-1,212,000","-1,279,000","-1,097,000","-1,240,000","-3,085,000","-2,861,000","-2,873,000","-3,002,000","-28,097,000","-27,791,000","-27,884,000","-28,082,000","-527,000","-8,297,000"
			OtherReceivables,,,,,,,,,,,"767,000",,"32,310,000","17,170,000",,
		RestrictedCash,"103,031,000","106,677,000","111,276,000","114,763,000","116,551,000","110,589,000","127,282,000","132,433,000","128,720,000","94,140,000","84,209,000","112,118,000","57,628,000","50,294,000","57,953,000","22,575,000"
		AssetsHeldForSaleCurrent,"122,475,000","114,504,000","98,868,000","91,768,000","86,211,000","66,453,000","50,976,000","50,068,000","42,690,000","43,195,000","52,287,000","72,824,000","104,954,000","99,863,000","105,540,000","0"
	TotalNonCurrentAssets,"8,683,072,000","8,735,118,000","8,868,071,000","9,043,622,000","9,158,545,000","9,301,574,000","9,618,852,000","9,379,027,000","8,905,609,000","8,812,492,000","8,591,760,000","8,306,871,000","8,126,752,000","7,912,651,000","7,854,918,000","4,402,107,000"
		NetPPE,"8,327,685,000","8,392,547,000","8,519,730,000","8,684,103,000","8,796,491,000","8,923,451,000","9,208,539,000","8,956,091,000","8,439,971,000","8,364,484,000","8,124,963,000","7,813,214,000","7,605,903,000","7,370,519,000","7,261,562,000","4,362,043,000"
			GrossPPE,"11,393,616,000","11,326,433,000","11,355,862,000","11,421,175,000","11,430,796,000","11,456,897,000","11,765,139,000","11,397,836,000","10,769,841,000","10,583,381,000","10,235,295,000","9,808,150,000","9,493,560,000","9,158,024,000","8,945,255,000","5,929,006,000"
				MachineryFurnitureEquipment,"11,393,616,000","11,326,433,000","11,355,862,000","11,421,175,000","11,430,796,000","11,456,897,000","11,765,139,000","11,397,836,000","10,769,841,000","10,583,381,000","10,235,295,000","9,808,150,000","9,493,560,000","9,158,024,000","8,945,255,000","5,929,006,000"
			AccumulatedDepreciation,"-3,065,931,000","-2,933,886,000","-2,836,132,000","-2,737,072,000","-2,634,305,000","-2,533,446,000","-2,556,600,000","-2,441,745,000","-2,329,870,000","-2,218,897,000","-2,110,332,000","-1,994,936,000","-1,887,657,000","-1,787,505,000","-1,683,693,000","-1,566,963,000"
		GoodwillAndOtherIntangibleAssets,"286,613,000","292,821,000","300,156,000","308,879,000","318,782,000","329,590,000","342,836,000","357,935,000","373,481,000","391,041,000","413,894,000","436,015,000","459,197,000","483,263,000","537,921,000","0"
			Goodwill,"236,665,000","236,665,000","236,665,000","236,665,000","236,665,000","236,665,000","236,665,000","236,665,000","236,665,000","236,665,000","236,665,000","236,665,000","236,665,000","236,665,000","261,966,000","0"
			OtherIntangibleAssets,"49,948,000","56,156,000","63,491,000","72,214,000","82,117,000","92,925,000","106,171,000","121,270,000","136,816,000","154,376,000","177,229,000","199,350,000","222,532,000","246,598,000","275,955,000",
		FinancialAssets,"35,000","10,848,000","882,000","1,682,000","4,580,000","13,923,000","35,278,000","29,467,000","22,662,000","7,376,000","3,839,000","6,604,000","7,902,000","5,743,000",,"2,153,000"
		OtherNonCurrentAssets,"68,739,000","38,902,000","47,303,000","48,958,000","38,692,000","34,610,000","32,199,000","35,534,000","69,495,000","49,591,000","49,064,000","51,038,000","53,750,000","53,126,000","55,435,000","37,911,000"
TotalLiabilitiesNetMinorityInterest,"7,324,140,000","7,110,396,000","7,493,904,000","7,659,225,000","7,821,527,000","7,944,804,000","7,964,347,000","7,777,860,000","7,416,177,000","7,367,799,000","7,346,530,000","7,352,661,000","7,146,836,000","6,906,834,000","6,898,768,000","3,281,164,000"
	CurrentLiabilities,"132,941,000","141,467,000","141,254,000","111,236,000","150,820,000","122,277,000","236,032,000","252,462,000","235,635,000","238,132,000","210,901,000","270,198,000","344,187,000","226,665,000","225,128,000","93,434,000"
