name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,09/30/1990,09/30/1989
TotalRevenue,"1,811,053,000","2,066,277,000","2,188,148,000","1,764,219,000","1,155,677,000","1,357,150,000","2,173,011,000","1,746,278,000","1,204,546,000","979,864,000","844,035,000","879,276,000","945,791,000","732,170,000","761,988,000","682,797,000","530,408,000","509,391,000","353,756,000","447,042,000","368,651,000","165,700,000","159,600,000","185,100,000","163,100,000","213,900,000","237,100,000","164,300,000","147,600,000","140,500,000","128,000,000","149,400,000"
	OperatingRevenue,"1,722,406,000","1,985,240,000","2,139,402,000","1,735,633,000","1,187,265,000","1,289,638,000","1,938,930,000","1,733,130,000","1,195,578,000","979,864,000","844,035,000","879,276,000","945,791,000","732,170,000","761,988,000","682,797,000","530,408,000","509,391,000","353,756,000","447,042,000","368,651,000","165,700,000","159,600,000","185,100,000","163,100,000","213,900,000","237,100,000","164,300,000","147,600,000","140,500,000","128,000,000","149,400,000"
CostOfRevenue,"1,070,154,000","1,057,368,000","1,168,054,000","1,167,818,000","1,138,151,000","1,203,205,000","1,157,640,000","1,051,333,000","741,459,000","224,565,000","156,108,000","161,015,000","223,488,000","198,761,000","207,562,000","210,773,000","176,928,000","194,680,000","143,221,000","200,167,000","191,285,000","44,800,000","54,200,000","46,200,000","43,600,000","129,200,000","138,100,000","81,200,000","68,200,000","67,300,000","63,500,000","66,100,000"
GrossProfit,"740,899,000","1,008,909,000","1,020,094,000","596,401,000","17,526,000","153,945,000","1,015,371,000","694,945,000","463,087,000","755,299,000","687,927,000","718,261,000","722,303,000","533,409,000","554,426,000","472,024,000","353,480,000","314,711,000","210,535,000","246,875,000","177,366,000","120,900,000","105,400,000","138,900,000","119,500,000","84,700,000","99,000,000","83,100,000","79,400,000","73,200,000","64,500,000","83,300,000"
OperatingExpense,"128,569,000","132,193,000","233,103,000","152,799,000","144,127,000","139,713,000","158,348,000","165,816,000","207,589,000","511,831,000","486,879,000","385,077,000","273,079,000","235,060,000","10,477,000","200,327,000","179,224,000","144,980,000","149,379,000","134,610,000","96,903,000","94,400,000","78,500,000","75,200,000","72,300,000","75,200,000","84,000,000","64,400,000","61,900,000","59,500,000","48,800,000","69,200,000"
	SellingGeneralAndAdministration,"97,209,000","94,870,000","96,641,000","97,786,000","87,242,000","69,444,000","82,590,000","104,606,000","121,239,000","104,667,000","79,177,000","68,374,000","74,185,000","50,775,000","58,168,000","37,650,000","34,735,000","25,112,000","28,377,000","25,650,000","20,421,000","24,000,000","22,000,000","19,700,000","16,800,000","16,800,000","17,300,000","20,400,000","23,400,000","25,400,000","20,600,000","21,300,000"
		GeneralAndAdministrativeExpense,"97,209,000","94,870,000","96,641,000","97,786,000","87,242,000","69,444,000","82,590,000","104,606,000","121,239,000","104,667,000","79,177,000","68,374,000",,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,"30,780,000","33,147,000","34,041,000","25,968,000","13,680,000","21,456,000","51,823,000","33,511,000","39,529,000","14,410,000","25,138,000",,,,,,,,,,,,,,,,,,,,
			OtherGandA,"97,209,000","94,870,000","96,641,000","97,786,000","87,242,000","69,444,000","82,590,000","104,606,000","121,239,000","65,138,000","64,767,000","43,236,000",,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"343,141,000","327,083,000","221,270,000","185,403,000","143,951,000","128,975,000","108,458,000","103,343,000","94,903,000","96,512,000","80,619,000","53,441,000","53,400,000","41,200,000","40,600,000","42,700,000","47,200,000","54,600,000","34,500,000","31,500,000","27,200,000","23,100,000","41,300,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,"185,403,000","143,951,000","128,975,000","108,458,000","103,343,000","94,903,000","96,512,000","80,619,000","53,441,000","53,400,000","41,200,000","40,600,000","42,700,000","47,200,000","54,600,000","34,500,000","31,500,000","27,200,000","23,100,000","41,300,000"
	OtherTaxes,"14,944,000","17,053,000","22,642,000","33,487,000","29,223,000","42,809,000","47,012,000","43,045,000","48,874,000","27,576,000","37,894,000","44,649,000","66,540,000","53,782,000","55,351,000","54,293,000","41,022,000","37,138,000","24,734,000","28,341,000","23,041,000","17,000,000","15,300,000","14,900,000","12,800,000","11,200,000","12,100,000","9,500,000","7,000,000","6,900,000","5,100,000","6,600,000"
