name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
TotalAssets,"33,396,000,000","35,713,000,000","35,779,000,000","35,359,000,000","35,993,000,000","35,174,000,000","39,722,000,000","40,299,000,000","39,809,000,000","40,933,000,000","42,572,000,000","44,459,000,000","25,125,000,000","25,258,000,000","24,475,000,000","24,714,000,000","24,500,000,000","25,791,000,000","26,725,000,000","25,167,000,000","25,850,000,000","24,695,000,000","25,447,000,000","25,124,000,000","24,989,000,000","25,224,000,000","24,705,000,000","24,490,000,000","24,473,000,000","24,216,000,000","24,384,000,000","22,770,000,000","22,441,000,000","22,194,000,000","21,360,000,000","20,078,000,000","20,183,000,000","22,095,000,000","22,199,000,000","22,449,000,000","22,181,000,000","21,519,999,200"
	CurrentAssets,"1,656,000,000","3,284,000,000","3,256,000,000","2,927,000,000","3,378,000,000","3,195,000,000","5,909,000,000","4,566,000,000","3,928,000,000","5,008,000,000","5,209,000,000","6,794,000,000","8,857,000,000","6,822,000,000","6,212,000,000","6,230,000,000","6,033,000,000","6,473,000,000","6,940,000,000","5,367,000,000","4,776,000,000","4,195,000,000","4,644,000,000","4,617,000,000","4,658,000,000","5,610,000,000","4,893,000,000","4,728,000,000","4,876,000,000","4,579,000,000","5,067,000,000","3,655,000,000","3,758,000,000","3,911,000,000","3,641,000,000","2,986,000,000","3,030,000,000","2,775,000,000","2,992,000,000","2,870,000,000","2,942,000,000","2,391,576,400"
		CashCashEquivalentsAndShortTermInvestments,"160,000,000","186,000,000","437,000,000","64,000,000","244,000,000","781,000,000","1,865,000,000","376,000,000","405,000,000","610,000,000","632,000,000","489,000,000","3,548,000,000","3,720,000,000","3,850,000,000","3,780,000,000","3,883,000,000","4,105,000,000","4,401,000,000","1,590,000,000","1,804,000,000","883,000,000","1,156,000,000","760,000,000","815,000,000","2,452,000,000","1,024,000,000","825,000,000","978,000,000","1,160,000,000","1,543,000,000","409,000,000","460,000,000","495,000,000","358,000,000","245,000,000","379,000,000","300,000,000","464,000,000","409,000,000","397,000,000","154,970,800"
			CashAndCashEquivalents,"160,000,000","186,000,000","437,000,000","64,000,000","244,000,000","781,000,000","1,865,000,000","376,000,000","405,000,000","610,000,000","632,000,000","489,000,000","3,548,000,000","3,720,000,000","3,850,000,000","3,780,000,000","3,883,000,000","4,105,000,000","4,401,000,000","1,590,000,000","1,804,000,000","883,000,000","1,156,000,000","760,000,000","815,000,000","2,452,000,000","1,024,000,000","825,000,000","978,000,000","1,160,000,000","1,543,000,000","409,000,000","460,000,000","495,000,000","358,000,000","245,000,000","379,000,000","300,000,000","464,000,000","409,000,000","397,000,000","154,970,800"
				CashFinancial,,"108,000,000",,,,"155,000,000",,,,"547,000,000",,,,"542,000,000",,,,"323,000,000",,,,"458,000,000",,,,"363,000,000",,,,"339,000,000",,,,,,,,,,,,
				CashEquivalents,,"78,000,000",,,,"626,000,000",,,,"63,000,000",,,,"3,178,000,000",,,,"3,782,000,000",,,,"425,000,000",,,,"2,089,000,000",,,,"821,000,000",,,,,,,,,,,,
		Receivables,"835,000,000","1,507,000,000","1,320,000,000","1,463,000,000","1,752,000,000","1,193,000,000","1,898,000,000","2,274,000,000","1,608,000,000","1,834,000,000","1,615,000,000","1,609,000,000","1,769,000,000","1,717,000,000","1,377,000,000","1,425,000,000","1,116,000,000","1,186,000,000","1,113,000,000","1,373,000,000","1,382,000,000","1,554,000,000","1,853,000,000","2,207,000,000","2,215,000,000","1,834,000,000","2,268,000,000","2,137,000,000","2,237,000,000","1,803,000,000","2,140,000,000","1,731,000,000","1,731,000,000","1,743,000,000","1,613,000,000","1,481,000,000","1,513,000,000","1,432,000,000","1,404,000,000","1,456,000,000","1,454,000,000","1,300,498,200"
			AccountsReceivable,"822,000,000","206,000,000","1,306,000,000","1,430,000,000","1,673,000,000","251,000,000","1,898,000,000","2,274,000,000","1,508,000,000","193,000,000","1,609,000,000","1,572,000,000","1,749,000,000","29,000,000","1,371,000,000","1,419,000,000","1,110,000,000","61,000,000","1,113,000,000","1,358,000,000","1,367,000,000","1,582,000,000","1,810,000,000","2,192,000,000","2,200,000,000","1,874,000,000","1,855,000,000","1,720,000,000","1,840,000,000","232,000,000","1,765,000,000","1,348,000,000","1,360,000,000","251,000,000","1,206,000,000","1,107,000,000","1,141,000,000","1,055,000,000","1,051,000,000","1,063,000,000","1,108,000,000","915,165,400"
			NotesReceivable,,,,,,,,,,"0",,,,"50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"23,000,000",,,,"28,000,000",,,"29,000,000",,,,,
