name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,06/30/2017,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
TotalRevenue,"16,960,000,000","3,094,000,000","4,626,000,000","3,435,000,000","4,576,000,000","4,718,000,000","4,646,000,000","4,394,000,000","4,489,000,000",,,"4,723,000,000","3,913,000,000","4,548,000,000","4,330,000,000","3,097,000,000","3,945,000,000","3,773,000,000","4,063,000,000",,,,,"9,689,000,000","9,497,000,000","9,392,000,000","11,552,000,000","18,346,000,000","11,747,000,000","10,349,000,000","14,239,000,000","12,349,000,000","12,642,000,000","14,501,000,000","12,408,000,000","10,141,000,000","11,944,000,000","10,871,000,000","14,862,000,000","12,460,768,400","15,621,671,750","17,209,000,000","19,723,235,310","19,933,580,530","18,545,177,280","18,860,798,100","18,249,144,240","18,949,920,170","17,145,221,640","18,546,054,800","19,006,580,380","17,692,412,570","17,792,000,000","17,190,081,090","17,401,146,510","16,918,973,660","16,956,939,480","16,393,520,640","17,034,308,420","17,162,938,400","15,913,975,350","16,211,508,830","17,916,018,750","18,464,894,660","17,313,448,020","19,668,964,000","19,938,926,700","29,649,095,670","9,080,174,400","20,723,455,800","11,047,920,900","21,452,275,400","12,473,660,980","10,523,295,440","13,563,186,900","14,401,201,230","8,827,172,640","12,100,795,200","9,974,957,720","10,938,053,286","7,281,746,010","8,674,165,150","10,302,746,960","7,149,041,767","6,617,093,560","6,621,340,119","6,250,438,535"
	OperatingRevenue,"16,960,000,000","3,094,000,000","4,626,000,000","3,435,000,000","4,576,000,000","4,718,000,000","4,646,000,000","4,394,000,000","4,489,000,000",,,"4,723,000,000","3,913,000,000","4,548,000,000","4,330,000,000","3,097,000,000","3,945,000,000","3,773,000,000","4,063,000,000",,,,,"9,689,000,000","9,497,000,000","9,392,000,000","11,552,000,000","18,346,000,000","11,747,000,000","10,349,000,000","14,239,000,000","12,349,000,000","12,642,000,000","14,501,000,000","12,408,000,000","10,141,000,000","11,944,000,000","10,871,000,000","14,862,000,000","12,460,768,400","15,621,671,750","17,209,000,000","19,723,235,310","19,933,580,530","18,545,177,280","18,860,798,100","18,249,144,240","18,949,920,170","17,145,221,640","18,546,054,800","19,006,580,380","17,692,412,570","17,792,000,000","17,190,081,090","17,401,146,510","16,918,973,660","16,956,939,480","16,393,520,640","17,034,308,420","17,162,938,400","15,913,975,350","16,211,508,830","17,916,018,750","18,464,894,660","17,313,448,020","19,668,964,000","19,938,926,700","29,649,095,670","9,080,174,400","20,723,455,800","11,047,920,900","21,452,275,400","12,473,660,980","10,523,295,440","13,563,186,900","14,401,201,230","8,827,172,640","12,100,795,200","9,974,957,720","10,938,053,286","7,281,746,010","8,674,165,150","10,302,746,960","7,149,041,767","6,617,093,560","6,621,340,119","6,250,438,535"
PretaxIncome,"5,653,000,000","156,000,000","1,911,000,000","911,000,000","1,582,000,000","1,153,000,000","2,124,000,000","1,933,000,000","1,718,000,000",,,"2,355,000,000","1,386,000,000","1,959,000,000","1,635,000,000","388,000,000","1,421,000,000","1,137,000,000","429,000,000",,,,,"-23,000,000","1,065,000,000","890,000,000","1,108,000,000","-917,000,000","1,347,000,000","1,617,000,000","2,156,000,000","708,000,000","1,531,000,000","593,000,000","1,547,000,000","-1,706,000,000","545,000,000","457,000,000","-874,000,000","-5,008,772,330","-695,793,870","2,246,000,000","2,021,775,670","2,764,113,530","2,662,225,230","2,971,332,940","2,394,643,440","2,395,644,290","1,999,054,520","2,576,319,200","2,633,431,920","2,152,207,060","2,353,000,000","1,741,060,440","2,511,776,080","1,916,665,000","1,872,131,040","2,207,009,280","1,732,894,100","1,438,190,980","1,378,564,950","2,200,586,520","399,964,250","1,107,850,100","1,278,989,580","1,461,583,200","1,450,187,200","666,527,280","1,262,355,000","1,999,043,400","1,514,836,850","1,753,296,520","5,786,200,640","4,899,463,270","1,428,199,500","1,125,707,640","1,045,643,040","2,819,462,100","1,006,970,960","624,251,334","617,482,558","1,095,814,400","1,090,163,591","624,021,489","639,793,672","666,492,668","567,845,509"
TaxProvision,"1,652,000,000","126,000,000","543,000,000","297,000,000","443,000,000","513,000,000","582,000,000","532,000,000","463,000,000",,,"649,000,000","375,000,000","451,000,000","450,000,000","68,000,000","365,000,000","339,000,000","90,000,000",,,,,"-271,000,000","312,000,000","177,000,000","360,000,000","-334,000,000","241,000,000","333,000,000","630,000,000","208,000,000","455,000,000","47,000,000","511,000,000","-500,000,000","55,000,000","12,000,000","-60,000,000","-1,299,286,550","-218,455,160","324,000,000","482,490,780","269,326,840","355,290,390","412,233,660","501,535,200","288,635,890","429,438,200","561,124,200","628,657,620","208,913,920","403,000,000","193,267,620","571,629,630","389,920,940","278,246,280","567,329,280","531,637,300","407,185,040","402,331,650","420,649,240","233,388,750","177,791,020","305,823,320","299,966,800","315,507,500","29,427,590","282,108,900","403,573,800","383,560,800","539,355,940","469,335,240","430,422,100","404,918,100","294,496,630","250,655,040","285,906,400","231,306,060","154,233,246","158,083,002","244,900,675","224,420,867","124,561,899","177,129,232","190,946,421","158,793,294"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-72,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"3,903,000,000","2,000,000","1,345,000,000","588,000,000","1,119,000,000","1,330,000,000","775,000,000","1,380,000,000","1,225,000,000",,,"734,000,000","1,064,000,000","1,359,000,000","1,769,000,000","546,000,000","926,000,000","1,067,000,000","-2,325,000,000",,,,,"1,411,000,000","609,000,000","559,000,000","680,000,000","787,000,000","1,692,000,000","1,507,000,000","1,381,000,000","1,137,000,000","371,000,000","527,000,000","1,324,000,000","-1,200,000,000","499,000,000","528,000,000","-793,000,000","-3,709,485,780","-477,338,710","1,920,000,000","1,539,284,890","2,494,786,690","2,306,934,840","2,559,099,280","1,893,108,240","2,107,008,400","1,569,616,320","2,015,195,000","2,004,774,300","2,139,293,140","1,878,000,000","1,547,792,820","1,940,146,450","1,526,744,060","1,593,884,760","1,639,680,000","1,201,256,800","1,031,005,940","976,233,300","1,779,937,280","166,575,500","930,059,080","973,166,260","1,161,616,400","1,134,679,700","637,099,690","980,246,100","1,595,469,600","1,131,276,050","1,213,940,580","5,316,865,400","4,469,041,170","1,023,281,400","831,211,010","794,988,000","2,533,555,700","775,664,900","470,018,088","459,399,556","850,913,725","865,742,724","499,459,590","462,664,440","475,546,247","409,052,215"
	NetIncome,"3,903,000,000","2,000,000","1,345,000,000","588,000,000","1,119,000,000","1,330,000,000","775,000,000","1,380,000,000","1,225,000,000",,,"734,000,000","1,064,000,000","1,359,000,000","1,769,000,000","888,000,000","926,000,000","1,067,000,000","-1,917,000,000",,,,,"1,046,000,000","719,000,000","789,000,000","705,000,000","120,000,000","1,099,000,000","1,271,000,000","1,492,000,000","465,000,000","1,043,000,000","527,000,000","1,324,000,000","-1,200,000,000","499,000,000","528,000,000","-793,000,000","-3,709,485,780","-477,338,710","1,946,000,000","1,539,284,890","2,494,786,690","2,306,934,840","2,559,099,280","1,893,108,240","2,107,008,400","1,569,616,320","2,015,195,000","2,004,774,300","2,139,293,140","1,878,000,000","1,547,792,820","1,940,146,450","1,526,744,060","1,593,884,760","1,639,680,000","1,201,256,800","1,031,005,940","976,233,300","1,779,937,280","166,575,500","930,059,080","973,166,260","1,161,616,400","1,134,679,700","637,099,690","980,246,100","1,595,469,600","1,131,276,050","1,213,940,580","5,316,865,400","4,469,041,170","1,023,281,400","831,211,010","794,988,000","2,533,555,700","775,664,900","470,018,088","459,399,556","850,913,725","865,742,724","499,459,590","462,664,440","475,546,247","409,052,215"
		NetIncomeIncludingNoncontrollingInterests,"4,001,000,000","30,000,000","1,368,000,000","614,000,000","1,140,000,000","1,359,000,000","803,000,000","1,402,000,000","1,254,000,000",,,"751,000,000","1,087,000,000","1,475,000,000","2,021,000,000","993,000,000","880,000,000","1,084,000,000","-1,830,000,000",,,,,"1,061,000,000","753,000,000","806,000,000","748,000,000","153,000,000","1,106,000,000","1,284,000,000","1,526,000,000","500,000,000","1,076,000,000","546,000,000","1,342,000,000","-1,206,000,000","490,000,000","445,000,000","-814,000,000","-3,754,641,430","-469,536,740","1,922,000,000","1,563,346,110","2,548,541,140","2,379,114,150","2,635,192,590","1,958,232,960","2,191,881,900","1,645,260,480","2,103,628,800","2,096,350,410","2,139,293,140","1,878,000,000","1,609,737,570","2,001,860,850","1,588,319,320","1,662,240,060","1,704,447,360","1,278,364,500","1,142,407,400","1,048,292,700","1,865,110,060","237,965,000","1,015,556,570","1,046,077,780","1,248,184,000","1,209,254,200","707,243,280","1,060,378,200","1,675,478,400","1,211,184,550","1,249,776,020","5,365,612,780","4,499,485,660","1,055,716,700","854,481,270","826,787,520","2,552,873,700","795,172,640","483,225,290","469,242,620","860,749,825","879,113,268","508,214,847","476,733,768","481,405,133","415,517,740"
			NetIncomeContinuousOperations,"4,001,000,000","30,000,000","1,368,000,000","614,000,000","1,140,000,000","639,000,000","1,542,000,000","1,402,000,000","1,254,000,000",,,"1,706,000,000","1,011,000,000","1,508,000,000","1,185,000,000","320,000,000","1,056,000,000","798,000,000","339,000,000",,,,,"248,000,000","753,000,000","713,000,000","748,000,000","-583,000,000","1,106,000,000","1,284,000,000","1,526,000,000","500,000,000","1,076,000,000","546,000,000","1,036,000,000","-1,206,000,000","490,000,000","445,000,000","-814,000,000","-3,709,485,780","-477,338,710","1,922,000,000","1,539,284,890","2,494,786,690","2,306,934,840","2,559,099,280","1,893,108,240","2,107,008,400","1,569,616,320","2,015,195,000","2,004,774,300","2,139,293,140","1,878,000,000","1,547,792,820","1,940,146,450","1,526,744,060","1,593,884,760","1,639,680,000","1,201,256,800","1,031,005,940","976,233,300","1,779,937,280","166,575,500","930,059,080","973,166,260","1,161,616,400","1,134,679,700","637,099,690","980,246,100","1,595,469,600","1,131,276,050","1,213,940,580","5,316,865,400","4,469,041,170","1,023,281,400","831,211,010","794,988,000","2,533,555,700","775,664,900","470,018,088","459,399,556","850,913,725","865,742,724","499,459,590","462,664,440","475,546,247","409,052,215"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,"-955,000,000","76,000,000","-33,000,000","836,000,000","673,000,000","-176,000,000","286,000,000","-2,169,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
