name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
		UnpaidLossAndLossReserve,,,,,,,,,,,,"32,337,000,000","94,052,000,000","93,683,000,000","94,639,000,000","86,801,000,000","75,805,000,000","67,697,000,000","59,194,000,000","54,197,000,000","50,610,000,000","45,615,000,000","27,471,000,000","43,789,000,000","23,758,000,000","22,157,000,000","20,626,000,000","20,619,000,000"
		UnearnedPremiums,"15,343,000,000","14,510,000,000","13,473,000,000","12,583,000,000","12,202,000,000","11,655,000,000","10,932,000,000","10,375,000,000","10,057,000,000","9,800,000,000","9,822,000,000","10,024,000,000","10,409,000,000","10,427,000,000","10,294,000,000","9,932,000,000","9,187,000,000","8,578,000,000","7,961,000,000","7,607,000,000","7,671,000,000","6,425,000,000","6,233,000,000","6,174,000,000","6,188,000,000","5,908,000,000","5,729,000,000","5,475,000,000"
		FuturePolicyBenefits,"34,029,000,000","33,483,000,000","33,278,000,000","32,184,000,000","31,066,000,000","30,393,000,000","30,210,000,000","32,970,000,000","34,824,000,000","32,950,000,000","32,077,000,000","32,337,000,000","32,077,000,000","31,652,000,000","34,599,000,000","31,092,000,000","28,734,000,000","26,946,000,000","25,634,000,000",,,,,,,,,
		PolicyholderFunds,"17,692,000,000","18,371,000,000","19,434,000,000","20,260,000,000","21,295,000,000","22,529,000,000","24,304,000,000","39,319,000,000","42,332,000,000","48,195,000,000","52,582,000,000","58,413,000,000","61,975,000,000","62,031,000,000","60,040,000,000","55,709,000,000","47,071,000,000","40,751,000,000","33,560,000,000","28,870,000,000","25,199,000,000","21,133,000,000","20,389,000,000","20,120,000,000","19,146,000,000","17,974,000,000","16,811,000,000","15,799,000,000"
	PayablesAndAccruedExpenses,"6,912,000,000","7,155,000,000","6,471,000,000","6,184,000,000","5,892,000,000","5,694,000,000","4,664,000,000","4,010,000,000","5,929,000,000","5,564,000,000","5,726,000,000","6,695,000,000",,,,,,,,,,,,,,,,
		Payables,"6,912,000,000","7,155,000,000","6,471,000,000","6,184,000,000","5,892,000,000","5,694,000,000","4,664,000,000","4,010,000,000",,,,,,,,,,,,,,,,,,,,
			AccountsPayable,"6,912,000,000","7,155,000,000","6,471,000,000","6,184,000,000","5,892,000,000","5,694,000,000","4,664,000,000","4,010,000,000",,,,,,,,,,,,,,,,,,,,
		CurrentAccruedExpenses,"9,147,000,000","7,737,000,000","6,639,000,000","6,599,000,000","5,304,000,000","5,653,000,000","5,156,000,000","6,429,000,000","5,929,000,000","5,564,000,000","5,726,000,000","6,695,000,000",,,,,,,,,,,,,,,,
	CurrentDebtAndCapitalLeaseObligation,,,,,,,,,,,,,"0","12,000,000","413,000,000","43,000,000","3,000,000","279,000,000","227,000,000","219,000,000","665,000,000","393,000,000","199,000,000",,,,,
		CurrentDebt,,,,,,,,,,,,,"0","12,000,000","413,000,000","43,000,000","3,000,000","279,000,000","227,000,000","219,000,000","665,000,000","393,000,000","199,000,000",,,,,
			OtherCurrentBorrowings,,,,,,,,,,,,,"0","12,000,000","413,000,000","43,000,000","3,000,000","279,000,000","227,000,000","219,000,000","665,000,000","393,000,000","199,000,000",,,,,
	LongTermDebtAndCapitalLeaseObligation,"6,631,000,000","6,451,000,000","6,350,000,000","6,347,000,000","5,124,000,000","5,194,000,000","6,201,000,000","6,057,000,000","5,908,000,000","5,908,000,000","5,910,000,000","5,659,000,000","5,640,000,000","4,650,000,000","4,887,000,000","5,291,000,000","5,073,000,000","3,961,000,000","3,694,000,000","3,112,000,000","2,186,000,000","1,353,000,000","1,497,000,000","1,386,000,000","1,228,000,000","869,000,000","850,000,000",
		LongTermDebt,"6,631,000,000","6,451,000,000","6,350,000,000","6,347,000,000","5,124,000,000","5,194,000,000","6,201,000,000","6,057,000,000","5,908,000,000","5,908,000,000","5,910,000,000","5,659,000,000","5,640,000,000","4,650,000,000","4,887,000,000","5,291,000,000","5,073,000,000","3,961,000,000","3,694,000,000","3,112,000,000","2,186,000,000","1,353,000,000","1,497,000,000","1,386,000,000","1,228,000,000","869,000,000","850,000,000",
	NonCurrentDeferredLiabilities,"1,154,000,000","425,000,000","782,000,000","487,000,000","90,000,000","715,000,000","635,000,000","597,000,000",,,,,,,"351,000,000","829,000,000","1,103,000,000","259,000,000","137,000,000","348,000,000",,"461,000,000","381,000,000",,,,,
		NonCurrentDeferredTaxesLiabilities,"1,154,000,000","425,000,000","782,000,000","487,000,000","90,000,000","715,000,000","635,000,000","597,000,000",,,,,,,"351,000,000","829,000,000","1,103,000,000","259,000,000","137,000,000","348,000,000",,"461,000,000","381,000,000",,,,,
	SeparateAccountBusiness,"3,044,000,000","2,805,000,000","3,444,000,000","3,393,000,000","3,658,000,000","4,396,000,000","5,039,000,000","6,610,000,000","6,984,000,000","8,676,000,000","9,072,000,000","8,239,000,000","14,929,000,000","16,174,000,000","15,235,000,000","14,377,000,000","13,425,000,000","11,125,000,000","13,587,000,000","15,298,000,000","13,857,000,000","10,098,000,000","7,582,000,000","5,539,000,000","3,798,000,000","2,800,000,000","2,282,000,000","916,000,000"
	PreferredSecuritiesOutsideStockEquity,,,,,,,,,,,,,,,,,"0","200,000,000","200,000,000","750,000,000","964,000,000",,,"750,000,000",,,,
	OtherLiabilities,"9,147,000,000","7,737,000,000","6,639,000,000","6,599,000,000","5,304,000,000","5,653,000,000","20,055,000,000","6,429,000,000","827,000,000","737,000,000","742,000,000","790,000,000","-84,525,000,000","-82,921,000,000","-84,572,000,000","-76,172,000,000","-66,824,000,000","-59,808,000,000","-52,215,000,000","-23,044,000,000","-19,634,000,000","-15,027,000,000","1,556,000,000","-16,702,000,000","3,231,000,000","3,235,000,000","2,760,000,000","2,106,000,000"
TotalEquityGrossMinorityInterest,"25,998,000,000","21,312,000,000","22,551,000,000","20,573,000,000","20,025,000,000","22,304,000,000","21,480,000,000","20,580,000,000","18,702,000,000","19,044,000,000","16,721,000,000","12,641,000,000","21,851,000,000","21,846,000,000","20,186,000,000","21,823,000,000","20,565,000,000","17,438,000,000","17,196,000,000","17,451,000,000","16,601,000,000","17,240,000,000","15,610,000,000","13,452,000,000","12,680,000,000","8,426,000,000","10,300,000,000","7,183,000,000"
	StockholdersEquity,"25,998,000,000","21,312,000,000","22,551,000,000","20,573,000,000","20,025,000,000","22,304,000,000","21,480,000,000","20,580,000,000","18,674,000,000","19,016,000,000","16,692,000,000","12,641,000,000","21,851,000,000","21,846,000,000","20,186,000,000","21,823,000,000","20,565,000,000","17,438,000,000","17,196,000,000","17,451,000,000","16,601,000,000","17,240,000,000","15,610,000,000","13,452,000,000","12,680,000,000","8,426,000,000","10,300,000,000","7,183,000,000"
		CapitalStock,"2,257,000,000","1,939,000,000","1,755,000,000","1,755,000,000","1,755,000,000","1,755,000,000","789,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","5,000,000","5,000,000",,,,
			PreferredStock,"2,248,000,000","1,930,000,000","1,746,000,000","1,746,000,000","1,746,000,000","1,746,000,000","780,000,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,
			CommonStock,"9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","5,000,000","5,000,000",,,,
		AdditionalPaidInCapital,"3,463,000,000","3,310,000,000","3,313,000,000","3,303,000,000","3,245,000,000","3,199,000,000","3,143,000,000","3,162,000,000","3,189,000,000","3,176,000,000","3,172,000,000","3,130,000,000","3,052,000,000","2,939,000,000","2,836,000,000","2,685,000,000","2,614,000,000","2,599,000,000","2,599,000,000","2,604,000,000","2,664,000,000","3,102,000,000","3,120,000,000","3,133,000,000",,,,
		RetainedEarnings,"48,074,000,000","45,708,000,000","43,162,000,000","40,678,000,000","39,413,000,000","37,842,000,000","35,580,000,000","33,783,000,000","32,321,000,000","31,969,000,000","31,492,000,000","30,207,000,000","32,796,000,000","29,070,000,000","24,962,000,000","24,043,000,000","21,641,000,000","19,584,000,000","19,044,000,000","18,433,000,000","16,728,000,000","14,490,000,000","11,646,000,000","8,958,000,000","7,261,000,000","5,707,000,000","5,547,000,000","6,407,000,000"
		TreasuryStock,"29,746,000,000","28,085,000,000","25,982,000,000","24,741,000,000","23,620,000,000","21,030,000,000","19,047,000,000","17,508,000,000","16,795,000,000","15,910,000,000","15,828,000,000","15,855,000,000","14,574,000,000","11,091,000,000","9,575,000,000","7,372,000,000","6,261,000,000","6,309,000,000","5,926,000,000","5,314,000,000","3,929,000,000","3,065,000,000","1,665,000,000","388,000,000",,,,
		GainsLossesNotAffectingRetainedEarnings,"1,950,000,000","-1,557,000,000","306,000,000","-416,000,000","-755,000,000","561,000,000","1,046,000,000","1,175,000,000","-7,000,000","-184,000,000","-2,106,000,000","-4,801,000,000","623,000,000","991,000,000","2,082,000,000","2,615,000,000","2,756,000,000","1,733,000,000","1,663,000,000","1,926,000,000","1,345,000,000","2,956,000,000",,,"20,000,000","17,000,000","14,000,000","17,000,000"
			UnrealizedGainLoss,,,,,,,,,"1,420,000,000","1,004,000,000","-824,000,000","-3,733,000,000",,,,,,,,,,,,,,,,
			MinimumPensionLiabilities,"122,000,000","-1,491,000,000","-1,347,000,000","-1,419,000,000","-1,315,000,000","-1,363,000,000","-638,000,000","-1,729,000,000","-1,427,000,000","-1,188,000,000","-1,282,000,000",,,,,,,,,,,,,,,,,
			ForeignCurrencyTranslationAdjustments,"-59,000,000","-64,000,000","-9,000,000","-50,000,000","-60,000,000","-2,000,000","38,000,000","70,000,000",,,,,,,,,,,,,"-24,000,000",,,,"20,000,000","17,000,000","14,000,000","17,000,000"
			OtherEquityAdjustments,"1,887,000,000","-2,000,000","1,662,000,000","1,053,000,000","620,000,000","1,926,000,000","1,646,000,000","2,834,000,000",,"-1,089,000,000",,"-1,068,000,000",,,,,,,,,"1,369,000,000",,,,,,,
