name,ttm,03/31/2020,12/31/2019,09/30/2019
MarketCap,"5,046,943,397","4,510,479,636","7,015,198,883","6,136,982,487"
PeRatio,"52.6","7.542","17.727","17.467"
ForwardPeRatio,"14.62","7.215","11.364","9.823"
PsRatio,"10.761","8.202","18.13","16.513"
PbRatio,"0.916","0.755","1.184","1.075"
