name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"598,176,000","521,994,000","463,612,000","404,906,000","285,075,000","219,701,000","176,671,000","134,916,000","127,460,000","115,686,411","77,158,592","71,290,425","62,453,929","54,562,798","53,579,672","52,718,119","50,435,545","51,729,669","45,135,752","55,153,197","33,102,488","33,082,966","31,388,380","27,965,208","22,356,948","24,464,973","21,326,446","22,450,132","21,186,872","25,215,070","25,362,911","28,107,400","27,432,257","25,053,696","24,284,031","24,672,013","24,989,360","25,343,706","26,470,837","25,921,014","26,787,620","27,103,079","28,301,255","27,730,412","30,785,034","32,984,142","32,252,472","33,885,565","32,656,735","31,596,955","31,876,583","32,032,327","32,467,548","35,052,051","34,284,562","32,757,063","32,304,893","31,571,858","31,570,688","30,673,770","31,149,178","35,714,115","17,429,546","17,747,611","18,321,900","18,006,136","17,946,373","18,061,815","18,735,307","16,863,985","16,836,188","17,090,411","17,628,181","19,059,224","14,877,184","14,797,320","15,329,316","15,074,717","14,835,127","15,247,027","15,876,606","16,600,000","17,000,000","17,600,000","18,856,414","16,800,000","17,300,000","18,200,000","16,673,289","17,000,000","15,200,000","15,200,000","13,710,234","12,900,000","12,800,000","12,700,000","13,901,804","14,600,000","15,200,000","14,300,000","15,000,000","15,600,000","14,000,000","13,200,000","13,300,000","13,800,000","13,700,000","13,600,000","14,200,000","14,700,000","14,500,000","15,400,000","15,300,000","15,300,000","15,400,000","16,300,000","17,300,000","18,100,000","18,300,000","19,500,000","20,100,000","20,900,000","23,400,000","24,300,000"
	CurrentAssets,"473,715,000","397,586,000","343,434,000","298,134,000","188,287,000","154,010,000","125,337,000","100,811,000","100,102,000","94,033,879","63,692,953","64,077,307","57,177,890","53,909,625","52,973,544","52,198,432","50,053,218","51,499,122","44,920,241","54,917,726","32,898,890","32,766,408","31,010,844","27,580,603","21,977,711","24,382,545","21,204,799","22,299,167","21,038,687","24,021,774","24,166,594","26,912,493","26,259,026","23,845,247","23,043,158","23,474,217","9,445,546","24,136,861","25,231,694","24,656,898","9,854,674","9,182,638","27,020,965","26,420,125","29,545,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"303,645,000","249,881,000","155,401,000","113,261,000","119,647,000","110,617,000","85,895,000","71,301,000","79,580,000","69,496,293","50,103,001","52,563,881","49,417,889","45,496,176","45,615,848","46,719,872","45,011,969","46,170,691","38,807,079","49,601,380","26,814,759","26,124,226","24,137,648","18,267,857","13,239,211","15,622,089","9,293,479","9,943,639","8,424,907","11,314,628","11,585,454","14,658,384","13,029,578","10,311,728","8,091,223","8,126,107","7,149,552","7,270,060","8,257,586","7,256,181","8,151,209","7,531,495","8,442,221","7,457,091","9,654,379","10,964,302","9,394,000","10,825,660","10,153,202","8,602,592","7,947,753","8,006,430","8,524,177","14,327,500","12,594,323","10,745,899","9,626,984","9,208,832","10,093,002","5,593,306","5,942,945","9,493,364","3,477,624","3,749,114","4,513,250","3,742,552","3,314,148","3,912,721","3,347,746","3,213,300","2,753,294","2,891,816","2,585,065","3,733,771","2,355,463","1,245,661","1,613,834","1,667,939","1,307,679","1,447,304","1,872,539",,,,"2,597,375",,,,"1,912,591",,,,"1,794,898",,,,"3,022,985",,,,,,,,,,,,,,,,,,,,,,,,,,,
			CashAndCashEquivalents,"303,645,000","249,881,000","155,401,000","113,261,000","119,647,000","110,617,000","85,895,000","71,301,000","79,580,000","69,496,293","50,103,001","52,563,881","49,417,889","45,496,176","45,615,848","46,719,872","45,011,969","46,170,691","38,807,079","49,601,380","26,814,759","26,124,226","24,137,648","18,267,857","13,239,211","15,622,089","9,293,479","9,943,639","8,424,907","11,314,628","11,585,454","14,658,384","13,029,578","10,311,728","8,091,223","8,126,107","7,149,552","7,270,060","8,257,586","7,256,181","8,151,209","7,531,495","8,442,221","7,457,091","9,654,379","10,964,302","9,394,000","10,825,660","10,153,202","8,602,592","7,947,753","8,006,430","8,524,177","327,500","544,323","146,224","226,984","558,832","3,743,002","243,306","342,945","243,364","377,624","249,114","163,250","242,552","364,148","162,721","147,746","813,300","253,294","191,816","85,065","183,771","205,463","245,661","263,834","367,939","157,679","97,304","222,539",,,,"147,375",,,,"112,591",,,,"144,898",,,,"72,985",,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"327,500","544,323","146,224","226,984","558,832","3,743,002","243,306","342,945","243,364","377,624","249,114","163,250","242,552","364,148","162,721","147,746","813,300","253,294","191,816","85,065","183,771","205,463","245,661","263,834","367,939","157,679","97,304","222,539",,,,"147,375",,,,"112,591",,,,"144,898",,,,"72,985",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,000,000","12,050,000","10,599,675","9,400,000","8,650,000","6,350,000","5,350,000","5,600,000","9,250,000","3,100,000","3,500,000","4,350,000","3,500,000","2,950,000","3,750,000","3,200,000","2,400,000","2,500,000","2,700,000","2,500,000","3,550,000","2,150,000","1,000,000","1,350,000","1,300,000","1,150,000","1,350,000","1,650,000",,,,"2,450,000",,,,"1,800,000",,,,"1,650,000",,,,"2,950,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"62,995,000","62,803,000","68,011,000","65,728,000","48,750,000","39,615,000","35,664,000","27,644,000","18,205,000","23,422,985","12,475,351","10,398,825","6,645,400","7,096,354","6,243,095","4,363,959","3,926,648","4,213,830","4,998,561","4,201,745","4,143,135","5,517,123","5,748,137","8,187,687","7,613,441","7,635,397","10,786,261","11,230,469","11,071,839","12,214,433","12,442,959","12,196,669","13,147,391","13,526,193","14,951,935","15,296,829","2,164,842","16,650,488","16,974,108","17,400,717","1,630,220","1,589,871","18,578,744","18,404,401","18,828,508","20,739,091","21,550,042","21,722,675","21,165,963","21,775,689","21,984,863","22,071,654","21,956,737","18,595,899","19,534,263","19,760,960","19,083,848","20,130,574","19,372,788","22,962,131","22,251,684","24,552,658","11,547,461","11,582,764","10,501,601","11,685,307","12,023,840","11,550,456","11,923,998","10,980,114","11,396,052","11,501,631","11,421,331","12,651,929","8,304,730","9,428,047","8,591,998","9,271,157","9,376,169","9,646,282","8,393,007","300,000","300,000",,"11,006,307","400,000","800,000","400,000","9,307,218","9,300,000","7,900,000","6,500,000","5,067,778","4,700,000","4,600,000","4,100,000","3,932,072","5,300,000","5,800,000","5,700,000","5,800,000","6,400,000","6,200,000","500,000","5,100,000","5,300,000","6,100,000","6,100,000","6,200,000","6,800,000","7,000,000","7,200,000","6,900,000","7,400,000","7,600,000","7,900,000","8,400,000","9,600,000","10,500,000",,,,,
			AccountsReceivable,"62,995,000","62,803,000","68,011,000","65,728,000","48,750,000","39,615,000","35,664,000","27,644,000","18,205,000","23,376,596","12,428,962","10,340,815","6,550,429","7,001,383","6,131,314","4,229,091","3,787,534","4,074,716","4,147,889","3,297,512","3,220,020","4,594,007","4,461,608","4,666,502","3,725,535","3,403,084","3,497,724","3,191,841","2,700,855","2,546,791","2,260,119","2,148,783","2,793,288","2,634,015","2,417,385","2,382,896",,"1,855,034","1,860,261",,,,,,"1,172,281",,,"2,050,142","1,540,341","1,640,100","1,676,596","1,460,856","1,154,605","978,850","1,003,797","1,085,369",,"838,376","808,945","783,476",,"682,844","653,715","621,476",,"750,790","492,298","489,389",,"339,991","345,628","344,091",,"586,746","586,580","596,142",,"439,853","446,085","444,961",,,,,,,"400,000",,,"9,300,000","7,700,000","6,500,000","5,100,000","4,700,000","4,500,000","3,900,000","294,582","5,100,000","5,600,000","5,500,000","5,600,000","6,400,000","6,200,000","200,000","5,100,000","5,300,000","5,800,000","5,800,000","5,900,000","6,300,000","6,500,000","6,800,000","6,500,000","7,000,000","7,200,000","7,400,000","7,900,000","8,800,000","9,800,000",,,,,
			NotesReceivable,,,,,,,,,,"46,389","46,389","58,010","94,971","94,971","111,781","134,868","139,114","139,114","850,672","904,233","923,115","923,116","1,286,529","3,521,185","3,887,906","4,232,313","7,288,537","8,038,628","8,370,984","9,667,642","10,182,840","10,047,886","10,354,103","10,892,178","12,534,550","12,913,933",,"14,795,454","15,113,847","15,485,925",,,"17,021,998","17,428,226","17,656,227","18,098,809","19,151,281","19,672,533","19,625,622","20,135,589","20,308,267","20,610,798","20,802,132","17,462,895","18,300,779","18,486,578","19,083,848","19,079,395","18,400,138","21,891,447","22,251,684","23,606,285","10,384,173","10,592,335","10,501,601","10,647,671","11,010,477","10,669,464","11,923,998","10,365,910","10,534,981","10,740,020","11,421,331","11,653,696","7,438,696","8,463,673","8,591,998","8,513,603","8,635,411","8,820,324","8,393,007",,,,"11,006,307",,,,"9,307,218",,,,"5,067,778",,,,"3,509,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,914,792",,"1,589,871","1,556,746","976,175",,"2,640,282","2,398,761",,,,,,,"154,154","229,687","189,013",,"212,803","163,705","287,208",,"263,529","509,573","368,953",,"286,846","521,065","391,603",,"274,213",,"417,520",,"411,487","279,454","368,232",,"317,701","294,673","444,961",,"300,000","300,000",,,"400,000","400,000","400,000",,,"200,000",,,,"100,000","200,000","100,000","200,000","200,000","200,000","200,000",,,"300,000",,,"300,000","300,000","300,000","500,000","500,000","400,000","400,000","400,000","400,000","500,000","500,000","800,000","700,000",,,,,
