name,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016,06/30/2016,12/31/2015,06/30/2015,12/31/2014,06/30/2014,12/31/2013,06/30/2013,12/31/2012,06/30/2012,12/31/2011,06/30/2011,12/31/2010,06/30/2010,12/31/2009,06/30/2009,12/31/2008,06/30/2008,12/31/2007,06/30/2007,12/31/2006,06/30/2006,12/31/2005,06/30/2005,12/31/2004,06/30/2004,12/31/2003,06/30/2003,12/31/2002,06/30/2002,12/31/2001,12/31/2000,06/30/2000,12/31/1999,12/31/1998,12/31/1997
TotalAssets,"106,303,000,000","103,941,000,000","96,592,000,000","94,926,000,000","94,714,000,000","93,790,000,000","94,668,000,000","89,791,000,000","91,430,000,000","88,463,000,000","88,404,000,000","85,549,000,000","85,833,000,000","86,085,000,000","89,980,000,000","90,981,000,000","96,083,000,000","90,712,000,000","94,276,000,000","92,606,000,000","92,044,000,000","93,466,000,000","95,521,261,500","99,079,999,450","101,342,779,460","100,748,281,210","103,170,858,850","103,902,671,600","109,267,222,960","95,605,527,150","96,253,961,760","101,051,018,880","99,658,705,300","106,079,221,050","106,500,115,320","119,383,766,600","127,579,519,740","129,944,063,820","68,694,317,350","54,095,964,860","46,209,056,040","42,312,684,960"
	CurrentAssets,"24,987,000,000","23,009,000,000","21,891,000,000","21,223,000,000","20,679,000,000","18,928,000,000","18,824,000,000","15,946,000,000","20,100,000,000","19,717,000,000","20,188,000,000","14,067,000,000","14,082,000,000","13,662,000,000","16,127,000,000","15,520,000,000","18,535,000,000","14,342,000,000","15,130,000,000","16,995,000,000","13,692,000,000","16,089,000,000","15,702,912,400","14,166,722,300","15,118,632,410","13,498,066,670","14,784,047,280","12,685,163,400","15,067,556,260","13,836,805,290","15,882,250,400","15,536,787,840","14,433,083,310","19,937,383,400","13,835,218,460","17,550,071,000","23,061,509,290","18,697,899,140","16,888,293,470","13,502,624,730","10,534,614,300","9,039,081,870"
		CashCashEquivalentsAndShortTermInvestments,"11,314,000,000","11,843,000,000","8,443,000,000","7,755,000,000","8,675,000,000","8,741,000,000","8,217,000,000","7,428,000,000","5,752,000,000","6,200,000,000","7,003,000,000","6,395,000,000","6,129,000,000","6,127,000,000","8,462,000,000","7,402,000,000","8,992,000,000","5,084,000,000","5,186,000,000","8,430,000,000","4,041,000,000","6,329,000,000","5,534,091,360","3,883,234,950","4,566,522,460","3,690,156,150","4,569,628,390","2,410,408,000","4,299,226,520","3,376,401,840","3,449,391,680","3,323,631,360","5,215,189,040","9,549,780,680","2,861,768,910","2,431,945,600","4,087,660,670","2,261,507,760","4,201,339,620","2,636,524,870","2,080,490,400","410,908,680"
			CashAndCashEquivalents,"6,481,000,000","5,960,000,000","5,634,000,000","5,406,000,000","5,810,000,000","6,807,000,000","6,355,000,000","5,817,000,000","4,469,000,000","4,861,000,000","6,758,000,000","5,945,000,000","5,916,000,000","5,795,000,000","8,321,000,000","7,162,000,000","8,044,000,000","4,995,000,000","4,428,000,000","7,495,000,000","3,949,000,000","5,054,000,000","4,811,441,320","3,883,234,950","4,031,543,860","3,256,498,160","3,970,295,600","2,262,496,600","4,094,059,190","2,940,310,800","3,200,793,520","2,948,144,640","3,344,454,360","6,746,900,930","2,816,979,320","2,283,975,400","2,948,015,930","2,045,365,540","3,888,496,240","2,425,841,390","2,043,826,020","410,908,680"
				CashFinancial,,,,,,,,,,,,"1,551,000,000","1,586,000,000","1,276,000,000","1,205,000,000","933,000,000","1,311,000,000","1,048,000,000","1,227,000,000","1,081,000,000","1,038,000,000",,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,,,,,,"4,394,000,000","4,330,000,000","4,519,000,000","7,116,000,000","6,229,000,000","6,733,000,000","3,947,000,000","3,201,000,000","6,414,000,000","2,911,000,000",,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"4,833,000,000","5,883,000,000","2,809,000,000","2,349,000,000","2,865,000,000","1,934,000,000","1,862,000,000","1,611,000,000","1,283,000,000","1,339,000,000","245,000,000","450,000,000","213,000,000","332,000,000","141,000,000","240,000,000","948,000,000","89,000,000","758,000,000","935,000,000","92,000,000","1,275,000,000","722,650,040",,"534,978,600","433,657,990","599,332,790","147,911,400","205,167,330","436,091,040","248,598,160","375,486,720","1,870,734,680","2,802,879,750","44,789,590","147,970,200","1,139,644,740","216,142,220","312,843,380","210,683,480","36,664,380",
		Receivables,"10,767,000,000","7,760,000,000","10,621,000,000","10,705,000,000","9,448,000,000","7,560,000,000","8,118,000,000","5,805,000,000","5,932,000,000","5,468,000,000","5,634,000,000","5,363,000,000","5,432,000,000","4,797,000,000","6,018,000,000","5,027,000,000","6,070,000,000","6,022,000,000","6,371,000,000","5,517,000,000","6,582,000,000","6,086,000,000","7,720,718,320","6,343,697,350","6,647,452,040","6,501,176,000","8,064,094,670","6,875,141,000","8,434,656,900","8,489,734,470","6,594,121,520","7,010,451,840","3,812,138,030","5,199,885,130","5,469,094,830","7,956,166,400","10,302,882,970","8,807,529,280","7,888,272,340","6,888,952,280","5,694,916,140","5,368,176,450"
			AccountsReceivable,"5,320,000,000","5,527,000,000","5,295,000,000","5,216,000,000","5,175,000,000","4,999,000,000","4,964,000,000","4,869,000,000","4,876,000,000","4,627,000,000","4,612,000,000","4,395,000,000","4,360,000,000","4,702,000,000","4,635,000,000","4,865,000,000","4,905,000,000","5,104,000,000","5,596,000,000","5,289,000,000","5,494,000,000","5,964,000,000","6,177,724,000","6,244,567,150","6,566,519,380","6,501,176,000","6,756,321,730","6,875,141,000","7,115,844,680","6,701,596,020","6,594,121,520","7,010,451,840","3,812,138,030","5,199,885,130","5,469,094,830","7,717,602,200","7,608,870,700","8,807,529,280",,,,
			LoansReceivable,"3,028,000,000","6,000,000","3,014,000,000","3,325,000,000","3,096,000,000","1,638,000,000","2,066,000,000",,,,,"43,000,000","38,000,000","50,000,000","81,000,000","79,000,000","1,165,000,000","861,000,000","775,000,000","141,000,000","1,088,000,000","122,000,000","63,213,920",,"80,932,660",,,,,,,,,,,,,,,,,
			TaxesReceivable,"1,210,000,000","1,097,000,000","1,146,000,000","1,035,000,000","1,177,000,000","923,000,000","1,088,000,000","936,000,000","1,056,000,000","841,000,000","1,022,000,000","925,000,000","1,034,000,000","45,000,000","1,302,000,000","83,000,000",,"57,000,000",,"87,000,000",,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,"1,209,000,000","1,130,000,000","1,166,000,000","1,129,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"1,209,000,000","1,130,000,000","1,166,000,000","1,129,000,000",,,,,,,,,,,,,,,,,,,"1,479,780,400","99,130,200",,,"1,307,772,940",,"1,318,812,220","1,788,138,450",,,,,,"238,564,200","2,694,012,270",,,,,
		Inventory,"906,000,000","951,000,000","965,000,000","866,000,000","827,000,000","772,000,000","819,000,000","779,000,000","763,000,000","706,000,000","709,000,000","662,000,000","637,000,000","574,000,000","586,000,000","575,000,000","631,000,000","641,000,000","708,000,000","562,000,000","632,000,000","812,000,000","978,379,080","837,523,100","1,069,957,200","803,781,760","844,066,660","759,904,600","853,597,410","604,580,760","578,341,120","492,723,840","515,325,470","481,486,940","695,668,100","848,563,800","901,375,820","1,219,127,300","987,871,210","621,118,750","420,361,380","374,545,080"
			RawMaterials,"270,000,000",,"242,000,000",,"198,000,000",,"205,000,000",,"185,000,000",,,,,,"71,000,000",,,,,,"75,000,000",,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"612,000,000",,"719,000,000",,"615,000,000",,"623,000,000",,"580,000,000",,,,,,"533,000,000",,,,,,"600,000,000",,,,,,,,,,,,,,,,,,,,,
			OtherInventories,"87,000,000",,"73,000,000",,"68,000,000",,"45,000,000",,"50,000,000",,,,,,"43,000,000",,,,,,"36,000,000",,,,,,,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,"-63,000,000",,"-69,000,000",,"-54,000,000",,"-54,000,000",,"-52,000,000",,,,,,"-61,000,000",,,,,,"-79,000,000",,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"730,000,000","777,000,000","571,000,000","698,000,000","594,000,000","786,000,000","540,000,000","735,000,000","495,000,000","657,000,000","392,000,000","875,000,000","377,000,000","578,000,000","388,000,000","561,000,000","368,000,000","556,000,000","323,000,000","510,000,000","428,000,000","837,000,000","582,573,740","831,804,050","674,210,210","721,778,290","579,632,850","737,209,200","571,597,870","901,915,560","3,830,034,560","3,518,753,280","3,463,558,860","3,541,623,250","4,393,191,700","5,668,164,600","6,664,786,300","4,795,588,960",,,,
		RestrictedCash,"0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,"124,000,000",,"124,000,000",,"142,000,000","43,000,000",,,,,,,,,"1,429,623,840","1,192,047,360","1,426,871,910","1,165,476,510","415,494,920","645,230,600","1,103,679,620","1,613,081,100",,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,"124,000,000",,"124,000,000",,"142,000,000","43,000,000",,,,,,,,,"1,429,623,840","1,192,047,360","1,426,871,910","1,165,476,510","415,494,920","645,230,600","1,103,679,620","1,613,081,100",,,,
		AssetsHeldForSaleCurrent,"0","0","0","0","0",,"0",,"5,788,000,000","5,932,000,000","5,725,000,000","0","637,000,000",,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,"12,000,000","18,000,000","139,000,000","156,000,000","34,000,000","26,000,000","57,000,000","267,000,000","387,000,000","113,000,000","48,000,000","92,000,000","101,000,000","15,000,000","3,000,000","16,000,000","66,000,000","10,000,000",,"105,000,000",,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"1,258,000,000","1,660,000,000","1,152,000,000","1,043,000,000","1,101,000,000","1,043,000,000","1,073,000,000","932,000,000","983,000,000","641,000,000","677,000,000","680,000,000","769,000,000","1,571,000,000","670,000,000","1,939,000,000","2,284,000,000","2,029,000,000","2,418,000,000","1,871,000,000","1,867,000,000","1,982,000,000","887,149,900","2,270,462,850","2,160,490,500","1,781,174,470","726,624,710","1,902,500,600","908,477,560","464,172,660","737,680","-819,840",,"-869,110",,,"1,123,910","1,064,740","3,810,810,300","3,356,028,830","2,338,846,380","2,885,451,660"
	TotalNonCurrentAssets,"81,316,000,000","80,933,000,000","74,701,000,000","73,702,000,000","74,035,000,000","74,862,000,000","75,844,000,000","73,845,000,000","71,330,000,000","68,746,000,000","68,216,000,000","71,482,000,000","71,751,000,000","72,423,000,000","73,853,000,000","75,461,000,000","77,548,000,000","76,370,000,000","79,146,000,000","75,611,000,000","78,352,000,000","77,377,000,000","79,818,349,100","84,913,277,150","86,224,147,050","87,250,214,540","88,386,811,570","91,217,508,200","94,199,666,700","81,768,721,860","80,371,711,360","85,514,231,040","85,225,621,990","86,141,837,650","92,664,896,860","101,833,695,600","104,518,010,450","111,246,164,680","51,806,023,880","40,593,340,130","35,674,441,740","33,273,603,090"
		NetPPE,"34,686,000,000","33,792,000,000","27,693,000,000","26,818,000,000","26,665,000,000","26,115,000,000","25,912,000,000","25,307,000,000","25,123,000,000","23,429,000,000","23,314,000,000","22,879,000,000","23,157,000,000","23,070,000,000","23,662,000,000","23,493,000,000","23,634,000,000","24,057,000,000","24,756,000,000","23,305,000,000","24,321,000,000","25,628,000,000","26,597,256,840","27,776,154,950","27,892,961,160","27,584,194,260","28,221,679,430","27,718,909,400","28,548,654,030","26,219,973,780","29,012,216,720","29,590,485,120","30,581,271,420","32,164,891,990","36,238,590,190","37,067,038,400","31,783,050,890","34,719,041,920","30,119,048,900","28,985,872,930","26,606,402,640","25,799,974,200"
			GrossPPE,"109,738,000,000","107,804,000,000","99,899,000,000","26,818,000,000","97,092,000,000","26,115,000,000","94,186,000,000","25,307,000,000","93,188,000,000","23,429,000,000","88,599,000,000","22,879,000,000","87,375,000,000","23,070,000,000","87,296,000,000",,"85,468,000,000",,"85,596,000,000",,"81,460,000,000",,"85,542,800,560","81,237,834,350","85,596,576,000","82,618,865,410","83,260,281,030","80,495,105,600","82,045,824,250","89,704,257,300","85,713,252,240","83,132,595,840","82,437,782,660","82,713,198,700","86,404,836,930","86,797,104,800","75,658,249,470","78,020,952,980","75,468,741,280","71,915,613,350","66,555,228,960","62,293,119,525"
				Properties,"13,254,000,000","12,708,000,000","7,841,000,000",,"7,777,000,000",,"7,770,000,000",,"7,703,000,000",,"7,479,000,000",,"7,409,000,000",,"7,443,000,000",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0","0","0","0","0","0",,,,
				LandAndImprovements,"6,071,000,000","12,708,000,000","7,841,000,000",,"7,777,000,000",,"7,770,000,000",,"7,703,000,000",,"7,479,000,000",,"7,409,000,000",,"7,443,000,000",,"7,270,000,000",,"7,085,000,000",,"6,851,000,000",,"6,827,821,700",,"6,433,460,600",,"5,893,312,820",,"6,246,205,380",,"11,240,030,160",,"10,817,864,720","10,783,916,880","11,529,031,060","11,978,540,000","11,517,829,680","13,550,945,980",,,,
				MachineryFurnitureEquipment,"4,049,000,000","3,909,000,000","3,943,000,000",,"3,949,000,000",,"4,007,000,000",,"4,017,000,000",,"4,122,000,000",,"4,081,000,000",,"4,110,000,000",,"78,198,000,000",,"76,753,000,000",,"73,714,000,000",,"77,398,979,980",,"78,170,661,510",,"75,362,878,160",,"73,716,706,100",,"71,782,903,120",,"69,005,971,180","68,951,710,960","71,064,878,840","70,264,706,400","64,140,419,790","64,470,007,000",,,,
				OtherProperties,"92,435,000,000","91,187,000,000","88,115,000,000","26,818,000,000","85,366,000,000","26,115,000,000","82,409,000,000","25,307,000,000","81,468,000,000","23,429,000,000","76,998,000,000","22,879,000,000","75,885,000,000","23,070,000,000","75,743,000,000",,,,"1,758,000,000",,"895,000,000",,"1,315,998,880",,"992,453,890",,"2,004,090,050",,"2,082,912,770",,"2,690,318,960",,"2,613,946,760","2,977,570,860","3,810,927,030","4,553,858,400",,,,,,
			AccumulatedDepreciation,"-75,052,000,000","-74,012,000,000","-72,206,000,000",,"-70,427,000,000",,"-68,274,000,000",,"-68,065,000,000",,"-65,285,000,000",,"-64,218,000,000",,"-63,634,000,000",,"-61,834,000,000",,"-60,840,000,000",,"-57,139,000,000",,"-58,945,543,720","-53,461,679,400","-57,703,614,840","-55,034,671,150","-55,038,601,600","-52,776,196,200","-53,497,170,220","-63,484,283,520","-56,701,035,520","-53,542,110,720","-51,856,511,240","-50,548,306,710","-50,166,246,740","-49,730,066,400","-43,875,198,580","-43,301,911,060","-45,349,692,380","-42,929,740,420","-39,948,826,320","-36,493,145,325"
		GoodwillAndOtherIntangibleAssets,"42,380,000,000","41,770,000,000","41,247,000,000","40,892,000,000","41,434,000,000","41,604,000,000","41,758,000,000","41,543,000,000","41,398,000,000","36,581,000,000","36,595,000,000","36,602,000,000","36,732,000,000","37,003,000,000","37,591,000,000","39,310,000,000","38,683,000,000","39,749,000,000","40,335,000,000","37,880,000,000","38,549,000,000","44,852,000,000","45,369,636,060","47,682,897,100","48,122,696,810","48,752,909,840","50,229,543,170","52,013,943,800","52,551,543,020","44,454,856,320","41,678,920,000","45,284,682,240","42,317,828,850","41,505,217,160","46,048,463,370","53,232,027,800","53,244,112,340","52,483,164,080","7,195,397,740","2,132,673,340","1,519,440,120","680,908,410"
			Goodwill,"27,644,000,000","27,252,000,000","27,174,000,000","26,850,000,000","27,095,000,000","27,123,000,000","27,156,000,000","26,995,000,000","27,071,000,000","24,745,000,000","24,784,000,000","24,768,000,000","24,988,000,000","25,439,000,000","25,773,000,000","27,282,000,000","27,340,000,000","28,751,000,000","29,033,000,000","27,960,000,000","28,173,000,000","30,069,000,000","30,884,309,960","31,659,389,900","31,438,223,190","31,119,947,480","31,516,873,240","33,446,758,800","33,700,633,650",,,,,,,,,,,,,
			OtherIntangibleAssets,"14,736,000,000","14,518,000,000","14,073,000,000","14,042,000,000","14,339,000,000","14,481,000,000","14,602,000,000","14,548,000,000","14,327,000,000","11,836,000,000","11,811,000,000","11,834,000,000","11,744,000,000","11,564,000,000","11,818,000,000","12,028,000,000","11,343,000,000","10,998,000,000","11,302,000,000","9,920,000,000","10,376,000,000","14,783,000,000","14,485,326,100","16,023,507,200","16,684,473,620","17,632,962,360","18,712,669,930","18,567,185,000","18,850,909,370","44,454,856,320","41,678,920,000","45,284,682,240","42,317,828,850","41,505,217,160","46,048,463,370","53,232,027,800","53,244,112,340","52,483,164,080","7,195,397,740","2,132,673,340","1,519,440,120","680,908,410"
		InvestmentsAndAdvances,"2,495,000,000","3,502,000,000","3,946,000,000","3,468,000,000","3,788,000,000","3,432,000,000","4,012,000,000","3,590,000,000","997,000,000","4,479,000,000","4,835,000,000","6,577,000,000","6,620,000,000","7,046,000,000","7,590,000,000","7,981,000,000","8,058,000,000","7,593,000,000","8,272,000,000","8,897,000,000","491,000,000","410,000,000",,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"103,000,000","96,000,000","104,000,000","81,000,000","77,000,000","133,000,000","130,000,000","176,000,000","162,000,000","570,000,000","603,000,000","6,481,000,000","6,525,000,000","6,880,000,000","7,431,000,000","7,775,000,000",,"7,587,000,000",,"8,822,000,000",,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinAssociatesatCost,"103,000,000","96,000,000","104,000,000","81,000,000","77,000,000","133,000,000","130,000,000","176,000,000","162,000,000","570,000,000","603,000,000","6,481,000,000","6,525,000,000","6,880,000,000","7,431,000,000","7,775,000,000",,"7,587,000,000",,"8,822,000,000",,,,,,,,,,,,,,,,,,,,,,
