name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,04/30/2002,04/30/2001,04/30/2000,04/30/1999,04/30/1998,04/30/1997
TotalAssets,"4,557,255,000","4,049,960,000","3,727,628,000","4,071,287,000","3,377,870,000","3,438,589,000","2,064,602,000","2,114,123,000","2,100,407,000","1,623,606,000","1,525,656,000","1,621,907,000","1,442,541,000","1,215,719,000","916,851,000","627,557,000","421,978,000","425,727,000","320,115,000","307,835,000","306,000,000","139,600,000","100,400,000","76,900,000"
	CurrentAssets,"683,927,000","709,045,000","652,412,000","634,062,000","818,406,000","635,946,000","472,319,000","442,938,000","438,813,000","310,815,000","281,566,000","330,567,000","309,968,000","295,304,000","271,086,000","227,407,000","116,768,000","115,724,000","89,309,000","77,647,000","81,400,000","36,000,000","30,900,000","24,900,000"
		CashCashEquivalentsAndShortTermInvestments,,,"0","3,654,000",,,,,,,,,,,"0","24,179,000",,,,"769,000",,,,
			CashAndCashEquivalents,,,"0","3,654,000",,,,,,,,,,,"0","24,179,000",,,,"769,000",,,,
		Receivables,"604,528,000","644,742,000","581,958,000","580,551,000","522,848,000","598,277,000","422,496,000","422,085,000","414,452,000","292,592,000","262,970,000","303,320,000","288,126,000","270,683,000","252,754,000","188,226,000","110,430,000","109,620,000","77,386,000","67,797,000","73,400,000","31,900,000","27,700,000","22,600,000"
			AccountsReceivable,"574,261,000","605,320,000","546,160,000","552,057,000","484,556,000","573,034,000","396,943,000","413,193,000","406,242,000","292,592,000","262,219,000","302,801,000","288,126,000","270,683,000","252,754,000","188,226,000","110,430,000","109,620,000","77,386,000","67,797,000","73,400,000","31,900,000","27,700,000","22,600,000"
			TaxesReceivable,"17,158,000","13,015,000","14,852,000","11,370,000","14,976,000","0","7,511,000",,"0","0","751,000","519,000",,,,,,,,,,,,
			OtherReceivables,"13,109,000","26,407,000","20,946,000","17,124,000","23,316,000","25,243,000","18,042,000","8,892,000","8,210,000",,,,,,,,,,,,,,,
		Inventory,"13,844,000","12,755,000","9,296,000","8,520,000","7,073,000","9,853,000","6,424,000","6,009,000","8,827,000","9,053,000","9,116,000","11,296,000","9,970,000","9,623,000","7,076,000","3,488,000","1,424,000","1,633,000","1,439,000","1,767,000","1,800,000","1,200,000","900,000","700,000"
		PrepaidAssets,"36,077,000","38,546,000","33,228,000","38,746,000","29,961,000","27,642,000","14,082,000","14,454,000","15,534,000","9,170,000","9,480,000","14,285,000","11,872,000","14,998,000","11,256,000","11,514,000","4,914,000","4,471,000","6,906,000",,,,,
		CurrentDeferredAssets,,,,,,,,,,,"0","1,666,000",,,,,,,"3,578,000",,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,"0","1,666,000",,,,,,,"3,578,000",,,,,
