name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,09/30/1995
TotalRevenue,"6,715,123,000","1,610,708,000","1,664,109,000","1,698,654,000","1,741,652,000","1,679,504,000","1,383,481,000","1,398,640,000","1,456,043,000","1,236,165,000","1,361,899,000","1,420,436,000","1,335,288,000","1,251,684,000","1,009,982,000","1,178,218,000","1,207,077,000","1,056,455,000","901,007,000","949,388,000","983,902,000","1,142,956,000","1,048,597,000","1,043,596,000","1,024,126,000","936,415,000","907,958,000","814,921,000","854,660,000","900,582,000","818,023,000","904,799,000","842,468,000","815,008,000","747,674,000","764,993,000","775,568,000","775,072,000","825,513,000","797,352,000","776,315,000","844,887,000","926,210,000","976,225,000","848,744,000","750,443,000","534,906,000","746,799,000","835,915,000","849,193,000","858,198,000","867,163,000","867,310,000","859,774,000","902,761,000","850,349,000","859,219,000","840,349,000","818,297,000","798,993,000","796,682,000","753,557,000","808,295,000","795,611,000","753,808,000","746,336,000","722,898,000","646,899,000","538,038,000","435,903,000","305,661,000","200,808,000","135,807,000","79,601,000","18,110,000","18,608,000","23,191,000","17,030,000","-9,772,000","4,087,000","35,449,000","92,752,000","75,268,000","92,100,000","115,400,000","66,100,000","89,633,000","55,200,000","55,900,000","46,400,000","41,472,000","32,300,000","22,800,000","24,500,000","21,971,000","15,800,000","7,400,000","5,000,000","500,000"
InterestExpense,"124,362,000","32,555,000","31,199,000","31,328,000","29,280,000","29,065,000","29,774,000","29,730,000","30,344,000","30,636,000","30,496,000","29,510,000","28,749,000","28,676,000","18,539,000","15,943,000","15,663,000","16,107,000","15,827,000","13,300,000","4,011,000","12,736,000","12,744,000","4,152,000","14,334,000","14,404,000","9,373,000","5,937,000","5,852,000","5,898,000","6,187,000","7,378,000","7,439,000","7,521,000","8,087,000","8,125,000","7,758,000","7,721,000","7,460,000","7,371,000","7,916,000","7,260,000","7,015,000","6,001,000","5,712,000","5,712,000","6,285,000","6,241,000","5,788,000","5,524,000","5,523,000","5,524,000","5,523,000","5,523,000","5,523,000","5,361,000","5,651,000","5,555,000","5,607,000","5,632,000","5,629,000","5,636,000","5,620,000","6,334,000","4,642,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"32,586,000","15,400,000","5,440,000","4,664,000","7,082,000","9,908,000","-15,000","5,097,000","6,987,000","5,423,000","15,281,000","5,722,000","2,828,000","3,851,000","18,554,000","7,580,000","25,217,000","5,022,000","8,170,000","7,358,000","9,922,000","9,648,000","-358,000","-6,113,000","6,883,000","-522,000","4,351,000","624,000","834,000","1,244,000","-4,189,000","-532,000","695,000","-8,068,000","-4,848,000","2,432,000","-4,265,000","4,567,000","-172,559,000","70,668,000","4,528,000","5,978,000","67,068,000","1,044,000","-15,913,000","-32,183,000","211,000","3,067,000","4,968,000","-17,209,000","7,349,000","4,306,000","2,356,000","2,573,000","2,703,000","2,269,000","3,468,000","1,805,000","991,000","2,239,000","1,025,000","6,112,000","3,323,000","5,948,000","-81,000","5,036,000","6,459,000","6,035,000","5,521,000","6,815,000","1,062,000","2,796,000","8,261,000","4,372,000","2,853,000","4,490,000","4,943,000","3,233,000","0",,"2,191,000",,,"11,600,000","28,400,000","3,200,000",,"2,500,000","7,400,000","4,900,000",,"7,600,000","2,900,000","3,400,000",,"3,200,000","3,600,000","3,200,000",
PretaxIncome,"1,246,997,000","-60,729,000","340,104,000","437,305,000","530,317,000","541,384,000","91,336,000","282,122,000","280,015,000","188,299,000","258,605,000","-37,028,000","233,268,000","302,432,000","83,276,000","316,851,000","263,488,000","191,937,000","39,456,000","73,704,000","132,599,000","321,435,000","212,648,000","229,710,000","219,006,000","182,883,000","176,944,000","122,221,000","182,011,000","261,329,000","7,097,000","195,097,000","221,035,000","166,158,000","138,295,000","166,721,000","96,611,000","25,385,000","230,607,000","151,231,000","244,871,000","223,747,000","291,352,000","283,073,000","167,408,000","155,820,000","-134,332,000","31,002,000","203,996,000","203,839,000","239,826,000","208,319,000","211,892,000","213,507,000","244,291,000","194,669,000","157,219,000","143,714,000","113,244,000","-86,933,000","133,810,000","125,314,000","119,964,000","15,747,000","108,974,000","98,442,000","86,137,000","91,681,000","68,353,000","60,329,000","43,420,000","-7,329,000","14,258,000","4,191,000","-1,185,000","1,401,000","12,629,000","11,447,000","-26,977,000","2,585,000","1,380,000","18,397,000","-52,231,000","0","0","0","4,462,000","0","0",,"1,893,000","0","0","0",,,"0","0","0"
TaxProvision,"137,869,000","27,945,000","27,336,000","38,116,000","44,472,000","45,886,000","35,012,000","33,356,000","23,668,000","21,915,000","56,813,000","8,189,000","34,169,000","28,397,000","-12,298,000","13,231,000","14,131,000","16,310,000","11,450,000","9,704,000","6,780,000","12,678,000","5,514,000","6,446,000","7,289,000","3,738,000","15,454,000","7,396,000","5,071,000","4,853,000","-12,120,000","5,441,000","767,000","1,902,000","-4,977,000","-2,267,000","-1,731,000","-371,000","-3,505,000","3,200,000","1,420,000","6,753,000","195,000","2,205,000","8,818,000","9,490,000","2,179,000","-1,849,000","5,253,000","7,956,000","-1,044,000","2,113,000","6,037,000","8,495,000","-1,448,000","2,371,000","14,332,000","11,424,000","12,351,000","-642,000","7,818,000","9,422,000","12,831,000","-2,282,000","4,692,000","10,987,000","2,403,000","9,910,000","6,569,000","7,843,000","4,907,000","392,000","-4,968,000","225,000","-5,916,000","509,000","4,229,000","3,306,000","-12,605,000","870,000","4,541,000","12,619,000","-11,057,000","-2,800,000","7,900,000","-13,600,000","2,735,000","-3,500,000","1,000,000",,"-1,538,000","1,400,000","-100,000","-200,000",,,"100,000","-100,000","-100,000"
NetIncomeContinuousOperations,"1,109,128,000","-88,674,000","312,768,000","399,189,000","485,845,000","495,498,000","56,324,000","248,766,000","256,347,000","166,384,000","201,792,000","-45,217,000","199,099,000","274,035,000","95,574,000","303,620,000","249,357,000","175,627,000","28,006,000","64,000,000","125,819,000","308,757,000","207,134,000","223,264,000","211,717,000","179,145,000","161,490,000","114,825,000","176,940,000","256,476,000","19,217,000","189,656,000","220,268,000","164,256,000","143,272,000","168,988,000","98,342,000","25,756,000","234,112,000","148,031,000","243,451,000","216,994,000","291,157,000","280,868,000","158,590,000","146,330,000","-136,511,000","32,851,000","198,743,000","189,422,000","234,409,000","199,745,000","199,394,000","198,551,000","239,278,000","185,810,000","137,848,000","129,623,000","100,893,000","-86,291,000","125,992,000","115,892,000","107,133,000","18,029,000","104,282,000","87,455,000","83,734,000","81,771,000","61,784,000","52,486,000","39,625,000","-7,721,000","19,226,000","3,966,000","4,731,000","892,000","8,400,000","8,141,000","-14,256,000","2,259,000","-2,552,000","5,808,000","-19,653,000","-3,700,000","15,900,000","-24,600,000","4,991,000","-6,600,000","3,200,000","1,600,000","-1,761,000","3,300,000","300,000","200,000","1,412,000","900,000","1,000,000","800,000","-100,000"
NetIncome,"1,331,908,000","144,117,000","326,384,000","392,453,000","468,954,000","448,528,000","136,494,000","227,408,000","243,646,000","150,423,000","214,640,000","-33,656,000","185,167,000","253,127,000","74,013,000","252,872,000","211,055,000","154,798,000","58,579,000","80,033,000","115,790,000","283,336,000","215,164,000","228,675,000","208,016,000","182,500,000","161,490,000","114,825,000","176,940,000","256,476,000","19,217,000","189,656,000","220,268,000","164,256,000","143,272,000","168,988,000","98,342,000","25,756,000","234,112,000","148,031,000","243,451,000","216,994,000","291,157,000","280,868,000","158,590,000","146,330,000","-136,511,000","32,851,000","198,743,000","195,883,000","240,870,000","206,206,000","205,855,000","205,012,000","245,739,000","192,298,000","142,887,000","132,290,000","100,893,000","-86,291,000","125,992,000","115,892,000","107,133,000","18,029,000","104,282,000","87,455,000","83,734,000","82,587,000","61,784,000","52,486,000","43,511,000","-7,721,000","19,226,000","3,966,000","4,731,000","892,000","8,400,000","8,141,000","-14,256,000","2,259,000","-2,552,000","5,808,000","-19,636,000","-3,700,000","15,900,000","-25,000,000","4,991,000","-6,600,000","3,200,000","1,600,000","-1,761,000","3,300,000","300,000","200,000","1,412,000","900,000","1,000,000","800,000","-100,000"
NetIncomeCommonStockholders,"1,290,296,000","133,714,000","315,981,000","382,050,000","458,551,000","438,125,000","126,091,000","217,006,000","233,243,000","137,276,000","203,535,000","-52,760,000","173,818,000","241,909,000","62,396,000","247,388,000","205,570,000","149,314,000","53,094,000","74,549,000","110,305,000","277,852,000","209,679,000","223,191,000","202,531,000","177,016,000","156,005,000","109,341,000","171,455,000","250,992,000","3,120,000","184,172,000","212,619,000","157,795,000","136,811,000","162,527,000","91,881,000","19,295,000","227,651,000","141,570,000","236,990,000","210,533,000","284,696,000","274,407,000","152,129,000","139,869,000","-142,972,000","26,390,000","192,282,000","189,422,000","234,409,000","199,745,000","199,394,000","198,551,000","239,278,000","185,810,000","137,848,000","129,623,000","100,893,000","-86,291,000","125,992,000","115,892,000","107,133,000","18,029,000","104,282,000","87,455,000","83,734,000","82,587,000","61,784,000","52,486,000","43,511,000","-7,721,000","19,226,000","3,966,000","4,731,000","892,000","8,400,000","8,141,000","-14,256,000","2,259,000","-2,552,000","5,808,000","-19,636,000","-3,700,000","15,900,000","-25,000,000","4,991,000","-6,600,000","3,200,000","1,600,000","-1,761,000","3,300,000","300,000","200,000","1,412,000","900,000","1,000,000","800,000","-100,000"
BasicEPS,,"0.33","0.78","0.95","1.14","1.09","0.31","0.54","0.58","0.337","0.5","-0.13","0.43","0.6","0.17","0.683","0.567","0.413","0.147","0.207","0.303","0.747","0.55","0.563","0.51","0.447","0.397","0.277","0.437","0.64","0.033","0.453","0.527","0.393",,"0.413","0.233","0.048",,"0.321","0.517","0.441",,"0.507","0.28","0.258",,"0.049","0.339","0.322",,"0.319","0.306","0.299",,"0.282","0.209","0.198",,"-0.276","0.406","0.374",,"0.061","0.362","0.357",,"0.35","0.262","0.224",,"-0.04","0.106","0.033",,"0.008","0.072","0.071",,"0.02","-0.023","0.041",,"-0.024","0.103","-0.162",,"-0.043","0.021","0.01",,"0.021","0.002","0.001",,"0.006","0.007","0.006","-0.001"
DilutedEPS,,"0.32","0.76","0.92","1.12","1.07","0.31","0.53","0.56","0.33","0.487","-0.13","0.417","0.58","0.167","0.66","0.55","0.4","0.14","0.2","0.293","0.72","0.533","0.547","0.493","0.433","0.38","0.267","0.42","0.617","0.033","0.443","0.513","0.38",,"0.397","0.223","0.046",,"0.308","0.494","0.421",,"0.488","0.27","0.249",,"0.047","0.324","0.309",,"0.307","0.294","0.288",,"0.271","0.201","0.19",,"-0.276","0.188","0.174",,"0.028","0.158","0.14",,"0.136","0.101","0.087",,"-0.04","0.037","0.009",,"0.008","0.072","0.071",,"0.02","-0.023","0.041",,"-0.024","0.103","-0.162",,"-0.043","0.02","0.01",,"0.021","0.002","0.001",,"0.006","0.007","0.006","-0.001"
BasicAverageShares,,"403,892,161","402,941,290","402,564,121","401,482,784","400,184,404","402,185,557","402,939,092","404,800,421","407,539,728","406,280,748","404,656,353","403,459,992","402,104,781","363,588,744","362,816,748","361,797,180","361,284,537","362,101,572","361,702,230","365,157,642","372,627,828","380,571,123","395,837,886","397,951,902","395,573,730","394,894,818","394,485,888","394,131,822","392,723,706","402,687,234","405,202,080","403,587,387","401,863,869",,"394,682,553","393,696,807","400,497,723",,"440,980,119","458,887,860","477,351,234",,"541,405,971","543,756,519","542,821,950",,"540,989,388","566,959,950","587,659,644",,"626,056,101","652,453,407","665,387,964",,"659,197,242","658,692,909","656,093,241",,"312,756,930","311,072,085","309,283,362",,"296,865,765","288,214,785","245,501,982",,"236,301,975","235,669,005","234,155,817",,"193,475,016","182,908,026","117,167,679",,"115,783,110","115,490,349","115,079,679",,"111,624,237","111,414,339","139,654,467",,"153,792,000","153,774,000","153,783,000",,"153,594,000","153,558,000","153,522,000",,"153,315,000","153,207,000","153,225,000",,"162,000,000","150,000,000","144,000,000","142,605,000"
DilutedAverageShares,,"414,033,570","414,124,920","413,180,201","410,899,483","408,971,029","410,112,097","411,721,214","413,111,205","417,893,802","418,735,890","404,656,353","417,733,938","417,143,016","376,281,777","374,794,959","373,096,788","373,489,488","375,935,826","375,035,319","377,656,260","385,353,162","392,565,654","407,629,815","410,669,832","409,688,151","409,403,994","408,103,239","407,547,150","406,227,864","414,812,559","416,090,802","414,635,208","413,444,718",,"411,422,787","413,926,797","421,381,548",,"460,638,081","479,387,727","499,624,443",,"562,804,344","563,636,853","563,039,721",,"565,478,190","591,733,071","612,174,717",,"651,410,460","677,293,614","689,766,174",,"686,555,190","685,398,942","682,697,781",,"312,756,930","669,712,977","666,121,914",,"661,927,050","661,500,369","622,305,540",,"609,972,498","609,559,182","602,456,058",,"193,475,016","529,897,635","467,972,541",,"116,080,614","115,596,000","115,132,032",,"111,645,909","111,434,184","139,665,069",,"153,792,000","153,774,000","153,918,000",,"160,605,000","161,487,000","159,147,000",,"153,315,000","153,207,000","153,225,000",,"162,000,000","150,000,000","144,000,000","142,605,000"
