name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,07/31/2005,07/31/2004,07/31/2003,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996
TotalAssets,"17,544,600,000","13,931,900,000","13,583,300,000","13,253,000,000","13,133,230,000","4,201,962,000","3,317,696,000","2,613,560,000","1,394,751,000","1,012,037,000","786,401,000","477,551,000","334,357,000","333,537,000","262,711,000","248,122,000","319,575,000","266,077,000","354,069,000","400,259,000","192,702,000","44,400,000","42,100,000","24,300,000","20,500,000"
	CurrentAssets,"5,076,400,000","3,385,000,000","2,953,900,000","2,578,000,000","2,425,349,000","2,796,029,000","2,186,857,000","1,495,600,000","941,270,000","646,556,000","373,456,000","277,101,000","205,354,000","222,841,000","217,551,000","201,162,000","276,333,000","219,760,000","310,784,000","362,747,000","180,080,000","35,700,000","37,800,000","23,000,000","19,100,000"
		CashCashEquivalentsAndShortTermInvestments,"2,749,500,000","1,563,800,000","1,474,100,000","1,293,000,000","1,385,015,000","1,961,566,000","1,514,851,000","989,501,000","540,865,000","361,605,000","176,220,000","138,012,000","105,754,000","216,554,000","212,456,000","195,404,000","266,501,000","215,410,000","308,584,000","355,274,000","174,529,000","28,300,000","37,500,000","22,700,000","9,500,000"
			CashAndCashEquivalents,"2,685,500,000","1,365,500,000","584,400,000","966,000,000","1,010,111,000","943,999,000","529,857,000","989,501,000","540,865,000","267,145,000","157,172,000","138,012,000","95,321,000","166,826,000","43,629,000","46,951,000","113,224,000","24,844,000","47,574,000","135,188,000","91,858,000","24,200,000","31,500,000","16,700,000","9,500,000"
			OtherShortTermInvestments,"64,000,000","198,300,000","889,700,000","327,000,000","374,904,000","1,017,567,000","984,994,000",,"0","94,460,000","19,048,000","0","10,433,000","49,728,000","168,827,000","148,453,000","153,277,000","190,566,000","261,010,000","220,086,000","82,671,000","4,100,000","6,000,000","6,000,000",
		Receivables,"1,243,200,000","922,300,000","726,500,000","650,000,000","532,832,000","432,888,000","421,752,000","295,598,000","244,288,000","168,732,000","113,731,000","74,476,000","49,647,000","1,642,000",,"1,316,000","5,493,000","1,012,000",,,,"6,900,000",,,
			AccountsReceivable,"1,243,200,000","922,300,000","726,500,000","650,000,000","532,832,000","432,888,000","421,752,000","295,598,000","244,288,000","168,732,000","113,731,000","74,476,000","46,278,000",,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,"3,369,000",,,,,,,,,,,,
		Inventory,"627,600,000","472,500,000","460,400,000","375,000,000","289,874,000","176,441,000","102,602,000","94,521,000","81,386,000","62,165,000","40,885,000","49,821,000","32,907,000","2,314,000",,,,,,,,,,,
			RawMaterials,"41,200,000","31,400,000","4,700,000","17,000,000","17,924,000","14,570,000","12,170,000","6,485,000","9,677,000","4,835,000","2,678,000","3,805,000","4,985,000",,,,,,,,,,,,
