name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
MarketCap,"5,302,316,373","6,734,696,000","6,315,959,205","6,844,139,878","6,584,692,905","6,468,392,000","8,510,173,008","7,220,860,315","7,820,494,072","7,360,798,222","6,434,428,198","5,928,900,129","5,077,166,863","9,617,736,559"
EnterpriseValue,"2,529,316,373","3,890,696,000","2,458,959,205","4,812,139,878","4,662,692,905","3,734,392,000","6,074,173,008","5,474,860,315","2,928,494,072","3,752,798,222","2,954,428,198","3,469,900,129","2,618,166,863","7,057,736,559"
PeRatio,"2.393","5.586","4.193","5.696","7.669","4.805","8.009","6.476","6.487","7.466","8.708","9.114","11.874","11.95"
ForwardPeRatio,"5.531","6.333","5.115","5.804","5.489","5.214","7.496","8.091","8.937","9.579","10.788","11.455","11.765",
PsRatio,"0.315","0.647","0.682","0.81","1.237","0.856","1.267","1.083","1.102","1.746","1.883","1.987","2.342","2.35"
PbRatio,"0.396","0.617","0.628","0.798","0.967","0.866","1.213","1.007","1.038","1.192","1.3","1.306","1.451","1.36"
EnterprisesValueRevenueRatio,"0.156","1.135","0.546","1.428","0.94","3.256","2.347","3.047","2.897","0.969","2.006","1.968","1.617","6.646"
