name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
MarketCap,"99,187,275,121","124,462,630,292","77,531,404,371","120,426,618,234","91,606,785,610","114,852,682,338","143,849,145,227","75,255,079,553","95,679,106,201","76,417,972,821","97,229,407,896","133,443,461,967","87,432,154,133","144,149,995,500","95,176,683,303","23,606,469,806","17,691,470,002","22,060,808,093"
EnterpriseValue,"115,955,307,965","136,993,930,314","85,385,019,098","136,594,942,572","87,416,901,804","120,359,612,597","159,154,100,548","86,506,616,002","106,410,131,570","73,032,348,862","104,071,652,264","142,916,529,366","84,106,383,345","140,006,304,848","95,176,683,303","20,200,760,189","14,369,953,325","16,000,272,317"
PeRatio,"7.031","16.976","11.364","27.94","38.037","12.976","25.291","30.79","53.018","17.332","22.729","28.784","28.145","26.997","51.301","21.835","20.266",
ForwardPeRatio,"9.775","13.405",,"18.051","14.306","15.504","303.03","49.02","40.161","12.658","18.904","26.738","19.841",,,,,
PegRatio,"3.621","0.418",,"1.92",,,"9.987","1.637","1.343","1.104","0.936","1.163","0.916",,,,,
PsRatio,"0.559","0.812","0.629","0.962","0.983","1.105","1.668","1.315","1.573","1.116","1.981","2.781","3.388","5.485","9.853","2.065","1.892","1.772"
PbRatio,"1.009","1.485","1.263","1.868","1.668","1.887","2.852","2.339","2.739","2.504","3.663","4.471","3.303","5.124","8.119","2.865","2.201","2.925"
EnterprisesValueRevenueRatio,"0.159","0.188","0.136","0.212","0.162","0.237","0.361","0.207","0.286","0.197","0.27","0.421","0.504","0.732","0.646","0.206","0.187","0.203"
