name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
TotalRevenue,"64,785,709,000,000","16,461,910,000,000","15,988,226,000,000","16,321,335,000,000","16,014,238,000,000","16,798,330,000,000","16,410,726,000,000","16,083,296,000,000","15,862,284,000,000","15,129,162,000,000","15,036,118,000,000","14,944,404,000,000","15,077,184,000,000","14,873,629,000,000","12,747,560,000,000","12,857,384,000,000","12,461,199,000,000","14,235,873,000,000","13,995,992,000,000","15,189,492,000,000","15,100,912,000,000","16,345,080,000,000","16,269,845,000,000","16,703,572,000,000","15,440,128,000,000","16,529,436,000,000","15,150,222,000,000","15,603,109,000,000","14,581,883,000,000","15,068,207,000,000","15,739,060,000,000","16,488,239,000,000","16,308,644,000,000","18,687,966,000,000","16,953,442,000,000","17,046,753,000,000","16,250,564,000,000","37,231,599,000,000","8,524,040,000,000","7,932,695,000,000","6,949,526,000,000","17,189,188,000,000","6,850,514,000,000","6,343,996,000,000","6,471,303,000,000","19,405,518,000,000","8,812,977,000,000","7,457,958,000,000","6,066,183,000,000","8,548,168,183,041.6","7,692,487,032,495.96","7,625,106,524,771.01","7,569,059,696,001.09","6,058,508,944,593.57","6,930,767,066,640","5,925,925,948,800","5,926,070,063,800","6,220,443,737,333.26","6,581,419,648,700","6,432,000,000,000","6,438,000,000,000","5,798,000,017,360","5,786,666,660,880","5,779,999,994,220","5,819,999,994,180","5,772,916,679,550","4,294,444,440,150","4,658,750,000,000","3,248,750,000,000","3,434,879,920,979.6","4,206,416,250,000","4,206,416,250,000","2,659,389,926,541","3,324,366,662,767.67","3,272,821,980,626.72","3,235,112,837,425.92","3,312,446,219,280","4,654,796,495,324.1","3,030,405,792,252.8","3,030,405,792,252.8","3,006,940,264,765.06","2,736,670,536,219.22","3,564,642,329,421.36","3,025,718,756,777.61","2,947,261,566,534.12","3,496,239,713,189","3,496,357,222,002","3,135,840,183,718","3,135,840,183,718"
	OperatingRevenue,"64,348,898,000,000","16,342,096,000,000","15,880,929,000,000","16,228,945,000,000","15,896,928,000,000","16,657,312,000,000","16,280,175,000,000","15,954,920,000,000","15,749,571,000,000","14,664,070,000,000","15,036,118,000,000","14,944,404,000,000","15,077,184,000,000","14,391,284,000,000","12,747,560,000,000","12,857,384,000,000","12,461,199,000,000","13,767,972,000,000","13,995,992,000,000","15,189,492,000,000","15,100,912,000,000","15,983,769,000,000","16,269,845,000,000","16,703,572,000,000","15,440,128,000,000","16,086,110,000,000","15,150,222,000,000","15,603,109,000,000","14,581,883,000,000","14,737,203,000,000","15,739,060,000,000","16,488,239,000,000","16,308,644,000,000","18,687,966,000,000","16,953,442,000,000","17,046,753,000,000","16,250,564,000,000","37,231,599,000,000","8,524,040,000,000","7,932,695,000,000","6,949,526,000,000","17,189,188,000,000","6,850,514,000,000","6,343,996,000,000","6,471,303,000,000","19,405,518,000,000","8,812,977,000,000","7,457,958,000,000","6,066,183,000,000","8,548,168,183,041.6","7,692,487,032,495.96","7,625,106,524,771.01","7,569,059,696,001.09","6,058,508,944,593.57","6,930,767,066,640","5,925,925,948,800","5,926,070,063,800","6,220,443,737,333.26","6,581,419,648,700","6,432,000,000,000","6,438,000,000,000","5,798,000,017,360","5,786,666,660,880","5,779,999,994,220","5,819,999,994,180","5,772,916,679,550","4,294,444,440,150","4,658,750,000,000","3,248,750,000,000","3,434,879,920,979.6","4,206,416,250,000","4,206,416,250,000","2,659,389,926,541","3,324,366,662,767.67","3,272,821,980,626.72","3,235,112,837,425.92","3,312,446,219,280","4,654,796,495,324.1","3,030,405,792,252.8","3,030,405,792,252.8","3,006,940,264,765.06","2,736,670,536,219.22","3,564,642,329,421.36","3,025,718,756,777.61","2,947,261,566,534.12","3,496,239,713,189","3,496,357,222,002","3,135,840,183,718","3,135,840,183,718"
CostOfRevenue,"58,462,100,000,000","15,178,471,000,000","14,375,600,000,000","14,707,162,000,000","14,200,867,000,000","15,713,782,000,000","14,020,283,000,000","13,918,868,000,000","13,476,127,000,000","12,983,550,000,000","13,037,442,000,000","13,075,482,000,000","12,819,122,000,000","13,277,783,000,000","10,785,558,000,000","11,288,360,000,000","10,919,765,000,000","12,820,656,000,000","12,397,755,000,000","13,468,091,000,000","13,303,312,000,000","14,411,497,000,000","14,410,837,000,000","14,890,994,000,000","13,752,157,000,000","14,748,103,000,000","13,602,798,000,000","13,745,519,000,000","12,908,171,000,000","13,415,309,000,000","13,815,274,000,000","14,281,827,000,000","14,630,482,000,000","16,694,762,000,000","14,674,749,000,000","14,375,839,000,000","14,078,500,000,000","33,643,021,000,000","7,028,469,000,000","5,733,870,000,000","5,155,315,000,000","13,828,821,000,000","5,499,854,000,000","5,893,168,000,000","5,815,583,000,000","16,396,516,000,000","6,453,260,000,000","5,204,448,000,000","4,503,295,000,000",,,,,,,"4,588,793,939,840",,,,"4,357,000,000,000",,,,,,,,,"2,288,750,000,000",,,,"2,199,116,715,933.3",,,"2,620,105,055,902.86",,,,,,,,"2,052,962,967,561.6",,,,"2,219,388,951,131",
GrossProfit,"6,323,609,000,000","1,283,439,000,000","1,612,627,000,000","1,614,173,000,000","1,813,371,000,000","1,084,548,000,000","2,390,443,000,000","2,164,428,000,000","2,386,157,000,000","2,145,612,000,000","1,998,676,000,000","1,868,922,000,000","2,258,062,000,000","1,595,846,000,000","1,962,002,000,000","1,569,024,000,000","1,541,434,000,000","1,415,217,000,000","1,598,237,000,000","1,721,401,000,000","1,797,600,000,000","1,933,583,000,000","1,859,008,000,000","1,812,578,000,000","1,687,971,000,000","1,781,333,000,000","1,547,424,000,000","1,857,590,000,000","1,673,712,000,000","1,652,898,000,000","1,923,786,000,000","2,206,412,000,000","1,678,162,000,000","1,993,204,000,000","2,278,693,000,000","2,670,914,000,000","2,172,064,000,000","3,588,578,000,000","1,495,571,000,000","2,198,825,000,000","1,794,211,000,000","3,360,367,000,000","1,350,660,000,000","450,828,000,000","655,720,000,000","3,009,002,000,000","2,359,717,000,000","2,253,510,000,000","1,562,888,000,000",,,,,,,"1,337,132,008,960",,,,"2,075,000,000,000",,,,,,,,,"960,000,000,000",,,,"460,273,210,607.7",,,"615,007,781,523.06",,,,,,,,"972,755,789,216.01",,,,"916,451,232,587",
OperatingExpense,"2,396,156,000,000","675,399,000,000","555,475,000,000","568,838,000,000","602,616,000,000","-223,671,000,000","865,043,000,000","963,079,000,000","885,182,000,000","997,360,000,000","867,775,000,000","856,431,000,000","870,039,000,000","1,057,292,000,000","897,084,000,000","857,016,000,000","909,083,000,000","919,767,000,000","943,371,000,000","1,033,325,000,000","1,074,405,000,000","1,182,369,000,000","971,626,000,000","1,084,469,000,000","956,310,000,000","1,103,107,000,000","913,128,000,000","954,829,000,000","956,471,000,000","2,415,678,000,000","427,667,000,000","1,141,546,000,000","876,511,000,000","933,049,000,000","990,972,000,000","924,463,000,000","816,193,000,000","2,243,985,000,000","387,810,000,000","362,883,000,000","347,095,000,000","1,053,424,000,000","332,907,000,000","284,073,000,000","282,697,000,000","977,527,000,000","376,388,000,000","368,689,000,000","289,237,000,000",,,,,,,"358,974,360,360",,,,"322,000,000,000",,,,,,,,,"188,750,000,000",,,,"183,202,918,193.25",,,"197,535,667,778",,,,,,,,"530,909,723,411.46",,,,"390,246,767,973",
	SellingGeneralAndAdministration,"1,744,178,000,000","461,822,000,000","430,175,000,000","418,558,000,000","433,624,000,000","-437,631,000,000","731,451,000,000","726,972,000,000","735,587,000,000","783,704,000,000","711,090,000,000","698,352,000,000","702,595,000,000","842,277,000,000","729,882,000,000","698,739,000,000","737,596,000,000","781,560,000,000","756,270,000,000","818,129,000,000","845,156,000,000","868,757,000,000","791,040,000,000","770,583,000,000","777,026,000,000","813,524,000,000","732,868,000,000","741,118,000,000","751,968,000,000","1,960,142,000,000","286,719,000,000","928,031,000,000","824,282,000,000","908,705,000,000","1,051,579,000,000","962,443,000,000","758,412,000,000","1,990,594,000,000","345,956,000,000","328,977,000,000","293,218,000,000","824,940,000,000","265,370,000,000","268,457,000,000","259,107,000,000","1,062,185,000,000","348,875,000,000","333,964,000,000","309,547,000,000",,,,,,,"358,974,360,360",,,,"322,000,000,000",,,,,,,,,"188,750,000,000",,,,"183,202,918,193.25",,,"197,415,045,210.02",,,,,,,,"160,614,583,693.11",,,,"163,219,741,257",
		GeneralAndAdministrativeExpense,"1,293,286,000,000","343,658,000,000","320,875,000,000","304,296,000,000","324,458,000,000","336,595,000,000","299,182,000,000","306,065,000,000","338,418,000,000","317,624,000,000","303,303,000,000","279,980,000,000","317,833,000,000","382,767,000,000","336,061,000,000","314,523,000,000","335,317,000,000","323,747,000,000","330,824,000,000","342,290,000,000","384,599,000,000","348,546,000,000","340,512,000,000","311,527,000,000","342,218,000,000","340,321,000,000","319,576,000,000","313,158,000,000","328,639,000,000","928,037,000,000","130,039,000,000","496,722,000,000","389,851,000,000","469,179,000,000","635,616,000,000","578,181,000,000","712,590,000,000","2,501,209,000,000","127,487,000,000","121,252,000,000","100,266,000,000","1,158,255,000,000","87,787,000,000","96,677,000,000","90,036,000,000",,"130,465,000,000","117,729,000,000","115,792,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"1,107,387,000,000","294,268,000,000","278,065,000,000","258,787,000,000","276,267,000,000","273,958,000,000","248,255,000,000","255,233,000,000","285,551,000,000","254,715,000,000","255,230,000,000","231,237,000,000","272,292,000,000","327,036,000,000","291,320,000,000","252,820,000,000","276,163,000,000","254,989,000,000","273,847,000,000","258,496,000,000","304,779,000,000","270,542,000,000","259,674,000,000","235,826,000,000","256,266,000,000","253,083,000,000","241,949,000,000","240,698,000,000","252,322,000,000","274,676,000,000","221,328,000,000",,"245,073,000,000",,,,"153,699,000,000","380,833,000,000","49,445,000,000","59,744,000,000","46,382,000,000","347,705,000,000","23,885,000,000","40,762,000,000","42,961,000,000",,"65,222,000,000","46,352,000,000","48,712,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,"39,886,000,000","9,789,000,000","9,420,000,000","9,219,000,000","11,458,000,000","16,609,000,000","18,527,000,000","15,935,000,000","18,445,000,000","22,514,000,000","13,752,000,000","17,374,000,000","16,336,000,000","19,423,000,000","11,748,000,000","28,683,000,000","22,151,000,000","25,961,000,000","24,794,000,000","35,620,000,000","33,461,000,000","32,126,000,000","35,237,000,000","34,656,000,000","35,347,000,000","31,704,000,000","27,811,000,000","24,216,000,000","26,460,000,000","25,194,000,000","25,656,000,000",,"17,493,000,000",,,,,"43,778,000,000","6,635,000,000","6,358,000,000","6,117,000,000","17,107,000,000","4,697,000,000","4,599,000,000","4,526,000,000",,"5,743,000,000","5,463,000,000","5,125,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,679,000,000",,"1,874,000,000",,,,,,,,,,"3,540,000,000","2,356,000,000","2,525,000,000",,"2,393,000,000","1,947,000,000","1,673,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
