name,ttm,01/31/2020,01/31/2019,01/31/2018,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
TotalRevenue,"10,811,000,000","10,811,000,000","8,974,000,000","7,922,000,000","7,093,000,000","6,571,000,000","6,035,000,000","5,207,000,000","4,605,047,000","3,767,096,000","2,857,343,000","2,023,937,000","1,881,027,000","1,325,811,000","703,904,000","387,074,000","218,756,000"
	OperatingRevenue,"10,811,000,000","10,811,000,000","8,974,000,000","7,922,000,000","7,093,000,000","6,647,000,000","6,035,000,000","5,207,000,000","4,605,047,000","3,767,096,000","2,857,343,000","2,023,937,000","1,881,027,000","1,325,811,000","703,904,000","387,074,000","218,756,000"
CostOfRevenue,"1,799,000,000","1,799,000,000","1,258,000,000","1,141,000,000","1,053,000,000","1,018,000,000","917,000,000","730,000,000","721,323,000","621,987,000","493,715,000","359,728,000","304,105,000","218,674,000","123,382,000","65,192,000",
GrossProfit,"9,012,000,000","9,012,000,000","7,716,000,000","6,781,000,000","6,040,000,000","5,553,000,000","5,118,000,000","4,477,000,000","3,883,724,000","3,145,109,000","2,363,628,000","1,664,209,000","1,576,922,000","1,107,137,000","580,522,000","321,882,000",
OperatingExpense,"7,492,000,000","7,492,000,000","5,657,000,000","5,002,000,000","4,549,000,000","4,333,000,000","4,075,000,000","3,316,000,000","3,011,781,000","2,409,938,000","1,935,635,000","1,444,914,000","1,264,397,000","871,796,000","456,183,000","228,287,000",
	SellingGeneralAndAdministration,"4,970,000,000","4,970,000,000","3,682,000,000","3,247,000,000","3,046,000,000","3,033,000,000","2,836,000,000","2,234,000,000","2,012,567,000","1,634,887,000","1,282,667,000","948,362,000","835,193,000","585,855,000","307,929,000","155,726,000",
		GeneralAndAdministrativeExpense,"1,586,000,000","1,586,000,000","967,000,000","851,000,000","884,000,000","934,000,000","867,000,000","563,000,000","367,718,000","300,541,000","269,386,000","211,979,000","181,110,000",,,,
			SalariesAndWages,"461,000,000","461,000,000","308,000,000","276,000,000","277,000,000","232,000,000","241,000,000","200,000,000",,,,,,,,,
			OtherGandA,"1,125,000,000","1,125,000,000","659,000,000","575,000,000","607,000,000","702,000,000","626,000,000","363,000,000","367,718,000","300,541,000","269,386,000","211,979,000","181,110,000",,,,
		SellingAndMarketingExpense,"3,384,000,000","3,384,000,000","2,715,000,000","2,396,000,000","2,162,000,000","2,099,000,000","1,969,000,000","1,671,000,000","1,644,849,000","1,334,346,000","1,013,281,000","736,383,000","654,083,000",,,,
