name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,05/31/1997
TotalRevenue,"1,114,820,000","1,114,820,000","1,041,304,000","1,007,356,000","924,641,000","859,878,000","757,970,000","724,307,000","691,509,000","638,793,000","596,076,000","564,178,000","641,680,000","615,494,000","544,662,000","477,399,000","428,806,000","386,104,000","365,562,000","341,428,000","167,474,000","161,600,000","165,400,000","101,200,000","430,000,000"
	OperatingRevenue,"1,074,777,000","1,074,777,000","998,513,000","973,308,000","901,442,000","842,022,000","743,457,000","714,456,000","682,304,000","638,793,000","596,076,000","564,178,000","641,680,000","615,494,000","544,662,000","477,399,000","428,806,000","386,104,000","365,562,000","188,356,000","167,474,000","161,600,000","165,400,000","101,200,000","430,000,000"
CostOfRevenue,"593,587,000","593,587,000","534,266,000","567,083,000","525,716,000","488,763,000","412,619,000","406,777,000","388,289,000","352,502,000","332,432,000","308,532,000","339,911,000","320,068,000","281,220,000","246,348,000","224,205,000","198,036,000","193,091,000","170,671,000",,"5,700,000","15,400,000","92,300,000","247,100,000"
GrossProfit,"521,233,000","521,233,000","507,038,000","440,273,000","398,925,000","371,115,000","345,351,000","317,530,000","303,220,000","286,291,000","263,644,000","255,646,000","301,769,000","295,426,000","263,442,000","231,051,000","204,601,000","188,068,000","172,471,000","170,757,000",,"167,300,000","150,000,000","8,900,000","182,900,000"
OperatingExpense,"187,661,000","187,661,000","184,357,000","175,808,000","160,433,000","145,796,000","130,783,000","123,036,000","110,078,000","114,428,000","102,882,000","107,573,000","127,173,000","110,227,000","96,817,000","87,301,000","79,601,000","74,085,000","66,155,000","68,527,000","69,410,000","73,500,000","63,200,000","35,700,000","84,900,000"
	SellingGeneralAndAdministration,"168,833,000","168,833,000","170,027,000","163,377,000","148,728,000","134,254,000","121,418,000","113,567,000","101,852,000","106,404,000","94,540,000","99,237,000","118,989,000","101,590,000","87,112,000","78,250,000","69,654,000","62,860,000","54,904,000","56,075,000","57,787,000","55,900,000","50,700,000","29,500,000","55,100,000"
	DepreciationAmortizationDepletionIncomeStatement,"18,828,000","18,828,000","14,330,000","12,431,000","11,705,000","11,542,000","9,365,000","9,469,000","8,226,000","8,024,000","8,342,000","8,336,000","8,184,000","8,637,000","9,705,000","9,051,000","9,947,000","11,225,000","11,251,000","12,452,000","11,623,000","17,600,000","12,500,000","6,200,000","29,800,000"
		DepreciationAndAmortizationInIncomeStatement,"18,828,000","18,828,000","14,330,000","12,431,000","11,705,000","11,542,000","9,365,000","9,469,000","8,226,000","8,024,000","8,342,000","8,336,000","8,184,000","8,637,000","9,705,000","9,051,000","9,947,000","11,225,000","11,251,000","12,452,000","11,623,000","17,600,000","12,500,000","6,200,000","29,800,000"
	OtherOperatingExpenses,,,,,,,,,,,,,"339,911,000",,,,,,,,,,,,
OperatingIncome,"333,572,000","333,572,000","322,681,000","264,465,000","238,492,000","225,319,000","214,568,000","194,494,000","193,142,000","171,863,000","160,762,000","148,073,000","174,596,000","185,199,000","166,625,000","143,750,000","125,000,000","113,983,000","106,316,000","102,230,000","98,064,000","93,800,000","86,800,000","-26,800,000","98,000,000"
NetNonOperatingInterestIncomeExpense,"-36,811,000","-36,811,000","-38,456,000","-39,119,000","-40,911,000","-41,253,000","-39,725,000","-39,990,000","-25,649,000","-11,633,000","-3,777,000","1,448,000","-18,692,000",,,,,,,,,,,,
	InterestIncomeNonOperating,"9,996,000","9,996,000","7,452,000","5,920,000","3,535,000","1,580,000","1,761,000","2,547,000","1,540,000","1,306,000","2,903,000","5,862,000","0",,,,,,,,,,,,
	InterestExpenseNonOperating,"46,807,000","46,807,000","45,908,000","45,039,000","44,446,000","42,833,000","41,486,000","42,537,000","27,189,000","12,939,000","6,680,000","4,414,000","18,692,000",,,,,,,,,,,,
OtherIncomeExpense,"-26,832,000","-26,832,000","-10,967,000","-1,349,000","2,399,000","-81,000","-1,085,000","2,414,000","1,675,000","-2,173,000","1,226,000","1,113,000","1,414,000","1,230,000","710,000","1,223,000","36,000","3,836,000","-1,911,000","107,375,000","-25,526,000","-100,000","15,000,000","81,900,000",
