name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995
TotalRevenue,"1,200,779,000","291,355,000","290,926,000","308,475,000","310,023,000","300,134,000","261,827,000","307,195,000","304,863,000","272,837,000","286,993,000","262,418,000","235,829,000","215,638,000","211,496,000","221,310,000","224,739,000","214,577,000","211,164,000","207,354,000","202,460,000","170,520,000","167,521,000","162,135,000","153,849,000","136,523,000","139,127,000","135,467,000","134,803,000","133,576,000","132,207,000","143,279,000","134,866,000","129,257,000","126,565,000","129,555,000","106,953,000","107,043,000","110,402,000","106,714,000","100,843,000","97,559,000","253,549,000","121,900,000","70,306,000","60,017,000","57,554,000","57,753,000","55,156,000","59,112,000","53,583,000","52,400,000","52,465,000","41,832,000","27,070,000","31,201,000","28,013,000","28,686,000","28,607,000","27,682,000","28,020,000","26,630,000","25,291,000","25,088,000","23,944,000","23,522,000","23,638,000","23,213,000","23,061,000","20,785,000","19,799,000","19,743,000","19,880,000","18,038,000","18,991,000","17,269,000","17,254,000","15,980,000","16,093,000","16,367,000","16,064,000","15,530,000","16,900,000","15,400,000","15,700,000","15,500,000","16,800,000","12,100,000","11,000,000","10,800,000","10,000,000","10,000,000","9,500,000","9,300,000","8,700,000","7,300,000","7,000,000","6,300,000","6,100,000","6,200,000","6,200,000","5,200,000"
	OperatingRevenue,"1,200,779,000","291,355,000","290,926,000","308,475,000","310,023,000","300,134,000","261,827,000","307,195,000","304,863,000","272,837,000","286,993,000","262,418,000","235,829,000","215,638,000","211,496,000","221,310,000","224,739,000","214,577,000","211,164,000","207,354,000","202,460,000","170,520,000","167,521,000","162,135,000","153,849,000","136,523,000","139,127,000","135,467,000","134,803,000","133,576,000","132,207,000","143,279,000","134,866,000","129,257,000","126,565,000","129,555,000","106,953,000","107,043,000","110,402,000","106,714,000","100,843,000","97,559,000","253,549,000","121,900,000","70,306,000","60,017,000","57,554,000","57,753,000","55,156,000","59,112,000","53,583,000","52,400,000","52,465,000","41,832,000","27,070,000","31,201,000","28,013,000","28,686,000","28,607,000","27,682,000","28,020,000","26,630,000","25,291,000","25,088,000","23,944,000","23,522,000","23,638,000","23,213,000","23,061,000","20,785,000","19,799,000","19,743,000","19,880,000","18,038,000","18,991,000","17,269,000","17,254,000","15,980,000","16,093,000","16,367,000","16,064,000","15,530,000","16,900,000","15,400,000","15,700,000","15,500,000","16,800,000","12,100,000","11,000,000","10,800,000","10,000,000","10,000,000","9,500,000","9,300,000","8,700,000","7,300,000","7,000,000","6,300,000","6,100,000","6,200,000","6,200,000","5,200,000"
PretaxIncome,"417,716,000","48,600,000","103,966,000","131,359,000","133,791,000","130,477,000","83,907,000","131,866,000","105,581,000","81,173,000","91,386,000","48,450,000","80,051,000","72,992,000","58,164,000","72,615,000","76,300,000","64,891,000","62,977,000","62,565,000","45,191,000","36,205,000","43,894,000","40,930,000","24,819,000","30,558,000","34,779,000","30,549,000","19,803,000","-4,159,000","32,037,000","29,378,000","16,949,000","26,527,000","22,560,000","23,862,000","4,257,000","19,840,000","18,076,000","21,215,000","12,169,000","17,358,000","169,174,000","42,065,000","12,709,000","13,193,000","10,797,000","12,027,000","13,337,000","19,621,000","13,706,000","17,567,000","14,159,000","12,128,000","12,059,000","13,999,000","12,453,000","11,137,000","11,039,000","-3,255,000","11,343,000","10,304,000","10,426,000","10,002,000","9,227,000","9,252,000","8,969,000","8,691,000","8,620,000","7,488,000","6,883,000","6,944,000","6,887,000","6,517,000","5,712,000","5,775,000","5,703,000","5,547,000","5,342,000","5,462,000","4,978,000","4,707,000","1,800,000","4,600,000","4,600,000","4,700,000","5,500,000","3,700,000","3,600,000","3,500,000","900,000","2,300,000","3,000,000","3,000,000","3,100,000",,"3,000,000","2,800,000","2,700,000","2,900,000","3,000,000","2,300,000"
TaxProvision,"97,267,000","12,175,000","21,390,000","31,509,000","32,193,000","30,346,000","-46,132,000","30,401,000","30,457,000","17,552,000","81,108,000","18,806,000","28,033,000","22,519,000","13,034,000","24,547,000","25,490,000","22,122,000","18,570,000","20,090,000","14,355,000","11,079,000","9,131,000","11,186,000","6,271,000","8,163,000","9,175,000","7,357,000","4,213,000","-4,876,000","8,829,000","8,144,000","4,389,000","7,134,000","6,154,000","6,563,000","-929,000","5,193,000","5,033,000","7,275,000","3,329,000","4,354,000","60,495,000","17,113,000","4,235,000","4,048,000","2,521,000","3,272,000","3,811,000","6,266,000","3,639,000","5,506,000","4,132,000","2,973,000","3,144,000","4,120,000","3,598,000","3,091,000","3,126,000","-1,914,000","3,215,000","3,004,000","3,101,000","2,966,000","2,740,000","2,761,000","2,691,000","2,614,000","2,641,000","2,270,000","2,166,000","2,236,000","2,246,000","2,130,000","1,946,000","2,111,000","2,116,000","2,056,000","1,868,000","2,036,000","1,858,000","1,752,000","800,000","1,800,000","1,800,000","1,800,000","1,900,000","1,500,000","1,400,000","1,400,000","400,000","1,000,000","1,200,000","1,200,000","1,200,000",,"1,100,000","1,000,000","1,000,000","1,000,000","1,100,000","800,000"
NetIncomeCommonStockholders,"304,854,000","32,460,000","77,367,000","95,377,000","99,650,000","95,600,000","127,848,000","96,958,000","73,408,000","59,384,000","9,171,000","25,763,000","50,708,000","46,528,000","43,765,000","44,016,000","49,416,000","39,733,000","43,898,000","41,983,000","30,481,000","25,126,000","33,111,000","29,744,000","18,262,000","22,395,000","24,398,000","23,192,000","15,300,000","717,000","21,765,000","21,234,000","12,560,000","19,029,000","16,406,000","17,299,000","5,186,000","14,647,000","13,043,000","13,940,000","8,840,000","13,004,000","108,679,000","24,952,000","8,224,000","5,795,000","7,928,000","8,755,000","9,526,000","13,355,000","10,067,000","12,061,000","10,027,000","9,155,000","8,915,000","9,879,000","8,855,000","8,046,000","7,913,000","-1,341,000","8,128,000","7,300,000","7,325,000","7,036,000","6,487,000","6,491,000","6,278,000","6,077,000","5,979,000","5,218,000","4,717,000","4,708,000","4,641,000","4,387,000","3,766,000","3,664,000","3,587,000","3,491,000","3,474,000","3,426,000","3,120,000","2,955,000","1,000,000","2,800,000","2,800,000","2,900,000","3,600,000","2,200,000","2,200,000","2,100,000","500,000","1,300,000","1,800,000","1,800,000","1,900,000","-200,000","1,900,000","1,800,000","1,700,000","1,900,000","1,900,000","1,500,000"
	NetIncome,"320,449,000","36,425,000","82,576,000","99,850,000","101,598,000","100,131,000","130,039,000","101,465,000","75,124,000","63,621,000","10,278,000","29,644,000","52,018,000","50,473,000","45,130,000","48,068,000","50,810,000","42,769,000","44,407,000","42,475,000","30,836,000","25,126,000","34,763,000","29,744,000","18,548,000","22,395,000","25,604,000","23,192,000","15,590,000","717,000","23,208,000","21,234,000","12,560,000","19,393,000","16,406,000","17,299,000","5,186,000","14,647,000","13,043,000","13,940,000","8,840,000","13,004,000","108,679,000","24,952,000","8,474,000","9,145,000","8,276,000","8,755,000","9,526,000","13,355,000","10,067,000","12,061,000","10,027,000","9,155,000","8,915,000","9,879,000","8,855,000","8,046,000","7,913,000","-1,341,000","8,128,000","7,300,000","7,325,000","7,036,000","6,487,000","6,491,000","6,278,000","6,077,000","5,979,000","5,218,000","4,717,000","4,708,000","4,641,000","4,387,000","3,766,000","3,664,000","3,587,000","3,491,000","3,474,000","3,426,000","3,120,000","2,955,000","1,000,000","2,800,000","2,800,000","2,900,000","3,600,000","2,200,000","2,200,000","2,100,000","500,000","1,300,000","1,800,000","1,800,000","1,900,000","-200,000","1,900,000","1,800,000","1,700,000","1,900,000","1,900,000","1,500,000"
		NetIncomeIncludingNoncontrollingInterests,"320,449,000","36,425,000","82,576,000","99,850,000","101,598,000","100,131,000","130,039,000","101,465,000","75,124,000","63,621,000","10,278,000","29,644,000","52,018,000","50,473,000","45,130,000","48,068,000","50,810,000","42,769,000","44,407,000","42,475,000","30,836,000","25,126,000","34,763,000","29,744,000","18,548,000","22,395,000","25,604,000","23,192,000","15,590,000","717,000","23,208,000","21,234,000","12,560,000","19,393,000","16,406,000","17,299,000","5,186,000","14,647,000","13,043,000","13,940,000","8,840,000","13,004,000","108,679,000","24,952,000","8,474,000","9,145,000","8,276,000","8,755,000","9,526,000","13,355,000","10,067,000","12,061,000","10,027,000","9,155,000","8,915,000","9,879,000","8,855,000","8,046,000","7,913,000","-1,341,000","8,128,000","7,300,000","7,325,000","7,036,000","6,487,000","6,491,000","6,278,000","6,077,000","5,979,000","5,218,000","4,717,000","4,708,000","4,641,000","4,387,000","3,766,000","3,664,000","3,587,000","3,491,000","3,474,000","3,426,000","3,120,000","2,955,000","1,000,000","2,800,000","2,800,000","2,900,000","3,600,000","2,200,000","2,200,000","2,100,000","500,000","1,300,000","1,800,000","1,800,000","1,900,000","-200,000","1,900,000","1,800,000","1,700,000","1,900,000","1,900,000","1,500,000"
			NetIncomeContinuousOperations,"320,449,000","36,425,000","82,576,000","99,850,000","101,598,000","100,131,000","130,039,000","101,465,000","75,124,000","63,621,000","10,278,000","29,644,000","52,018,000","50,473,000","45,130,000","48,068,000","50,810,000","42,769,000","44,407,000","42,475,000","30,836,000","25,126,000","34,763,000","29,744,000","18,548,000","22,395,000","25,604,000","23,192,000","15,590,000","717,000","23,208,000","21,234,000","12,560,000","19,393,000","16,406,000","17,299,000","5,186,000","14,647,000","13,043,000","13,940,000","8,840,000","13,004,000","108,679,000","24,952,000","8,474,000","9,145,000","8,276,000","8,755,000","9,526,000","13,355,000","10,067,000","12,061,000","10,027,000","9,155,000","8,915,000","9,879,000","8,855,000","8,046,000","7,913,000","-1,341,000","8,128,000","7,300,000","7,325,000","7,036,000","6,487,000","6,491,000","6,278,000","6,077,000","5,979,000","5,218,000","4,717,000","4,708,000","4,641,000","4,387,000","3,766,000","3,664,000","3,587,000","3,491,000","3,474,000","3,426,000","3,120,000","2,955,000","1,000,000","2,800,000","2,800,000","2,900,000","3,600,000","2,200,000","2,200,000","2,100,000","500,000","1,300,000","1,800,000","1,800,000","1,900,000","-200,000","1,900,000","1,800,000","1,700,000","1,900,000","1,900,000","1,500,000"
	PreferredStockDividends,"12,602,000","3,598,000","4,456,000","3,599,000","949,000","3,598,000","949,000","3,599,000","949,000","3,598,000","949,000","3,598,000","949,000","3,599,000","957,000","3,590,000","854,000","2,576,000",,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"3,350,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,"2,993,000","367,000","753,000","874,000","999,000","933,000","1,242,000","908,000","767,000","639,000","158,000","283,000","361,000","346,000","408,000","462,000","540,000","460,000","509,000","492,000","355,000","344,000","530,000","448,000","286,000","405,000",,,"290,000",,,,,"364,000",,,,,,,,,,,"250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
